x,y
-15941.47488,147247.21421
-12581.62248,146404.94151
-15733.05268,146415.66451
-14997.31928,148001.34291
-11832.87338,145011.12561
-15639.82038,146344.00381
-11314.48788,145345.86911
-15717.71888,146829.64051
-16110.03058,146708.63041
-12126.29698,145154.53001
-13127.19118,145351.06941
-13113.10528,146493.84161
-13808.57768,147230.26881
-14473.23288,145300.07391
-14792.76558,147894.42081
-15855.93998,146362.93421
-12089.04288,146105.08451
-15724.51288,147111.51971
-15332.67418,147529.44691
-13788.95158,147217.47001
-13931.50718,147431.49511
-13197.82043,146922.22721
-15625.27328,147215.80721
-13377.10688,146002.31331
-11734.65228,145366.77121
-15691.12808,147129.36111
-13910.47698,147474.63001
-13533.62568,145370.66971
-12625.23228,146390.29161
-15735.57828,147134.12361
-11764.38298,145468.79421
-11113.98768,145696.53051
-12451.77348,146591.56311
-13231.44638,146382.91641
-12856.57828,147058.04901
-12723.63338,146447.69101
-11263.25238,145350.99561
-12765.37938,146282.17721
-13823.81668,147245.87331
-12350.97338,145416.77831
-15754.89288,147087.98681
-15622.57698,146353.40921
-11911.82328,145716.01351
-12150.32018,146106.93491
-15724.86258,146811.38421
-11076.49878,144696.99751
-13000.03448,146857.07531
-15835.33118,147057.22501
-13247.87988,146499.99031
-11316.50428,145274.02721
-15596.69818,147158.65721
-10866.23208,144968.77101
-10866.58898,144554.29691
-12705.32778,146463.12191
-11445.56428,144561.99741
-12464.88198,145610.27421
-15740.99018,146299.77681
-12951.50618,146838.00671
-12686.93718,146655.17411
-15553.29318,147341.12741
-10572.27948,145306.64461
-16029.42378,146803.37321
-13221.60638,145569.76031
-15429.40488,147826.59591
-13934.89738,145302.30341
-13183.69518,145362.82751
-13231.16508,145872.02821
-12270.65469,145295.79527
-12226.24183,145268.4027
-12318.6526,145359.61718
-14259.51482,145246.99947
-13759.39692,145318.22574
-13786.78596,145304.54738
-13563.25154,145364.09884
-13212.28022,145386.6771
-13374.19032,145507.38164
-13329.0877,145530.97369
-13378.17561,145504.5017
-13291.08433,145802.08856
-13308.35552,145756.44063
-13180.83286,145965.21096
-12954.9812,145893.10886
-12487.36392,146087.27366
-12467.49998,145981.35076
-12536.33127,145876.48658
-12492.603,146154.41865
-12732.65338,146038.01083
-13238.3488,146392.76836
-15636.06064,145414.67578
-15700.9021,145412.3311
-12617.50681,146376.30705
-12740.67481,146449.47704
-13191.55393,146504.44443
-13060.21442,146489.24232
-12648.55233,146500.1631
-12645.86123,146575.13653
-12779.02492,146740.73168
-12884.33638,146794.69936
-13447.65628,147077.80214
-13524.37078,147119.40171
-13664.48292,147134.51353
-14151.45153,147604.69307
-14027.63359,147523.27423
-14007.67332,147513.84128
-15579.5748,146504.2417
-15670.55014,146644.62183
-15459.2015,147326.96696
-15320.51254,147407.83962
-15325.16514,147506.3762
-15637.92549,147127.55899
-14540.96074,147718.6138
-14638.77407,147795.47715
-15340.15254,147573.03794
-11345.44256,144244.06245
-10996.05097,144429.79117
-11051.44306,144481.72032
-11298.81805,144346.94946
-11212.70112,144513.24222
-11745.20313,144967.58487
-10920.07257,144533.31419
-11328.82617,145416.5736
-11274.31335,144903.57648
-11291.89646,145284.32538
-11336.83577,145259.06607
-11353.8676,145202.0916
-11294.04205,145347.91487
-10859.9594,144404.45946
-10815.39788,144550.04898
-10373.22795,144597.34741
-10599.75727,145307.75594
-12204.43494,145535.89745
-11956.11228,145598.48942
-11830.45358,145469.76332
-11757.61972,145460.1864
-10632.71323,145779.38404
-11232.29108,145705.63053
-11397.17876,145728.26972
-10838.69651,145712.00987
-11787.61178,146176.79402
-12188.21993,146109.72315
-12164.98961,146108.01412
-12306.4491,146483.83352
-12265.70579,146469.35783
-12157.26545,146117.35794
-15990.12312,145066.35409
-16038.05395,145114.48636
-16011.16,145087.47938
-15749.67236,145423.07416
-15831.60321,146484.05543
-15724.33929,146396.77447
-15700.50204,146312.746
-15918.57027,146672.39913
-13023.58007,147093.60982
-13552.61907,147372.45363
-14008.98295,147819.37167
-14463.59502,147683.00881
-14973.46035,147998.8007
