ID_UG;nodes
932;(-17872.71368, 150728.98281),(-17422.67338, 151004.82761),(-17693.89868, 151030.08571),(-17964.84658, 150771.06681),(-17530.75858, 150641.33241),(-17768.43918, 150690.63951),(-17852.32134, 150784.356),(-17548.89895, 151025.64171),(-17583.68812, 151032.98787),(-17561.43607, 151028.28907),(-17782.3138, 150704.60862),(-17952.19167, 150749.48387),(-17614.31069, 150846.64303)
1164;(-18405.01598, 151300.85861),(-17693.89868, 151030.08571),(-18336.84578, 151224.46261),(-17964.84658, 150771.06681),(-18170.89658, 151068.32181),(-18170.40388, 151299.96901),(-18041.37948, 151285.82751),(-17974.77399, 150776.25703),(-18234.46732, 150949.12638),(-18369.1389, 151260.6524),(-18336.57492, 151353.08499),(-17942.08585, 151203.37132),(-17993.31322, 151235.72337),(-18148.67365, 151293.83328),(-18195.22776, 151288.42326),(-18324.31579, 151452.89078),(-18242.24647, 151409.65242),(-18006.07104, 151386.78091),(-17975.9325, 150776.86272),(-17973.89202, 150775.79593),(-18025.95797, 151093.10813)
937;(-17394.95818, 150521.88881),(-17740.48188, 150149.78761),(-17263.80768, 150438.29251),(-17726.53838, 150133.98201),(-17505.97938, 150081.21941),(-17678.41138, 150094.61881),(-17459.75038, 150544.08441),(-17453.54592, 150532.55577),(-17350.00382, 150488.2848),(-17526.29479, 150321.98524)
933;(-17394.95818, 150521.88881),(-17422.67338, 151004.82761),(-17232.25668, 151137.22671),(-17530.75858, 150641.33241),(-17194.39538, 151072.59601),(-17002.06748, 150789.23661),(-17459.75038, 150544.08441),(-17519.21972, 150674.11927),(-17383.61297, 150949.79636),(-17275.94469, 150825.75028)
934;(-17394.95818, 150521.88881),(-17263.80768, 150438.29251),(-16795.28728, 150542.65371),(-16824.43668, 150613.77721),(-17163.07498, 150404.09021),(-17002.06748, 150789.23661),(-17407.42439, 150560.91405),(-17019.10697, 150687.28607),(-17093.86835, 150577.1572)
940;(-17740.48188, 150149.78761),(-17481.56068, 149759.38371),(-17514.57828, 150056.08411),(-17726.53838, 150133.98201),(-17547.65128, 149985.30781),(-17783.85418, 150134.52681),(-17506.14958, 149792.67861),(-17505.97938, 150081.21941),(-17678.41138, 150094.61881),(-17551.55277, 150009.51543),(-17779.7273, 150118.60528),(-17673.13233, 149675.30589),(-17744.36731, 149703.59693),(-17633.72522, 149915.15954)
1318;(-17740.48188, 150149.78761),(-17794.03618, 150499.26281),(-17783.85418, 150134.52681),(-17459.75038, 150544.08441),(-17480.11808, 150544.18022),(-17710.81613, 150395.05647)
1508;(-17794.03618, 150499.26281),(-17530.75858, 150641.33241),(-17768.43918, 150690.63951),(-17459.75038, 150544.08441),(-17746.27125, 150694.58801),(-17652.57869, 150602.02096)
939;(-17481.56068, 149759.38371),(-17064.65368, 149924.49661),(-17506.14958, 149792.67861),(-17255.41288, 150193.05851),(-17338.35242, 150043.75704),(-16965.48659, 149930.30321),(-16905.11617, 149968.61218),(-17289.9082, 149690.33503),(-17157.83597, 149889.99859)
1315;(-17514.57828, 150056.08411),(-17263.80768, 150438.29251),(-17547.65128, 149985.30781),(-17506.14958, 149792.67861),(-17505.97938, 150081.21941),(-17255.41288, 150193.05851),(-17163.07498, 150404.09021),(-17474.07896, 150025.11122),(-17368.97762, 150133.74428)
860;(-17232.25668, 151137.22671),(-16575.43868, 151156.44821),(-17194.39538, 151072.59601),(-16852.21858, 151033.36171),(-16555.30248, 151236.84631),(-16979.12465, 151230.46695),(-16898.53782, 151202.59257)
