x,y
-17872.71368,150728.98281
-18405.01598,151300.85861
-18336.84578,151224.46261
-18170.89658,151068.32181
-17726.53838,150133.98201
-16795.28728,150542.65371
-17064.65368,149924.49661
-18170.40388,151299.96901
-16824.43668,150613.77721
-16575.43868,151156.44821
-17163.07498,150404.09021
-17678.41138,150094.61881
-16852.21858,151033.36171
-18041.37948,151285.82751
-16555.30248,151236.84631
-17338.35242,150043.75704
-16965.48659,149930.30321
-16905.11617,149968.61218
-17289.9082,149690.33503
-17551.55277,150009.51543
-17779.7273,150118.60528
-17673.13233,149675.30589
-17744.36731,149703.59693
-17474.07896,150025.11122
-17453.54592,150532.55577
-17350.00382,150488.2848
-16979.12465,151230.46695
-17480.11808,150544.18022
-17407.42439,150560.91405
-17019.10697,150687.28607
-17746.27125,150694.58801
-17519.21972,150674.11927
-17383.61297,150949.79636
-17852.32134,150784.356
-17548.89895,151025.64171
-17583.68812,151032.98787
-17561.43607,151028.28907
-17782.3138,150704.60862
-17952.19167,150749.48387
-17974.77399,150776.25703
-18234.46732,150949.12638
-18369.1389,151260.6524
-18336.57492,151353.08499
-17942.08585,151203.37132
-17993.31322,151235.72337
-18148.67365,151293.83328
-18195.22776,151288.42326
-18324.31579,151452.89078
-18242.24647,151409.65242
-18006.07104,151386.78091
-17975.9325,150776.86272
-17973.89202,150775.79593
