"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source
"(-13651.58888, 154674.60711)","(-13608.79088, 154692.34891)",0.04632969103328348,24.2434,False,False
"(-13651.58888, 154674.60711)","(-13649.21038, 154628.84541)",0.0458234705051925,24.2434,False,False
"(-13772.90008, 154500.17831)","(-13729.15598, 154514.08451)",0.045901292827652734,24.2434,False,False
"(-13772.90008, 154500.17831)","(-13789.52852, 154490.76516)",0.019107914845835707,24.2434,True,False
"(-13609.78598, 154583.46781)","(-13649.21038, 154628.84541)",0.06011164527045182,24.2434,False,False
"(-13609.78598, 154583.46781)","(-13625.03908, 154533.17721)",0.052552844908441976,24.2434,False,False
"(-12828.18728, 154912.57901)","(-12822.89558, 154935.06871)",0.023103867532953154,1.7366,False,False
"(-12828.18728, 154912.57901)","(-12783.20798, 154901.99571)",0.046207614820287415,1.7366,False,False
"(-14145.94718, 154788.91251)","(-14161.76258, 154813.07681)",0.028879755394570696,24.4707,False,False
"(-14145.94718, 154788.91251)","(-14138.00958, 154775.68341)",0.015427721172289348,24.4707,False,False
"(-14611.87718, 154364.51911)","(-14553.10878, 154386.45161)",0.06272766052396407,24.4707,False,False
"(-14611.87718, 154364.51911)","(-14630.13948, 154420.31551)",0.05870902702522942,24.4707,False,False
"(-12741.66918, 154860.32051)","(-12767.51808, 154908.20551)",0.054416347325145255,1.7366,False,False
"(-12741.66918, 154860.32051)","(-12778.88118, 154810.45881)",0.062216734653049076,1.7366,False,False
"(-13369.67948, 154570.05641)","(-13361.34558, 154573.01781)",0.008844420793360354,20.7029,False,False
"(-13369.67948, 154570.05641)","(-13402.40788, 154558.42661)",0.03473327532208681,20.7029,False,False
"(-13031.65218, 155119.95991)","(-12996.72718, 155092.97231)",0.0441371292537199,1.7366,False,False
"(-13031.65218, 155119.95991)","(-13069.75228, 155148.53501)",0.047625139999997755,1.7366,False,False
"(-13468.38108, 154589.98791)","(-13454.63348, 154580.34541)",0.01679209075754772,20.7029,False,False
"(-13468.38108, 154589.98791)","(-13478.62908, 154597.17581)",0.012517484188521416,20.7029,False,False
"(-13447.71048, 154575.69051)","(-13447.09438, 154575.47001)",0.0006543695133464444,20.7029,False,False
"(-13447.71048, 154575.69051)","(-13448.29508, 154575.89971)",0.0006209040183516339,20.7029,False,False
"(-13107.90698, 154996.75691)","(-13132.67908, 155070.79381)",0.07807124630759367,20.7029,False,False
"(-13107.90698, 154996.75691)","(-13063.25028, 154950.44351)",0.06433624075471404,20.7029,False,False
"(-13277.58548, 154500.57141)","(-13275.98438, 154501.84681)",0.0020469895871642655,20.7029,False,False
"(-13277.58548, 154500.57141)","(-13287.04058, 154515.00061)",0.01725110804121177,20.7029,False,False
"(-14208.52128, 154391.85161)","(-14174.38998, 154379.15151)",0.03641755318113065,24.4707,False,False
"(-14208.52128, 154391.85161)","(-14233.51068, 154398.37751)",0.025827455994922352,24.4707,False,False
"(-13596.51678, 154609.50991)","(-13580.98428, 154639.99391)",0.034213050320744294,20.7029,False,False
"(-13596.51678, 154609.50991)","(-13608.79088, 154692.34891)",0.0837433785550309,20.7029,False,False
"(-14064.16868, 154634.87021)","(-14064.14058, 154634.70421)",0.000168361545488351,34.0912,True,False
"(-14064.16868, 154634.87021)","(-14064.28678, 154635.04711)",0.0002126998354657141,34.0912,False,False
"(-13247.02348, 155148.69371)","(-13265.54438, 155135.46451)",0.022760392559224994,19.0639,False,False
"(-13247.02348, 155148.69371)","(-13256.28388, 155169.86041)",0.02310377019124987,19.0639,False,False
"(-13341.35718, 154580.12051)","(-13340.74778, 154580.33681)",0.0006466483201876174,20.7029,False,False
