"Node1(x,y)","Node2(x,y)",has_exit,has_source,slope,edgelength,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-13200.72128, 155118.26661)","(-13190.56279, 155116.75897)",True,False,19.0639,0.010269756445490049,50,19,74,19,37,
"(-13200.72128, 155118.26661)","(-13265.54438, 155135.46451)",True,False,False,0.0739530380996317,357,139,536,139,268,"[(-13225.85678, 155110.32911), (-13249.66928, 155120.91241)]"
"(-13200.72128, 155118.26661)","(-13241.37661, 154865.31788)",False,True,False,0.0,0,0,0,0,0,
"(-13200.72128, 155118.26661)","(-13203.4369, 155178.23285)",False,True,False,0.0,0,0,0,0,0,
"(-13608.79088, 154692.34891)","(-13789.52852, 154490.76516)",True,False,False,0.3762824252153425,1817,707,2727,707,1363,"[(-13772.90008, 154500.17831), (-13671.23938, 154518.98021)]"
"(-13608.79088, 154692.34891)","(-13304.70098, 154541.95181)",False,False,False,0.4348009204012664,2100,815,3150,815,1575,"[(-13596.51678, 154609.50991), (-13512.22638, 154620.52901), (-13507.59518, 154617.49231)]"
"(-13608.79088, 154692.34891)","(-13478.83188, 154939.21091)",False,False,False,0.38249849115772366,1848,718,2771,718,1387,"[(-13601.84708, 154741.28221), (-13581.88938, 154811.17181), (-13621.14708, 154882.80101), (-13588.90138, 154936.70191), (-13521.15138, 154933.85521)]"
"(-13608.79088, 154692.34891)","(-13657.288, 154786.52593)",False,True,False,0.0,0,0,0,0,0,
"(-13608.79088, 154692.34891)","(-13452.63494, 154738.84411)",False,True,False,0.0,0,0,0,0,0,
"(-13974.30448, 154609.28101)","(-13876.12778, 154685.16301)",False,False,False,0.12409474027607187,599,233,900,233,449,"[(-13938.37508, 154636.04241)]"
"(-13974.30448, 154609.28101)","(-14064.14058, 154634.70421)",True,False,False,0.11552621529006027,869,310,1302,310,652,"[(-13990.47568, 154597.23631), (-14037.17198, 154594.30451)]"
"(-13974.30448, 154609.28101)","(-13910.03018, 154461.03561)",False,False,False,0.19909178538453032,961,374,1443,374,721,"[(-13960.87068, 154552.18941), (-13929.12068, 154563.30191), (-13911.65818, 154531.55191), (-13911.65818, 154487.10181)]"
"(-13974.30448, 154609.28101)","(-14009.68686, 154547.03849)",False,True,False,0.0,0,0,0,0,0,
"(-13974.30448, 154609.28101)","(-13871.99409, 154581.18321)",False,True,False,0.0,0,0,0,0,0,
"(-14064.14058, 154634.70421)","(-14102.58518, 154663.34791)",True,False,False,0.08678601916934378,652,233,978,233,489,"[(-14064.16868, 154634.87021), (-14064.28678, 154635.04711)]"
"(-14064.14058, 154634.70421)","(-14009.68686, 154547.03849)",False,True,False,0.0,0,0,0,0,0,
"(-13478.83188, 154939.21091)","(-13411.41808, 155094.09851)",False,False,False,0.17514953483416432,846,328,1269,328,635,"[(-13442.60198, 154984.65431)]"
"(-13478.83188, 154939.21091)","(-13300.3097, 154744.33066)",True,False,False,0.3049627895330098,1473,573,2210,573,1106,"[(-13337.64618, 154780.58601), (-13362.36308, 154836.80591)]"
"(-13478.83188, 154939.21091)","(-13657.288, 154786.52593)",False,True,False,0.0,0,0,0,0,0,
"(-13478.83188, 154939.21091)","(-13452.63494, 154738.84411)",False,True,False,0.0,0,0,0,0,0,
"(-13478.83188, 154939.21091)","(-13241.37661, 154865.31788)",False,True,False,0.0,0,0,0,0,0,
"(-13876.12778, 154685.16301)","(-13827.24741, 154663.77048)",True,False,24.2434,0.053356638866565984,258,100,387,100,193,
"(-13876.12778, 154685.16301)","(-13793.64897, 154737.17705)",True,False,False,0.10051505858901028,486,188,728,188,364,"[(-13833.86788, 154726.01161)]"
"(-13876.12778, 154685.16301)","(-13871.99409, 154581.18321)",False,True,False,0.0,0,0,0,0,0,
"(-13876.12778, 154685.16301)","(-13657.288, 154786.52593)",False,True,False,0.0,0,0,0,0,0,
