Prefix,ComponentName,NumNodes,NumEdges,DegreeDistribution,NumSourceNodes,NumExitNodes,TotalEdgeLength,TotalCosts
0,comp_1,205,212,2:192; 3:12; 4:1,0,0,12.55,
1withexit,comp_1,221,228,2:208; 3:12; 4:1,0,23,12.55,
2withcosts,comp_1,221,228,2:208; 3:12; 4:1,0,23,12.55,45458.0
3aftermerge,comp_1,36,43,2:23; 3:12; 4:1,0,23,12.55,45458.0
4withsources,comp_1,43,98,3:21; 4:4; 5:11; 6:2; 7:3; 9:1; 20:1,7,23,12.55,45458.0
0,comp_10,520,546,2:473; 3:43; 4:3; 5:1,0,0,28.99,
1withexit,comp_10,548,574,2:501; 3:43; 4:3; 5:1,0,46,28.99,
2withcosts,comp_10,548,574,2:501; 3:43; 4:3; 5:1,0,46,28.99,131755.0
3aftermerge,comp_10,89,115,2:42; 3:43; 4:3; 5:1,0,46,28.99,131755.0
4withsources,comp_10,114,287,3:33; 4:16; 5:29; 6:19; 7:7; 8:3; 9:2; 10:2; 11:2; 19:1,25,46,28.99,131755.0
0,comp_14_15_48_merged,2414,2509,2:2232; 3:174; 4:8,0,0,105.74,
1withexit,comp_14_15_48_merged,2483,2578,2:2301; 3:174; 4:8,0,111,105.74,
2withcosts,comp_14_15_48_merged,2483,2578,2:2301; 3:174; 4:8,0,111,105.74,472577.0
3aftermerge,comp_14_15_48_merged,287,382,2:105; 3:174; 4:8,0,111,105.74,472577.0
4withsources,comp_14_15_48_merged,376,1019,3:60; 4:70; 5:81; 6:112; 7:16; 8:16; 9:4; 10:4; 11:3; 12:2; 13:1; 14:1; 15:2; 16:2; 17:1; 22:1,89,111,105.74,472577.0
0,comp_16,820,842,2:776; 3:44,0,0,31.29,
1withexit,comp_16,844,866,2:800; 3:44,0,46,31.29,
2withcosts,comp_16,844,866,2:800; 3:44,0,46,31.29,124241.0
3aftermerge,comp_16,87,109,2:43; 3:44,0,46,31.29,124241.0
4withsources,comp_16,110,283,3:22; 4:25; 5:28; 6:26; 7:2; 8:2; 9:1; 11:1; 13:1; 20:1; 21:1,23,46,31.29,124241.0
0,comp_18,81,84,2:75; 3:6,0,0,4.0,
1withexit,comp_18,83,86,2:77; 3:6,0,4,4.0,
2withcosts,comp_18,83,86,2:77; 3:6,0,4,4.0,18077.0
3aftermerge,comp_18,11,14,2:5; 3:6,0,4,4.0,18077.0
4withsources,comp_18,15,32,3:5; 4:2; 5:7; 6:1,4,4,4.0,18077.0
0,comp_19_41_merged,184,191,2:173; 3:8; 4:3,0,0,9.92,
1withexit,comp_19_41_merged,198,205,2:187; 3:8; 4:3,0,17,9.92,
2withcosts,comp_19_41_merged,198,205,2:187; 3:8; 4:3,0,17,9.92,35939.0
3aftermerge,comp_19_41_merged,30,37,2:19; 3:8; 4:3,0,17,9.92,35939.0
4withsources,comp_19_41_merged,38,87,3:17; 4:5; 5:9; 6:1; 7:2; 8:2; 9:1; 13:1,8,17,9.92,35939.0
0,comp_20_25_28_33_merged,2156,2253,2:1965; 3:188; 4:3,0,0,109.98,
1withexit,comp_20_25_28_33_merged,2255,2352,2:2064; 3:188; 4:3,0,175,109.98,
2withcosts,comp_20_25_28_33_merged,2255,2352,2:2064; 3:188; 4:3,0,175,109.98,458994.0
3aftermerge,comp_20_25_28_33_merged,350,447,2:159; 3:188; 4:3,0,175,109.98,458994.0
4withsources,comp_20_25_28_33_merged,439,1153,3:92; 4:85; 5:115; 6:97; 7:11; 8:7; 9:6; 10:5; 11:4; 12:6; 13:2; 14:1; 15:4; 17:1; 19:1; 20:1; 24:1,89,175,109.98,458994.0
0,comp_21_40_merged,416,435,2:380; 3:34; 4:2,0,0,24.63,
1withexit,comp_21_40_merged,443,462,2:407; 3:34; 4:2,0,43,24.63,
2withcosts,comp_21_40_merged,443,462,2:407; 3:34; 4:2,0,43,24.63,101761.0
3aftermerge,comp_21_40_merged,75,94,2:39; 3:34; 4:2,0,43,24.63,101761.0
4withsources,comp_21_40_merged,94,244,3:19; 4:24; 5:20; 6:20; 7:2; 8:3; 9:2; 12:1; 13:2; 21:1,19,43,24.63,101761.0
0,comp_22,822,842,2:783; 3:38; 4:1,0,0,27.6,
1withexit,comp_22,851,871,2:812; 3:38; 4:1,0,56,27.6,
2withcosts,comp_22,851,871,2:812; 3:38; 4:1,0,56,27.6,123274.0
3aftermerge,comp_22,93,113,2:54; 3:38; 4:1,0,56,27.6,123274.0
4withsources,comp_22,112,277,3:41; 4:15; 5:28; 6:16; 7:2; 8:1; 9:2; 11:2; 14:3; 15:1; 16:1,19,56,27.6,123274.0
0,comp_23,451,478,2:397; 3:54,0,0,30.96,
1withexit,comp_23,481,508,2:427; 3:54,0,43,30.96,
2withcosts,comp_23,481,508,2:427; 3:54,0,43,30.96,132878.0
3aftermerge,comp_23,95,122,2:41; 3:54,0,43,30.96,132878.0
4withsources,comp_23,122,300,3:36; 4:15; 5:37; 6:24; 7:1; 8:1; 9:3; 10:1; 11:1; 12:1; 13:1; 15:1,27,43,30.96,132878.0
0,comp_24,346,360,2:320; 3:24; 4:2,0,0,15.96,
1withexit,comp_24,354,368,2:328; 3:24; 4:2,0,19,15.96,
2withcosts,comp_24,354,368,2:328; 3:24; 4:2,0,19,15.96,79789.0
3aftermerge,comp_24,44,58,2:18; 3:24; 4:2,0,19,15.96,79789.0
4withsources,comp_24,58,141,3:17; 4:5; 5:19; 6:10; 7:3; 8:2; 9:1; 10:1,14,19,15.96,79789.0
0,comp_26,238,244,2:226; 3:12,0,0,11.41,
1withexit,comp_26,268,274,2:256; 3:12,0,46,11.41,
2withcosts,comp_26,268,274,2:256; 3:12,0,46,11.41,64279.0
3aftermerge,comp_26,56,62,2:44; 3:12,0,46,11.41,64279.0
4withsources,comp_26,63,135,3:41; 4:4; 5:12; 6:1; 7:1; 9:1; 13:1; 15:1; 21:1,7,46,11.41,64279.0
0,comp_27,346,355,2:328; 3:18,0,0,12.25,
1withexit,comp_27,356,365,2:338; 3:18,0,16,12.25,
2withcosts,comp_27,356,365,2:338; 3:18,0,16,12.25,51695.0
3aftermerge,comp_27,34,43,2:16; 3:18,0,16,12.25,51695.0
4withsources,comp_27,44,106,3:13; 4:7; 5:12; 6:9; 9:1; 10:1; 12:1,10,16,12.25,51695.0
0,comp_29,93,96,2:87; 3:6,0,0,4.78,
1withexit,comp_29,95,98,2:89; 3:6,0,5,4.78,
2withcosts,comp_29,95,98,2:89; 3:6,0,5,4.78,17320.0
3aftermerge,comp_29,12,15,2:6; 3:6,0,5,4.78,17320.0
4withsources,comp_29,16,37,3:6; 4:1; 5:4; 6:4; 8:1,4,5,4.78,17320.0
0,comp_2_44_merged,3766,3897,2:3513; 3:244; 4:9,0,0,151.41,
1withexit,comp_2_44_merged,3927,4058,2:3674; 3:244; 4:9,0,294,151.41,
2withcosts,comp_2_44_merged,3927,4058,2:3674; 3:244; 4:9,0,294,151.41,628353.0
3aftermerge,comp_2_44_merged,528,659,2:275; 3:244; 4:9,0,294,151.41,628353.0
4withsources,comp_2_44_merged,651,1760,3:125; 4:168; 5:110; 6:160; 7:22; 8:12; 9:13; 10:4; 11:9; 12:5; 13:2; 14:2; 15:4; 16:6; 17:1; 18:2; 19:2; 20:1; 21:1; 26:1; 29:1,123,294,151.41,628353.0
0,comp_30,261,270,2:245; 3:14; 4:2,0,0,14.0,
1withexit,comp_30,275,284,2:259; 3:14; 4:2,0,24,14.0,
2withcosts,comp_30,275,284,2:259; 3:14; 4:2,0,24,14.0,50732.0
3aftermerge,comp_30,38,47,2:22; 3:14; 4:2,0,24,14.0,50732.0
4withsources,comp_30,47,110,3:20; 4:4; 5:14; 6:4; 7:2; 8:1; 14:2,9,24,14.0,50732.0
0,comp_31_34_merged,849,887,2:777; 3:68; 4:4,0,0,44.99,
1withexit,comp_31_34_merged,898,936,2:826; 3:68; 4:4,0,79,44.99,
2withcosts,comp_31_34_merged,898,936,2:826; 3:68; 4:4,0,79,44.99,182163.0
3aftermerge,comp_31_34_merged,148,186,2:76; 3:68; 4:4,0,79,44.99,182163.0
4withsources,comp_31_34_merged,184,475,3:50; 4:33; 5:39; 6:35; 7:5; 8:7; 9:3; 10:4; 11:4; 12:1; 13:1; 15:1; 21:1,36,79,44.99,182163.0
0,comp_32,840,863,2:798; 3:38; 4:4,0,0,33.93,
1withexit,comp_32,857,880,2:815; 3:38; 4:4,0,35,33.93,
2withcosts,comp_32,857,880,2:815; 3:38; 4:4,0,35,33.93,131900.0
3aftermerge,comp_32,72,95,2:30; 3:38; 4:4,0,35,33.93,131900.0
4withsources,comp_32,96,270,3:6; 4:29; 5:12; 6:32; 7:5; 8:4; 9:4; 11:2; 12:1; 17:1,24,35,33.93,131900.0
0,comp_35,140,144,2:132; 3:8,0,0,6.85,
1withexit,comp_35,147,151,2:139; 3:8,0,10,6.85,
2withcosts,comp_35,147,151,2:139; 3:8,0,10,6.85,31538.0
3aftermerge,comp_35,20,24,2:12; 3:8,0,10,6.85,31538.0
4withsources,comp_35,24,53,3:12; 4:2; 5:8; 9:1; 13:1,4,10,6.85,31538.0
0,comp_36_50_merged,1184,1198,2:1157; 3:26; 4:1,0,0,35.33,
1withexit,comp_36_50_merged,1205,1219,2:1178; 3:26; 4:1,0,36,35.33,
2withcosts,comp_36_50_merged,1205,1219,2:1178; 3:26; 4:1,0,36,35.33,134635.0
3aftermerge,comp_36_50_merged,63,77,2:36; 3:26; 4:1,0,36,35.33,134635.0
4withsources,comp_36_50_merged,77,193,3:27; 4:12; 5:14; 6:15; 8:2; 9:1; 10:2; 12:3; 16:1,14,36,35.33,134635.0
0,comp_37,580,598,2:545; 3:34; 4:1,0,0,22.74,
1withexit,comp_37,610,628,2:575; 3:34; 4:1,0,53,22.74,
2withcosts,comp_37,610,628,2:575; 3:34; 4:1,0,53,22.74,82396.0
3aftermerge,comp_37,87,105,2:52; 3:34; 4:1,0,53,22.74,82396.0
4withsources,comp_37,103,261,3:28; 4:26; 5:25; 6:12; 7:2; 8:1; 9:2; 11:2; 14:1; 15:3; 16:1,16,53,22.74,82396.0
0,comp_38,437,449,2:414; 3:22; 4:1,0,0,17.79,
1withexit,comp_38,456,468,2:433; 3:22; 4:1,0,43,17.79,
2withcosts,comp_38,456,468,2:433; 3:22; 4:1,0,43,17.79,66862.0
3aftermerge,comp_38,65,77,2:42; 3:22; 4:1,0,43,17.79,66862.0
4withsources,comp_38,77,189,3:29; 4:15; 5:14; 6:10; 7:1; 8:2; 11:1; 12:1; 13:2; 14:1; 15:1,12,43,17.79,66862.0
0,comp_3_43_merged,501,515,2:473; 3:28,0,0,22.23,
1withexit,comp_3_43_merged,521,535,2:493; 3:28,0,33,22.23,
2withcosts,comp_3_43_merged,521,535,2:493; 3:28,0,33,22.23,107131.0
3aftermerge,comp_3_43_merged,58,72,2:30; 3:28,0,33,22.23,107131.0
4withsources,comp_3_43_merged,72,177,3:22; 4:11; 5:21; 6:10; 7:2; 9:1; 10:2; 11:2; 14:1,14,33,22.23,107131.0
0,comp_42,252,260,2:237; 3:14; 4:1,0,0,15.02,
1withexit,comp_42,272,280,2:257; 3:14; 4:1,0,36,15.02,
2withcosts,comp_42,272,280,2:257; 3:14; 4:1,0,36,15.02,56889.0
3aftermerge,comp_42,51,59,2:36; 3:14; 4:1,0,36,15.02,56889.0
4withsources,comp_42,60,141,3:25; 4:12; 5:9; 6:8; 7:1; 8:2; 11:1; 12:1; 20:1,9,36,15.02,56889.0
0,comp_45,671,689,2:635; 3:36,0,0,21.62,
1withexit,comp_45,715,733,2:679; 3:36,0,70,21.62,
2withcosts,comp_45,715,733,2:679; 3:36,0,70,21.62,96991.0
3aftermerge,comp_45,99,117,2:63; 3:36,0,70,21.62,96991.0
4withsources,comp_45,117,288,3:42; 4:21; 5:24; 6:16; 7:3; 8:2; 9:3; 10:1; 12:1; 13:1; 14:1; 18:1; 19:1,18,70,21.62,96991.0
0,comp_46,181,187,2:169; 3:12,0,0,10.76,
1withexit,comp_46,194,200,2:182; 3:12,0,20,10.76,
2withcosts,comp_46,194,200,2:182; 3:12,0,20,10.76,36822.0
3aftermerge,comp_46,31,37,2:19; 3:12,0,20,10.76,36822.0
4withsources,comp_46,37,84,3:18; 4:3; 5:10; 6:2; 8:1; 9:1; 11:1; 12:1,6,20,10.76,36822.0
0,comp_47,31,32,2:29; 3:2,0,0,2.57,
1withexit,comp_47,33,34,2:31; 3:2,0,2,2.57,
2withcosts,comp_47,33,34,2:31; 3:2,0,2,2.57,14503.0
3aftermerge,comp_47,5,6,2:3; 3:2,0,2,2.57,14503.0
4withsources,comp_47,7,14,3:3; 4:1; 5:3,2,2,2.57,14503.0
0,comp_49,896,917,2:858; 3:34; 4:4,0,0,24.87,
1withexit,comp_49,913,934,2:875; 3:34; 4:4,0,33,24.87,
2withcosts,comp_49,913,934,2:875; 3:34; 4:4,0,33,24.87,117184.0
3aftermerge,comp_49,71,92,2:33; 3:34; 4:4,0,33,24.87,117184.0
4withsources,comp_49,91,236,3:18; 4:22; 5:22; 6:17; 7:5; 8:1; 10:1; 12:2; 13:1; 14:2,20,33,24.87,117184.0
0,comp_4_11_12_13_51_merged,1301,1371,2:1168; 3:126; 4:7,0,0,81.25,
1withexit,comp_4_11_12_13_51_merged,1393,1463,2:1260; 3:126; 4:7,0,146,81.25,
2withcosts,comp_4_11_12_13_51_merged,1393,1463,2:1260; 3:126; 4:7,0,146,81.25,354727.0
3aftermerge,comp_4_11_12_13_51_merged,268,338,2:135; 3:126; 4:7,0,146,81.25,354727.0
4withsources,comp_4_11_12_13_51_merged,334,876,3:69; 4:79; 5:89; 6:56; 7:5; 8:7; 9:9; 10:4; 11:2; 12:3; 13:2; 14:4; 15:1; 18:1; 19:1; 20:1; 24:1,66,146,81.25,354727.0
0,comp_5_39_merged,2459,2596,2:2201; 3:243; 4:14; 5:1,0,0,137.61,
1withexit,comp_5_39_merged,2549,2686,2:2291; 3:243; 4:14; 5:1,0,157,137.61,
2withcosts,comp_5_39_merged,2549,2686,2:2291; 3:243; 4:14; 5:1,0,157,137.61,602838.0
3aftermerge,comp_5_39_merged,397,534,2:139; 3:243; 4:14; 5:1,0,157,137.61,602838.0
4withsources,comp_5_39_merged,527,1445,3:87; 4:86; 5:92; 6:188; 7:21; 8:21; 9:7; 10:9; 11:3; 12:3; 13:2; 14:3; 15:1; 17:1; 19:1; 20:1; 21:1,130,157,137.61,602838.0
0,comp_6,541,554,2:517; 3:22; 4:2,0,0,19.33,
1withexit,comp_6,553,566,2:529; 3:22; 4:2,0,28,19.33,
2withcosts,comp_6,553,566,2:529; 3:22; 4:2,0,28,19.33,80883.0
3aftermerge,comp_6,53,66,2:29; 3:22; 4:2,0,28,19.33,80883.0
4withsources,comp_6,66,163,3:18; 4:13; 5:18; 6:9; 7:2; 9:2; 10:2; 11:1; 13:1,13,28,19.33,80883.0
0,comp_7,282,293,2:261; 3:20; 4:1,0,0,16.06,
1withexit,comp_7,319,330,2:298; 3:20; 4:1,0,52,16.06,
2withcosts,comp_7,319,330,2:298; 3:20; 4:1,0,52,16.06,86045.0
3aftermerge,comp_7,72,83,2:51; 3:20; 4:1,0,52,16.06,86045.0
4withsources,comp_7,83,196,3:39; 4:12; 5:14; 6:9; 8:2; 9:3; 11:1; 13:1; 15:1; 21:1,11,52,16.06,86045.0
0,comp_8,227,234,2:213; 3:14,0,0,9.47,
1withexit,comp_8,241,248,2:227; 3:14,0,18,9.47,
2withcosts,comp_8,241,248,2:227; 3:14,0,18,9.47,31831.0
3aftermerge,comp_8,33,40,2:19; 3:14,0,18,9.47,31831.0
4withsources,comp_8,41,94,3:14; 4:6; 5:14; 6:5; 9:1; 13:1,8,18,9.47,31831.0
0,comp_9,1448,1494,2:1359; 3:86; 4:3,0,0,54.99,
1withexit,comp_9,1520,1566,2:1431; 3:86; 4:3,0,141,54.99,
2withcosts,comp_9,1520,1566,2:1431; 3:86; 4:3,0,141,54.99,221252.0
3aftermerge,comp_9,223,269,2:134; 3:86; 4:3,0,141,54.99,221252.0
4withsources,comp_9,267,691,3:81; 4:57; 5:39; 6:56; 7:3; 8:6; 9:4; 10:5; 11:2; 12:2; 13:2; 14:6; 15:1; 16:1; 19:2,44,141,54.99,221252.0
