UG,Vremovido(ton)
1,2999.2719825
2,90.365355
3,170.2682775
6,522.0258975
7,2429.4092400000004
12,106.104195
13,55.255739999999996
14,475.4079675
15,128.712915
19,490.44831750000003
20,329.86723500000005
21,649.575315
22,424.6139475
23,818.3040525000001
24,1504.6686900000002
25,107.07309000000001
27,1086.08445
30,616.37652
31,255.26016000000004
34,1977.3448650000003
37,199.0448775
38,1749.0907800000002
39,754.7738625000001
40,572.0494725
41,240.75238500000003
42,167.5075275
45,348.33719250000007
46,38.306385
48,712.5215625000001
49,453.8123550000001
50,732.3063525000001
51,440.6653125
52,421.692885
53,131.28453000000002
54,630.3381525
55,393.0356925
56,182.13558749999999
57,51.27288
60,291.2940225
61,840.2152199999999
64,840.3102
66,223.24747500000004
67,3424.87521
68,854.2357875
72,209.54045250000001
72,89.03093999999999
74,1464.78564
79,302.79015
83,1198.5215625
84,814.8685050000001
85,891.5383800000001
88,752.6616525000001
89,189.12514500000003
91,152.34318000000002
92,104.517405
94,1445.8473000000001
95,804.026115
96,670.315095
97,664.9074675
98,962.55702
99,584.829855
100,1006.65693
105,460.103625
106,678.0556575
107,467.863695
108,389.1452625
110,1048.8689325
113,1096.2972675
114,232.21701000000002
115,367.02929250000005
116,32.616
117,554.71284
118,4289.901345
119,168.33973500000002
120,462.85411500000004
121,115.989975
122,765.645345
125,7.7126399999999995
126,433.0363275
128,210.42605250000003
129,1702.0097325
136,437.6367900000001
138,1403.30475
140,1059.8309325
141,82.944675
143,322.1029125
144,305.0448525
145,120.396915
146,809.3193975
147,391.3768125
149,29.90466
150,425.83414500000003
154,140.5715175
155,884.1874950000001
156,41.996340000000004
158,461.002455
159,222.70916250000002
160,977.4009450000001
163,70.350525
164,1004.4968625
165,370.71803250000005
166,212.19792750000002
167,582.13701
168,430.6507425
169,143.04215250000001
170,333.13599000000005
171,185.23093500000002
174,114.7365
176,160.8751125
177,696.4665525
178,1236.3975675000002
179,203.17884750000002
180,115.8404625
181,615.320145
182,305.99444250000005
183,622.2039975
184,967.1554575
185,191.196045
186,1310.9487525000002
187,519.7181400000001
188,32.285317500000005
189,353.391525
191,62.31522
193,136.217835
195,17.328870000000002
196,101.66094000000001
199,44.004735000000004
200,38.2471875
206,30.919739999999997
207,64.642995
211,193.3739325
212,96.2523675
213,170.98269750000003
214,372.2613525
215,1815.9793650000001
217,265.98651750000005
218,850.8215700000001
221,157.03686000000002
222,222.4000125
223,239.2962075
225,122.72844
226,428.9470425
227,485.49921750000004
229,320.61798000000005
230,97.67304
231,423.37437750000004
235,815.1484950000001
236,603.1992375000001
237,233.9847675
238,319.6164825
240,319.22829
242,694.4942025
243,253.19391750000003
244,96.2012025
246,338.91912
247,129.23523
248,78.5801925
249,118.07903250000001
250,141.1942725
251,308.25738
252,105.72889500000001
253,722.9015100000001
254,483.75697500000007
255,1480.7772000000002
256,848.1505275
257,890.0218575
258,1295.7852825000002
260,533.7382275
264,141.76208250000002
265,1052.2323900000001
266,183.9715875
267,523.5810975
268,959.65398
269,1091.1408075
272,209.7252675
273,248.45406750000004
275,719.1288000000001
276,49.160250000000005
277,15.267119999999998
278,127.14165000000001
280,488.50533
281,147.2052825
282,1462.0002525000002
284,265.3755075
285,99.05733000000001
286,77.259285
287,299.5382025
288,215.7447825
289,531.1753875
290,198.1295775
291,432.5758425000001
294,455.37950250000006
295,428.811435
296,2123.2692675000003
297,1127.418075
298,622.953585
299,874.5950700000001
300,484.0852275000001
302,853.0884225000001
303,430.44365250000004
304,438.9039
305,303.5736225
312,943.3997775000001
314,188.4607425
315,1284.7473450000002
318,527.2944075
319,354.93633
320,158.3967825
321,195.670215
322,68.0470875
323,163.87339500000002
324,202.23141750000002
325,177.8053275
326,336.4740675
327,146.562615
328,36.714397500000004
330,427.0787775
331,51.2775225
332,244.99023750000003
333,349.10358750000006
334,29.847690000000004
335,962.302545
337,45.161280000000005
338,31.2055875
339,745.25373
340,6.935557500000001
341,758.7966600000001
342,735.0228225000001
343,17.6325525
344,669.6184275
346,468.85176
348,203.51844000000003
350,239.51781000000003
351,250.46583750000002
354,137.50155
355,428.0815575
356,130.83295500000003
358,513.5252175
363,554.016645
364,554.1438825
366,221.13519750000003
368,343.6791525
369,668.3083200000001
370,623.9257200000001
373,289.4936625
375,314.1315
376,95.63231250000001
377,871.3181475
378,240.00738750000002
380,139.31811000000002
381,17.028022500000002
386,145.5356025
387,979.0532775
389,445.5749925
390,259.82424000000003
391,424.6190775
393,191.6402625
394,409.63414500000005
396,55.027755
397,100.88273250000002
398,244.57497750000002
399,391.04741250000006
401,491.16334500000005
402,499.67698500000006
403,193.8874725
404,1109.8931850000001
405,114.26994000000002
408,1286.7069375
409,619.5381525
410,716.6539799999999
412,17.610210000000002
413,407.17255500000005
414,326.60037
420,622.2258
423,561.2231475
426,224.9498925
431,89.32970250000001
432,58.24170000000001
433,765.6558075000002
