UG,Rait
11,1.2951
46,2.4226
73,2.5903
81,1.1983
130,1.3423
133,2.1269
149,1.9035
202,1.8491
206,2.5292
220,1.3675
239,2.0639
340,0.9539
340,0.6532
340,0.4899
343,1.3895
412,1.9136
416,2.4674
533,1.3611
549,0.6824
568,1.4444
570,1.5803
608,1.6561
639,2.5419
656,1.1661
660,0.4435
667,0.4228
667,0.3758
671,0.6474
703,2.0337
718,2.5131
718,0.5712
728,2.3191
739,0.5319
766,1.4123
777,2.098
780,2.4583
784,0.4762
833,0.7818
835,1.1338
835,0.162
883,1.2931
895,2.348
903,0.6897
903,0.9197
904,0.7262
908,0.844
977,0.4346
977,0.3863
1326,2.1836
1337,1.1446
1385,0.5406
1385,0.1158
1386,0.7568
1387,1.0914
1388,0.6355
1395,1.4887
1403,1.7784
1403,1.7283
1420,2.1051
1423,2.5458
1555,0.9081
1557,1.374
1558,0.4644
1559,0.5082
1560,1.1512
1561,2.4356
1563,0.3869
1568,0.3732
1577,0.6345
1580,0.2002
1581,0.6776
1582,0.3311
1583,0.6741
1584,0.355
1585,0.6967
1586,1.7683
1623,1.9558
1626,1.2943
