UG,Rait
46,1.8556
66,2.3533
81,1.0091
111,2.1938
133,1.9142
149,1.9035
163,1.6104
188,2.5564
233,2.459
239,1.5135
340,0.7155
340,1.5785
343,1.3895
412,1.9136
416,2.4674
451,1.6002
477,1.0681
533,1.037
549,0.9305
568,1.2639
570,1.3254
585,2.3978
608,1.4424
633,2.4513
639,1.9972
656,1.3032
660,0.3786
667,0.8926
671,0.3367
703,1.288
706,1.3442
734,2.145
739,0.5053
777,2.3716
816,2.2295
835,1.2417
883,1.4107
899,2.2371
903,1.8393
904,0.8583
908,2.1943
956,2.3067
977,1.0624
1206,1.1001
1206,2.2003
1326,1.8197
1337,0.8267
1385,0.695
1386,1.2383
1387,1.3891
1388,0.9821
1394,1.2812
1395,1.8077
1403,1.721
1403,1.7283
1420,1.7956
1423,2.0609
1547,2.0891
1555,1.2384
1557,1.5458
1558,0.4644
1559,0.559
1560,1.6745
1563,0.3869
1568,0.4071
1577,0.8653
1580,0.2002
1581,0.8131
1582,0.3311
1583,0.6741
1584,0.3277
1585,2.4383
1586,2.1051
1622,2.0143
1623,1.7062
1626,0.8375
