UG,Vremovido(ton)
1,869.07636
2,256.59294750000004
3,388.4933475
4,588.2676
5,186.80682
6,187.08059999999998
7,1628.95824
9,820.7039100000001
10,403.17468
12,175.20131250000003
14,1071.0580725
15,244.89627750000002
19,367.72339500000004
20,403.75746000000004
23,1196.59167
24,1408.823955
25,214.3711575
27,820.9153575000001
28,766.273635
29,230.93586
30,873.9235125
31,811.9759950000001
32,522.0666
34,3621.333285
35,3273.25998
38,823.599504
39,963.0806175000001
40,1040.7165525
41,692.043885
42,137.19496500000002
43,188.14860000000002
45,317.42300250000005
46,30.199770000000004
48,642.9073950000001
49,651.6956925000001
50,97.1421
51,622.5217200000001
52,485.65568250000007
53,219.77237250000002
54,452.2624200000001
55,756.6279525
56,205.5966975
58,171.99738
60,580.094055
61,369.84936
62,55.80336
63,319.42554
64,294.56886
66,354.959955
66,67.11066
67,806.13192
68,615.0053250000001
69,915.7333799999999
72,322.247835
74,1198.3117725
77,65.34192
78,69.58698
79,514.2663675
80,246.74591999999998
81,18.88248
83,1636.4106
84,464.15430000000003
85,872.7631200000001
86,178.0695
87,186.92994
88,1974.0467475
89,263.48206500000003
90,139.53624
91,237.19257000000005
92,198.30413250000004
93,187.3413
94,850.01865
95,1445.3879625000002
96,482.459895
97,612.7841025
98,170.05836000000002
99,135.08831999999998
100,752.4582075000001
101,269.87796
103,252.37218
104,182.22719999999998
105,689.9083875
106,635.04243
107,431.5476825
108,317.144835
109,123.78269999999999
110,242.2755
111,15.268979999999999
112,555.8489040000001
113,959.6383200000001
116,88.184025
117,830.0652525
118,667.0084800000001
119,413.743005
121,265.3364925
122,153.54678
126,1072.8230625
127,195.03467999999998
128,524.878515
129,1552.6690875000002
135,135.0741
136,890.7732000000001
138,1798.0444800000002
140,836.5013775
141,342.5976675
143,570.77622
144,244.84659750000003
145,190.07055000000003
146,931.4449875
147,1220.174685
149,39.2518575
150,798.200325
153,243.46811999999997
154,223.5430575
155,984.0912750000001
156,149.611995
157,289.00428
158,647.365095
160,147.09858
161,30.459059999999997
163,410.2102575
164,895.95018
165,631.0695825
166,434.663415
167,258.5055
168,623.8688175
169,389.7477675
170,571.7652975000001
171,169.19907750000002
172,389.74008
173,255.24461999999997
174,405.083565
176,291.2514975
177,1153.14381
178,419.62584
180,191.2910175
181,578.0280150000001
182,866.119905
183,350.85710250000005
184,571.4374799999999
185,594.1863675000001
186,1195.653555
188,73.143
189,740.6949150000002
190,93.44688
191,24.2337
192,86.24207999999999
193,239.6982375
195,18.719505
196,216.48451500000002
198,35.86698
199,155.57541750000001
200,76.80426750000001
201,566.8881
204,37.31076
210,24.524939999999997
211,463.34403000000003
212,338.250465
213,381.00867750000003
215,486.099495
217,545.39433
218,800.8400475
221,400.5770625
222,442.23192000000006
223,395.3917125
226,662.8691025
227,556.4206575000001
229,372.64279500000004
230,80.86533750000001
231,761.9723325
233,7.65372
236,766.9248075
237,276.39137250000005
238,446.37270750000005
240,331.83729
242,1345.966605
246,553.6227825000001
247,169.7382675
248,276.7965075
249,197.0055
250,333.1422
251,417.1435875
252,120.77822250000001
253,245.7123
254,772.179885
255,1480.7772000000002
256,1630.6193700000001
258,926.2501200000002
259,222.83202
260,882.3595275
264,214.35907500000002
265,982.5553125000001
266,305.7637275
267,734.7093525
268,543.2098275000001
270,192.57395999999997
271,530.0814
272,360.2603250000001
273,197.37006750000003
275,252.08898
276,175.13340750000003
277,1468.8942599999998
278,323.062155
279,262.50126
280,743.507505
281,949.17987
282,486.47934
284,611.3113875
285,257.64540750000003
286,199.0409625
287,569.55312
288,588.9933900000001
289,972.80109
290,293.8957425
291,714.126645
292,225.54827999999998
293,370.90878
294,668.7859500000001
295,658.75383
296,1382.6506980000001
297,1199.3530950000002
298,453.4653375000001
299,631.278225
300,457.45053750000005
302,700.1473275000001
303,458.10063
304,919.4940450000001
305,1491.64146
306,80.33424
307,1366.273116
308,754.422942
310,60.75642
312,870.0381450000001
313,779.686752
314,172.26972
315,358.39152
316,732.09696
317,193.17174
319,652.6668825
320,313.05784500000004
321,409.69955250000004
322,111.39025500000001
323,688.2681375000001
324,516.0900825
325,402.8210325
326,584.4565125
327,239.5734975
328,60.37233750000001
330,656.525115
331,94.18173750000001
332,342.6805575
333,449.82290250000005
334,57.5424675
335,1291.691475
336,72.54348
337,116.978715
338,58.5799425
339,770.5402425
340,9.296437500000001
340,84.38844
341,447.80136
342,285.39126
343,28.824862500000002
344,324.40014
345,340.73454
346,1281.3244875
350,652.7704275000001
351,375.060915
351,81.68436
355,721.7413875
357,157.01729999999998
358,275.15082
359,134.387214
360,80.14343999999998
361,192.75575999999998
363,759.1563
364,643.3300800000001
366,337.63459500000005
368,528.699555
369,1002.8213775
370,976.46175
371,983.129535
372,481.6524600000001
373,226.45662750000002
374,109.56498
375,975.6761850000001
376,540.9429075
377,254.01042
378,478.65107250000005
379,219.88326
380,440.95806000000005
381,60.6623175
383,90.03150000000001
384,70.61706
385,149.21862
386,290.45898
388,367.20329999999996
389,679.1988375000001
390,268.51338
391,586.6675425000001
393,800.601435
394,913.1844825000001
395,168.08877
397,118.5283125
398,641.705625
399,874.3758300000001
401,509.9617575000001
402,458.3422125
403,286.4643975
404,1412.9490825
408,2383.35372
409,1417.2441750000003
410,285.6186
411,532.059975
412,27.51327
413,1945.624455
414,534.9105675000001
416,11.170679999999999
417,404.42015999999995
418,103.18836
419,295.5021
421,36.2064
422,104.51010000000001
426,293.3103825
427,159.00683999999998
428,107.50836
429,138.33468
431,146.2332825
432,183.3626025
433,1253.3267700000001
435,166.17973500000002
437,431.7358725
438,2567.4651675
439,3287.0975175
441,380.23128
442,594.796956
443,82.90355999999998
444,106.47804000000001
446,213.34614000000002
447,286.34141999999997
448,204.14994000000002
449,686.3697000000001
450,371.66850000000005
451,17.06094
452,77.8875
454,318.74688000000003
455,87.64626
456,149.896422
457,485.51352750000007
458,337.30476000000004
459,234.69925500000002
460,291.9525525
461,584.80191
462,285.5535525
463,60.03695999999999
464,357.00979500000005
465,490.03008750000004
466,372.630915
467,361.09881
468,654.8095350000001
472,485.94816
473,62.614215
475,350.5116
476,641.0066625000001
477,23.1174
478,136.2076425
480,60.6792
481,731.06148
482,81.2559
483,191.16588
484,212.01777
485,86.30160000000001
486,63.578587500000005
487,514.5966450000001
488,24.02358
490,286.06554
491,694.9735875
492,446.54826
493,208.84835999999999
495,98.70207750000002
497,1481.6905425
498,63.4152375
499,48.8943675
500,452.27477250000004
501,272.19288
502,665.1239400000001
503,713.5864425
504,481.603455
507,93.04026
508,400.02539999999993
509,116.61053999999999
510,294.87935999999996
511,550.7464050000001
512,264.72864
514,403.1421975
515,105.95334
516,231.66642
517,159.09869999999998
518,112.51812
519,362.10226500000005
520,811.3269825
521,384.26622750000007
523,1692.8030025
524,323.1734625
525,497.1902850000001
526,2781.633015
527,601.539615
528,350.88801750000005
529,176.614965
530,96.88817999999999
531,763.8748875000001
532,720.1513575000001
533,13.6884
534,365.51669999999996
536,429.64877250000006
537,54.883199999999995
538,491.5262925
540,183.35423999999998
541,381.40463250000005
543,448.43742000000003
545,248.96706
546,210.79092
547,997.313175
550,264.5459325
552,181.71527999999998
553,700.2199575000001
554,360.44573999999994
555,597.03438
556,685.83591
557,494.76109500000007
558,723.6743850000001
559,1083.9079800000002
560,285.326955
561,62.065845
562,219.42616500000003
563,424.63541250000003
564,144.55956
565,109.08884250000001
566,466.7369175
568,30.386699999999998
569,214.34364
570,17.64876
571,162.66096000000002
572,185.69021999999998
574,169.44815999999997
575,973.7412300000001
576,629.11215
577,1140.5586375
578,218.80941750000002
579,263.05404
580,596.2726799999999
582,203.38734
583,391.28832
584,218.61966
585,66.06882
586,1452.15153
587,495.6149025
588,1146.9491325000001
589,257.16834
591,1214.82045
592,1548.5184450000002
593,541.25928
594,255.38886
595,252.05377500000003
596,518.994
597,383.9208975
598,283.91472
599,188.18453250000002
600,826.3296
601,60.11928
602,594.8127
603,645.076035
604,232.81904250000002
605,1567.0837125000003
606,539.5528125000001
609,364.9197
612,189.08676
613,99.520245
614,256.0815
615,798.9753600000001
616,653.364495
618,236.30393250000003
619,1212.5980125
620,1450.9168875
621,874.90104
622,611.6638725
624,660.68136
624,314.90736
625,473.2451325
626,1023.6139425
627,686.14464
628,678.7482
629,577.73592
630,824.07066
631,952.0920900000001
632,703.3836825000001
633,38.70798
634,1038.0642750000002
635,742.94118
636,280.51836
637,295.1327475
638,286.71057
639,39.54456
640,623.66562
641,915.69618
642,97.842465
643,633.76956
644,86.4309825
645,181.61178
647,350.0252325
648,773.6599575
649,1629.8543250000002
650,991.7029799999999
651,664.79748
653,439.66307250000006
654,194.47870500000002
656,262.729305
659,3745.564335
660,6.1841475
661,235.3523175
662,1798.7208974999999
663,803.3493600000002
664,229.07380500000002
665,25.52112
666,2227.140225
667,119.157075
667,22.775039999999997
668,384.24528000000004
669,525.57642
670,1399.84848
671,4.2264
672,602.4933900000001
673,496.51650000000006
674,611.8321199999999
675,996.3024300000001
676,620.6024925
677,696.9773399999999
678,911.750985
679,847.0891799999999
680,884.0286675000001
680,189.52392
681,626.4231525
682,1805.5329975
683,925.97916
685,924.009525
686,997.43346
687,1399.2479325
688,263.47437
689,1235.543868
690,403.68461999999994
691,250.8773175
692,175.8369
693,1440.7403175000002
694,917.78952
695,615.1734000000001
696,142.1228025
697,418.0521
698,261.33162
699,218.08608
700,1380.0725325
701,1525.22508
702,86.92488000000002
703,24.36378
704,1202.1550875
705,231.92543999999998
706,18.650579999999998
707,764.1126599999999
708,267.4722
709,157.94346
710,142.32072
711,734.3507925000001
712,387.68618250000003
713,688.8321675000001
715,2136.3751350000002
716,34.10394
717,1405.8814950000003
