UG,Rait
81,1.0091
116,1.8791
133,1.9142
149,0.7138
188,1.7318
200,1.3775
239,1.9263
322,1.5505
338,1.4807
340,0.4571
340,1.5785
343,0.5095
412,0.8292
473,1.5223
477,1.6022
478,2.1737
495,1.0657
499,1.252
533,1.037
549,0.9305
568,1.2639
570,1.3254
608,1.4958
639,1.9972
644,1.3269
656,1.3718
657,1.241
660,0.4327
667,1.1275
671,0.2849
703,1.4236
706,2.0163
721,1.5032
739,0.5319
835,1.2417
883,1.1755
899,1.7897
899,0.6711
903,1.9543
904,1.1224
956,1.0813
977,0.8692
1247,1.51
1272,1.8848
1326,0.6824
1337,1.2082
1385,0.4634
1386,1.2383
1387,1.5876
1388,0.9243
1394,1.2812
1403,0.8031
1403,1.7283
1420,1.7956
1439,0.8155
1461,2.1005
1514,1.1371
1547,1.3294
1547,1.8992
1555,1.2384
1557,1.5458
1558,0.4644
1559,0.559
1560,1.6745
1563,0.3869
1568,0.4071
1577,0.8653
1580,0.2002
1581,0.8131
1582,0.3311
1583,0.6741
1584,0.3277
1585,2.09
1586,2.1051
1623,1.9558
1626,0.3807
1626,0.5329
