UG,Vremovido(ton)
1,2.8856880000000005
3,231.871545
4,240.80184
5,73.84248
8,899.97186
9,137.353476
11,247.37154
13,1807.65294
19,446.68246500000004
21,1074.253725
23,967.878045
27,166.71876
28,881.2665000000001
29,149.01167999999998
32,133.741218
33,307.23198
34,715.3250999999999
35,2168.99244
37,350.48349
38,28.370316
42,169.2596925
43,145.8066
45,357.1698375
57,1269.19452
58,118.36895999999999
59,412.90662
62,14.295528000000001
68,788.7388500000001
69,627.88884
70,202.38936
71,243.8421
72,179.62848
73,181.83666
74,1380.5208
77,41.5647
78,50.59817999999999
79,263.933358
80,173.72928000000002
81,12.86586
83,1481.7626325
85,629.835804
86,1.8315180000000002
87,1.0707060000000002
90,326.735214
92,123.61815000000001
93,140.98884
94,850.01865
96,607.696695
98,872.023725
100,948.8333250000002
101,161.43612
102,167.08818
103,158.36934
104,156.39696
105,425.5094025000001
106,614.7306675
107,480.5979075
108,352.8021825
109,48.11928
112,357.865092
113,19.22973
114,180.52624200000002
124,405.1506
127,68.49804
130,422.67216
131,1783.8645599999998
132,841.6990199999999
133,85.842
134,1047.09444
135,219.446058
140,622.747554
142,20.87286
153,552.21426
155,793.7235225000001
157,166.30422
161,10.872888000000001
162,974.82012
163,369.894735
163,13.14072
165,497.78091000000006
170,394.56531
172,220.63248
173,396.843564
176,178.1034075
177,825.1175025000001
183,452.558262
185,152.6217525
186,44.4642
187,782.25615
189,133.88424
190,67.04496
191,754.9952999999999
192,55.28339999999999
194,335.52431999999993
196,127.70628750000002
198,18.448872
199,23.9271975
202,744.09018
203,3219.72276
206,726.89814
208,430.37436
209,165.67301999999998
213,186.300816
214,354.039192
215,30.043104000000003
218,759.9461175
219,35.03664
220,259.0059
225,548.61444
226,402.4755
227,443.7807075
229,296.82369000000006
231,670.08897
235,1091.4278175000002
246,485.3453850000001
247,119.87034750000001
248,71.7828075
251,82.33506
252,97.00600500000002
253,666.21852
254,103.09295999999999
255,1756.8753525000002
258,35.16318
259,139.11942
260,190.4418
265,20.757984
266,195.31863
267,469.32459600000004
270,114.04205999999999
271,5.3910480000000005
272,285.07275
273,221.91691500000002
274,164.25006
276,44.928000000000004
277,198.14808
278,63.48815999999999
279,63.628578000000005
285,48.84576
291,510.38930250000004
292,150.22524
293,88.429224
295,581.561235
296,1382.6506980000001
300,430.8158475000001
302,765.4739625
305,25.002744
305,42.74256
307,408.504642
308,485.710446
310,49.089420000000004
313,501.975786
315,16.755024
316,163.78159200000002
317,45.803784
330,355.745442
336,26.181792
340,8.45844
341,1371.7397250000001
345,183.95442
352,62.937888
354,164.287575
357,83.391516
359,86.520798
360,41.716116
361,39.044226
363,141.41147999999998
364,516.091095
368,424.22892750000005
369,618.0595650000001
370,674.4168
371,179.589
372,584.0934975
374,66.40302
375,638.7730200000001
378,295.57723500000003
379,176.23296000000002
381,13.563517500000001
383,49.84161
385,105.13806
386,203.382495
387,905.44689
388,89.67309
390,248.265264
393,204.94431
396,81.1036125
398,194.53081500000002
400,0.836784
406,382.01898
407,1830.32256
410,182.92428
411,117.695058
417,233.9226
419,190.75320000000002
420,840.550635
421,23.83926
426,230.33787750000002
431,105.392898
434,397.37675250000007
435,36.043859999999995
436,776.9490599999999
438,497.93262
442,594.796956
443,30.425148
444,56.550233999999996
446,48.05806200000001
450,83.97162
452,59.35566
457,382.3072425
458,239.96826
461,342.87016500000004
463,14.969135999999999
468,198.29232
469,69.9511275
470,13.6608
471,506.43287999999995
475,308.58761999999996
477,5.980806
479,32.613203999999996
480,15.100488
481,731.06148
482,410.9499225
485,56.201879999999996
486,83.84688000000001
488,12.554724
490,96.574842
491,222.71334
492,259.96602
503,301.38547500000004
505,818.2100250000001
507,68.7192
508,142.019904
509,70.38275999999999
510,99.808254
512,163.84554
515,67.18266
516,132.73193999999998
517,110.39502
518,66.43356
521,287.45496
524,0.6708000000000001
525,87.7341
527,191.38464
530,64.21656
532,411.26643
533,9.0219
534,232.8528
537,13.37778
538,356.106348
540,1.726296
543,260.33184
545,164.0592
546,137.56026
547,636.70581
551,338.68138500000003
552,1578.8540925
553,506.5421400000001
554,238.23749999999998
556,153.5527125
558,823.3932824999999
559,872.6893425000001
560,112.8762675
561,30.157515
562,74.2453425
564,101.88294
565,72.5377275
568,18.52452
570,9.84906
571,115.21818
572,109.94394
574,100.33512
575,763.7658074999999
576,567.2805300000001
577,1029.7379475
578,197.5490775
579,163.34405999999998
580,364.96002
582,120.81707999999999
583,229.49262000000002
584,151.8192
585,45.484559999999995
588,245.29571999999996
589,493.67130750000007
590,687.54816
592,1989.7164675
593,103.09703999999999
594,259.9494
595,51.3663
596,467.98526250000003
597,206.7266475
599,206.2626525
600,543.29076
605,1780.7769000000003
606,713.8137825
607,498.2682
608,11.154480000000001
609,2410.8194025000003
611,61.4268
612,189.08676
614,55.98618
616,370.8036225
618,70.92360000000001
623,1083.58992
625,151.65756
627,460.47347999999994
628,159.49362000000002
