UG,need_10m_access_period1,need_10m_access_period2,need_10m_access_period3,need_10m_access_period4,need_10m_access_period5
840,0,0,0,0,0
1199,0,0,0,0,0
1206,0,1,0,0,0
1506,0,0,0,0,0
1510,0,0,0,0,0
1515,0,0,0,0,0
1519,0,0,0,0,0
1402,0,0,0,0,0
1404,0,0,0,0,0
1413,0,0,0,0,0
1415,0,0,0,0,0
1423,1,1,1,0,1
907,0,0,0,0,0
912,0,0,0,0,0
913,0,0,0,0,0
1145,0,0,0,0,0
1146,0,0,0,0,0
1148,0,0,0,0,0
1149,0,0,0,0,0
1153,0,0,0,0,0
1274,0,0,0,0,0
1275,0,0,0,0,0
1276,0,0,0,0,0
1278,0,0,0,0,0
1279,0,0,0,0,0
1469,0,0,0,0,0
1470,0,0,0,0,0
549,1,1,1,1,1
828,0,0,0,0,0
833,0,0,0,0,0
834,0,0,0,0,0
851,0,0,0,0,0
809,0,0,0,0,0
816,1,1,1,1,1
821,0,0,0,0,0
852,0,0,0,0,0
861,0,0,0,0,0
863,0,0,0,0,0
873,0,0,0,0,0
874,0,0,0,0,0
876,0,0,0,0,0
881,0,0,0,0,0
1109,0,0,0,0,0
1117,0,0,0,0,0
1118,0,0,0,0,0
1119,0,0,0,0,0
1120,0,0,0,0,0
1121,0,0,0,0,0
1122,0,0,0,0,0
887,0,0,0,0,0
890,0,0,0,0,0
897,0,0,0,0,0
903,1,1,1,1,1
904,1,1,1,1,1
920,0,0,0,0,0
928,0,0,0,0,0
942,0,0,0,0,0
944,0,0,0,0,0
945,0,0,0,0,0
946,0,0,0,0,0
947,0,0,0,0,0
948,0,0,0,0,0
958,0,0,0,0,0
959,0,0,0,0,0
960,0,0,0,0,0
967,0,0,0,0,0
968,0,0,0,0,0
980,0,0,0,0,0
981,0,0,0,0,0
982,0,0,0,0,0
983,0,0,0,0,0
984,0,0,0,0,0
987,0,0,0,0,0
989,0,0,0,0,0
990,0,0,0,0,0
992,0,0,0,0,0
993,0,0,0,0,0
997,0,0,0,0,0
1002,0,0,0,0,0
1014,0,0,0,0,0
1025,0,0,0,0,0
1027,0,0,0,0,0
1031,0,0,0,0,0
1033,0,0,0,0,0
1036,0,0,0,0,0
1042,0,0,0,0,0
1044,0,0,0,0,0
1045,0,0,0,0,0
1046,0,0,0,0,0
1047,0,0,0,0,0
1048,0,0,0,0,0
1049,0,0,0,0,0
1050,0,0,0,0,0
1051,0,0,0,0,0
1052,0,0,0,0,0
1053,0,0,0,0,0
1054,0,0,0,0,0
1055,0,0,0,0,0
1056,0,0,0,0,0
1058,0,0,0,0,0
1068,0,0,0,0,0
1071,0,0,0,0,0
1072,0,0,0,0,0
1074,0,0,0,0,0
1075,0,0,0,0,0
1076,0,0,0,0,0
1077,0,0,0,0,0
1078,0,0,0,0,0
1079,0,0,0,0,0
1080,0,0,0,0,0
1083,0,0,0,0,0
1084,0,0,0,0,0
1087,0,0,0,0,0
1088,0,0,0,0,0
1102,0,0,0,0,0
1123,0,0,0,0,0
1124,0,0,0,0,0
1125,0,0,0,0,0
1127,0,0,0,0,0
1128,0,0,0,0,0
1129,0,0,0,0,0
1130,0,0,0,0,0
1131,0,0,0,0,0
1132,0,0,0,0,0
1133,0,0,0,0,0
1134,0,0,0,0,0
1135,0,0,0,0,0
1137,0,0,0,0,0
1138,0,0,0,0,0
1140,0,0,0,0,0
1141,0,0,0,0,0
1142,0,0,0,0,0
1143,1,0,0,0,0
1144,0,0,0,0,0
1163,0,0,0,0,0
1184,0,0,0,0,0
1185,0,0,0,0,0
1186,0,0,0,0,0
1188,0,0,0,0,0
1190,0,0,0,0,0
1191,0,0,0,0,0
1193,0,0,0,0,0
1197,0,0,0,0,0
1231,0,0,0,0,0
1237,0,0,0,0,0
1248,1,0,0,0,0
1251,0,0,0,0,0
1263,0,0,0,0,0
1284,0,0,0,0,0
1290,0,0,0,0,0
1294,0,0,0,0,0
1314,0,0,0,0,0
1319,0,0,0,0,0
1323,0,0,0,0,0
1326,1,1,1,1,1
1329,0,0,0,0,0
1330,0,0,0,0,0
1331,0,0,0,0,0
1340,0,0,0,0,0
1351,1,0,0,0,0
1354,0,0,0,0,0
1355,0,0,0,0,0
1357,0,0,0,0,0
1363,0,0,0,0,0
1364,0,0,0,0,0
1369,0,0,0,0,0
1376,0,0,0,0,0
1378,0,0,0,0,0
1385,1,1,1,1,1
1386,1,1,1,1,1
1394,1,1,1,1,0
1424,0,0,0,0,0
1427,0,0,0,0,0
1431,0,0,0,0,0
1436,0,0,0,0,0
1437,0,0,1,0,0
1439,0,0,0,0,0
1440,0,0,0,0,0
1441,0,0,0,0,0
1444,0,0,0,0,0
1450,0,0,0,0,0
1454,0,0,0,0,0
1456,0,0,0,0,0
1474,0,0,0,0,0
1480,0,0,0,0,0
1481,0,0,0,0,0
1482,0,0,0,0,0
1483,0,0,0,0,0
1484,0,0,0,0,0
1485,0,0,0,0,0
1486,0,0,0,0,0
1487,0,0,0,0,0
1488,0,0,0,0,0
1499,0,0,0,0,0
1527,0,0,0,0,0
1534,0,0,0,0,0
1538,0,0,0,0,0
1541,0,0,0,0,0
1554,0,0,0,1,1
1555,1,1,1,1,1
1558,1,1,1,1,1
1562,0,0,1,1,1
1564,0,0,0,0,0
1565,0,0,0,0,0
1567,0,0,0,0,0
1568,1,1,1,1,1
1571,0,0,0,0,0
1573,0,0,0,0,0
1574,0,0,0,0,0
1575,0,0,0,1,1
1576,0,0,0,0,0
1577,1,1,1,1,1
1580,1,1,1,1,1
1585,1,1,0,0,1
1586,0,1,1,1,1
1587,0,0,1,1,1
1599,0,0,0,0,0
1600,0,0,0,0,0
1606,0,0,0,0,0
1610,0,0,0,0,0
1611,0,0,0,0,0
1612,0,0,0,0,0
1613,0,0,0,0,0
1614,0,0,0,0,0
1615,0,0,0,0,0
1616,0,0,0,0,0
1620,0,0,0,0,0
1622,0,1,1,1,1
1623,1,1,1,1,1
837,0,0,0,0,0
838,0,0,0,0,0
841,0,0,0,0,0
842,0,0,0,0,0
843,0,0,0,0,0
844,0,0,0,0,0
845,0,0,0,0,0
846,0,0,0,0,0
1201,0,0,0,0,0
1508,0,0,0,0,0
1509,0,0,0,0,0
1511,0,0,0,0,0
1513,0,0,0,0,0
1518,0,0,0,0,0
1412,0,0,0,0,0
1414,0,0,0,0,0
1416,0,0,0,0,0
1420,1,1,1,1,1
1520,0,0,0,0,0
1521,0,0,0,0,0
1522,0,0,0,0,0
906,0,0,0,0,0
908,1,1,1,1,0
909,0,0,0,0,0
910,0,0,0,0,0
914,0,0,0,0,0
916,0,0,0,0,0
1458,0,0,0,0,0
811,0,0,0,0,0
814,0,0,0,0,0
817,0,0,0,0,0
822,0,0,0,0,0
862,0,0,0,0,0
867,0,0,0,0,0
868,0,0,0,0,0
869,0,0,0,0,0
870,1,0,0,0,0
872,0,0,0,0,0
918,0,0,0,0,0
923,0,0,0,0,0
924,0,0,0,0,0
925,0,0,0,0,0
926,0,0,0,0,0
935,0,0,0,0,0
943,0,0,0,0,0
985,0,0,0,0,0
986,0,0,0,0,0
988,0,0,0,0,0
991,0,0,0,0,0
995,0,0,0,0,0
996,0,0,0,0,0
998,0,0,0,0,0
999,0,0,0,0,0
1001,0,0,0,0,0
1003,0,0,0,0,0
1004,0,0,0,0,0
1005,0,0,0,0,0
1006,0,0,0,0,0
1007,0,0,0,0,0
1008,0,0,0,0,0
1011,0,0,0,0,0
1016,0,0,0,0,0
1018,0,0,0,0,0
1019,0,0,0,0,0
1030,0,0,0,0,0
1043,0,0,0,0,0
1057,0,0,0,0,0
1059,0,0,0,0,0
1065,0,0,0,0,0
1066,0,0,0,0,0
1067,0,0,0,0,0
1091,0,0,0,0,0
1092,0,0,0,0,0
1097,0,0,0,0,0
1103,0,0,0,0,0
1162,0,0,0,0,0
1167,0,0,0,0,0
1168,0,0,0,0,0
1169,0,0,0,0,0
1170,0,0,0,0,0
1173,0,0,0,0,0
1176,0,0,0,0,0
1179,0,0,0,0,0
