"Node1(x,y)","Node2(x,y)",edgelength,slope
"(-16587.8727, 150403.6205)","(-16572.9984, 150400.2641)",15.248285852839837,30.0257
"(-16572.9984, 150400.2641)","(-16569.1113, 150393.7047)",7.624649157172858,30.0257
"(-16569.1113, 150393.7047)","(-16533.6828, 150362.5104)",47.20448034604666,30.0257
"(-16533.6828, 150362.5104)","(-16517.2085, 150298.5847)",66.01437480563591,30.0257
"(-16517.2085, 150298.5847)","(-16489.525, 150265.9092)",42.82597894386941,30.0257
"(-16489.525, 150265.9092)","(-16431.6225, 150203.8758)",84.85777643686077,30.0257
"(-16431.6225, 150203.8758)","(-16423.8452, 150125.6377)",78.62370308566408,30.0257
"(-16423.8452, 150125.6377)","(-16478.6348, 150129.5911)",54.93204565388035,31.9728
"(-16478.6348, 150129.5911)","(-16524.9371, 150142.1588)",47.97759965421674,30.0257
"(-16524.9371, 150142.1588)","(-16558.01, 150150.7578)",34.17249647610972,30.0257
"(-16558.01, 150150.7578)","(-16573.885, 150165.3099)",21.535534342338085,30.0257
"(-16573.885, 150165.3099)","(-16586.281, 150171.7896)",13.987398903654926,30.0257
"(-16586.281, 150171.7896)","(-16602.9893, 150180.5234)",18.853290199070138,30.0257
"(-16602.9893, 150180.5234)","(-16604.2436, 150181.136)",1.3959037395153153,30.0257
"(-16604.2436, 150181.136)","(-16613.3379, 150185.5774)",10.120885655417716,30.0257
"(-16613.3379, 150185.5774)","(-16624.561, 150191.0585)",12.490013243392271,30.0257
"(-16624.561, 150191.0585)","(-16631.432, 150194.4141)",7.646613129998126,30.0257
"(-16631.432, 150194.4141)","(-16675.7498, 150204.336)",45.41488188303891,30.0257
"(-16675.7498, 150204.336)","(-16726.6822, 150209.6277)",51.20655679353768,30.0257
"(-16726.6822, 150209.6277)","(-16733.9583, 150221.534)",13.953551909820092,30.0257
"(-16733.9583, 150221.534)","(-16786.1988, 150225.5555)",52.395059905488935,30.0257
"(-16786.1988, 150225.5555)","(-16811.5677, 150227.5085)",25.44396384626617,30.0257
"(-16811.5677, 150227.5085)","(-16790.2931, 150265.3452)",43.407654532940576,30.0257
"(-16790.2931, 150265.3452)","(-16789.7392, 150314.5233)",49.181219228675324,30.0257
"(-16789.7392, 150314.5233)","(-16732.09, 150362.7668)",75.1722392435604,30.0257
"(-16732.09, 150362.7668)","(-16714.7693, 150424.3599)",63.98215857643277,30.0257
"(-16714.7693, 150424.3599)","(-16587.8727, 150403.6205)",128.5802076679022,30.0257
"(-16478.6348, 150129.5911)","(-16423.8452, 150125.6377)",67.82072894660749,33.9199
"(-16423.8452, 150125.6377)","(-16381.7014, 150072.5006)",58.55335705533258,33.9199
"(-16381.7014, 150072.5006)","(-16363.0597, 150016.994)",79.07052599295062,33.9199
"(-16363.0597, 150016.994)","(-16400.2373, 149947.2088)",57.894979886861044,33.9199
"(-16400.2373, 149947.2088)","(-16449.476, 149916.7559)",67.00982458416183,33.9199
"(-16449.476, 149916.7559)","(-16516.4126, 149913.6241)",40.54966621872427,33.9199
"(-16516.4126, 149913.6241)","(-16556.96, 149913.1954)",76.67773643634217,33.9199
"(-16556.96, 149913.1954)","(-16558.3242, 149989.861)",67.67609251257764,33.9199
"(-16558.3242, 149989.861)","(-16553.0326, 150057.3299)",93.56039230981436,33.9199
"(-16553.0326, 150057.3299)","(-16558.01, 150150.7578)",82.14895960345355,33.9199
