Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-14833.281, 149382.7221)","(-14833.1971, 149382.682)",1.856,23.5,8965.85,3486.3,13448.78,6724.39,3486.3
"(-14833.281, 149382.7221)","(-14829.6191, 149386.9746)",3.623,23.5,17500.93,6805.09,26251.4,13125.7,6805.09
"(-14950.1644, 149193.5368)","(-14896.1767, 149210.1639)",56.49,32.1,424494.91,151605.33,636742.37,318371.18,151605.33
"(-14950.1644, 149193.5368)","(-14994.9814, 149179.1005)",47.085,32.1,353818.08,126363.6,530727.12,265363.56,126363.6
"(-14703.6013, 149295.5887)","(-14662.3262, 149320.9887)",48.464,32.1,364185.41,130066.22,546278.11,273139.06,130066.22
"(-14703.6013, 149295.5887)","(-14749.1098, 149286.0636)",46.495,32.1,349383.94,124779.98,524075.9,262037.95,124779.98
"(-14583.2289, 149533.013)","(-14614.979, 149533.013)",31.75,32.1,238586.13,85209.33,357879.19,178939.59,85209.33
"(-14583.2289, 149533.013)","(-14548.9073, 149529.4563)",34.505,32.1,259290.8,92603.86,388936.2,194468.1,92603.86
"(-14631.6346, 149354.7496)","(-14627.4331, 149375.4336)",21.106,32.1,158604.1,56644.32,237906.15,118953.08,56644.32
"(-14631.6346, 149354.7496)","(-14662.3262, 149320.9887)",45.626,32.1,342859.94,122449.98,514289.91,257144.95,122449.98
"(-14788.546, 149546.7713)","(-14774.2585, 149531.9547)",6.063,23.5,29290.94,11389.54,43936.41,21968.21,11389.54
"(-14788.546, 149546.7713)","(-14763.6751, 149568.4672)",5.612,23.5,27109.65,10541.37,40664.48,20332.24,10541.37
"(-14834.9877, 149472.1881)","(-14839.3588, 149465.0564)",3.558,23.5,17186.17,6682.7,25779.26,12889.63,6682.7
"(-14834.9877, 149472.1881)","(-14834.6541, 149472.7323)",8.009,23.5,38688.42,15043.68,58032.63,29016.32,15043.68
"(-14622.9192, 149617.1878)","(-14564.1815, 149639.4128)",62.802,32.1,471924.24,168544.37,707886.36,353943.18,168544.37
"(-14622.9192, 149617.1878)","(-14661.0192, 149647.3503)",48.594,32.1,365160.35,130414.41,547740.53,273870.26,130414.41
"(-14843.3154, 149417.4812)","(-14840.2465, 149419.1796)",9.073,23.5,43830.64,17043.19,65745.96,32872.98,17043.19
