x,y
-14833.281,149382.7221
-14778.4918,149614.8223
-14950.1644,149193.5368
-14703.6013,149295.5887
-14583.2289,149533.013
-14631.6346,149354.7496
-14788.546,149546.7713
-14834.9877,149472.1881
-14622.9192,149617.1878
-14843.3154,149417.4812
-14870.2045,149579.7629
-14627.4331,149375.4336
-14847.2727,149598.4193
-14661.0192,149647.3503
-14738.8042,149702.8758
-14837.7974,149525.4961
-14816.7716,149408.6189
-14735.1,149508.1421
-14862.9865,149585.6442
-14767.3792,149398.0752
-14833.1971,149382.682
-14844.3203,149369.7647
-14817.817,149503.1651
-14896.1767,149210.1639
-14758.3834,149407.0711
-14546.9081,149529.2491
-14815.2983,149403.6053
-14846.4637,149415.739
-14749.9167,149594.9257
-14790.6626,149382.7294
-14738.275,149542.0089
-14848.1625,149535.759
-14614.979,149533.013
-14844.1787,149457.6105
-14821.399,149494.3591
-14824.1797,149412.7782
-14857.0476,149409.882
-14561.0094,149675.8928
-14834.9789,149418.8416
-14564.1815,149639.4128
-14756.2668,149456.8129
-14912.9777,149306.2084
-14700.7042,149721.9259
-14860.3086,149408.0774
-14772.6709,149481.1546
-14834.6541,149472.7323
-14831.6137,149477.6931
-14839.2293,149527.0966
-14567.0761,149498.6832
-14847.1255,149598.4999
-14849.0202,149597.0241
-14774.2585,149531.9547
-14882.8857,149569.43
-14825.6626,149391.5693
-14858.5456,149436.7785
-14772.671,149455.2254
-14825.4962,149511.7477
-14662.6041,149529.838
-14703.8669,149577.483
-14741.9792,149496.5004
-14749.1098,149286.0636
-14598.8261,149470.1081
-14854.0424,149443.3082
-14859.4836,149408.5339
-14870.4469,149579.5653
-14876.6556,149574.5064
-14850.5121,149413.4986
-14912.7768,149306.304
-14816.7397,149501.9611
-15066.1144,149130.2959
-15123.4196,149131.9716
-15137.4354,149194.5867
-15077.5952,149257.7838
-14879.4136,149572.2591
-14703.8818,149577.5002
-14994.9814,149179.1005
-14856.7225,149590.7482
-14847.3025,149598.4237
-15037.8202,149171.6974
-14848.8882,149414.3973
-14993.8101,149252.0249
-14841.8752,149460.9506
-14617.8762,149422.4831
-14758.5542,149255.837
-14860.8727,149408.6598
-14837.8829,149420.472
-14836.5234,149378.8192
-14810.771,149366.8544
-14847.1494,149598.5198
-14798.071,149630.1682
-14785.5847,149194.5259
-14994.0109,149251.9294
-14853.682,149411.7446
-14860.503,149407.9699
-14849.3299,149450.1413
-14548.9073,149529.4563
-14961.4636,149289.8554
-14912.9304,149306.2522
-14840.2465,149419.1796
-14993.9225,149252.0328
-14763.6751,149568.4672
-14837.8968,149420.4799
-14662.3262,149320.9887
-14740.3917,149644.1382
-14797.0127,149365.2668
-14845.2205,149191.6019
-15140.7243,149249.7371
-14829.6191,149386.9746
-14603.8665,149710.8133
-14827.3299,149484.6824
-14874.0285,149560.8412
-14868.3336,149422.586
-14873.5492,149560.3764
-14703.8792,149577.4631
-14838.2877,149615.8807
-14846.9661,149598.6298
-14854.2295,149592.7795
-14812.8682,149406.4272
-14820.3378,149397.7529
-14839.3588,149465.0564
-14863.186,149430.05
