OBJECTID,TARGET_FID,LandUse_1,Ocupacao,ID_UG,NOME,YY_correct,XX_Correct,Altitude,Declive,Litologia,Relevo,Uso,Espessura,Apt_flor,Solo,Classifica,Perimetro,Area,Hectares,UsoSolo20,Shape_Leng,Shape_Area,HBC,CH,CBD,CC,geometry
131,761,1,EcEc_2_3_3_Pv,840,Castelo de Paiva,152302.982524,-20400.8887544,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1191.7200426,73670.9273864,7.36709273864,Eucalipto,1191.72001279,73670.9351659,2.9,0.0,0.0,0.0,"POLYGON ((-19959.89429999981 152178.15780000016, -20011.912499999627 152096.25909999944, -20048.6743999999 152052.77710000053, -20099.938799999654 152009.04050000012, -20177.534300000407 152019.46550000086, -20229.890599999577 152055.71839999966, -20275.164099999703 152111.36370000057, -20296.667299999855 152163.88409999944, -20364.28830000013 152150.24760000035, -20420.096900000237 152181.78140000068, -20377.35879999958 152234.0887000002, -20345.16019999981 152272.25090000033, -20296.240000000224 152303.97140000015, -20244.846499999985 152285.72739999928, -20190.13549999986 152274.7394999992, -20101.716599999927 152279.50950000063, -20063.32299999986 152214.6325000003, -20009.7117999997 152174.72440000065, -19959.89429999981 152178.15780000016))"
132,762,1,EcEc_3_3_3_Pv,841,Castelo de Paiva,152264.076348,-20126.9906612,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1222.09256659,67714.075331,6.7714075331,Eucalipto,1222.09261237,67714.0769213,2.9,0.0,0.0,0.0,"POLYGON ((-19727.04619999975 152188.4978, -19778.963399999775 152131.54539999925, -19820.371799999848 152088.85620000027, -19877.69849999994 152067.52150000073, -19915.808100000024 152028.73760000058, -19939.232400000095 151953.7740000002, -19954.85080000013 151894.53280000016, -20030.60109999962 151934.2536999993, -20099.938799999654 152009.04050000012, -20048.6743999999 152052.77710000053, -20011.912499999627 152096.25909999944, -19959.89429999981 152178.15780000016, -19962.009700000286 152186.83369999938, -19961.62530000042 152186.86020000093, -19973.944699999876 152237.38680000044, -19930.91000000015 152254.18090000004, -19891.751500000246 152301.80590000004, -19856.826500000432 152336.73110000044, -19809.20139999967 152302.86429999955, -19784.859699999914 152265.8225999996, -19744.20380000025 152233.22499999963, -19727.04619999975 152188.4978))"
133,763,1,EcEc_2_3_3_Pv,842,Castelo de Paiva,152170.803686,-20697.406221,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1860.75765298,142885.845992,14.2885845992,Eucalipto,1860.75771214,142885.836278,2.9,0.0,0.0,0.0,"POLYGON ((-20420.096900000237 152181.78140000068, -20364.28830000013 152150.24760000035, -20296.667299999855 152163.88409999944, -20275.164099999703 152111.36370000057, -20229.890599999577 152055.71839999966, -20177.534300000407 152019.46550000086, -20221.049899999984 151958.69940000027, -20191.976400000043 151915.23780000024, -20171.750799999572 151840.50359999947, -20229.340499999933 151860.5072000008, -20287.930399999954 151910.0055999998, -20359.703099999577 151877.2617000006, -20407.732800000347 151886.1853, -20458.734799999744 151898.65860000066, -20513.800800000317 151892.84840000048, -20585.175499999896 151893.59669999965, -20627.189699999988 151923.30729999952, -20654.29040000029 151966.0566000007, -20701.549599999562 151976.6325000003, -20744.154099999927 151955.04780000076, -20771.58389999997 151993.57389999926, -20792.230399999768 152101.59970000014, -20769.8722000001 152158.62859999947, -20693.01850000024 152165.6662000008, -20636.454699999653 152155.0236000009, -20572.954900000244 152155.99770000018, -20504.73909999989 152158.17310000025, -20479.870299999602 152202.09310000017, -20475.08160000015 152259.40550000034, -20420.096900000237 152181.78140000068))"
134,764,1,EcEc_2_3_3_Pv,843,Castelo de Paiva,152095.46325,-19936.3600475,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1598.05287065,134722.598149,13.4722598149,Eucalipto,1598.05277458,134722.587366,2.9,0.0,0.0,0.0,"POLYGON ((-19609.172500000335 152122.0047999993, -19623.86689999979 152101.3479999993, -19594.101200000383 152090.10319999978, -19568.30420000013 152081.50420000032, -19541.845900000073 152089.44170000032, -19525.309399999678 152105.97819999978, -19519.35620000027 152115.9001000002, -19497.52159999963 152111.09390000068, -19483.357499999925 152035.77150000073, -19505.767799999565 151976.1280000005, -19537.610600000247 151891.80560000055, -19571.857900000177 151844.0702999998, -19601.60039999988 151807.35089999996, -19651.20129999984 151767.45299999975, -19707.567300000228 151731.84009999968, -19752.446499999613 151735.7717000004, -19791.41619999986 151761.19060000032, -19830.286700000055 151797.61979999952, -19873.710099999793 151820.16279999912, -19912.431400000118 151850.26219999976, -19954.85080000013 151894.53280000016, -19939.232400000095 151953.7740000002, -19915.808100000024 152028.73760000058, -19877.69849999994 152067.52150000073, -19820.371799999848 152088.85620000027, -19778.963399999775 152131.54539999925, -19727.04619999975 152188.4978, -19744.20380000025 152233.22499999963, -19751.683100000024 152239.22179999948, -19740.06280000042 152242.9846999999, -19714.628999999724 152223.12140000053, -19712.915000000037 152206.81519999914, -19709.85360000003 152177.69099999964, -19673.23139999993 152150.26830000058, -19668.38320000004 152146.18459999934, -19647.67640000023 152128.74300000072, -19609.172500000335 152122.0047999993))"
135,765,1,EcEc_2_Rg_Ad,844,Castelo de Paiva,151843.048437,-20380.1279103,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1310.02041997,73383.252188,7.3383252188,Eucalipto,1310.02031348,73383.2493137,2.9,0.0,0.0,0.0,"POLYGON ((-20171.750799999572 151840.50359999947, -20126.727699999698 151785.81289999932, -20073.874200000428 151739.82540000044, -20014.997800000012 151668.83400000073, -19969.500400000252 151587.38979999907, -19919.277999999933 151528.63000000082, -19966.458300000057 151528.81350000016, -20030.112399999984 151529.06120000035, -20073.44799999986 151531.93960000016, -20152.47339999955 151551.71729999967, -20192.338999999687 151574.6037000008, -20209.518199999817 151618.0427000001, -20200.224799999967 151698.3060999997, -20246.832799999975 151703.87710000016, -20289.843500000425 151718.46050000004, -20342.735600000247 151767.49980000034, -20369.333100000396 151831.7491999995, -20359.703099999577 151877.2617000006, -20287.930399999954 151910.0055999998, -20229.340499999933 151860.5072000008, -20171.750799999572 151840.50359999947))"
136,766,1,EcEc_4_3_1_Pv,845,Castelo de Paiva,151892.540215,-19621.455802,158.0,35.0222,x,m,i,4,Marginal,Lu3.1,Leptossolos,2732.7468084,252513.860322,25.2513860322,Eucalipto,2732.74662298,252513.867204,2.9,0.0,0.0,0.0,"POLYGON ((-19244.51370000001 152137.31310000084, -19246.68780000042 152134.41440000013, -19247.441999999806 152133.27070000023, -19251.36419999972 152131.64729999937, -19254.631000000052 152129.8831999991, -19256.920300000347 152128.47800000012, -19261.21439999994 152125.2343000006, -19265.108000000007 152121.74689999968, -19271.74500000011 152115.0446000006, -19274.903599999845 152111.53559999913, -19282.10890000034 152103.54710000008, -19285.569099999964 152099.15880000032, -19288.182599999942 152095.13529999927, -19290.042299999855 152090.97059999965, -19291.88300000038 152085.63209999911, -19292.549700000323 152084.4587999992, -19294.758700000122 152081.96719999984, -19297.36180000007 152078.67940000072, -19299.840499999933 152075.23890000023, -19301.726999999955 152072.20079999976, -19303.56780000031 152068.09149999917, -19305.60599999968 152063.9126999993, -19307.669300000183 152059.02940000035, -19308.359899999574 152057.8655999992, -19310.017500000075 152055.32599999942, -19311.27969999984 152053.20659999922, -19313.366399999708 152049.02820000052, -19314.84219999984 152045.48550000042, -19315.692200000398 152042.63690000027, -19316.237900000066 152041.1132999994, -19317.15510000009 152039.01850000024, -19320.963600000367 152029.88299999945, -19321.968799999915 152026.87810000032, -19323.30979999993 152023.52910000086, -19324.074799999595 152020.92170000076, -19324.933199999854 152017.41530000046, -19326.251199999824 152012.2120999992, -19326.870699999854 152009.03309999965, -19327.289900000207 152006.1333000008, -19327.35319999978 152005.46839999966, -19328.069899999537 152001.9871999994, -19328.471900000237 151999.07100000046, -19329.177699999884 151995.83530000038, -19329.55179999955 151992.81629999913, -19330.451700000092 151988.9955000002, -19331.297500000335 151984.99210000038, -19332.087500000373 151981.5722000003, -19333.012299999595 151978.15110000037, -19334.775899999775 151971.66970000044, -19335.25270000007 151968.77820000052, -19336.052600000054 151965.46639999934, -19336.988699999638 151960.9171999991, -19337.75789999962 151955.6830000002, -19346.992800000124 151931.15100000054, -19351.180999999866 151920.0253999997, -19351.40789999999 151919.42270000093, -19351.40789999999 151907.3058000002, -19351.40799999982 151887.67259999923, -19347.126000000164 151870.8476999998, -19346.203099999577 151857.38379999995, -19343.536600000225 151818.4838999994, -19341.325199999847 151809.19620000012, -19336.3909 151788.70079999976, -19333.499400000088 151777.8021000009, -19329.12270000018 151761.3052999992, -19328.32299999986 151758.2912000008, -19323.137500000186 151752.51490000077, -19319.26090000011 151748.19669999927, -19317.270600000396 151743.65919999965, -19316.330500000156 151742.22030000016, -19314.560499999672 151739.5111999996, -19311.204800000414 151735.8660000004, -19309.376299999654 151734.4428000003, -19309.112499999814 151733.74939999916, -19307.343299999833 151729.93329999968, -19304.34279999975 151724.5906000007, -19301.69269999955 151719.10129999928, -19299.933000000194 151714.56680000015, -19299.735700000077 151713.5270000007, -19296.927500000224 151707.42459999956, -19294.23950000014 151702.4132000003, -19290.209999999963 151696.49569999985, -19288.85850000009 151693.71030000038, -19286.38549999986 151689.87069999985, -19284.348799999803 151687.18500000052, -19280.54330000002 151681.99980000034, -19279.03849999979 151679.51469999924, -19277.572100000456 151677.1503999997, -19275.325400000438 151673.4341000002, -19261.515599999577 151668.99400000088, -19252.404299999587 151662.93510000035, -19247.528300000355 151663.54820000008, -19246.30200000014 151663.70240000077, -19241.40730000008 151660.92870000005, -19226.458200000226 151652.45759999938, -19222.64670000039 151653.4104999993, -19214.27759999968 151655.50269999914, -19213.229100000113 151655.76490000077, -19205.08459999971 151656.9503000006, -19201.47339999955 151657.36280000024, -19198.791500000283 151656.39059999958, -19192.721699999645 151654.09270000085, -19188.92119999975 151652.56149999984, -19183.47860000003 151650.36869999953, -19179.18499999959 151649.12700000033, -19176.684000000358 151648.5923999995, -19168.790199999698 151647.25129999965, -19166.240699999966 151646.1930999998, -19162.232099999674 151644.52930000052, -19158.193799999543 151643.1956999991, -19154.83970000036 151642.57239999995, -19146.23639999982 151638.8314999994, -19135.123800000176 151632.8783999998, -19122.02689999994 151625.33770000003, -19114.48639999982 151619.38460000046, -19106.94570000004 151607.87519999966, -19109.65770000033 151579.16789999977, -19114.949400000274 151553.3708999995, -19121.16830000002 151545.0789999999, -19126.85560000036 151537.4958999995, -19130.384200000204 151526.58940000087, -19134.131699999794 151515.00630000047, -19137.34740000032 151509.53969999962, -19140.746299999766 151503.7614999991, -19151.471599999815 151494.32320000045, -19153.89159999974 151492.1936000008, -19157.28280000016 151489.20930000022, -19163.639899999835 151476.2583000008, -19167.59009999968 151468.21059999987, -19168.411399999633 151466.53749999963, -19169.0270999996 151466.1640000008, -19172.90710000042 151463.36370000057, -19175.99179999996 151460.2826000005, -19177.067200000398 151459.07379999943, -19178.19020000007 151457.9397, -19180.373399999924 151455.9798000008, -19180.805300000124 151455.84899999946, -19184.895100000314 151454.61009999923, -19186.82890000008 151453.93879999965, -19190.20679999981 151452.26600000076, -19193.05999999959 151450.3739, -19196.21490000002 151447.98440000042, -19198.30750000011 151446.19099999964, -19199.351800000295 151445.11470000073, -19199.874200000428 151444.57650000043, -19201.243900000118 151443.06489999965, -19207.09750000015 151441.51710000075, -19208.954300000332 151440.97660000063, -19212.620400000364 151439.64540000074, -19214.433299999684 151438.77899999917, -19217.91839999985 151437.01520000026, -19220.77990000043 151435.3629999999, -19223.6902999999 151433.1997999996, -19225.588100000285 151431.60239999928, -19234.08669999987 151427.45079999976, -19250.60379999969 151419.51219999976, -19252.267900000326 151418.76070000045, -19271.68219999969 151409.99300000072, -19281.621399999596 151404.17940000072, -19284.68460000027 151402.3878000006, -19289.867499999702 151399.3563000001, -19292.716599999927 151397.68979999982, -19293.036799999885 151397.30550000072, -19300.517300000414 151388.32890000008, -19306.83700000029 151380.74540000036, -19312.560499999672 151373.8772, -19318.255900000222 151369.96169999987, -19330.816700000316 151361.57410000078, -19342.949300000444 151349.6841000002, -19345.9972000001 151337.46389999986, -19347.088700000197 151320.89430000074, -19346.8152999999 151314.60749999993, -19358.074500000104 151324.78399999999, -19395.009399999864 151358.16760000028, -19432.992600000463 151400.29419999942, -19453.21789999958 151422.7259999998, -19522.009700000286 151506.33449999988, -19575.68719999958 151550.6350999996, -19587.390499999747 151554.5208999999, -19613.973799999803 151597.07359999977, -19648.898799999617 151622.47360000014, -19663.309000000358 151636.09679999948, -19681.201899999753 151653.01239999942, -19714.04129999969 151684.05859999917, -19752.446499999613 151735.7717000004, -19707.567300000228 151731.84009999968, -19651.20129999984 151767.45299999975, -19601.60039999988 151807.35089999996, -19571.857900000177 151844.0702999998, -19537.610600000247 151891.80560000055, -19505.767799999565 151976.1280000005, -19483.357499999925 152035.77150000073, -19497.52159999963 152111.09390000068, -19502.13009999972 152148.31289999932, -19483.634399999864 152160.49300000072, -19464.13800000027 152145.2435999997, -19449.85049999971 152145.2435999997, -19422.862900000066 152170.64360000007, -19396.19290000014 152213.50620000064, -19353.330299999565 152261.13130000047, -19299.355200000107 152284.94380000047, -19243.792600000277 152288.11879999936, -19227.917500000447 152229.38120000064, -19244.51370000001 152137.31310000084))"
157,1333,1,EcEc_3_5_2_Rg,1509,Castelo de Paiva,148561.728427,-17471.8992563,212.0,19.5514,x,m,i,3,Marginal,Ru1.1,Regossolos,2000.41766782,103147.084444,10.3147084444,Matos,2000.41779404,103147.083538,0.0,0.0,0.0,0.0,"POLYGON ((-16832.496500000358 148497.1905000005, -16859.061599999666 148454.53720000014, -16909.332499999553 148398.97450000048, -16954.311800000258 148385.74530000053, -16937.1138000004 148428.07870000042, -17073.374499999918 148428.07870000042, -17089.249499999918 148384.42239999957, -17216.24980000034 148327.53690000065, -17192.43730000034 148246.83880000003, -17244.031100000255 148197.89079999924, -17258.583200000226 148270.65130000003, -17298.270800000057 148320.92229999974, -17505.096900000237 148267.5742000006, -17499.00299999956 148288.65729999915, -17494.895399999805 148303.8457999993, -17484.35109999962 148342.83579999954, -17472.817099999636 148366.3973999992, -17455.07029999979 148402.65069999918, -17454.814699999988 148422.67510000058, -17454.387299999595 148456.1531000007, -17450.739799999632 148476.0161000006, -17444.387799999677 148510.60810000077, -17398.115199999884 148524.37989999913, -17369.95880000014 148557.5728999991, -17336.01939999964 148592.61089999974, -17275.333200000226 148600.69519999996, -17229.463299999945 148550.4495000001, -17176.02489999961 148519.31709999964, -17113.297399999574 148494.9787000008, -17041.550499999896 148496.40929999948, -16995.45110000018 148474.5393000003, -16954.333200000226 148450.3889000006, -16887.13570000045 148472.46810000017, -16849.141800000332 148489.65909999982, -16832.496500000358 148497.1905000005))"
158,1334,1,EcEc_2_5_3_Ad,1510,Castelo de Paiva,148398.082351,-17220.1611492,307.0,28.3361,x,m,i,3,Marginal,Ru1.1,Regossolos,1272.68407961,54810.6714736,5.48106714736,Matos,1272.68385684,54810.6653611,0.0,0.0,0.0,0.0,"POLYGON ((-16794.144500000402 148442.64389999956, -16817.02680000011 148417.8917999994, -16846.64719999954 148365.42349999957, -16854.669599999674 148351.21309999935, -16875.003899999894 148305.45099999942, -16904.526100000367 148261.59310000017, -16910.874400000088 148198.27669999935, -16937.583599999547 148157.38480000012, -16966.110899999738 148125.27969999984, -17027.593000000343 148132.81409999914, -17049.224100000225 148135.26400000043, -17049.230299999937 148135.26469999924, -17077.67650000006 148138.48650000058, -17144.9458999997 148151.66970000044, -17211.45669999998 148162.19040000066, -17138.197499999776 148216.41169999912, -17083.957899999805 148240.22419999912, -17135.55169999972 148328.85979999974, -17023.1035000002 148364.5786000006, -16958.280500000343 148355.31819999963, -16942.405500000343 148339.44319999963, -16922.561700000428 148348.7036000006, -16874.936599999666 148401.62030000053, -16839.21779999975 148447.9224999994, -16794.144500000402 148442.64389999956))"
159,1335,1,EcEc_3_5_2_Pv,1511,Castelo de Paiva,148785.524404,-18268.8670287,232.0,29.902,x,m,i,3,Marginal,Ru1.1,Regossolos,3237.35348644,127106.121328,12.7106121328,Eucalipto,3237.35315236,127106.124635,2.9,0.0,0.0,0.0,"POLYGON ((-17720.971699999645 148875.3610999994, -17746.63269999996 148819.66190000065, -17765.303799999878 148719.9480000008, -17787.419800000265 148625.76879999973, -17845.86429999955 148649.91410000063, -17888.7472000001 148634.50510000065, -17930.22559999954 148607.6741000004, -17975.01910000015 148579.3487999998, -18027.999400000088 148550.89690000005, -18088.304899999872 148513.12289999984, -18139.46750000026 148468.7957000006, -18183.022800000384 148437.33740000054, -18265.995600000024 148401.2653000001, -18271.41019999981 148435.91699999943, -18231.72269999981 148488.3047000002, -18171.397599999793 148512.1172000002, -18220.610100000165 148534.34219999984, -18282.522800000384 148494.6546, -18306.335300000384 148466.07960000075, -18404.76049999986 148412.1043999996, -18479.373100000434 148407.34200000018, -18476.19809999969 148434.32950000092, -18368.247899999842 148475.60459999926, -18342.8479000004 148518.4671, -18423.810499999672 148497.82960000075, -18492.07309999969 148516.87969999947, -18569.860799999908 148505.76720000058, -18557.16079999972 148527.99230000004, -18434.923000000417 148527.99230000004, -18360.310399999842 148562.9173000008, -18231.72259999998 148596.25489999913, -18171.397499999963 148639.11739999987, -18177.74749999959 148664.51750000007, -18263.47269999981 148683.56750000082, -18187.272599999793 148693.09259999916, -18006.297199999914 148672.45500000007, -17976.134700000286 148708.96759999916, -18057.097299999557 148767.70519999973, -18102.66069999989 148814.17170000076, -18053.427699999884 148797.77470000088, -17991.46960000042 148792.1202000007, -17947.253499999642 148841.45260000043, -17900.97240000032 148830.36020000093, -17862.190600000322 148887.69510000013, -17802.419800000265 148890.35700000077, -17759.452899999917 148911.7985999994, -17720.971699999645 148875.3610999994))"
192,1266,1,Solo Nu_5,1412,Castelo de Paiva,147697.284696,-16186.0426027,375.0,20.5607,x,m,i,3,Marginal,Ru1.1,Regossolos,1192.64282458,45697.5839086,4.56975839086,Pinheiro bravo,1192.64279683,45697.5901375,3.0,0.0,0.0,0.0,"POLYGON ((-15915.726200000383 147488.2921999991, -15935.307900000364 147465.4838999994, -15948.753999999724 147449.82230000012, -15979.808000000194 147388.3066000007, -15980.365100000054 147386.10989999957, -15980.971900000237 147383.7179000005, -15981.14699999988 147383.0273000002, -15981.670500000007 147380.9634000007, -15982.389899999835 147378.12710000016, -15983.278400000185 147374.62399999984, -15983.656100000255 147373.13499999978, -15985.115699999966 147367.38069999963, -15985.898500000127 147364.2940999996, -15986.9944000002 147359.97340000048, -15987.38069999963 147358.4506000001, -15988.653500000015 147353.43260000087, -15988.889200000092 147352.50320000015, -15989.951500000432 147348.31499999948, -15990.418999999762 147346.47149999999, -15991.74749999959 147341.2338999994, -15992.440899999812 147338.50049999915, -15994.39699999988 147330.7882000003, -15994.583700000308 147330.05230000056, -15995.02740000002 147328.30299999937, -15997.536399999633 147318.41110000014, -16004.150999999605 147319.73409999907, -16020.506799999624 147322.3166000005, -16033.699599999934 147324.3995999992, -16054.421900000423 147327.67159999907, -16056.449500000104 147337.8094999995, -16058.390700000338 147347.51539999992, -16058.726300000213 147351.37549999915, -16060.607300000265 147373.00650000013, -16060.650299999863 147373.50049999915, -16062.061499999836 147389.73059999943, -16064.26379999984 147415.05700000003, -16065.726099999622 147431.87299999967, -16066.033699999563 147435.4101999998, -16066.235100000165 147437.7265000008, -16066.328200000338 147438.7968000006, -16064.85850000009 147442.78580000065, -16057.067699999548 147463.93229999952, -16046.696700000204 147493.56389999948, -16039.79899999965 147513.27160000056, -16038.546900000423 147516.8490999993, -16033.23330000043 147542.08850000054, -16029.051099999808 147561.95409999974, -16027.963499999605 147567.11999999918, -16007.835900000297 147604.90399999917, -16007.160600000061 147606.17170000076, -15975.78249999974 147651.1026000008, -15957.169499999844 147689.72220000066, -15948.008600000292 147705.5025999993, -15938.004999999888 147768.99750000052, -15939.767900000326 147830.12450000085, -15906.497999999672 147851.42149999924, -15877.00019999966 147783.10209999979, -15883.208899999969 147710.1417999994, -15898.84250000026 147635.0603, -15907.498800000176 147547.59789999947, -15915.726200000383 147488.2921999991))"
