"Node1(x,y)","Node2(x,y)"
"(-12764.3461, 143685.4354)","(-12841.2013, 143667.1238)"
"(-12841.2013, 143667.1238)","(-12985.0996, 143651.7897)"
"(-12985.0996, 143651.7897)","(-13031.2995, 143646.8836)"
"(-13031.2995, 143646.8836)","(-13008.5939, 143804.2724)"
"(-13008.5939, 143804.2724)","(-12964.8584, 143787.6028)"
"(-12964.8584, 143787.6028)","(-12908.4018, 143818.325)"
"(-12908.4018, 143818.325)","(-12832.8821, 143843.6738)"
"(-12832.8821, 143843.6738)","(-12771.5033, 143834.3973)"
"(-12771.5033, 143834.3973)","(-12705.3514, 143820.9902)"
"(-12705.3514, 143820.9902)","(-12641.2567, 143839.2137)"
"(-12641.2567, 143839.2137)","(-12665.0873, 143772.8075)"
"(-12665.0873, 143772.8075)","(-12741.8075, 143723.5805)"
"(-12741.8075, 143723.5805)","(-12764.3461, 143685.4354)"
"(-14904.2892, 145577.0358)","(-14823.7102, 145540.6148)"
"(-14823.7102, 145540.6148)","(-14755.7599, 145485.8706)"
"(-14755.7599, 145485.8706)","(-14743.9842, 145432.3617)"
"(-14743.9842, 145432.3617)","(-14798.6151, 145380.0114)"
"(-14798.6151, 145380.0114)","(-14845.0209, 145300.891)"
"(-14845.0209, 145300.891)","(-14895.2858, 145266.6503)"
"(-14895.2858, 145266.6503)","(-15021.4492, 145239.9344)"
"(-15021.4492, 145239.9344)","(-15079.7426, 145218.9281)"
"(-15079.7426, 145218.9281)","(-15154.9198, 145188.4129)"
"(-15154.9198, 145188.4129)","(-15233.2201, 145187.0072)"
"(-15233.2201, 145187.0072)","(-15201.9672, 145129.1525)"
"(-15201.9672, 145129.1525)","(-15271.5941, 145102.0159)"
"(-15271.5941, 145102.0159)","(-15309.5434, 145126.733)"
"(-15309.5434, 145126.733)","(-15331.4138, 145187.8215)"
"(-15331.4138, 145187.8215)","(-15384.5015, 145208.1582)"
"(-15384.5015, 145208.1582)","(-15392.2306, 145119.345)"
"(-15392.2306, 145119.345)","(-15435.4598, 145146.2284)"
"(-15435.4598, 145146.2284)","(-15458.039, 145182.4776)"
"(-15458.039, 145182.4776)","(-15512.0929, 145153.2849)"
"(-15512.0929, 145153.2849)","(-15551.0855, 145071.977)"
"(-15551.0855, 145071.977)","(-15613.3563, 145149.2813)"
"(-15613.3563, 145149.2813)","(-15610.4888, 145205.9944)"
"(-15610.4888, 145205.9944)","(-15580.5845, 145255.2233)"
"(-15580.5845, 145255.2233)","(-15530.0903, 145282.9631)"
"(-15530.0903, 145282.9631)","(-15448.0454, 145284.8346)"
"(-15448.0454, 145284.8346)","(-15423.9614, 145286.9142)"
"(-15423.9614, 145286.9142)","(-15383.3135, 145318.5196)"
