Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-15263.8982, 148931.9141)","(-15270.2809, 148924.0969)",56.031,23.6,270673.01,105248.99,406009.52,203004.76,105248.99
"(-15263.8982, 148931.9141)","(-15207.8484, 148937.8369)",55.401,23.6,267629.33,104065.48,401443.99,200722.0,104065.48
"(-14661.1219, 148178.1707)","(-14678.3198, 148242.9938)",67.066,28.9,503964.86,179987.45,755947.29,377973.65,179987.45
"(-14661.1219, 148178.1707)","(-14650.5385, 148117.3165)",61.768,28.9,464152.97,165768.92,696229.46,348114.73,165768.92
"(-14770.0989, 148418.4584)","(-14849.9768, 148401.8428)",41.919,23.6,202501.13,78740.91,303751.69,151875.85,78740.91
"(-14770.0989, 148418.4584)","(-14721.6097, 148453.5341)",46.355,23.6,223929.28,87073.07,335893.92,167946.96,87073.07
"(-14721.6097, 148453.5341)","(-14704.7782, 148389.8378)",65.883,28.9,495074.86,176812.45,742612.29,371306.14,176812.45
"(-14721.6097, 148453.5341)","(-14760.1932, 148496.496)",57.744,23.6,278948.92,108467.01,418423.38,209211.69,108467.01
"(-14650.5385, 148117.3165)","(-14641.9268, 148027.694)",90.035,28.9,676570.2,241632.22,1014855.31,507427.65,241632.22
"(-14713.8936, 148088.0191)","(-14785.3143, 148120.2548)",91.191,28.9,685252.27,244732.95,1027878.4,513939.2,244732.95
"(-14713.8936, 148088.0191)","(-14641.9268, 148027.694)",93.94,28.9,705910.81,252111.0,1058866.21,529433.1,252111.0
"(-15210.5705, 148742.7054)","(-15174.8372, 148653.9847)",106.73,23.6,515587.48,200481.98,773381.22,386690.61,200481.98
"(-15210.5705, 148742.7054)","(-15270.8956, 148841.1306)",55.411,23.6,267674.71,104083.12,401512.06,200756.03,104083.12
"(-14967.9638, 148415.9268)","(-14971.175, 148474.4174)",138.185,23.6,667539.69,259567.35,1001309.53,500654.77,259567.35
"(-14967.9638, 148415.9268)","(-14889.7987, 148383.053)",119.598,23.6,577748.81,224652.9,866623.21,433311.61,224652.9
"(-14848.3022, 148272.1695)","(-14907.1378, 148238.9401)",86.117,28.9,647127.3,231116.89,970690.95,485345.48,231116.89
"(-14848.3022, 148272.1695)","(-14889.7987, 148383.053)",137.492,28.9,1033182.75,368993.84,1549774.13,774887.07,368993.84
"(-14851.5779, 148592.4116)","(-14894.4423, 148666.1308)",85.275,23.6,411944.18,160181.13,617916.27,308958.13,160181.13
"(-14851.5779, 148592.4116)","(-14804.7399, 148534.0574)",74.827,23.6,361468.75,140554.17,542203.13,271101.56,140554.17
"(-14849.9768, 148401.8428)","(-14889.7987, 148383.053)",26.181,23.6,126472.48,49177.79,189708.72,94854.36,49177.79
"(-15177.487, 148856.5143)","(-15165.012, 148911.1391)",49.594,23.6,239575.57,93157.0,359363.36,179681.68,93157.0
"(-15177.487, 148856.5143)","(-15070.6558, 148847.1705)",98.493,23.6,475796.16,185009.45,713694.24,356847.12,185009.45
"(-15070.6558, 148847.1705)","(-15032.5334, 148815.4494)",25.112,23.6,121312.15,47171.24,181968.22,90984.11,47171.24
"(-15080.1456, 148574.5093)","(-15003.4623, 148459.6139)",87.226,23.6,421366.71,163845.0,632050.07,316025.03,163845.0
"(-15080.1456, 148574.5093)","(-15174.8372, 148653.9847)",95.323,23.6,460484.03,179055.45,690726.05,345363.02,179055.45
"(-14804.7399, 148534.0574)","(-14760.1932, 148496.496)",58.269,23.6,281482.94,109452.34,422224.42,211112.21,109452.34
"(-14900.1607, 148176.9193)","(-14850.4189, 148119.7691)",75.991,28.9,571030.98,203939.64,856546.47,428273.24,203939.64
"(-14900.1607, 148176.9193)","(-14907.1378, 148238.9401)",75.683,28.9,568719.65,203114.16,853079.47,426539.73,203114.16
"(-14692.872, 148359.4106)","(-14704.7782, 148389.8378)",32.674,28.9,245526.68,87688.1,368290.02,184145.01,87688.1
"(-14692.872, 148359.4106)","(-14678.3198, 148242.9938)",117.327,28.9,881657.22,314877.58,1322485.84,661242.92,314877.58
"(-15270.8956, 148841.1306)","(-15276.1616, 148879.1615)",56.362,23.6,272270.41,105870.12,408405.61,204202.81,105870.12
"(-14894.4423, 148666.1308)","(-14944.5097, 148734.9806)",85.13,23.6,411240.06,159907.34,616860.09,308430.05,159907.34
"(-15276.1616, 148879.1615)","(-15270.2809, 148924.0969)",50.475,23.6,243832.6,94812.32,365748.91,182874.45,94812.32
"(-15165.012, 148911.1391)","(-15207.8484, 148937.8369)",55.044,23.6,265902.77,103394.12,398854.15,199427.08,103394.12
"(-15003.4623, 148459.6139)","(-14971.175, 148474.4174)",84.198,23.6,406741.43,158158.08,610112.14,305056.07,158158.08
"(-14850.4189, 148119.7691)","(-14785.3143, 148120.2548)",65.485,28.9,492085.29,175744.75,738127.94,369063.97,175744.75
