Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-19184.3435, 151659.9321)","(-19136.3145, 151651.1347)",50.22,36.1,377377.85,134777.81,566066.78,283033.39,134777.81
"(-19184.3435, 151659.9321)","(-19213.2291, 151655.7649)",32.617,36.1,245103.37,87536.92,367655.06,183827.53,87536.92
"(-19309.3763, 151734.4428)","(-19281.6585, 151684.0337)",57.82,25.1,434484.72,155173.11,651727.08,325863.54,155173.11
"(-19309.3763, 151734.4428)","(-19299.1391, 151736.0685)",88.804,25.1,667319.99,238328.57,1000979.99,500490.0,238328.57
"(-19168.7902, 151647.2513)","(-19213.2291, 151655.7649)",46.211,36.1,347251.66,124018.45,520877.48,260438.74,124018.45
"(-19168.7902, 151647.2513)","(-19114.4864, 151619.3846)",61.473,36.1,461938.19,164977.93,692907.29,346453.65,164977.93
"(-19204.6301, 151662.3795)","(-19213.2291, 151655.7649)",10.849,25.1,81523.06,29115.38,122284.58,61142.29,29115.38
"(-19204.6301, 151662.3795)","(-19267.443, 151680.6021)",67.699,25.1,508722.54,181686.62,763083.81,381541.91,181686.62
"(-19281.6585, 151684.0337)","(-19213.2291, 151655.7649)",80.4,25.1,604166.7,215773.82,906250.04,453125.02,215773.82
"(-19152.6525, 151467.3812)","(-19157.2828, 151489.2093)",66.543,36.1,500039.82,178585.65,750059.73,375029.86,178585.65
"(-19152.6525, 151467.3812)","(-19099.0743, 151544.1105)",95.744,36.1,719470.81,256953.86,1079206.21,539603.1,256953.86
"(-19157.2828, 151489.2093)","(-19126.8556, 151537.4959)",58.711,36.1,441184.67,157565.95,661777.0,330888.5,157565.95
"(-19114.4864, 151619.3846)","(-19126.8556, 151537.4959)",88.773,36.1,667082.09,238243.61,1000623.14,500311.57,238243.61
"(-19299.1391, 151736.0685)","(-19267.443, 151680.6021)",63.884,25.1,480056.25,171448.66,720084.37,360042.19,171448.66
"(-19095.8332, 151621.369)","(-19136.3145, 151651.1347)",50.313,36.1,378075.03,135026.79,567112.54,283556.27,135026.79
"(-19095.8332, 151621.369)","(-19099.0743, 151544.1105)",79.742,36.1,599218.27,214006.53,898827.41,449413.7,214006.53
