x,y
-14882.8223,143940.9079
-14295.0346,144660.4065
-13641.197,143698.7287
-12211.0144,143809.2747
-14626.6319,144745.3533
-13870.7893,144102.4101
-13744.8703,144480.6744
-13010.6923,144186.4642
-14500.5294,144866.2928
-13737.2332,145007.5559
-13925.3523,144701.8293
-13799.6898,144303.5529
-12967.7937,144310.0082
-15152.7743,144779.4252
-15032.4127,144546.8089
-12553.5091,144647.2619
-12375.269,143883.3652
-12339.298,144557.4597
-12718.3681,144897.7217
-13962.2635,143823.8196
-11826.0025,144456.9311
-15612.7264,144218.1592
-14217.1884,144906.7494
-14272.751,144761.8898
-12881.3438,145013.598
-13673.9851,144654.4499
-14603.1333,144757.305
-13558.7699,144861.1445
-13232.1927,143647.7449
-13879.2925,145200.5509
-13601.0308,143956.4764
-15527.992,144811.8265
-13296.8333,144355.9009
-14078.3915,143855.0249
-15278.8215,144147.2187
-14531.6032,144666.1649
-11662.9347,144520.3626
-14851.1978,144056.9111
-12969.449,144239.3431
-14177.1039,145117.7551
-12219.0586,144551.2353
-13747.3339,143909.2641
-13718.1832,145090.1061
-13639.6018,144778.1176
-14048.3838,144955.3006
-14042.3652,143958.8112
-15073.9117,144137.2363
-12562.5217,143803.8102
-13668.6914,143736.5799
-11937.762,144081.6144
-14201.526,144449.467
-14371.0598,145080.888
-13781.3609,144108.7234
-12944.1448,144404.2889
-15497.7109,144212.2362
-13443.5395,143846.994
-14255.553,144804.8846
-14396.889,144395.0271
-14262.829,144808.192
-13385.1696,143726.6653
-14234.9537,144726.9119
-12495.4311,144833.3312
-13816.5141,144482.5627
-15458.4172,143999.7137
-14216.3946,144712.4126
-14616.71,144674.5771
-13040.3632,144123.4297
-15519.682,144388.4516
-14962.8172,143888.1509
-12705.3514,143820.9902
-12056.8226,144540.0077
-14549.9025,144775.7805
-13185.1405,143935.6275
-12107.731,144685.8611
-12549.684,143756.259
-12026.8928,144611.0059
-14271.594,145171.4091
-12495.7651,144136.1599
-12301.9458,144619.7277
-13197.2756,144807.6087
-12727.9556,144996.9102
-14029.3338,144860.0504
-14681.563,143829.671
-15355.9735,144407.2719
-13350.7865,143777.6988
-14380.5847,145052.8421
-14519.2712,144315.1958
-15535.2255,144006.1477
-12397.8467,144960.2488
-14717.0139,144387.017
-11999.1868,144023.9286
-13560.2822,144860.3706
-12241.1304,143865.7121
-13990.0376,144443.831
-12194.1449,144887.57
-14436.1473,144994.1045
-11799.8376,144133.8246
-13135.2134,144115.3085
-14736.4123,144459.4538
-13606.1625,144027.9339
-14341.5427,144815.468
-13274.8934,143918.7259
-13467.137,143669.0983
-14245.117,144365.3678
-12832.8821,143843.6738
-14493.6785,144788.3482
-14576.3609,144814.8066
-12319.6482,144831.3651
-12513.6605,144038.4278
-12342.5048,144018.5635
-14878.9791,143959.015
-12001.9809,144479.2535
-12779.5926,144262.0151
-14163.4778,144663.4646
-13753.6244,144235.2739
-12506.7422,144658.5039
-13609.302,144957.7744
-12604.4093,144805.3664
-12772.8724,144463.4189
-14937.8595,143988.0076
-13699.4011,143982.4839
-13703.6809,143655.4093
-14291.2718,144703.0199
-12461.575,143709.2127
-12862.2594,144495.2711
-13494.4641,144782.0395
-13247.6378,143965.126
-13626.3624,144781.3206
-12828.2661,143962.983
-12326.3754,144927.4893
-14373.7825,144177.2782
-14645.6318,144117.8251
-12920.6463,144906.5068
-14357.0993,144131.0668
-12238.2252,144738.6912
-13280.7859,143660.6472
-14225.1259,144871.0307
-12660.8268,144867.3248
-12490.7429,144573.6969
-14001.8539,145176.5454
-14594.5881,144645.6082
-14106.5221,143969.7225
-13298.8813,144545.6896
-12670.2561,144947.5392
-12823.0749,144291.6628
-11981.3434,144441.1534
-14076.3559,143693.9642
-13398.3653,143785.5591
-14386.9229,143673.2428
-14484.3901,143860.6846
-13434.9696,144030.1643
-13853.2701,144020.5415
-13935.9357,144670.0792
-14238.5952,144576.0562
-14601.8773,144224.5301
-12940.6568,143877.5015
-14429.3341,143665.7318
-13902.1763,144214.2765
-14043.6214,145063.2508
-13576.4372,144859.1015
-14258.728,144745.4856
-14900.9752,144446.3935
-14279.7924,144739.508
-14176.707,144659.4959
-13555.5588,144862.7878
-13869.7897,144642.2979
-15059.7424,144356.6639
-13622.2267,144620.369
-13995.9695,144178.0844
-12622.8076,144893.9786
-15190.6098,143922.2264
-15224.2119,144817.7899
-13648.0671,144576.7295
-13743.5832,144824.993
-12093.8471,144668.2672
-13359.401,143675.5527
-14757.2705,143988.1193
-11886.3085,144607.3464
-11455.979,144311.9233
-13263.9506,144711.5648
-13008.5939,143804.2724
-15591.8759,144313.1996
-13569.2411,143691.1617
-13604.8748,145194.9813
-12506.4143,143736.0112
-14675.2893,144560.7809
-11974.0401,144415.7583
-13576.6376,144861.6151
-11861.2896,144118.0703
-14276.183,144527.1885
-13325.6625,144645.9943
-14974.6025,143785.9252
-13710.9499,144574.1416
-15227.6924,144129.5445
-14370.4242,144714.6428
-12469.9134,144928.8726
-15224.4799,144459.6512
-13965.3731,144046.0496
-13637.2494,144359.8832
-13876.1638,143928.3029
-12121.4172,143868.7277
-13760.7393,144376.5036
-14157.8088,143822.8393
-12553.2433,144571.0884
-15008.3352,144526.3387
-12237.7731,144226.7996
-13215.5606,144187.2996
-13904.1856,144658.1729
-12960.058,144358.1674
-14056.4537,145130.4551
-15177.9271,144129.5177
-13362.3802,144201.136
-12708.6663,143902.2939
-14967.7908,143856.9666
-12578.8944,144870.8909
-14683.478,144631.1774
-12680.1011,143679.8779
-13275.5787,144649.4487
-14459.8351,144404.4381
-13910.8002,144699.1834
-13656.6194,144771.1359
-14101.9132,144100.7409
-11844.397,144817.9778
-15477.6833,144539.5535
-14707.6959,143855.7978
-15640.4425,144276.9697
-14234.1846,144052.4114
-12199.124,144275.1891
-13659.7846,143649.7006
-15557.8562,144223.7278
-15386.339,143991.8011
-15146.5288,144313.553
-13720.5644,144794.7864
-11957.9498,144579.3059
-12711.4277,143944.9643
-14162.6691,143690.6289
-13277.4444,144671.0834
-14416.039,145012.0961
-13268.9773,144455.7431
-13709.9831,143933.8875
-13208.2302,144124.8816
-13547.3263,144552.0665
-12187.5133,144600.5453
-13501.5187,143619.5797
-13802.1767,143672.6336
-12913.3486,144456.3918
-14331.7008,143858.5953
-15426.6439,144818.9182
-13383.2854,144657.0794
-14181.9987,144538.581
-13079.8003,144862.3775
-14704.9361,144506.2992
-12026.8746,144810.5267
-14459.2544,144908.6263
-12065.1994,144631.9643
-13530.6292,143921.1243
-13577.7135,144875.1121
-14430.4945,144726.0493
-13076.3872,144094.5596
-11543.6694,144235.9538
-12644.7133,143885.8009
-13796.1946,144418.6146
-15403.7873,144147.3712
-14201.298,144186.9822
-13922.7827,144017.4234
-12592.5888,144239.5043
-13556.2701,144862.4238
-12741.8075,143723.5805
-12006.7434,144422.1034
-14060.5063,145193.2238
-15300.9413,144842.9253
-14389.0514,145067.1296
-13864.4981,144766.6523
-14873.1396,144342.6876
-14840.9661,143728.4881
-12964.8584,143787.6028
-15307.925,144427.1703
-13744.5923,144909.5748
-13418.2147,143675.7705
-12445.937,144572.8442
-12035.0724,143931.1723
-13449.5211,144188.1491
-11906.3034,144828.2028
-14808.8644,143945.7858
-13288.0348,143864.8108
-13331.6952,144324.5045
-14885.8264,143750.4802
-13670.8101,144712.6583
-13501.7426,143982.6924
-15048.8801,144097.3419
-11924.8458,144441.2766
-12680.0266,144851.887
-14037.2713,145029.9132
-13806.1259,145165.8098
-13165.5254,144825.865
-12485.814,144180.5472
-15417.5753,144392.8051
-14446.7307,144961.8252
-13748.0816,144143.8766
-14275.6663,143937.2237
-12264.6836,144734.4579
-13744.3155,144886.3636
-14618.0329,144703.0198
-14950.3706,144286.3732
-12480.8926,144068.6105
-13209.1818,144780.6211
-14268.5762,144614.7658
-12703.2589,144788.2321
-13556.1036,143974.4195
-13827.512,144136.3059
-13249.7789,144226.0787
-11981.8795,144609.2578
-13757.7898,143969.6663
-14293.7117,144641.8856
-11951.9745,144538.388
-15104.0651,144342.5051
-12961.7283,144869.7918
-13626.3487,144918.4807
-15527.9082,144698.9579
-12908.4018,143818.325
-13340.9167,144262.7601
-12768.1913,144410.1054
-12309.9446,143855.0102
-14412.9804,144814.8065
-12690.851,144546.4994
-12232.1831,144355.0619
-12021.8982,144398.9473
-11753.6073,144140.929
-14786.2575,144153.1853
-15589.3737,144748.6101
-15025.5783,144041.0606
-12295.7807,144133.4832
-14738.7585,144317.5762
-14280.2236,144271.3553
-11526.3654,144527.0477
-13360.307,144140.9045
-15135.8052,144533.9656
-13668.8759,144766.1077
-14276.6952,144134.1574
-13657.858,145171.0687
-14623.3246,144722.2022
-14216.3209,144547.2969
-13907.6083,143685.6802
-15617.3542,144111.3379
-14024.5823,143831.2854
-13249.6632,144733.7897
-13630.5288,144278.7626
-14681.8641,143947.1088
-15025.7064,144294.4879
-12789.4983,145035.1417
-14312.6189,144634.6386
-12619.2136,144731.4298
-12595.0719,143846.8878
-13567.962,144701.8105
-13534.1545,144867.6466
-14127.759,144691.2459
-12300.0099,143710.9925
-14300.1792,144684.7358
-13685.0506,145178.8182
-12113.7431,144339.7091
-13276.3916,144484.8354
-12382.9029,144260.3375
-13275.0632,144696.4834
-12045.3859,144572.651
-12771.5033,143834.3973
-14189.9993,144077.3963
-12567.3675,144784.1996
-12152.2314,144872.1469
-14057.2541,144434.2141
-14053.6755,144697.8605
-13166.4749,143650.6997
-13517.9488,144858.3862
-12239.721,143749.5774
-14228.0867,144230.7647
-13507.3469,144769.8185
-15561.9076,144595.9763
-13102.0719,143639.0926
-13578.1994,144881.2082
-14314.968,145139.6256
-12020.4708,143984.5797
-12365.3427,143952.5654
-13978.2691,144688.6
-12584.7261,144016.1542
-14837.4535,143903.0305
-12082.5644,143904.8285
-11963.8808,144441.9471
-14644.8224,144078.0778
-12382.7748,143713.6377
-13633.0444,144442.1228
-11779.5607,144479.3631
-14344.2865,143938.6127
-14171.245,144476.0647
-14064.2589,144879.1005
-14463.9128,144790.3325
-13926.6972,145180.5122
-13786.9057,143855.2945
-15082.6605,144678.2481
-13584.1803,145186.8741
-12457.7816,144658.6518
-13494.8203,144818.9898
-14761.2421,144259.3704
-14282.1274,144346.6195
-13540.9515,144598.9148
-13869.7898,144704.4751
-15109.2216,144596.5905
-12693.5886,144737.1371
-12518.2468,144904.5016
-14453.7052,144261.5431
-12072.4193,144593.2693
-14149.3468,143979.2033
-12625.5987,144565.2653
-11804.0078,144760.223
-14616.0485,144763.2127
-14763.3069,144707.8288
-14059.4963,145104.5259
-14593.7438,143835.5584
-12320.9369,144071.4978
-13843.3313,144553.6623
-15669.1709,144225.83
-12716.2259,144498.1262
-13884.3419,144568.2144
-15684.2239,144179.5448
-13435.2569,144138.9811
-13600.082,144335.3301
-14250.5894,144097.1826
-13510.6824,143692.4001
-13589.0542,145131.4615
-14265.5996,144496.7614
-12152.6092,144738.6703
-14200.6948,144546.962
-13922.3483,144443.397
-13968.7302,144263.4419
-12552.2246,144223.27
-13436.5309,144682.5356
-14843.1338,144117.8871
-14956.7412,143926.2479
-13660.7559,144736.4709
-14216.3169,144315.3391
-11612.5876,144529.349
-14989.4412,144017.4957
-12114.2625,144535.9368
-13031.2995,143646.8836
-11959.541,144836.9733
-12841.2013,143667.1238
-14885.1819,144399.3536
-14665.3868,143813.4986
-14716.26,143920.6504
-13572.1328,144805.1052
-13501.0236,143873.6467
-13971.816,143980.1917
-13881.456,144470.7222
-15453.3782,144149.4433
-13555.1717,144862.986
-12423.6856,144207.4538
-15575.3892,144788.96
-12175.8567,143853.6039
-13499.4279,144839.5345
-14195.212,144356.9644
-14131.5916,144191.663
-12665.0873,143772.8075
-15054.6487,144561.2205
-13552.1112,143620.0546
-13733.2585,145173.6386
-12782.1198,143963.8133
-14092.9662,145117.755
-14082.18,144140.7557
-14171.4154,144481.6955
-14578.5664,144321.2955
-12783.6872,144512.1858
-13547.3623,144478.0634
-13261.8084,144382.2349
-13645.4101,144604.7081
-14262.0858,144421.7526
-11733.8319,144503.3
-12291.1419,144345.4313
-14688.4787,143859.7961
-13774.8884,144551.4535
-14778.6065,143887.158
-14398.756,144223.4257
-12035.3185,144434.8034
-15396.7206,144817.5253
-15579.6806,144562.9693
-12700.8783,144835.1209
-12126.7662,144597.4414
-12276.6777,144554.6113
-14545.7554,144413.478
-11605.4177,144220.923
-14593.4041,144671.1708
-11850.6161,144640.4838
-13807.4871,144065.9095
-13670.5581,144765.4175
-14216.7915,145138.3927
-14234.4611,143842.3778
-13590.6362,144664.8346
-14319.5502,144392.2494
-12358.8754,144756.6829
-14225.0505,143989.9211
-14253.6146,145153.9985
-14613.4027,144790.994
-11877.1537,144442.7698
-14382.1722,145022.1504
-12215.1987,144605.1861
-15032.1846,143812.2738
-12221.4594,144777.2484
-13570.2251,144859.5895
-13717.7523,143727.4306
-14285.4851,143833.4501
-13637.7422,144594.1661
-14318.1803,144692.3998
-12904.4083,144950.6789
-13580.9687,144516.364
-12642.8816,144266.3651
-13116.3129,144847.2963
-13574.2837,144832.0864
-13706.9914,144343.0438
-14619.8821,144150.7088
-14922.2728,144351.9178
-15459.0663,144424.8831
-12734.5344,144541.4884
-15569.7038,144033.4541
-14534.9237,143857.4733
-11464.4451,144504.8184
-12738.3255,144296.773
-13504.4852,144231.3656
-14276.7197,144892.1973
-12396.1145,144635.3048
-15509.6725,144164.03
-13855.2376,144584.0894
-13686.893,144471.2958
-14683.9523,143634.3033
-11680.4965,144164.7824
-15092.4553,144196.2053
-12985.0996,143651.7897
-12116.7164,144521.2492
-13205.7294,144073.6166
-13555.1336,144862.9929
-13857.4251,143974.0369
-13037.8041,144861.9113
-12470.0006,144770.4412
-13648.2601,143955.5006
-12764.3461,143685.4354
-13962.6587,144858.4629
-11932.5497,144562.3725
-14999.8448,144703.0663
-13864.2335,144858.4629
-15316.8163,144870.7066
-14379.3003,143911.3733
-15478.042,144814.3635
-15114.4096,143860.843
-13951.6977,143708.8246
-13320.2442,143820.2753
-11918.7913,144577.1892
-14379.9075,144890.8744
-11944.8308,144442.7409
-13528.4149,144722.5031
-12273.5724,144908.6125
-14775.7914,143924.6191
-13680.6301,144764.1009
-13590.3892,144790.0238
-12268.6498,144791.4377
-15512.6084,144560.191
-15472.3909,144435.1848
-12583.0204,144700.113
-11779.6661,144735.8813
-14544.9795,144846.1844
-14170.3847,144447.6318
-13557.3875,144861.852
-14434.8086,144808.1919
-13659.3089,144007.5764
-13994.932,143762.6462
-12096.8933,144595.9151
-14306.8743,144657.7731
-13429.8465,144081.7334
-14205.2821,144906.7494
-13577.2384,144869.1524
-14941.7048,144485.3461
-12578.1679,144916.3396
-12151.0573,144471.1371
-13827.3377,144251.2805
-13189.1394,143993.1071
-11491.7513,144274.1041
-14117.466,144444.5135
-13588.1425,145063.9144
-13582.4132,144422.3189
-12261.4447,144197.1623
-11817.7661,144685.0812
-14481.8825,144700.0421
-14323.5758,143679.3045
-13692.5062,144776.5216
-12699.4246,144279.6888
-14042.0798,144229.2324
-11449.3705,144450.5846
-14788.1287,144207.349
-15098.5346,144723.8626
-14138.648,144072.2834
-12690.8498,144678.4927
-13596.9593,143628.0402
-12875.5608,143935.3753
-14619.4887,143620.994
-15461.8083,144482.4034
-13546.8173,144649.3415
-12085.1835,144826.7942
-12211.835,144554.1926
-13747.6999,144937.7592
-14597.2308,144272.5255
-13501.1074,144675.899
-13905.5085,144615.8395
-14633.908,144773.7961
-14167.4466,144535.9351
-12030.5559,144418.9284
-14579.6951,144374.4977
-14437.8165,143896.4888
-14406.0948,143851.5133
-12838.7102,145044.2744
-13777.5446,143770.0221
-12383.7357,144832.6956
-12542.4611,144837.7344
-13236.1694,144759.1898
-15131.3132,144135.5043
-12293.9218,144618.3826
-13862.646,144802.9003
-15572.254,144652.2281
-13291.4906,144263.2169
-13917.4148,144725.6418
-15542.0574,144348.4636
-13507.8412,144442.5978
-13831.1798,144202.5992
-12437.8478,144850.2912
-14424.3293,144922.3846
-11982.1371,144506.241
-12022.1691,144452.3357
-14700.385,144071.4632
-13788.6906,144011.5123
-15183.4829,144486.0485
-14090.9411,144439.9763
-12708.0441,144612.1339
-12804.2075,144367.9023
-14170.8364,144489.608
-13826.7204,143911.9141
-14005.8408,144097.4887
-12641.2567,143839.2137
-13741.4304,144298.1526
-12148.0853,144310.4516
-12065.4262,144375.0673
-15338.4953,144151.39
-13860.5293,144540.4331
-12395.1317,144564.2777
-15124.3783,144255.794
-15370.5268,143941.2765
-13557.9166,144264.069
-13517.1948,144378.9408
-15096.601,144662.2282
-12192.6034,144436.5118
