"Node1(x,y)","Node2(x,y)"
"(-8614.01, 148443.4477)","(-8648.8535, 148394.3583)"
"(-8648.8535, 148394.3583)","(-8720.2911, 148386.4208)"
"(-8720.2911, 148386.4208)","(-8812.3663, 148372.1333)"
"(-8812.3663, 148372.1333)","(-8850.5592, 148387.5693)"
"(-8850.5592, 148387.5693)","(-8935.4845, 148411.6038)"
"(-8935.4845, 148411.6038)","(-8987.6025, 148462.6448)"
"(-8987.6025, 148462.6448)","(-9038.0669, 148439.9385)"
"(-9038.0669, 148439.9385)","(-9066.3106, 148485.6098)"
"(-9066.3106, 148485.6098)","(-9010.2746, 148527.4906)"
"(-9010.2746, 148527.4906)","(-8954.6357, 148560.5959)"
"(-8954.6357, 148560.5959)","(-8889.0941, 148601.9543)"
"(-8889.0941, 148601.9543)","(-8854.1155, 148651.709)"
"(-8854.1155, 148651.709)","(-8751.8455, 148651.1167)"
"(-8751.8455, 148651.1167)","(-8771.166, 148606.3245)"
"(-8771.166, 148606.3245)","(-8746.199, 148553.5474)"
"(-8746.199, 148553.5474)","(-8697.9993, 148523.3136)"
"(-8697.9993, 148523.3136)","(-8657.5039, 148490.4066)"
"(-8657.5039, 148490.4066)","(-8632.9439, 148518.0345)"
"(-8632.9439, 148518.0345)","(-8627.7733, 148523.8511)"
"(-8627.7733, 148523.8511)","(-8628.422, 148522.4633)"
"(-8628.422, 148522.4633)","(-8629.0064, 148520.2822)"
"(-8629.0064, 148520.2822)","(-8629.5949, 148518.0857)"
"(-8629.5949, 148518.0857)","(-8629.9899, 148513.5707)"
"(-8629.9899, 148513.5707)","(-8629.9899, 148507.2536)"
"(-8629.9899, 148507.2536)","(-8629.9898, 148491.6114)"
"(-8629.9898, 148491.6114)","(-8629.9898, 148488.5716)"
"(-8629.9898, 148488.5716)","(-8629.892, 148487.4534)"
"(-8629.892, 148487.4534)","(-8629.7185, 148485.4703)"
"(-8629.7185, 148485.4703)","(-8629.5948, 148484.0568)"
"(-8629.5948, 148484.0568)","(-8628.4218, 148479.6791)"
"(-8628.4218, 148479.6791)","(-8626.5066, 148475.5716)"
"(-8626.5066, 148475.5716)","(-8623.9071, 148471.8592)"
"(-8623.9071, 148471.8592)","(-8622.3745, 148470.1867)"
"(-8622.3745, 148470.1867)","(-8619.2629, 148460.2399)"
"(-8619.2629, 148460.2399)","(-8614.01, 148443.4477)"
"(-8353.7825, 151054.7689)","(-8353.8062, 151054.5314)"
"(-8353.8062, 151054.5314)","(-8351.9186, 151051.8451)"
"(-8351.9186, 151051.8451)","(-8345.8222, 151043.1695)"
"(-8345.8222, 151043.1695)","(-8339.899, 151034.7404)"
