Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-15004.847, 146448.3001)","(-14985.9796, 146452.4017)",61.161,23.2,295453.12,114884.53,443179.69,221589.84,114884.53
"(-15004.847, 146448.3001)","(-15006.1572, 146447.7433)",68.997,21.5,333307.74,129603.99,499961.6,249980.8,129603.99
"(-15004.847, 146448.3001)","(-15068.3471, 146421.3126)",56.796,18.2,274368.45,106685.93,411552.67,205776.33,106685.93
"(-15004.847, 146448.3001)","(-14895.3092, 146472.1127)",36.924,18.2,178372.76,69358.79,267559.14,133779.57,69358.79
"(-15395.0593, 147029.9924)","(-15396.9643, 147002.9783)",27.081,25.8,203501.57,72679.13,305252.36,152626.18,72679.13
"(-15395.0593, 147029.9924)","(-15415.1148, 147070.1032)",44.845,25.8,336989.87,120353.53,505484.81,252742.41,120353.53
"(-14934.8857, 146791.7556)","(-14957.1108, 146864.7807)",19.764,18.2,95475.82,37124.99,143213.73,71606.87,37124.99
"(-14934.8857, 146791.7556)","(-14876.1481, 146661.5803)",32.848,19.8,158681.62,61702.05,238022.44,119011.22,61702.05
"(-14381.3646, 146330.1981)","(-14423.8501, 146276.4208)",27.499,18.2,132840.24,51653.84,199260.36,99630.18,51653.84
"(-14381.3646, 146330.1981)","(-14357.0863, 146373.6437)",16.823,18.2,81268.09,31600.43,121902.13,60951.06,31600.43
"(-15097.5534, 146771.587)","(-15106.9975, 146756.8305)",66.315,19.8,320351.82,124566.19,480527.73,240263.86,124566.19
"(-15097.5534, 146771.587)","(-15081.5975, 146796.5181)",35.572,18.2,171839.24,66818.28,257758.86,128879.43,66818.28
"(-15248.6659, 146182.5508)","(-15267.1555, 146112.4075)",79.063,21.5,381934.18,148511.98,572901.27,286450.63,148511.98
"(-15248.6659, 146182.5508)","(-15242.831, 146256.3498)",57.598,21.5,278240.72,108191.63,417361.08,208680.54,108191.63
"(-13857.902, 145482.7554)","(-13830.6056, 145512.3439)",52.58,18.2,253999.08,98765.47,380998.63,190499.31,98765.47
"(-13857.902, 145482.7554)","(-13901.7066, 145451.0326)",17.52,18.2,84634.14,32909.3,126951.22,63475.61,32909.3
"(-13784.1085, 146314.1284)","(-13816.0853, 146267.7428)",59.5,17.1,287428.78,111764.33,431143.17,215571.59,111764.33
"(-13784.1085, 146314.1284)","(-13771.3795, 146374.6099)",64.824,17.1,313147.61,121764.89,469721.41,234860.71,121764.89
"(-13392.7905, 146645.3571)","(-13345.4341, 146644.9905)",53.913,21.4,260441.57,101270.58,390662.36,195331.18,101270.58
"(-13392.7905, 146645.3571)","(-13399.1605, 146660.2333)",60.344,21.4,291505.94,113349.7,437258.92,218629.46,113349.7
"(-15204.7673, 146093.2992)","(-15154.5597, 146159.0077)",63.648,21.5,307467.34,119556.16,461201.01,230600.51,119556.16
"(-15204.7673, 146093.2992)","(-15256.1733, 146061.7306)",54.007,21.5,260894.61,101446.74,391341.92,195670.96,101446.74
"(-15292.8237, 145882.5389)","(-15232.4657, 145844.9209)",63.871,21.5,308544.65,119975.07,462816.98,231408.49,119975.07
"(-15292.8237, 145882.5389)","(-15282.155, 145929.1411)",54.323,19.8,262420.89,102040.22,393631.33,196815.67,102040.22
"(-14114.3551, 146385.8468)","(-14075.9576, 146418.497)",64.989,18.2,313948.19,122076.19,470922.29,235461.14,122076.19
"(-14114.3551, 146385.8468)","(-14175.4321, 146400.3018)",58.95,18.2,284773.96,110732.03,427160.94,213580.47,110732.03
"(-14464.5468, 145575.303)","(-14370.7758, 145618.4563)",56.955,16.4,275136.58,106984.61,412704.87,206352.44,106984.61
"(-14464.5468, 145575.303)","(-14527.3723, 145628.1695)",52.191,16.4,252123.58,98036.2,378185.38,189092.69,98036.2
"(-15358.1451, 146280.8296)","(-15364.4106, 146255.5062)",26.087,19.4,126019.89,49001.8,189029.83,94514.91,49001.8
"(-15358.1451, 146280.8296)","(-15350.4287, 146312.0168)",32.128,19.4,155200.72,60348.53,232801.07,116400.54,60348.53
"(-14788.2223, 146386.4958)","(-14790.0579, 146378.7783)",44.422,23.2,214593.13,83442.79,321889.7,160944.85,83442.79
"(-14788.2223, 146386.4958)","(-14778.634, 146426.8089)",51.855,23.2,250496.88,97403.67,375745.32,187872.66,97403.67
"(-15254.5197, 146778.7627)","(-15199.9308, 146765.2529)",87.658,16.6,423456.34,164657.54,635184.51,317592.26,164657.54
"(-15254.5197, 146778.7627)","(-15262.5526, 146770.9846)",69.77,16.6,337043.03,131056.43,505564.55,252782.28,131056.43
