"Node1(x,y)","Node2(x,y)",edgelength,slope
"(-10353.3526, 148680.4932)","(-10313.0263, 148641.3169)",56.22270852048499,25.9151
"(-10313.0263, 148641.3169)","(-10277.6272, 148607.6859)",48.82766062192108,25.9151
"(-10277.6272, 148607.6859)","(-10337.6596, 148564.8001)",73.77723830153558,25.9151
"(-10337.6596, 148564.8001)","(-10391.9169, 148593.1855)",61.23385939535315,30.266799999999996
"(-10391.9169, 148593.1855)","(-10435.6964, 148636.4532)",61.55272929399445,30.266799999999996
"(-10435.6964, 148636.4532)","(-10501.7038, 148664.2276)",71.61280716548642,30.266799999999996
"(-10501.7038, 148664.2276)","(-10608.4063, 148610.3631)",119.52743562255058,30.266799999999996
"(-10608.4063, 148610.3631)","(-10646.6672, 148552.7456)",69.16410033434354,25.9151
"(-10646.6672, 148552.7456)","(-10677.7388, 148505.0907)",56.88966356526811,25.9151
"(-10677.7388, 148505.0907)","(-10728.1609, 148489.4802)",52.78329166185514,25.9151
"(-10728.1609, 148489.4802)","(-10762.0833, 148526.9456)",50.54092815650625,25.9151
"(-10762.0833, 148526.9456)","(-10767.8335, 148597.7791)",71.06651477518174,25.9151
"(-10767.8335, 148597.7791)","(-10737.4521, 148685.8459)",93.16002752358426,25.9151
"(-10737.4521, 148685.8459)","(-10725.9387, 148762.3938)",77.40891017170289,25.9151
"(-10725.9387, 148762.3938)","(-10721.1427, 148763.4012)",4.900660237152455,25.9151
"(-10721.1427, 148763.4012)","(-10644.9561, 148747.5641)",77.81524115473957,25.9151
"(-10644.9561, 148747.5641)","(-10584.2885, 148735.9301)",61.773033321665935,25.9151
"(-10584.2885, 148735.9301)","(-10516.7606, 148712.6666)",71.42273945082317,25.9151
"(-10516.7606, 148712.6666)","(-10434.5202, 148695.9123)",83.92967270667637,25.9151
"(-10434.5202, 148695.9123)","(-10353.3526, 148680.4932)",82.61917413391448,25.9151
"(-10337.6596, 148564.8001)","(-10385.5873, 148508.3928)",74.01924020536082,34.6185
"(-10385.5873, 148508.3928)","(-10426.1531, 148477.811)",50.80187615512749,34.6185
"(-10426.1531, 148477.811)","(-10377.6529, 148436.1235)",63.954022987534096,34.6185
"(-10377.6529, 148436.1235)","(-10336.8815, 148393.9704)",58.64461524786077,34.6185
"(-10336.8815, 148393.9704)","(-10319.8248, 148348.9077)",48.18275569307141,34.6185
"(-10319.8248, 148348.9077)","(-10300.9186, 148294.2105)",57.87251581089786,34.6185
"(-10300.9186, 148294.2105)","(-10333.7443, 148251.8483)",53.591814387346204,34.6185
"(-10333.7443, 148251.8483)","(-10381.1208, 148267.7715)",49.980806821116005,34.6185
"(-10381.1208, 148267.7715)","(-10420.7865, 148286.5091)",43.86872929832487,34.6185
"(-10420.7865, 148286.5091)","(-10473.9622, 148317.5703)",61.582897105688005,34.6185
"(-10473.9622, 148317.5703)","(-10540.3614, 148316.1299)",66.41482148436414,34.6185
"(-10540.3614, 148316.1299)","(-10535.1614, 148372.7364)",56.84484006705759,34.6185
"(-10535.1614, 148372.7364)","(-10593.7201, 148365.4353)",59.012095428816075,34.6185
"(-10593.7201, 148365.4353)","(-10616.6466, 148309.1741)",60.75316475452857,34.6185
"(-10616.6466, 148309.1741)","(-10660.7903, 148302.172)",44.695588754375095,34.6185
"(-10660.7903, 148302.172)","(-10719.8125, 148326.1684)",63.71379211599406,34.6185
"(-10719.8125, 148326.1684)","(-10778.2692, 148386.0113)",83.65619197227548,34.6185
"(-10778.2692, 148386.0113)","(-10736.4597, 148443.0764)",70.74220754441853,34.6185
"(-10736.4597, 148443.0764)","(-10671.0622, 148481.155)",75.6757080192217,34.6185
"(-10671.0622, 148481.155)","(-10588.5044, 148502.3457)",85.23400792717867,34.6185
"(-10588.5044, 148502.3457)","(-10532.9652, 148525.2196)",60.06511498241046,34.6185
"(-10532.9652, 148525.2196)","(-10561.1177, 148562.8447)",46.99160995601423,34.6185
"(-10561.1177, 148562.8447)","(-10608.4063, 148610.3631)",67.03886953492031,34.6185
