C_timber_node1node42_t0: lb=0.0, ub=0.0, type=B, cost=1842
C_timber_node1node42_t1: lb=0.0, ub=1.0, type=B, cost=1842
C_timber_node1node42_t2: lb=0.0, ub=1.0, type=B, cost=1842
C_timber_node1node42_t3: lb=0.0, ub=1.0, type=B, cost=1842
C_timber_node1node42_t4: lb=0.0, ub=1.0, type=B, cost=1842
C_timber_node1node42_t5: lb=0.0, ub=1.0, type=B, cost=1842
C_wide_node1node42_t0: lb=0.0, ub=0.0, type=B, cost=2763
C_wide_node1node42_t1: lb=0.0, ub=1.0, type=B, cost=2763
C_wide_node1node42_t2: lb=0.0, ub=1.0, type=B, cost=2763
C_wide_node1node42_t3: lb=0.0, ub=1.0, type=B, cost=2763
C_wide_node1node42_t4: lb=0.0, ub=1.0, type=B, cost=2763
C_wide_node1node42_t5: lb=0.0, ub=1.0, type=B, cost=2763
C_timber_node1node4_t0: lb=0.0, ub=0.0, type=B, cost=1389
C_timber_node1node4_t1: lb=0.0, ub=1.0, type=B, cost=1389
C_timber_node1node4_t2: lb=0.0, ub=1.0, type=B, cost=1389
C_timber_node1node4_t3: lb=0.0, ub=1.0, type=B, cost=1389
C_timber_node1node4_t4: lb=0.0, ub=1.0, type=B, cost=1389
C_timber_node1node4_t5: lb=0.0, ub=1.0, type=B, cost=1389
C_wide_node1node4_t0: lb=0.0, ub=0.0, type=B, cost=2082
C_wide_node1node4_t1: lb=0.0, ub=1.0, type=B, cost=2082
C_wide_node1node4_t2: lb=0.0, ub=1.0, type=B, cost=2082
C_wide_node1node4_t3: lb=0.0, ub=1.0, type=B, cost=2082
C_wide_node1node4_t4: lb=0.0, ub=1.0, type=B, cost=2082
C_wide_node1node4_t5: lb=0.0, ub=1.0, type=B, cost=2082
C_timber_node1node39_t0: lb=0.0, ub=0.0, type=B, cost=1375
C_timber_node1node39_t1: lb=0.0, ub=1.0, type=B, cost=1375
C_timber_node1node39_t2: lb=0.0, ub=1.0, type=B, cost=1375
C_timber_node1node39_t3: lb=0.0, ub=1.0, type=B, cost=1375
C_timber_node1node39_t4: lb=0.0, ub=1.0, type=B, cost=1375
C_timber_node1node39_t5: lb=0.0, ub=1.0, type=B, cost=1375
