variable,value
C_timber_node1node92_t1,1.0
C_timber_node1node92_t2,1.0
C_timber_node1node92_t3,1.0
C_timber_node1node92_t4,1.0
C_timber_node1node92_t5,1.0
C_wide_node1node92_t1,1.0
C_wide_node1node92_t2,1.0
C_wide_node1node92_t3,1.0
C_wide_node1node92_t4,1.0
C_wide_node1node92_t5,1.0
C_timber_node1node93_t1,1.0
C_timber_node1node93_t2,1.0
C_timber_node1node93_t3,1.0
C_timber_node1node93_t4,1.0
C_timber_node1node93_t5,1.0
C_wide_node1node93_t1,1.0
C_wide_node1node93_t2,1.0
C_wide_node1node93_t3,1.0
C_wide_node1node93_t4,1.0
C_wide_node1node93_t5,1.0
C_timber_node1node94_t1,1.0
C_timber_node1node94_t2,1.0
C_timber_node1node94_t3,1.0
C_timber_node1node94_t4,1.0
C_timber_node1node94_t5,1.0
C_wide_node1node94_t1,1.0
C_wide_node1node94_t2,1.0
C_wide_node1node94_t3,1.0
C_wide_node1node94_t4,1.0
C_wide_node1node94_t5,1.0
C_timber_node2node98_t1,1.0
C_timber_node2node98_t2,1.0
C_timber_node2node98_t3,1.0
C_timber_node2node98_t4,1.0
C_timber_node2node98_t5,1.0
C_wide_node2node98_t1,1.0
C_wide_node2node98_t2,1.0
C_wide_node2node98_t3,1.0
C_wide_node2node98_t4,1.0
C_wide_node2node98_t5,1.0
C_timber_node2node100_t1,1.0
C_timber_node2node100_t2,1.0
C_timber_node2node100_t3,1.0
C_timber_node2node100_t4,1.0
C_timber_node2node100_t5,1.0
C_wide_node2node100_t1,1.0
C_wide_node2node100_t2,1.0
C_wide_node2node100_t3,1.0
C_wide_node2node100_t4,1.0
C_wide_node2node100_t5,1.0
C_timber_node3node54_t1,1.0
C_timber_node3node18_t1,1.0
C_timber_node3node96_t1,1.0
C_timber_node3node96_t2,1.0
C_timber_node3node96_t3,1.0
C_timber_node3node96_t4,1.0
C_timber_node3node96_t5,1.0
C_wide_node3node96_t1,1.0
C_wide_node3node96_t2,1.0
C_wide_node3node96_t3,1.0
C_wide_node3node96_t4,1.0
C_wide_node3node96_t5,1.0
C_timber_node3node101_t1,1.0
C_timber_node3node101_t2,1.0
C_timber_node3node101_t3,1.0
C_timber_node3node101_t4,1.0
C_timber_node3node101_t5,1.0
C_wide_node3node101_t1,1.0
C_wide_node3node101_t2,1.0
C_wide_node3node101_t3,1.0
C_wide_node3node101_t4,1.0
C_wide_node3node101_t5,1.0
C_timber_node4node93_t1,1.0
C_timber_node4node93_t2,1.0
C_timber_node4node93_t3,1.0
C_timber_node4node93_t4,1.0
C_timber_node4node93_t5,1.0
C_wide_node4node93_t1,1.0
C_wide_node4node93_t2,1.0
C_wide_node4node93_t3,1.0
C_wide_node4node93_t4,1.0
C_wide_node4node93_t5,1.0
C_timber_node4node94_t1,1.0
C_timber_node4node94_t2,1.0
C_timber_node4node94_t3,1.0
C_timber_node4node94_t4,1.0
C_timber_node4node94_t5,1.0
C_wide_node4node94_t1,1.0
C_wide_node4node94_t2,1.0
C_wide_node4node94_t3,1.0
C_wide_node4node94_t4,1.0
C_wide_node4node94_t5,1.0
C_timber_node4node95_t1,1.0
C_timber_node4node95_t2,1.0
C_timber_node4node95_t3,1.0
C_timber_node4node95_t4,1.0
C_timber_node4node95_t5,1.0
C_wide_node4node95_t1,1.0
C_wide_node4node95_t2,1.0
C_wide_node4node95_t3,1.0
C_wide_node4node95_t4,1.0
C_wide_node4node95_t5,1.0
C_timber_node5node91_t1,1.0
C_timber_node5node91_t2,1.0
C_timber_node5node91_t3,1.0
C_timber_node5node91_t4,1.0
C_timber_node5node91_t5,1.0
C_wide_node5node91_t1,1.0
C_wide_node5node91_t2,1.0
C_wide_node5node91_t3,1.0
C_wide_node5node91_t4,1.0
C_wide_node5node91_t5,1.0
C_timber_node5node99_t1,1.0
C_timber_node5node99_t2,1.0
C_timber_node5node99_t3,1.0
C_timber_node5node99_t4,1.0
C_timber_node5node99_t5,1.0
C_wide_node5node99_t1,1.0
C_wide_node5node99_t2,1.0
C_wide_node5node99_t3,1.0
C_wide_node5node99_t4,1.0
C_wide_node5node99_t5,1.0
C_timber_node6node96_t1,1.0
C_timber_node6node96_t2,1.0
C_timber_node6node96_t3,1.0
C_timber_node6node96_t4,1.0
C_timber_node6node96_t5,1.0
C_wide_node6node96_t1,1.0
C_wide_node6node96_t2,1.0
C_wide_node6node96_t3,1.0
C_wide_node6node96_t4,1.0
C_wide_node6node96_t5,1.0
C_timber_node6node102_t1,1.0
C_timber_node6node102_t2,1.0
C_timber_node6node102_t3,1.0
C_timber_node6node102_t4,1.0
C_timber_node6node102_t5,1.0
C_wide_node6node102_t1,1.0
C_wide_node6node102_t2,1.0
C_wide_node6node102_t3,1.0
C_wide_node6node102_t4,1.0
C_wide_node6node102_t5,1.0
C_timber_node6node108_t1,1.0
C_timber_node6node108_t2,1.0
C_timber_node6node108_t3,1.0
C_timber_node6node108_t4,1.0
C_timber_node6node108_t5,1.0
C_wide_node6node108_t1,1.0
C_wide_node6node108_t2,1.0
C_wide_node6node108_t3,1.0
C_wide_node6node108_t4,1.0
C_wide_node6node108_t5,1.0
C_timber_node7node105_t1,1.0
C_timber_node7node105_t2,1.0
C_timber_node7node105_t3,1.0
C_timber_node7node105_t4,1.0
C_timber_node7node105_t5,1.0
C_wide_node7node105_t1,1.0
C_wide_node7node105_t2,1.0
C_wide_node7node105_t3,1.0
C_wide_node7node105_t4,1.0
C_wide_node7node105_t5,1.0
C_timber_node7node106_t1,1.0
C_timber_node7node106_t2,1.0
C_timber_node7node106_t3,1.0
C_timber_node7node106_t4,1.0
C_timber_node7node106_t5,1.0
C_wide_node7node106_t1,1.0
C_wide_node7node106_t2,1.0
C_wide_node7node106_t3,1.0
C_wide_node7node106_t4,1.0
C_wide_node7node106_t5,1.0
C_timber_node8node107_t1,1.0
C_timber_node8node107_t2,1.0
C_timber_node8node107_t3,1.0
C_timber_node8node107_t4,1.0
C_timber_node8node107_t5,1.0
C_wide_node8node107_t1,1.0
C_wide_node8node107_t2,1.0
C_wide_node8node107_t3,1.0
C_wide_node8node107_t4,1.0
C_wide_node8node107_t5,1.0
C_timber_node8node109_t1,1.0
C_timber_node8node109_t2,1.0
C_timber_node8node109_t3,1.0
C_timber_node8node109_t4,1.0
C_timber_node8node109_t5,1.0
C_wide_node8node109_t1,1.0
C_wide_node8node109_t2,1.0
C_wide_node8node109_t3,1.0
C_wide_node8node109_t4,1.0
C_wide_node8node109_t5,1.0
C_wide_node9node33_t4,1.0
C_timber_node9node111_t1,1.0
C_timber_node9node111_t2,1.0
C_timber_node9node111_t3,1.0
C_timber_node9node111_t4,1.0
C_timber_node9node111_t5,1.0
C_wide_node9node111_t1,1.0
C_wide_node9node111_t2,1.0
C_wide_node9node111_t3,1.0
C_wide_node9node111_t4,1.0
C_wide_node9node111_t5,1.0
C_timber_node9node113_t1,1.0
C_timber_node9node113_t2,1.0
C_timber_node9node113_t3,1.0
C_timber_node9node113_t4,1.0
C_timber_node9node113_t5,1.0
C_wide_node9node113_t1,1.0
C_wide_node9node113_t2,1.0
C_wide_node9node113_t3,1.0
C_wide_node9node113_t4,1.0
C_wide_node9node113_t5,1.0
C_wide_node10node33_t4,1.0
C_timber_node10node109_t1,1.0
C_timber_node10node109_t2,1.0
C_timber_node10node109_t3,1.0
C_timber_node10node109_t4,1.0
C_timber_node10node109_t5,1.0
C_wide_node10node109_t1,1.0
C_wide_node10node109_t2,1.0
C_wide_node10node109_t3,1.0
C_wide_node10node109_t4,1.0
C_wide_node10node109_t5,1.0
C_timber_node10node111_t1,1.0
C_timber_node10node111_t2,1.0
C_timber_node10node111_t3,1.0
C_timber_node10node111_t4,1.0
C_timber_node10node111_t5,1.0
C_wide_node10node111_t1,1.0
C_wide_node10node111_t2,1.0
C_wide_node10node111_t3,1.0
C_wide_node10node111_t4,1.0
C_wide_node10node111_t5,1.0
C_timber_node10node112_t1,1.0
C_timber_node10node112_t2,1.0
C_timber_node10node112_t3,1.0
C_timber_node10node112_t4,1.0
C_timber_node10node112_t5,1.0
C_wide_node10node112_t1,1.0
C_wide_node10node112_t2,1.0
C_wide_node10node112_t3,1.0
C_wide_node10node112_t4,1.0
