C_timber_node1node87_t0: lb=0.0, ub=0.0, type=B, cost=385
C_timber_node1node87_t1: lb=0.0, ub=1.0, type=B, cost=385
C_timber_node1node87_t2: lb=0.0, ub=1.0, type=B, cost=385
C_timber_node1node87_t3: lb=0.0, ub=1.0, type=B, cost=385
C_timber_node1node87_t4: lb=0.0, ub=1.0, type=B, cost=385
C_timber_node1node87_t5: lb=0.0, ub=1.0, type=B, cost=385
C_wide_node1node87_t0: lb=0.0, ub=0.0, type=B, cost=577
C_wide_node1node87_t1: lb=0.0, ub=1.0, type=B, cost=577
C_wide_node1node87_t2: lb=0.0, ub=1.0, type=B, cost=577
C_wide_node1node87_t3: lb=0.0, ub=1.0, type=B, cost=577
C_wide_node1node87_t4: lb=0.0, ub=1.0, type=B, cost=577
C_wide_node1node87_t5: lb=0.0, ub=1.0, type=B, cost=577
C_timber_node1node158_t0: lb=0.0, ub=0.0, type=B, cost=791
C_timber_node1node158_t1: lb=0.0, ub=1.0, type=B, cost=791
C_timber_node1node158_t2: lb=0.0, ub=1.0, type=B, cost=791
C_timber_node1node158_t3: lb=0.0, ub=1.0, type=B, cost=791
C_timber_node1node158_t4: lb=0.0, ub=1.0, type=B, cost=791
C_timber_node1node158_t5: lb=0.0, ub=1.0, type=B, cost=791
C_wide_node1node158_t0: lb=0.0, ub=0.0, type=B, cost=1186
C_wide_node1node158_t1: lb=0.0, ub=1.0, type=B, cost=1186
C_wide_node1node158_t2: lb=0.0, ub=1.0, type=B, cost=1186
C_wide_node1node158_t3: lb=0.0, ub=1.0, type=B, cost=1186
C_wide_node1node158_t4: lb=0.0, ub=1.0, type=B, cost=1186
C_wide_node1node158_t5: lb=0.0, ub=1.0, type=B, cost=1186
C_timber_node1node204_t0: lb=0.0, ub=0.0, type=B, cost=2487
C_timber_node1node204_t1: lb=0.0, ub=1.0, type=B, cost=2487
C_timber_node1node204_t2: lb=0.0, ub=1.0, type=B, cost=2487
C_timber_node1node204_t3: lb=0.0, ub=1.0, type=B, cost=2487
C_timber_node1node204_t4: lb=0.0, ub=1.0, type=B, cost=2487
C_timber_node1node204_t5: lb=0.0, ub=1.0, type=B, cost=2487
C_wide_node1node204_t0: lb=0.0, ub=0.0, type=B, cost=3727
C_wide_node1node204_t1: lb=0.0, ub=1.0, type=B, cost=3727
C_wide_node1node204_t2: lb=0.0, ub=1.0, type=B, cost=3727
C_wide_node1node204_t3: lb=0.0, ub=1.0, type=B, cost=3727
C_wide_node1node204_t4: lb=0.0, ub=1.0, type=B, cost=3727
C_wide_node1node204_t5: lb=0.0, ub=1.0, type=B, cost=3727
C_timber_node1node288_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node1node288_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node1node288_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node1node288_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node1node288_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node1node288_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node1node288_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node1node288_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node1node288_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node1node288_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node1node288_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node1node288_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node1node289_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node1node289_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node1node289_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node1node289_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node1node289_t4: lb=0.0, ub=1.0, type=B, cost=0
