variable,lb,ub,type,edge,period,road_type
flow_timber_node1node12_t1,0.0,9.0,I,node1node12,1,timber
flow_timber_node1node12_t2,0.0,9.0,I,node1node12,2,timber
flow_timber_node1node12_t3,0.0,9.0,I,node1node12,3,timber
flow_timber_node1node12_t4,0.0,9.0,I,node1node12,4,timber
flow_timber_node1node12_t5,0.0,9.0,I,node1node12,5,timber
flow_wide_node1node12_t1,0.0,9.0,I,node1node12,1,wide
flow_wide_node1node12_t2,0.0,9.0,I,node1node12,2,wide
flow_wide_node1node12_t3,0.0,9.0,I,node1node12,3,wide
flow_wide_node1node12_t4,0.0,9.0,I,node1node12,4,wide
flow_wide_node1node12_t5,0.0,9.0,I,node1node12,5,wide
flow_timber_node1node79_t1,0.0,9.0,I,node1node79,1,timber
flow_timber_node1node79_t2,0.0,9.0,I,node1node79,2,timber
flow_timber_node1node79_t3,0.0,9.0,I,node1node79,3,timber
flow_timber_node1node79_t4,0.0,9.0,I,node1node79,4,timber
flow_timber_node1node79_t5,0.0,9.0,I,node1node79,5,timber
flow_wide_node1node79_t1,0.0,9.0,I,node1node79,1,wide
flow_wide_node1node79_t2,0.0,9.0,I,node1node79,2,wide
flow_wide_node1node79_t3,0.0,9.0,I,node1node79,3,wide
flow_wide_node1node79_t4,0.0,9.0,I,node1node79,4,wide
flow_wide_node1node79_t5,0.0,9.0,I,node1node79,5,wide
flow_timber_node1node55_t1,0.0,9.0,I,node1node55,1,timber
flow_timber_node1node55_t2,0.0,9.0,I,node1node55,2,timber
flow_timber_node1node55_t3,0.0,9.0,I,node1node55,3,timber
flow_timber_node1node55_t4,0.0,9.0,I,node1node55,4,timber
flow_timber_node1node55_t5,0.0,9.0,I,node1node55,5,timber
flow_wide_node1node55_t1,0.0,9.0,I,node1node55,1,wide
flow_wide_node1node55_t2,0.0,9.0,I,node1node55,2,wide
flow_wide_node1node55_t3,0.0,9.0,I,node1node55,3,wide
flow_wide_node1node55_t4,0.0,9.0,I,node1node55,4,wide
flow_wide_node1node55_t5,0.0,9.0,I,node1node55,5,wide
flow_timber_node1node178_t1,0.0,9.0,I,node1node178,1,timber
flow_timber_node1node178_t2,0.0,9.0,I,node1node178,2,timber
flow_timber_node1node178_t3,0.0,9.0,I,node1node178,3,timber
flow_timber_node1node178_t4,0.0,9.0,I,node1node178,4,timber
flow_timber_node1node178_t5,0.0,9.0,I,node1node178,5,timber
flow_wide_node1node178_t1,0.0,9.0,I,node1node178,1,wide
flow_wide_node1node178_t2,0.0,9.0,I,node1node178,2,wide
flow_wide_node1node178_t3,0.0,9.0,I,node1node178,3,wide
flow_wide_node1node178_t4,0.0,9.0,I,node1node178,4,wide
flow_wide_node1node178_t5,0.0,9.0,I,node1node178,5,wide
flow_timber_node1node179_t1,0.0,9.0,I,node1node179,1,timber
flow_timber_node1node179_t2,0.0,9.0,I,node1node179,2,timber
flow_timber_node1node179_t3,0.0,9.0,I,node1node179,3,timber
flow_timber_node1node179_t4,0.0,9.0,I,node1node179,4,timber
flow_timber_node1node179_t5,0.0,9.0,I,node1node179,5,timber
flow_wide_node1node179_t1,0.0,9.0,I,node1node179,1,wide
flow_wide_node1node179_t2,0.0,9.0,I,node1node179,2,wide
flow_wide_node1node179_t3,0.0,9.0,I,node1node179,3,wide
flow_wide_node1node179_t4,0.0,9.0,I,node1node179,4,wide
flow_wide_node1node179_t5,0.0,9.0,I,node1node179,5,wide
flow_timber_node1node209_t1,0.0,9.0,I,node1node209,1,timber
flow_timber_node1node209_t2,0.0,9.0,I,node1node209,2,timber
flow_timber_node1node209_t3,0.0,9.0,I,node1node209,3,timber
flow_timber_node1node209_t4,0.0,9.0,I,node1node209,4,timber
flow_timber_node1node209_t5,0.0,9.0,I,node1node209,5,timber
flow_wide_node1node209_t1,0.0,9.0,I,node1node209,1,wide
flow_wide_node1node209_t2,0.0,9.0,I,node1node209,2,wide
flow_wide_node1node209_t3,0.0,9.0,I,node1node209,3,wide
flow_wide_node1node209_t4,0.0,9.0,I,node1node209,4,wide
flow_wide_node1node209_t5,0.0,9.0,I,node1node209,5,wide
flow_timber_node12node1_t1,0.0,9.0,I,node12node1,1,timber
flow_timber_node12node1_t2,0.0,9.0,I,node12node1,2,timber
flow_timber_node12node1_t3,0.0,9.0,I,node12node1,3,timber
flow_timber_node12node1_t4,0.0,9.0,I,node12node1,4,timber
flow_timber_node12node1_t5,0.0,9.0,I,node12node1,5,timber
flow_wide_node12node1_t1,0.0,9.0,I,node12node1,1,wide
flow_wide_node12node1_t2,0.0,9.0,I,node12node1,2,wide
flow_wide_node12node1_t3,0.0,9.0,I,node12node1,3,wide
flow_wide_node12node1_t4,0.0,9.0,I,node12node1,4,wide
flow_wide_node12node1_t5,0.0,9.0,I,node12node1,5,wide
flow_timber_node12node114_t1,0.0,9.0,I,node12node114,1,timber
flow_timber_node12node114_t2,0.0,9.0,I,node12node114,2,timber
flow_timber_node12node114_t3,0.0,9.0,I,node12node114,3,timber
flow_timber_node12node114_t4,0.0,9.0,I,node12node114,4,timber
flow_timber_node12node114_t5,0.0,9.0,I,node12node114,5,timber
flow_wide_node12node114_t1,0.0,9.0,I,node12node114,1,wide
flow_wide_node12node114_t2,0.0,9.0,I,node12node114,2,wide
flow_wide_node12node114_t3,0.0,9.0,I,node12node114,3,wide
flow_wide_node12node114_t4,0.0,9.0,I,node12node114,4,wide
flow_wide_node12node114_t5,0.0,9.0,I,node12node114,5,wide
flow_timber_node12node36_t1,0.0,9.0,I,node12node36,1,timber
flow_timber_node12node36_t2,0.0,9.0,I,node12node36,2,timber
flow_timber_node12node36_t3,0.0,9.0,I,node12node36,3,timber
flow_timber_node12node36_t4,0.0,9.0,I,node12node36,4,timber
flow_timber_node12node36_t5,0.0,9.0,I,node12node36,5,timber
flow_wide_node12node36_t1,0.0,9.0,I,node12node36,1,wide
flow_wide_node12node36_t2,0.0,9.0,I,node12node36,2,wide
flow_wide_node12node36_t3,0.0,9.0,I,node12node36,3,wide
flow_wide_node12node36_t4,0.0,9.0,I,node12node36,4,wide
flow_wide_node12node36_t5,0.0,9.0,I,node12node36,5,wide
flow_timber_node12node179_t1,0.0,9.0,I,node12node179,1,timber
flow_timber_node12node179_t2,0.0,9.0,I,node12node179,2,timber
flow_timber_node12node179_t3,0.0,9.0,I,node12node179,3,timber
flow_timber_node12node179_t4,0.0,9.0,I,node12node179,4,timber
flow_timber_node12node179_t5,0.0,9.0,I,node12node179,5,timber
flow_wide_node12node179_t1,0.0,9.0,I,node12node179,1,wide
flow_wide_node12node179_t2,0.0,9.0,I,node12node179,2,wide
flow_wide_node12node179_t3,0.0,9.0,I,node12node179,3,wide
flow_wide_node12node179_t4,0.0,9.0,I,node12node179,4,wide
flow_wide_node12node179_t5,0.0,9.0,I,node12node179,5,wide
flow_timber_node12node209_t1,0.0,9.0,I,node12node209,1,timber
flow_timber_node12node209_t2,0.0,9.0,I,node12node209,2,timber
flow_timber_node12node209_t3,0.0,9.0,I,node12node209,3,timber
flow_timber_node12node209_t4,0.0,9.0,I,node12node209,4,timber
flow_timber_node12node209_t5,0.0,9.0,I,node12node209,5,timber
flow_wide_node12node209_t1,0.0,9.0,I,node12node209,1,wide
flow_wide_node12node209_t2,0.0,9.0,I,node12node209,2,wide
flow_wide_node12node209_t3,0.0,9.0,I,node12node209,3,wide
flow_wide_node12node209_t4,0.0,9.0,I,node12node209,4,wide
flow_wide_node12node209_t5,0.0,9.0,I,node12node209,5,wide
