variable,value,node_type_info
C_node1node87_timber_t0,0.0,node1transit_node87transit
C_node1node87_timber_t1,0.0,node1transit_node87transit
C_node1node87_timber_t2,0.0,node1transit_node87transit
C_node1node87_timber_t3,0.0,node1transit_node87transit
C_node1node87_timber_t4,0.0,node1transit_node87transit
C_node1node87_timber_t5,0.0,node1transit_node87transit
C_node1node87_wide_t0,0.0,node1transit_node87transit
C_node1node87_wide_t1,0.0,node1transit_node87transit
C_node1node87_wide_t2,0.0,node1transit_node87transit
C_node1node87_wide_t3,0.0,node1transit_node87transit
C_node1node87_wide_t4,0.0,node1transit_node87transit
C_node1node87_wide_t5,0.0,node1transit_node87transit
C_node1node158_timber_t0,0.0,node1transit_node158transit
C_node1node158_timber_t1,1.0,node1transit_node158transit
C_node1node158_timber_t2,0.0,node1transit_node158transit
C_node1node158_timber_t3,0.0,node1transit_node158transit
C_node1node158_timber_t4,1.0,node1transit_node158transit
C_node1node158_timber_t5,0.0,node1transit_node158transit
C_node1node158_wide_t0,0.0,node1transit_node158transit
C_node1node158_wide_t1,0.0,node1transit_node158transit
C_node1node158_wide_t2,0.0,node1transit_node158transit
C_node1node158_wide_t3,0.0,node1transit_node158transit
C_node1node158_wide_t4,0.0,node1transit_node158transit
C_node1node158_wide_t5,0.0,node1transit_node158transit
C_node1node204_timber_t0,0.0,node1transit_node204transit
C_node1node204_timber_t1,0.0,node1transit_node204transit
C_node1node204_timber_t2,0.0,node1transit_node204transit
C_node1node204_timber_t3,0.0,node1transit_node204transit
C_node1node204_timber_t4,0.0,node1transit_node204transit
C_node1node204_timber_t5,0.0,node1transit_node204transit
C_node1node204_wide_t0,0.0,node1transit_node204transit
C_node1node204_wide_t1,0.0,node1transit_node204transit
C_node1node204_wide_t2,0.0,node1transit_node204transit
C_node1node204_wide_t3,0.0,node1transit_node204transit
C_node1node204_wide_t4,0.0,node1transit_node204transit
C_node1node204_wide_t5,0.0,node1transit_node204transit
C_node1node288_timber_t0,0.0,node1transit_node288source
C_node1node288_timber_t1,1.0,node1transit_node288source
C_node1node288_timber_t2,0.0,node1transit_node288source
C_node1node288_timber_t3,1.0,node1transit_node288source
C_node1node288_timber_t4,-0.0,node1transit_node288source
C_node1node288_timber_t5,0.0,node1transit_node288source
C_node1node288_wide_t0,0.0,node1transit_node288source
C_node1node288_wide_t1,0.0,node1transit_node288source
C_node1node288_wide_t2,0.0,node1transit_node288source
C_node1node288_wide_t3,-0.0,node1transit_node288source
C_node1node288_wide_t4,-0.0,node1transit_node288source
C_node1node288_wide_t5,-0.0,node1transit_node288source
C_node1node289_timber_t0,0.0,node1transit_node289source
C_node1node289_timber_t1,1.0,node1transit_node289source
C_node1node289_timber_t2,0.0,node1transit_node289source
C_node1node289_timber_t3,-0.0,node1transit_node289source
C_node1node289_timber_t4,1.0,node1transit_node289source
C_node1node289_timber_t5,-0.0,node1transit_node289source
C_node1node289_wide_t0,0.0,node1transit_node289source
C_node1node289_wide_t1,0.0,node1transit_node289source
C_node1node289_wide_t2,0.0,node1transit_node289source
C_node1node289_wide_t3,0.0,node1transit_node289source
C_node1node289_wide_t4,-0.0,node1transit_node289source
C_node1node289_wide_t5,0.0,node1transit_node289source
C_node1node292_timber_t0,0.0,node1transit_node292source
C_node1node292_timber_t1,0.0,node1transit_node292source
C_node1node292_timber_t2,0.0,node1transit_node292source
C_node1node292_timber_t3,0.0,node1transit_node292source
C_node1node292_timber_t4,0.0,node1transit_node292source
C_node1node292_timber_t5,0.0,node1transit_node292source
C_node1node292_wide_t0,0.0,node1transit_node292source
C_node1node292_wide_t1,0.0,node1transit_node292source
C_node1node292_wide_t2,0.0,node1transit_node292source
C_node1node292_wide_t3,0.0,node1transit_node292source
C_node1node292_wide_t4,0.0,node1transit_node292source
C_node1node292_wide_t5,0.0,node1transit_node292source
C_node2node16_timber_t0,0.0,node2transit_node16transit
C_node2node16_timber_t1,0.0,node2transit_node16transit
C_node2node16_timber_t2,0.0,node2transit_node16transit
C_node2node16_timber_t3,0.0,node2transit_node16transit
C_node2node16_timber_t4,0.0,node2transit_node16transit
C_node2node16_timber_t5,0.0,node2transit_node16transit
C_node2node16_wide_t0,0.0,node2transit_node16transit
C_node2node16_wide_t1,0.0,node2transit_node16transit
C_node2node16_wide_t2,0.0,node2transit_node16transit
C_node2node16_wide_t3,0.0,node2transit_node16transit
C_node2node16_wide_t4,0.0,node2transit_node16transit
C_node2node16_wide_t5,0.0,node2transit_node16transit
C_node2node114_timber_t0,0.0,node2transit_node114transit
C_node2node114_timber_t1,0.0,node2transit_node114transit
C_node2node114_timber_t2,0.0,node2transit_node114transit
C_node2node114_timber_t3,0.0,node2transit_node114transit
C_node2node114_timber_t4,0.0,node2transit_node114transit
C_node2node114_timber_t5,0.0,node2transit_node114transit
C_node2node114_wide_t0,0.0,node2transit_node114transit
C_node2node114_wide_t1,0.0,node2transit_node114transit
C_node2node114_wide_t2,0.0,node2transit_node114transit
C_node2node114_wide_t3,0.0,node2transit_node114transit
C_node2node114_wide_t4,0.0,node2transit_node114transit
C_node2node114_wide_t5,0.0,node2transit_node114transit
C_node2node80_timber_t0,0.0,node2transit_node80transit
C_node2node80_timber_t1,0.0,node2transit_node80transit
C_node2node80_timber_t2,0.0,node2transit_node80transit
C_node2node80_timber_t3,0.0,node2transit_node80transit
C_node2node80_timber_t4,0.0,node2transit_node80transit
C_node2node80_timber_t5,0.0,node2transit_node80transit
C_node2node80_wide_t0,0.0,node2transit_node80transit
C_node2node80_wide_t1,0.0,node2transit_node80transit
C_node2node80_wide_t2,0.0,node2transit_node80transit
C_node2node80_wide_t3,0.0,node2transit_node80transit
C_node2node80_wide_t4,0.0,node2transit_node80transit
C_node2node80_wide_t5,0.0,node2transit_node80transit
C_node2node364_timber_t0,0.0,node2transit_node364source
C_node2node364_timber_t1,0.0,node2transit_node364source
C_node2node364_timber_t2,0.0,node2transit_node364source
C_node2node364_timber_t3,0.0,node2transit_node364source
C_node2node364_timber_t4,0.0,node2transit_node364source
C_node2node364_timber_t5,-0.0,node2transit_node364source
C_node2node364_wide_t0,0.0,node2transit_node364source
C_node2node364_wide_t1,1.0,node2transit_node364source
C_node2node364_wide_t2,0.0,node2transit_node364source
C_node2node364_wide_t3,-0.0,node2transit_node364source
C_node2node364_wide_t4,1.0,node2transit_node364source
C_node2node364_wide_t5,0.0,node2transit_node364source
C_node2node366_timber_t0,0.0,node2transit_node366source
C_node2node366_timber_t1,0.0,node2transit_node366source
C_node2node366_timber_t2,0.0,node2transit_node366source
C_node2node366_timber_t3,-0.0,node2transit_node366source
C_node2node366_timber_t4,0.0,node2transit_node366source
C_node2node366_timber_t5,0.0,node2transit_node366source
C_node2node366_wide_t0,0.0,node2transit_node366source
C_node2node366_wide_t1,1.0,node2transit_node366source
C_node2node366_wide_t2,0.0,node2transit_node366source
C_node2node366_wide_t3,0.0,node2transit_node366source
C_node2node366_wide_t4,-0.0,node2transit_node366source
C_node2node366_wide_t5,0.0,node2transit_node366source
C_node2node367_timber_t0,0.0,node2transit_node367source
C_node2node367_timber_t1,1.0,node2transit_node367source
C_node2node367_timber_t2,0.0,node2transit_node367source
C_node2node367_timber_t3,-0.0,node2transit_node367source
C_node2node367_timber_t4,-0.0,node2transit_node367source
C_node2node367_timber_t5,0.0,node2transit_node367source
C_node2node367_wide_t0,0.0,node2transit_node367source
C_node2node367_wide_t1,0.0,node2transit_node367source
C_node2node367_wide_t2,0.0,node2transit_node367source
C_node2node367_wide_t3,0.0,node2transit_node367source
C_node2node367_wide_t4,-0.0,node2transit_node367source
C_node2node367_wide_t5,-0.0,node2transit_node367source
C_node3node123_timber_t0,0.0,node3transit_node123transit
C_node3node123_timber_t1,0.0,node3transit_node123transit
C_node3node123_timber_t2,0.0,node3transit_node123transit
C_node3node123_timber_t3,0.0,node3transit_node123transit
C_node3node123_timber_t4,0.0,node3transit_node123transit
C_node3node123_timber_t5,0.0,node3transit_node123transit
C_node3node123_wide_t0,0.0,node3transit_node123transit
C_node3node123_wide_t1,0.0,node3transit_node123transit
C_node3node123_wide_t2,0.0,node3transit_node123transit
C_node3node123_wide_t3,0.0,node3transit_node123transit
C_node3node123_wide_t4,0.0,node3transit_node123transit
C_node3node123_wide_t5,0.0,node3transit_node123transit
C_node3node73_timber_t0,0.0,node3transit_node73transit
C_node3node73_timber_t1,0.0,node3transit_node73transit
C_node3node73_timber_t2,0.0,node3transit_node73transit
C_node3node73_timber_t3,0.0,node3transit_node73transit
C_node3node73_timber_t4,0.0,node3transit_node73transit
C_node3node73_timber_t5,0.0,node3transit_node73transit
C_node3node73_wide_t0,0.0,node3transit_node73transit
C_node3node73_wide_t1,0.0,node3transit_node73transit
C_node3node73_wide_t2,0.0,node3transit_node73transit
C_node3node73_wide_t3,0.0,node3transit_node73transit
C_node3node73_wide_t4,0.0,node3transit_node73transit
C_node3node73_wide_t5,0.0,node3transit_node73transit
C_node3node172_timber_t0,0.0,node3transit_node172transit
C_node3node172_timber_t1,0.0,node3transit_node172transit
C_node3node172_timber_t2,0.0,node3transit_node172transit
C_node3node172_timber_t3,0.0,node3transit_node172transit
C_node3node172_timber_t4,0.0,node3transit_node172transit
C_node3node172_timber_t5,0.0,node3transit_node172transit
C_node3node172_wide_t0,0.0,node3transit_node172transit
C_node3node172_wide_t1,0.0,node3transit_node172transit
C_node3node172_wide_t2,0.0,node3transit_node172transit
C_node3node172_wide_t3,0.0,node3transit_node172transit
C_node3node172_wide_t4,0.0,node3transit_node172transit
C_node3node172_wide_t5,0.0,node3transit_node172transit
C_node3node341_timber_t0,0.0,node3transit_node341source
C_node3node341_timber_t1,1.0,node3transit_node341source
C_node3node341_timber_t2,0.0,node3transit_node341source
C_node3node341_timber_t3,-0.0,node3transit_node341source
C_node3node341_timber_t4,-0.0,node3transit_node341source
C_node3node341_timber_t5,-0.0,node3transit_node341source
C_node3node341_wide_t0,0.0,node3transit_node341source
C_node3node341_wide_t1,0.0,node3transit_node341source
