variable,value,node_type_info
C_node1node178_timber_t4,1.0,node1transit_node178source
C_node1node178_wide_t1,1.0,node1transit_node178source
C_node1node179_wide_t1,1.0,node1transit_node179source
C_node1node209_timber_t1,1.0,node1transit_node209source
C_node1node209_wide_t3,1.0,node1transit_node209source
C_node2node180_timber_t1,1.0,node2transit_node180source
C_node2node180_timber_t3,1.0,node2transit_node180source
C_node2node210_timber_t1,1.0,node2transit_node210source
C_node3node194_timber_t1,1.0,node3transit_node194source
C_node3node194_timber_t4,1.0,node3transit_node194source
C_node3node197_timber_t1,1.0,node3transit_node197source
C_node3node197_timber_t3,1.0,node3transit_node197source
C_node4node51_timber_t1,1.0,node4transit_node51transit
C_node4node51_timber_t4,1.0,node4transit_node51transit
C_node4node193_timber_t1,1.0,node4transit_node193source
C_node4node195_timber_t1,1.0,node4transit_node195source
C_node4node195_timber_t4,1.0,node4transit_node195source
C_node4node196_timber_t1,1.0,node4transit_node196source
C_node4node196_timber_t3,1.0,node4transit_node196source
C_node5node83_timber_t1,1.0,node5transit_node83transit
C_node5node89_timber_t1,1.0,node5transit_node89transit
C_node5node110_timber_t1,1.0,node5transit_node110transit
C_node5node174_timber_t1,1.0,node5transit_node174source
C_node5node174_timber_t4,1.0,node5transit_node174source
C_node5node180_timber_t1,1.0,node5transit_node180source
C_node5node180_wide_t3,1.0,node5transit_node180source
C_node6node96_timber_t1,1.0,node6transit_node96transit
C_node6node56_timber_t1,1.0,node6transit_node56transit
C_node6node203_wide_t1,1.0,node6transit_node203source
C_node7node145_timber_t1,1.0,node7transit_node145exit
C_node7node145_timber_t4,1.0,node7transit_node145exit
C_node7node176_timber_t1,1.0,node7transit_node176source
C_node7node176_timber_t3,1.0,node7transit_node176source
C_node8node203_wide_t1,1.0,node8transit_node203source
C_node8node208_wide_t1,1.0,node8transit_node208source
C_node8node208_wide_t3,1.0,node8transit_node208source
C_node9node176_timber_t1,1.0,node9transit_node176source
C_node9node176_timber_t3,1.0,node9transit_node176source
C_node10node25_timber_t2,1.0,node10transit_node25transit
C_node10node175_timber_t1,1.0,node10transit_node175source
C_node10node190_timber_t1,1.0,node10transit_node190source
C_node10node190_timber_t3,1.0,node10transit_node190source
C_node10node191_timber_t1,1.0,node10transit_node191source
C_node10node193_timber_t1,1.0,node10transit_node193source
C_node11node174_timber_t1,1.0,node11transit_node174source
C_node11node174_wide_t4,1.0,node11transit_node174source
C_node12node179_timber_t1,1.0,node12transit_node179source
C_node12node209_timber_t1,1.0,node12transit_node209source
C_node12node209_wide_t3,1.0,node12transit_node209source
C_node14node75_timber_t1,1.0,node14exit_node75transit
C_node16node56_timber_t1,1.0,node16transit_node56transit
C_node16node183_timber_t1,1.0,node16transit_node183source
C_node19node136_timber_t1,-1.4088730182493236e-13,node19transit_node136transit
C_node19node136_timber_t2,1.4088730182493236e-13,node19transit_node136transit
C_node19node177_timber_t1,1.0,node19transit_node177source
C_node20node175_timber_t1,1.0,node20transit_node175source
C_node20node193_timber_t1,1.0,node20transit_node193source
C_node21node186_timber_t1,1.0,node21transit_node186source
C_node21node188_timber_t1,1.0,node21transit_node188source
C_node22node177_timber_t1,1.0,node22transit_node177source
C_node22node177_timber_t5,1.0,node22transit_node177source
C_node23node128_wide_t1,1.0,node23transit_node128transit
C_node23node179_wide_t1,1.0,node23transit_node179source
C_node23node203_wide_t1,1.0,node23transit_node203source
C_node23node208_wide_t1,1.0,node23transit_node208source
C_node25node29_timber_t1,1.0,node25transit_node29transit
C_node25node61_timber_t1,1.0,node25transit_node61transit
C_node25node175_wide_t1,1.0,node25transit_node175source
C_node25node188_timber_t1,1.0,node25transit_node188source
C_node25node188_timber_t4,1.0,node25transit_node188source
C_node25node190_timber_t1,1.0,node25transit_node190source
C_node29node133_timber_t1,1.0,node29transit_node133transit
C_node29node175_timber_t1,1.0,node29transit_node175source
C_node29node188_timber_t1,1.0,node29transit_node188source
C_node29node188_timber_t4,1.0,node29transit_node188source
C_node29node189_timber_t1,1.0,node29transit_node189source
C_node29node189_wide_t4,1.0,node29transit_node189source
C_node30node174_timber_t1,1.0,node30transit_node174source
C_node31node209_timber_t1,1.0,node31transit_node209source
C_node33node175_timber_t1,1.0,node33transit_node175source
C_node33node187_timber_t1,1.0,node33transit_node187source
C_node34node192_timber_t1,1.0,node34transit_node192source
C_node34node192_timber_t3,1.0,node34transit_node192source
C_node34node194_timber_t1,1.0,node34transit_node194source
C_node34node194_timber_t4,1.0,node34transit_node194source
C_node34node195_timber_t1,1.0,node34transit_node195source
C_node34node195_wide_t3,1.0,node34transit_node195source
C_node35node184_timber_t1,1.0,node35transit_node184source
C_node35node184_timber_t4,1.0,node35transit_node184source
C_node35node198_timber_t1,1.0,node35transit_node198source
C_node35node198_timber_t3,1.0,node35transit_node198source
C_node36node52_timber_t1,1.0,node36transit_node52exit
C_node36node209_wide_t1,1.0,node36transit_node209source
C_node37node178_timber_t1,1.0,node37transit_node178source
C_node38node174_timber_t1,1.0,node38transit_node174source
C_node38node177_timber_t1,1.0,node38transit_node177source
C_node40node177_timber_t1,1.0,node40transit_node177source
C_node41node89_timber_t1,1.0,node41transit_node89transit
C_node41node73_timber_t1,1.0,node41transit_node73transit
C_node41node177_timber_t1,1.0,node41transit_node177source
C_node41node180_timber_t1,1.0,node41transit_node180source
C_node41node182_timber_t1,1.0,node41transit_node182source
C_node42node176_timber_t1,1.0,node42transit_node176source
C_node44node177_timber_t1,1.0,node44transit_node177source
C_node44node177_timber_t5,1.0,node44transit_node177source
C_node44node198_timber_t1,1.0,node44transit_node198source
C_node44node198_timber_t4,1.0,node44transit_node198source
C_node45node210_timber_t1,1.0,node45transit_node210source
C_node47node176_timber_t1,1.0,node47transit_node176source
C_node49node180_timber_t1,1.0,node49transit_node180source
C_node49node180_wide_t4,1.0,node49transit_node180source
C_node49node181_timber_t1,1.0,node49transit_node181source
C_node50node198_timber_t1,1.0,node50transit_node198source
C_node50node198_timber_t3,1.0,node50transit_node198source
C_node51node93_timber_t1,1.0,node51transit_node93transit
C_node51node93_timber_t4,1.0,node51transit_node93transit
C_node51node191_timber_t1,1.0,node51transit_node191source
C_node51node193_timber_t1,1.0,node51transit_node193source
C_node51node195_timber_t1,1.0,node51transit_node195source
C_node51node195_timber_t4,1.0,node51transit_node195source
C_node55node178_timber_t4,1.0,node55transit_node178source
C_node55node178_wide_t1,1.0,node55transit_node178source
C_node55node179_timber_t1,1.0,node55transit_node179source
C_node55node199_wide_t1,1.0,node55transit_node199source
