flow_timber_node1node2_t1: lb=0.0, ub=9.0, type=I
flow_timber_node1node2_t2: lb=0.0, ub=9.0, type=I
flow_timber_node1node2_t3: lb=0.0, ub=9.0, type=I
flow_timber_node1node2_t4: lb=0.0, ub=9.0, type=I
flow_timber_node1node2_t5: lb=0.0, ub=9.0, type=I
flow_wide_node1node2_t1: lb=0.0, ub=9.0, type=I
flow_wide_node1node2_t2: lb=0.0, ub=9.0, type=I
flow_wide_node1node2_t3: lb=0.0, ub=9.0, type=I
flow_wide_node1node2_t4: lb=0.0, ub=9.0, type=I
flow_wide_node1node2_t5: lb=0.0, ub=9.0, type=I
flow_timber_node1node3_t1: lb=0.0, ub=9.0, type=I
flow_timber_node1node3_t2: lb=0.0, ub=9.0, type=I
flow_timber_node1node3_t3: lb=0.0, ub=9.0, type=I
flow_timber_node1node3_t4: lb=0.0, ub=9.0, type=I
flow_timber_node1node3_t5: lb=0.0, ub=9.0, type=I
flow_wide_node1node3_t1: lb=0.0, ub=9.0, type=I
flow_wide_node1node3_t2: lb=0.0, ub=9.0, type=I
flow_wide_node1node3_t3: lb=0.0, ub=9.0, type=I
flow_wide_node1node3_t4: lb=0.0, ub=9.0, type=I
flow_wide_node1node3_t5: lb=0.0, ub=9.0, type=I
flow_timber_node1node4_t1: lb=0.0, ub=9.0, type=I
flow_timber_node1node4_t2: lb=0.0, ub=9.0, type=I
flow_timber_node1node4_t3: lb=0.0, ub=9.0, type=I
flow_timber_node1node4_t4: lb=0.0, ub=9.0, type=I
flow_timber_node1node4_t5: lb=0.0, ub=9.0, type=I
flow_wide_node1node4_t1: lb=0.0, ub=9.0, type=I
flow_wide_node1node4_t2: lb=0.0, ub=9.0, type=I
flow_wide_node1node4_t3: lb=0.0, ub=9.0, type=I
flow_wide_node1node4_t4: lb=0.0, ub=9.0, type=I
flow_wide_node1node4_t5: lb=0.0, ub=9.0, type=I
flow_timber_node2node1_t1: lb=0.0, ub=9.0, type=I
flow_timber_node2node1_t2: lb=0.0, ub=9.0, type=I
flow_timber_node2node1_t3: lb=0.0, ub=9.0, type=I
flow_timber_node2node1_t4: lb=0.0, ub=9.0, type=I
flow_timber_node2node1_t5: lb=0.0, ub=9.0, type=I
flow_wide_node2node1_t1: lb=0.0, ub=9.0, type=I
flow_wide_node2node1_t2: lb=0.0, ub=9.0, type=I
flow_wide_node2node1_t3: lb=0.0, ub=9.0, type=I
flow_wide_node2node1_t4: lb=0.0, ub=9.0, type=I
flow_wide_node2node1_t5: lb=0.0, ub=9.0, type=I
