Constraint group: Constraint_timberflow_enforcing_road
Total in this group: 150
Expected: 150

Constraints:
{'constraint_name': 'Constraint_timberflow_enforcing_road_node1node13_1', 'variables': ['flow_timber_node1node13_t1', 'flow_timber_node13node1_t1', 'C_node1node13_timber_t1', 'M_node1node13_timber_t1', 'C_node1node13_wide_t1', 'M_node1node13_wide_t1', 'U_node1node13_t1'], 'coefficients': [1, 1, -14, -14, -14, -14, -14]}
{'constraint_name': 'Constraint_timberflow_enforcing_road_node1node15_1', 'variables': ['flow_timber_node1node15_t1', 'flow_timber_node15node1_t1', 'C_node1node15_timber_t1', 'M_node1node15_timber_t1', 'C_node1node15_wide_t1', 'M_node1node15_wide_t1', 'U_node1node15_t1'], 'coefficients': [1, 1, -14, -14, -14, -14, -14]}
{'constraint_name': 'Constraint_timberflow_enforcing_road_node1node14_1', 'variables': ['flow_timber_node1node14_t1', 'flow_timber_node14node1_t1', 'C_node1node14_timber_t1', 'M_node1node14_timber_t1', 'C_node1node14_wide_t1', 'M_node1node14_wide_t1', 'U_node1node14_t1'], 'coefficients': [1, 1, -14, -14, -14, -14, -14]}
{'constraint_name': 'Constraint_timberflow_enforcing_road_node2node5_1', 'variables': ['flow_timber_node2node5_t1', 'flow_timber_node5node2_t1', 'C_node2node5_timber_t1', 'M_node2node5_timber_t1', 'C_node2node5_wide_t1', 'M_node2node5_wide_t1', 'U_node2node5_t1'], 'coefficients': [1, 1, -14, -14, -14, -14, -14]}
{'constraint_name': 'Constraint_timberflow_enforcing_road_node2node4_1', 'variables': ['flow_timber_node2node4_t1', 'flow_timber_node4node2_t1', 'C_node2node4_timber_t1', 'M_node2node4_timber_t1', 'C_node2node4_wide_t1', 'M_node2node4_wide_t1', 'U_node2node4_t1'], 'coefficients': [1, 1, -14, -14, -14, -14, -14]}
{'constraint_name': 'Constraint_timberflow_enforcing_road_node2node8_1', 'variables': ['flow_timber_node2node8_t1', 'flow_timber_node8node2_t1', 'C_node2node8_timber_t1', 'M_node2node8_timber_t1', 'C_node2node8_wide_t1', 'M_node2node8_wide_t1', 'U_node2node8_t1'], 'coefficients': [1, 1, -14, -14, -14, -14, -14]}
{'constraint_name': 'Constraint_timberflow_enforcing_road_node2node16_1', 'variables': ['flow_timber_node2node16_t1', 'flow_timber_node16node2_t1', 'C_node2node16_timber_t1', 'M_node2node16_timber_t1', 'C_node2node16_wide_t1', 'M_node2node16_wide_t1', 'U_node2node16_t1'], 'coefficients': [1, 1, -14, -14, -14, -14, -14]}
{'constraint_name': 'Constraint_timberflow_enforcing_road_node3node7_1', 'variables': ['flow_timber_node3node7_t1', 'flow_timber_node7node3_t1', 'C_node3node7_timber_t1', 'M_node3node7_timber_t1', 'C_node3node7_wide_t1', 'M_node3node7_wide_t1', 'U_node3node7_t1'], 'coefficients': [1, 1, -14, -14, -14, -14, -14]}
{'constraint_name': 'Constraint_timberflow_enforcing_road_node3node5_1', 'variables': ['flow_timber_node3node5_t1', 'flow_timber_node5node3_t1', 'C_node3node5_timber_t1', 'M_node3node5_timber_t1', 'C_node3node5_wide_t1', 'M_node3node5_wide_t1', 'U_node3node5_t1'], 'coefficients': [1, 1, -14, -14, -14, -14, -14]}
{'constraint_name': 'Constraint_timberflow_enforcing_road_node3node6_1', 'variables': ['flow_timber_node3node6_t1', 'flow_timber_node6node3_t1', 'C_node3node6_timber_t1', 'M_node3node6_timber_t1', 'C_node3node6_wide_t1', 'M_node3node6_wide_t1', 'U_node3node6_t1'], 'coefficients': [1, 1, -14, -14, -14, -14, -14]}
{'constraint_name': 'Constraint_timberflow_enforcing_road_node3node9_1', 'variables': ['flow_timber_node3node9_t1', 'flow_timber_node9node3_t1', 'C_node3node9_timber_t1', 'M_node3node9_timber_t1', 'C_node3node9_wide_t1', 'M_node3node9_wide_t1', 'U_node3node9_t1'], 'coefficients': [1, 1, -14, -14, -14, -14, -14]}
