arc,type
node1node31,source_in_transit_out
node18node31,exit_out_source_in
node5node31,source_in_transit_out
node7node31,source_in_transit_out
node17node31,exit_out_source_in
node14node32,source_in_transit_out
node4node32,source_in_transit_out
node19node32,exit_out_source_in
node21node32,exit_out_source_in
node20node32,exit_out_source_in
node4node33,source_in_transit_out
node5node33,source_in_transit_out
node11node33,source_in_transit_out
node21node33,exit_out_source_in
node14node33,source_in_transit_out
node13node33,source_in_transit_out
node22node33,exit_out_source_in
node8node33,source_in_transit_out
node7node33,source_in_transit_out
node8node34,source_in_transit_out
node14node34,source_in_transit_out
node9node34,source_in_transit_out
node10node34,source_in_transit_out
node9node35,source_in_transit_out
node8node35,source_in_transit_out
node10node35,source_in_transit_out
node13node36,source_in_transit_out
node9node36,source_in_transit_out
node8node36,source_in_transit_out
node16node36,source_in_transit_out
node6node36,source_in_transit_out
node23node36,exit_out_source_in
node24node36,exit_out_source_in
node15node36,source_in_transit_out
node16node37,source_in_transit_out
node15node37,source_in_transit_out
node6node37,source_in_transit_out
node26node38,exit_out_source_in
node11node38,source_in_transit_out
node30node38,exit_out_source_in
node2node38,exit_out_source_in
node28node38,exit_out_source_in
node5node38,source_in_transit_out
node25node38,exit_out_source_in
node12node38,exit_out_source_in
node3node38,exit_out_source_in
node18node38,exit_out_source_in
node1node38,source_in_transit_out
node29node38,exit_out_source_in
node27node38,exit_out_source_in
node31node18,exit_in_source_out
node31node7,source_out_transit_in
node31node5,source_out_transit_in
node31node1,source_out_transit_in
node31node17,exit_in_source_out
node32node20,exit_in_source_out
node32node21,exit_in_source_out
node32node4,source_out_transit_in
node32node14,source_out_transit_in
node32node19,exit_in_source_out
node33node8,source_out_transit_in
node33node13,source_out_transit_in
node33node4,source_out_transit_in
node33node7,source_out_transit_in
node33node11,source_out_transit_in
node33node21,exit_in_source_out
node33node14,source_out_transit_in
node33node5,source_out_transit_in
node33node22,exit_in_source_out
node34node14,source_out_transit_in
node34node9,source_out_transit_in
node34node8,source_out_transit_in
node34node10,source_out_transit_in
node35node8,source_out_transit_in
node35node10,source_out_transit_in
node35node9,source_out_transit_in
node36node6,source_out_transit_in
node36node8,source_out_transit_in
node36node13,source_out_transit_in
node36node15,source_out_transit_in
node36node24,exit_in_source_out
node36node9,source_out_transit_in
node36node16,source_out_transit_in
node36node23,exit_in_source_out
node37node15,source_out_transit_in
node37node16,source_out_transit_in
node37node6,source_out_transit_in
node38node29,exit_in_source_out
node38node3,exit_in_source_out
node38node2,exit_in_source_out
node38node5,source_out_transit_in
node38node30,exit_in_source_out
node38node26,exit_in_source_out
node38node18,exit_in_source_out
node38node27,exit_in_source_out
node38node11,source_out_transit_in
node38node25,exit_in_source_out
node38node1,source_out_transit_in
node38node28,exit_in_source_out
node38node12,exit_in_source_out
node3node2,exit_in_exit_out
node11node2,exit_in_transit_out
node2node3,exit_in_exit_out
node29node3,exit_in_exit_out
node30node12,exit_in_exit_out
node27node12,exit_in_exit_out
node1node17,exit_in_transit_out
node7node17,exit_in_transit_out
node5node18,exit_in_transit_out
node1node18,exit_in_transit_out
node20node19,exit_in_exit_out
node14node19,exit_in_transit_out
node4node20,exit_in_transit_out
node19node20,exit_in_exit_out
node4node21,exit_in_transit_out
node14node21,exit_in_transit_out
node13node22,exit_in_transit_out
node11node22,exit_in_transit_out
node24node23,exit_in_exit_out
node13node23,exit_in_transit_out
node23node24,exit_in_exit_out
node15node24,exit_in_transit_out
node28node25,exit_in_exit_out
node29node25,exit_in_exit_out
node1node26,exit_in_transit_out
node27node26,exit_in_exit_out
node12node27,exit_in_exit_out
node26node27,exit_in_exit_out
node25node28,exit_in_exit_out
node30node28,exit_in_exit_out
node3node29,exit_in_exit_out
node25node29,exit_in_exit_out
node12node30,exit_in_exit_out
node28node30,exit_in_exit_out
node2node11,exit_out_transit_in
node17node7,exit_out_transit_in
node17node1,exit_out_transit_in
node18node5,exit_out_transit_in
node18node1,exit_out_transit_in
node19node14,exit_out_transit_in
node20node4,exit_out_transit_in
node21node14,exit_out_transit_in
node21node4,exit_out_transit_in
node22node11,exit_out_transit_in
node22node13,exit_out_transit_in
node23node13,exit_out_transit_in
node24node15,exit_out_transit_in
node26node1,exit_out_transit_in
node7node4,transit_in_transit_out
node6node16,transit_in_transit_out
node15node16,transit_in_transit_out
node8node14,transit_in_transit_out
node9node14,transit_in_transit_out
node8node13,transit_in_transit_out
node9node10,transit_in_transit_out
node8node10,transit_in_transit_out
node10node9,transit_in_transit_out
node8node9,transit_in_transit_out
node6node9,transit_in_transit_out
node14node9,transit_in_transit_out
node5node11,transit_in_transit_out
node14node8,transit_in_transit_out
node13node8,transit_in_transit_out
node9node8,transit_in_transit_out
node10node8,transit_in_transit_out
node7node5,transit_in_transit_out
node11node5,transit_in_transit_out
node9node6,transit_in_transit_out
node15node6,transit_in_transit_out
node16node6,transit_in_transit_out
node4node7,transit_in_transit_out
node5node7,transit_in_transit_out
node6node15,transit_in_transit_out
node16node15,transit_in_transit_out
