variable,lb,ub,type,edge,period,road_type
flow_timber_node1node30_t1,0.0,9.0,I,node1node30,1,timber
flow_timber_node1node30_t2,0.0,9.0,I,node1node30,2,timber
flow_timber_node1node30_t3,0.0,9.0,I,node1node30,3,timber
flow_timber_node1node30_t4,0.0,9.0,I,node1node30,4,timber
flow_timber_node1node30_t5,0.0,9.0,I,node1node30,5,timber
flow_wide_node1node30_t1,0.0,9.0,I,node1node30,1,wide
flow_wide_node1node30_t2,0.0,9.0,I,node1node30,2,wide
flow_wide_node1node30_t3,0.0,9.0,I,node1node30,3,wide
flow_wide_node1node30_t4,0.0,9.0,I,node1node30,4,wide
flow_wide_node1node30_t5,0.0,9.0,I,node1node30,5,wide
flow_timber_node1node109_t1,0.0,9.0,I,node1node109,1,timber
flow_timber_node1node109_t2,0.0,9.0,I,node1node109,2,timber
flow_timber_node1node109_t3,0.0,9.0,I,node1node109,3,timber
flow_timber_node1node109_t4,0.0,9.0,I,node1node109,4,timber
flow_timber_node1node109_t5,0.0,9.0,I,node1node109,5,timber
flow_wide_node1node109_t1,0.0,9.0,I,node1node109,1,wide
flow_wide_node1node109_t2,0.0,9.0,I,node1node109,2,wide
flow_wide_node1node109_t3,0.0,9.0,I,node1node109,3,wide
flow_wide_node1node109_t4,0.0,9.0,I,node1node109,4,wide
flow_wide_node1node109_t5,0.0,9.0,I,node1node109,5,wide
flow_timber_node1node223_t1,0.0,9.0,I,node1node223,1,timber
flow_timber_node1node223_t2,0.0,9.0,I,node1node223,2,timber
flow_timber_node1node223_t3,0.0,9.0,I,node1node223,3,timber
flow_timber_node1node223_t4,0.0,9.0,I,node1node223,4,timber
flow_timber_node1node223_t5,0.0,9.0,I,node1node223,5,timber
flow_wide_node1node223_t1,0.0,9.0,I,node1node223,1,wide
flow_wide_node1node223_t2,0.0,9.0,I,node1node223,2,wide
flow_wide_node1node223_t3,0.0,9.0,I,node1node223,3,wide
flow_wide_node1node223_t4,0.0,9.0,I,node1node223,4,wide
flow_wide_node1node223_t5,0.0,9.0,I,node1node223,5,wide
flow_timber_node1node404_t1,0.0,9.0,I,node1node404,1,timber
flow_timber_node1node404_t2,0.0,9.0,I,node1node404,2,timber
flow_timber_node1node404_t3,0.0,9.0,I,node1node404,3,timber
flow_timber_node1node404_t4,0.0,9.0,I,node1node404,4,timber
flow_timber_node1node404_t5,0.0,9.0,I,node1node404,5,timber
flow_wide_node1node404_t1,0.0,9.0,I,node1node404,1,wide
flow_wide_node1node404_t2,0.0,9.0,I,node1node404,2,wide
flow_wide_node1node404_t3,0.0,9.0,I,node1node404,3,wide
flow_wide_node1node404_t4,0.0,9.0,I,node1node404,4,wide
flow_wide_node1node404_t5,0.0,9.0,I,node1node404,5,wide
flow_timber_node1node420_t1,0.0,9.0,I,node1node420,1,timber
flow_timber_node1node420_t2,0.0,9.0,I,node1node420,2,timber
flow_timber_node1node420_t3,0.0,9.0,I,node1node420,3,timber
flow_timber_node1node420_t4,0.0,9.0,I,node1node420,4,timber
flow_timber_node1node420_t5,0.0,9.0,I,node1node420,5,timber
flow_wide_node1node420_t1,0.0,9.0,I,node1node420,1,wide
flow_wide_node1node420_t2,0.0,9.0,I,node1node420,2,wide
flow_wide_node1node420_t3,0.0,9.0,I,node1node420,3,wide
flow_wide_node1node420_t4,0.0,9.0,I,node1node420,4,wide
flow_wide_node1node420_t5,0.0,9.0,I,node1node420,5,wide
flow_timber_node1node434_t1,0.0,9.0,I,node1node434,1,timber
flow_timber_node1node434_t2,0.0,9.0,I,node1node434,2,timber
flow_timber_node1node434_t3,0.0,9.0,I,node1node434,3,timber
flow_timber_node1node434_t4,0.0,9.0,I,node1node434,4,timber
flow_timber_node1node434_t5,0.0,9.0,I,node1node434,5,timber
flow_wide_node1node434_t1,0.0,9.0,I,node1node434,1,wide
flow_wide_node1node434_t2,0.0,9.0,I,node1node434,2,wide
flow_wide_node1node434_t3,0.0,9.0,I,node1node434,3,wide
flow_wide_node1node434_t4,0.0,9.0,I,node1node434,4,wide
flow_wide_node1node434_t5,0.0,9.0,I,node1node434,5,wide
flow_timber_node30node1_t1,0.0,9.0,I,node30node1,1,timber
flow_timber_node30node1_t2,0.0,9.0,I,node30node1,2,timber
flow_timber_node30node1_t3,0.0,9.0,I,node30node1,3,timber
flow_timber_node30node1_t4,0.0,9.0,I,node30node1,4,timber
flow_timber_node30node1_t5,0.0,9.0,I,node30node1,5,timber
flow_wide_node30node1_t1,0.0,9.0,I,node30node1,1,wide
flow_wide_node30node1_t2,0.0,9.0,I,node30node1,2,wide
flow_wide_node30node1_t3,0.0,9.0,I,node30node1,3,wide
flow_wide_node30node1_t4,0.0,9.0,I,node30node1,4,wide
