variable,coefficient,type,prefix,width,edge,period
C_node1node30_timber_t0,1705.0,B,C,timber,,0
C_node1node30_timber_t1,1435.56,B,C,timber,,1
C_node1node30_timber_t2,1017.7,B,C,timber,,2
C_node1node30_timber_t3,721.47,B,C,timber,,3
C_node1node30_timber_t4,511.46,B,C,timber,,4
C_node1node30_timber_t5,362.58,B,C,timber,,5
C_node1node30_wide_t0,2556.0,B,C,wide,,0
C_node1node30_wide_t1,2152.08,B,C,wide,,1
C_node1node30_wide_t2,1525.65,B,C,wide,,2
C_node1node30_wide_t3,1081.56,B,C,wide,,3
C_node1node30_wide_t4,766.74,B,C,wide,,4
C_node1node30_wide_t5,543.56,B,C,wide,,5
C_node1node109_timber_t0,3228.0,B,C,timber,,0
C_node1node109_timber_t1,2717.89,B,C,timber,,1
C_node1node109_timber_t2,1926.76,B,C,timber,,2
C_node1node109_timber_t3,1365.92,B,C,timber,,3
C_node1node109_timber_t4,968.33,B,C,timber,,4
C_node1node109_timber_t5,686.46,B,C,timber,,5
C_node1node109_wide_t0,4842.0,B,C,wide,,0
C_node1node109_wide_t1,4076.83,B,C,wide,,1
C_node1node109_wide_t2,2890.14,B,C,wide,,2
C_node1node109_wide_t3,2048.88,B,C,wide,,3
C_node1node109_wide_t4,1452.49,B,C,wide,,4
C_node1node109_wide_t5,1029.7,B,C,wide,,5
C_node1node223_timber_t0,6403.0,B,C,timber,,0
C_node1node223_timber_t1,5391.15,B,C,timber,,1
C_node1node223_timber_t2,3821.89,B,C,timber,,2
C_node1node223_timber_t3,2709.41,B,C,timber,,3
C_node1node223_timber_t4,1920.75,B,C,timber,,4
C_node1node223_timber_t5,1361.66,B,C,timber,,5
C_node1node223_wide_t0,9603.0,B,C,wide,,0
C_node1node223_wide_t1,8085.47,B,C,wide,,1
C_node1node223_wide_t2,5731.94,B,C,wide,,2
C_node1node223_wide_t3,4063.48,B,C,wide,,3
C_node1node223_wide_t4,2880.68,B,C,wide,,4
C_node1node223_wide_t5,2042.17,B,C,wide,,5
C_node1node404_timber_t0,0.0,B,C,timber,,0
C_node1node404_timber_t1,0.0,B,C,timber,,1
C_node1node404_timber_t2,0.0,B,C,timber,,2
C_node1node404_timber_t3,0.0,B,C,timber,,3
C_node1node404_timber_t4,0.0,B,C,timber,,4
C_node1node404_timber_t5,0.0,B,C,timber,,5
C_node1node404_wide_t0,0.0,B,C,wide,,0
C_node1node404_wide_t1,0.0,B,C,wide,,1
C_node1node404_wide_t2,0.0,B,C,wide,,2
C_node1node404_wide_t3,0.0,B,C,wide,,3
C_node1node404_wide_t4,0.0,B,C,wide,,4
C_node1node404_wide_t5,0.0,B,C,wide,,5
C_node1node420_timber_t0,0.0,B,C,timber,,0
C_node1node420_timber_t1,0.0,B,C,timber,,1
C_node1node420_timber_t2,0.0,B,C,timber,,2
C_node1node420_timber_t3,0.0,B,C,timber,,3
C_node1node420_timber_t4,0.0,B,C,timber,,4
C_node1node420_timber_t5,0.0,B,C,timber,,5
C_node1node420_wide_t0,0.0,B,C,wide,,0
C_node1node420_wide_t1,0.0,B,C,wide,,1
C_node1node420_wide_t2,0.0,B,C,wide,,2
C_node1node420_wide_t3,0.0,B,C,wide,,3
C_node1node420_wide_t4,0.0,B,C,wide,,4
C_node1node420_wide_t5,0.0,B,C,wide,,5
C_node1node434_timber_t0,0.0,B,C,timber,,0
C_node1node434_timber_t1,0.0,B,C,timber,,1
C_node1node434_timber_t2,0.0,B,C,timber,,2
C_node1node434_timber_t3,0.0,B,C,timber,,3
C_node1node434_timber_t4,0.0,B,C,timber,,4
C_node1node434_timber_t5,0.0,B,C,timber,,5
C_node1node434_wide_t0,0.0,B,C,wide,,0
C_node1node434_wide_t1,0.0,B,C,wide,,1
C_node1node434_wide_t2,0.0,B,C,wide,,2
C_node1node434_wide_t3,0.0,B,C,wide,,3
C_node1node434_wide_t4,0.0,B,C,wide,,4
C_node1node434_wide_t5,0.0,B,C,wide,,5
C_node2node288_timber_t0,503.0,B,C,timber,,0
C_node2node288_timber_t1,423.51,B,C,timber,,1
