variable,value,node_type_info
C_node1node30_timber_t0,0.0,node1transit_node30transit
C_node1node30_timber_t1,-0.0,node1transit_node30transit
C_node1node30_timber_t2,0.0,node1transit_node30transit
C_node1node30_timber_t3,-0.0,node1transit_node30transit
C_node1node30_timber_t4,0.0,node1transit_node30transit
C_node1node30_timber_t5,-0.0,node1transit_node30transit
C_node1node30_wide_t0,0.0,node1transit_node30transit
C_node1node30_wide_t1,-0.0,node1transit_node30transit
C_node1node30_wide_t2,-0.0,node1transit_node30transit
C_node1node30_wide_t3,-0.0,node1transit_node30transit
C_node1node30_wide_t4,-0.0,node1transit_node30transit
C_node1node30_wide_t5,0.0,node1transit_node30transit
C_node1node109_timber_t0,0.0,node1transit_node109transit
C_node1node109_timber_t1,-0.0,node1transit_node109transit
C_node1node109_timber_t2,-0.0,node1transit_node109transit
C_node1node109_timber_t3,0.0,node1transit_node109transit
C_node1node109_timber_t4,0.0,node1transit_node109transit
C_node1node109_timber_t5,-0.0,node1transit_node109transit
C_node1node109_wide_t0,0.0,node1transit_node109transit
C_node1node109_wide_t1,-0.0,node1transit_node109transit
C_node1node109_wide_t2,-0.0,node1transit_node109transit
C_node1node109_wide_t3,-0.0,node1transit_node109transit
C_node1node109_wide_t4,-0.0,node1transit_node109transit
C_node1node109_wide_t5,0.0,node1transit_node109transit
C_node1node223_timber_t0,0.0,node1transit_node223transit
C_node1node223_timber_t1,0.0,node1transit_node223transit
C_node1node223_timber_t2,-0.0,node1transit_node223transit
C_node1node223_timber_t3,0.0,node1transit_node223transit
C_node1node223_timber_t4,-0.0,node1transit_node223transit
C_node1node223_timber_t5,-0.0,node1transit_node223transit
C_node1node223_wide_t0,0.0,node1transit_node223transit
C_node1node223_wide_t1,-0.0,node1transit_node223transit
C_node1node223_wide_t2,-0.0,node1transit_node223transit
C_node1node223_wide_t3,-0.0,node1transit_node223transit
C_node1node223_wide_t4,-0.0,node1transit_node223transit
C_node1node223_wide_t5,0.0,node1transit_node223transit
C_node1node404_timber_t0,0.0,node1transit_node404source
C_node1node404_timber_t1,1.0,node1transit_node404source
C_node1node404_timber_t2,0.0,node1transit_node404source
C_node1node404_timber_t3,0.0,node1transit_node404source
C_node1node404_timber_t4,-0.0,node1transit_node404source
C_node1node404_timber_t5,-0.0,node1transit_node404source
C_node1node404_wide_t0,0.0,node1transit_node404source
C_node1node404_wide_t1,0.0,node1transit_node404source
C_node1node404_wide_t2,0.0,node1transit_node404source
C_node1node404_wide_t3,0.0,node1transit_node404source
C_node1node404_wide_t4,0.0,node1transit_node404source
C_node1node404_wide_t5,0.0,node1transit_node404source
C_node1node420_timber_t0,0.0,node1transit_node420source
C_node1node420_timber_t1,0.0,node1transit_node420source
C_node1node420_timber_t2,0.0,node1transit_node420source
C_node1node420_timber_t3,-0.0,node1transit_node420source
C_node1node420_timber_t4,-0.0,node1transit_node420source
C_node1node420_timber_t5,0.0,node1transit_node420source
