arc,type
node13node20,source_in_transit_out
node9node20,source_in_transit_out
node8node20,source_in_transit_out
node10node20,source_in_transit_out
node14node20,source_in_transit_out
node10node21,source_in_transit_out
node1node21,source_in_transit_out
node13node21,source_in_transit_out
node6node21,source_in_transit_out
node7node21,source_in_transit_out
node12node22,source_in_transit_out
node13node22,source_in_transit_out
node6node22,source_in_transit_out
node2node22,source_in_transit_out
node9node22,source_in_transit_out
node20node10,source_out_transit_in
node20node13,source_out_transit_in
node20node14,source_out_transit_in
node20node8,source_out_transit_in
node20node9,source_out_transit_in
node21node6,source_out_transit_in
node21node10,source_out_transit_in
node21node1,source_out_transit_in
node21node7,source_out_transit_in
node21node13,source_out_transit_in
node22node9,source_out_transit_in
node22node12,source_out_transit_in
node22node13,source_out_transit_in
node22node6,source_out_transit_in
node22node2,source_out_transit_in
node2node5,exit_in_transit_out
node17node5,exit_in_exit_out
node19node11,exit_in_exit_out
node3node11,exit_in_transit_out
node14node15,exit_in_transit_out
node4node15,exit_in_transit_out
node7node16,exit_in_transit_out
node4node16,exit_in_transit_out
node3node17,exit_in_transit_out
node5node17,exit_in_exit_out
node1node18,exit_in_transit_out
node4node18,exit_in_transit_out
node8node19,exit_in_transit_out
node11node19,exit_in_exit_out
node5node2,exit_out_transit_in
node11node3,exit_out_transit_in
node15node4,exit_out_transit_in
node15node14,exit_out_transit_in
node16node4,exit_out_transit_in
node16node7,exit_out_transit_in
node17node3,exit_out_transit_in
node18node1,exit_out_transit_in
node18node4,exit_out_transit_in
node19node8,exit_out_transit_in
node6node1,transit_in_transit_out
node7node1,transit_in_transit_out
node14node8,transit_in_transit_out
node9node8,transit_in_transit_out
node1node7,transit_in_transit_out
node10node7,transit_in_transit_out
node12node2,transit_in_transit_out
node6node2,transit_in_transit_out
node9node12,transit_in_transit_out
node3node12,transit_in_transit_out
node2node12,transit_in_transit_out
node8node9,transit_in_transit_out
node12node9,transit_in_transit_out
node13node9,transit_in_transit_out
node1node6,transit_in_transit_out
node2node6,transit_in_transit_out
node13node6,transit_in_transit_out
node6node13,transit_in_transit_out
node9node13,transit_in_transit_out
node10node13,transit_in_transit_out
node13node10,transit_in_transit_out
node7node10,transit_in_transit_out
node14node10,transit_in_transit_out
node12node3,transit_in_transit_out
node10node14,transit_in_transit_out
node8node14,transit_in_transit_out
