829.0 * C_node1node15_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
698.0 * C_node1node15_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
494.82 * C_node1node15_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
350.79 * C_node1node15_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
248.68 * C_node1node15_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
176.29 * C_node1node15_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1244.0 * C_node1node15_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1047.41 * C_node1node15_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
742.53 * C_node1node15_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
526.39 * C_node1node15_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
373.17 * C_node1node15_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
264.55 * C_node1node15_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
772.0 * C_node1node23_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
650.0 * C_node1node23_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
460.8 * C_node1node23_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
326.67 * C_node1node23_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
231.58 * C_node1node23_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
164.17 * C_node1node23_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1157.0 * C_node1node23_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
974.16 * C_node1node23_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
690.6 * C_node1node23_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
489.58 * C_node1node23_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
347.07 * C_node1node23_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
246.05 * C_node1node23_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
538.0 * C_node1node29_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
452.98 * C_node1node29_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
321.13 * C_node1node29_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
227.65 * C_node1node29_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
161.39 * C_node1node29_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
114.41 * C_node1node29_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
807.0 * C_node1node29_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
679.47 * C_node1node29_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
481.69 * C_node1node29_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
341.48 * C_node1node29_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
242.08 * C_node1node29_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
171.62 * C_node1node29_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node1node36_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node1node36_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node1node36_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node1node36_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node1node36_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node1node36_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node1node36_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node1node36_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node1node36_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node1node36_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node1node36_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node1node36_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node1node39_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node1node39_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node1node39_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node1node39_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node1node39_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node1node39_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node1node39_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node1node39_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node1node39_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node1node39_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node1node39_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node1node39_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1298.0 * C_node2node28_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1092.88 * C_node2node28_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
774.76 * C_node2node28_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
549.24 * C_node2node28_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
389.37 * C_node2node28_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
276.03 * C_node2node28_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1946.0 * C_node2node28_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1638.48 * C_node2node28_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1161.55 * C_node2node28_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
823.44 * C_node2node28_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
583.75 * C_node2node28_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
413.83 * C_node2node28_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1564.0 * C_node2node18_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1316.85 * C_node2node18_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
933.54 * C_node2node18_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
661.8 * C_node2node18_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
469.16 * C_node2node18_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
332.6 * C_node2node18_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2346.0 * C_node2node18_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1975.27 * C_node2node18_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1400.31 * C_node2node18_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
992.7 * C_node2node18_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
703.75 * C_node2node18_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
498.9 * C_node2node18_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1225.0 * C_node2node17_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1031.42 * C_node2node17_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
731.19 * C_node2node17_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
518.36 * C_node2node17_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
367.47 * C_node2node17_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
260.51 * C_node2node17_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1838.0 * C_node2node17_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1547.55 * C_node2node17_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1097.08 * C_node2node17_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
777.74 * C_node2node17_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
551.36 * C_node2node17_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
390.87 * C_node2node17_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node2node39_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node39_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node39_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node39_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node39_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node39_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node39_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node39_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node39_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node39_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node39_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node39_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node2node41_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node41_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
