variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node1node2_timber_t0,0.0,0.0,B,C,timber,node1node2,0,1638.0
C_node1node2_timber_t1,0.0,1.0,B,C,timber,node1node2,1,1379.15
C_node1node2_timber_t2,0.0,1.0,B,C,timber,node1node2,2,977.71
C_node1node2_timber_t3,0.0,1.0,B,C,timber,node1node2,3,693.11
C_node1node2_timber_t4,0.0,1.0,B,C,timber,node1node2,4,491.36
C_node1node2_timber_t5,0.0,1.0,B,C,timber,node1node2,5,348.34
C_node1node2_wide_t0,0.0,0.0,B,C,wide,node1node2,0,2456.0
C_node1node2_wide_t1,0.0,1.0,B,C,wide,node1node2,1,2067.89
C_node1node2_wide_t2,0.0,1.0,B,C,wide,node1node2,2,1465.96
C_node1node2_wide_t3,0.0,1.0,B,C,wide,node1node2,3,1039.25
C_node1node2_wide_t4,0.0,1.0,B,C,wide,node1node2,4,736.74
C_node1node2_wide_t5,0.0,1.0,B,C,wide,node1node2,5,522.29
C_node1node9_timber_t0,0.0,0.0,B,C,timber,node1node9,0,1656.0
C_node1node9_timber_t1,0.0,1.0,B,C,timber,node1node9,1,1394.31
C_node1node9_timber_t2,0.0,1.0,B,C,timber,node1node9,2,988.45
C_node1node9_timber_t3,0.0,1.0,B,C,timber,node1node9,3,700.73
C_node1node9_timber_t4,0.0,1.0,B,C,timber,node1node9,4,496.76
C_node1node9_timber_t5,0.0,1.0,B,C,timber,node1node9,5,352.16
C_node1node9_wide_t0,0.0,0.0,B,C,wide,node1node9,0,2485.0
C_node1node9_wide_t1,0.0,1.0,B,C,wide,node1node9,1,2092.3
C_node1node9_wide_t2,0.0,1.0,B,C,wide,node1node9,2,1483.27
C_node1node9_wide_t3,0.0,1.0,B,C,wide,node1node9,3,1051.52
C_node1node9_wide_t4,0.0,1.0,B,C,wide,node1node9,4,745.44
C_node1node9_wide_t5,0.0,1.0,B,C,wide,node1node9,5,528.46
C_node1node8_timber_t0,0.0,0.0,B,C,timber,node1node8,0,1043.0
C_node1node8_timber_t1,0.0,1.0,B,C,timber,node1node8,1,878.18
C_node1node8_timber_t2,0.0,1.0,B,C,timber,node1node8,2,622.56
C_node1node8_timber_t3,0.0,1.0,B,C,timber,node1node8,3,441.34
C_node1node8_timber_t4,0.0,1.0,B,C,timber,node1node8,4,312.88
C_node1node8_timber_t5,0.0,1.0,B,C,timber,node1node8,5,221.8
C_node1node8_wide_t0,0.0,0.0,B,C,wide,node1node8,0,1564.0
C_node1node8_wide_t1,0.0,1.0,B,C,wide,node1node8,1,1316.85
C_node1node8_wide_t2,0.0,1.0,B,C,wide,node1node8,2,933.54
C_node1node8_wide_t3,0.0,1.0,B,C,wide,node1node8,3,661.8
C_node1node8_wide_t4,0.0,1.0,B,C,wide,node1node8,4,469.16
C_node1node8_wide_t5,0.0,1.0,B,C,wide,node1node8,5,332.6
C_node1node13_timber_t0,0.0,0.0,B,C,timber,node1node13,0,0.0
C_node1node13_timber_t1,0.0,1.0,B,C,timber,node1node13,1,0.0
C_node1node13_timber_t2,0.0,1.0,B,C,timber,node1node13,2,0.0
C_node1node13_timber_t3,0.0,1.0,B,C,timber,node1node13,3,0.0
C_node1node13_timber_t4,0.0,1.0,B,C,timber,node1node13,4,0.0
C_node1node13_timber_t5,0.0,1.0,B,C,timber,node1node13,5,0.0
C_node1node13_wide_t0,0.0,0.0,B,C,wide,node1node13,0,0.0
C_node1node13_wide_t1,0.0,1.0,B,C,wide,node1node13,1,0.0
C_node1node13_wide_t2,0.0,1.0,B,C,wide,node1node13,2,0.0
C_node1node13_wide_t3,0.0,1.0,B,C,wide,node1node13,3,0.0
C_node1node13_wide_t4,0.0,1.0,B,C,wide,node1node13,4,0.0
C_node1node13_wide_t5,0.0,1.0,B,C,wide,node1node13,5,0.0
C_node1node15_timber_t0,0.0,0.0,B,C,timber,node1node15,0,0.0
C_node1node15_timber_t1,0.0,1.0,B,C,timber,node1node15,1,0.0
C_node1node15_timber_t2,0.0,1.0,B,C,timber,node1node15,2,0.0
C_node1node15_timber_t3,0.0,1.0,B,C,timber,node1node15,3,0.0
C_node1node15_timber_t4,0.0,1.0,B,C,timber,node1node15,4,0.0
C_node1node15_timber_t5,0.0,1.0,B,C,timber,node1node15,5,0.0
C_node1node15_wide_t0,0.0,0.0,B,C,wide,node1node15,0,0.0
C_node1node15_wide_t1,0.0,1.0,B,C,wide,node1node15,1,0.0
C_node1node15_wide_t2,0.0,1.0,B,C,wide,node1node15,2,0.0
C_node1node15_wide_t3,0.0,1.0,B,C,wide,node1node15,3,0.0
C_node1node15_wide_t4,0.0,1.0,B,C,wide,node1node15,4,0.0
C_node1node15_wide_t5,0.0,1.0,B,C,wide,node1node15,5,0.0
C_node1node16_timber_t0,0.0,0.0,B,C,timber,node1node16,0,0.0
C_node1node16_timber_t1,0.0,1.0,B,C,timber,node1node16,1,0.0
C_node1node16_timber_t2,0.0,1.0,B,C,timber,node1node16,2,0.0
C_node1node16_timber_t3,0.0,1.0,B,C,timber,node1node16,3,0.0
C_node1node16_timber_t4,0.0,1.0,B,C,timber,node1node16,4,0.0
C_node1node16_timber_t5,0.0,1.0,B,C,timber,node1node16,5,0.0
C_node1node16_wide_t0,0.0,0.0,B,C,wide,node1node16,0,0.0
C_node1node16_wide_t1,0.0,1.0,B,C,wide,node1node16,1,0.0
C_node1node16_wide_t2,0.0,1.0,B,C,wide,node1node16,2,0.0
C_node1node16_wide_t3,0.0,1.0,B,C,wide,node1node16,3,0.0
C_node1node16_wide_t4,0.0,1.0,B,C,wide,node1node16,4,0.0
C_node1node16_wide_t5,0.0,1.0,B,C,wide,node1node16,5,0.0
C_node2node5_timber_t0,0.0,0.0,B,C,timber,node2node5,0,362.0
C_node2node5_timber_t1,0.0,1.0,B,C,timber,node2node5,1,304.79
C_node2node5_timber_t2,0.0,1.0,B,C,timber,node2node5,2,216.07
C_node2node5_timber_t3,0.0,1.0,B,C,timber,node2node5,3,153.18
C_node2node5_timber_t4,0.0,1.0,B,C,timber,node2node5,4,108.59
C_node2node5_timber_t5,0.0,1.0,B,C,timber,node2node5,5,76.98
C_node2node5_wide_t0,0.0,0.0,B,C,wide,node2node5,0,544.0
C_node2node5_wide_t1,0.0,1.0,B,C,wide,node2node5,1,458.03
C_node2node5_wide_t2,0.0,1.0,B,C,wide,node2node5,2,324.71
C_node2node5_wide_t3,0.0,1.0,B,C,wide,node2node5,3,230.19
C_node2node5_wide_t4,0.0,1.0,B,C,wide,node2node5,4,163.19
C_node2node5_wide_t5,0.0,1.0,B,C,wide,node2node5,5,115.69
C_node2node6_timber_t0,0.0,0.0,B,C,timber,node2node6,0,304.0
C_node2node6_timber_t1,0.0,1.0,B,C,timber,node2node6,1,255.96
C_node2node6_timber_t2,0.0,1.0,B,C,timber,node2node6,2,181.45
C_node2node6_timber_t3,0.0,1.0,B,C,timber,node2node6,3,128.64
C_node2node6_timber_t4,0.0,1.0,B,C,timber,node2node6,4,91.19
C_node2node6_timber_t5,0.0,1.0,B,C,timber,node2node6,5,64.65
C_node2node6_wide_t0,0.0,0.0,B,C,wide,node2node6,0,456.0
C_node2node6_wide_t1,0.0,1.0,B,C,wide,node2node6,1,383.94
C_node2node6_wide_t2,0.0,1.0,B,C,wide,node2node6,2,272.18
C_node2node6_wide_t3,0.0,1.0,B,C,wide,node2node6,3,192.96
C_node2node6_wide_t4,0.0,1.0,B,C,wide,node2node6,4,136.79
C_node2node6_wide_t5,0.0,1.0,B,C,wide,node2node6,5,96.97
C_node2node13_timber_t0,0.0,0.0,B,C,timber,node2node13,0,0.0
C_node2node13_timber_t1,0.0,1.0,B,C,timber,node2node13,1,0.0
C_node2node13_timber_t2,0.0,1.0,B,C,timber,node2node13,2,0.0
C_node2node13_timber_t3,0.0,1.0,B,C,timber,node2node13,3,0.0
C_node2node13_timber_t4,0.0,1.0,B,C,timber,node2node13,4,0.0
C_node2node13_timber_t5,0.0,1.0,B,C,timber,node2node13,5,0.0
C_node2node13_wide_t0,0.0,0.0,B,C,wide,node2node13,0,0.0
C_node2node13_wide_t1,0.0,1.0,B,C,wide,node2node13,1,0.0
C_node2node13_wide_t2,0.0,1.0,B,C,wide,node2node13,2,0.0
C_node2node13_wide_t3,0.0,1.0,B,C,wide,node2node13,3,0.0
C_node2node13_wide_t4,0.0,1.0,B,C,wide,node2node13,4,0.0
C_node2node13_wide_t5,0.0,1.0,B,C,wide,node2node13,5,0.0
C_node2node14_timber_t0,0.0,0.0,B,C,timber,node2node14,0,0.0
C_node2node14_timber_t1,0.0,1.0,B,C,timber,node2node14,1,0.0
C_node2node14_timber_t2,0.0,1.0,B,C,timber,node2node14,2,0.0
C_node2node14_timber_t3,0.0,1.0,B,C,timber,node2node14,3,0.0
C_node2node14_timber_t4,0.0,1.0,B,C,timber,node2node14,4,0.0
C_node2node14_timber_t5,0.0,1.0,B,C,timber,node2node14,5,0.0
C_node2node14_wide_t0,0.0,0.0,B,C,wide,node2node14,0,0.0
C_node2node14_wide_t1,0.0,1.0,B,C,wide,node2node14,1,0.0
C_node2node14_wide_t2,0.0,1.0,B,C,wide,node2node14,2,0.0
C_node2node14_wide_t3,0.0,1.0,B,C,wide,node2node14,3,0.0
C_node2node14_wide_t4,0.0,1.0,B,C,wide,node2node14,4,0.0
C_node2node14_wide_t5,0.0,1.0,B,C,wide,node2node14,5,0.0
C_node2node16_timber_t0,0.0,0.0,B,C,timber,node2node16,0,0.0
C_node2node16_timber_t1,0.0,1.0,B,C,timber,node2node16,1,0.0
C_node2node16_timber_t2,0.0,1.0,B,C,timber,node2node16,2,0.0
C_node2node16_timber_t3,0.0,1.0,B,C,timber,node2node16,3,0.0
C_node2node16_timber_t4,0.0,1.0,B,C,timber,node2node16,4,0.0
C_node2node16_timber_t5,0.0,1.0,B,C,timber,node2node16,5,0.0
C_node2node16_wide_t0,0.0,0.0,B,C,wide,node2node16,0,0.0
C_node2node16_wide_t1,0.0,1.0,B,C,wide,node2node16,1,0.0
C_node2node16_wide_t2,0.0,1.0,B,C,wide,node2node16,2,0.0
C_node2node16_wide_t3,0.0,1.0,B,C,wide,node2node16,3,0.0
C_node2node16_wide_t4,0.0,1.0,B,C,wide,node2node16,4,0.0
C_node2node16_wide_t5,0.0,1.0,B,C,wide,node2node16,5,0.0
C_node3node10_timber_t0,0.0,0.0,B,C,timber,node3node10,0,504.0
C_node3node10_timber_t1,0.0,1.0,B,C,timber,node3node10,1,424.35
C_node3node10_timber_t2,0.0,1.0,B,C,timber,node3node10,2,300.83
C_node3node10_timber_t3,0.0,1.0,B,C,timber,node3node10,3,213.27
C_node3node10_timber_t4,0.0,1.0,B,C,timber,node3node10,4,151.19
C_node3node10_timber_t5,0.0,1.0,B,C,timber,node3node10,5,107.18
C_node3node10_wide_t0,0.0,0.0,B,C,wide,node3node10,0,755.0
C_node3node10_wide_t1,0.0,1.0,B,C,wide,node3node10,1,635.69
C_node3node10_wide_t2,0.0,1.0,B,C,wide,node3node10,2,450.65
C_node3node10_wide_t3,0.0,1.0,B,C,wide,node3node10,3,319.48
C_node3node10_wide_t4,0.0,1.0,B,C,wide,node3node10,4,226.48
C_node3node10_wide_t5,0.0,1.0,B,C,wide,node3node10,5,160.56
C_node3node11_timber_t0,0.0,0.0,B,C,timber,node3node11,0,5402.0
C_node3node11_timber_t1,0.0,1.0,B,C,timber,node3node11,1,4548.34
C_node3node11_timber_t2,0.0,1.0,B,C,timber,node3node11,2,3224.4
C_node3node11_timber_t3,0.0,1.0,B,C,timber,node3node11,3,2285.84
C_node3node11_timber_t4,0.0,1.0,B,C,timber,node3node11,4,1620.48
C_node3node11_timber_t5,0.0,1.0,B,C,timber,node3node11,5,1148.79
C_node3node11_wide_t0,0.0,0.0,B,C,wide,node3node11,0,8098.0
C_node3node11_wide_t1,0.0,1.0,B,C,wide,node3node11,1,6818.3
C_node3node11_wide_t2,0.0,1.0,B,C,wide,node3node11,2,4833.62
C_node3node11_wide_t3,0.0,1.0,B,C,wide,node3node11,3,3426.64
C_node3node11_wide_t4,0.0,1.0,B,C,wide,node3node11,4,2429.21
C_node3node11_wide_t5,0.0,1.0,B,C,wide,node3node11,5,1722.11
C_node3node14_timber_t0,0.0,0.0,B,C,timber,node3node14,0,0.0
C_node3node14_timber_t1,0.0,1.0,B,C,timber,node3node14,1,0.0
C_node3node14_timber_t2,0.0,1.0,B,C,timber,node3node14,2,0.0
C_node3node14_timber_t3,0.0,1.0,B,C,timber,node3node14,3,0.0
C_node3node14_timber_t4,0.0,1.0,B,C,timber,node3node14,4,0.0
C_node3node14_timber_t5,0.0,1.0,B,C,timber,node3node14,5,0.0
C_node3node14_wide_t0,0.0,0.0,B,C,wide,node3node14,0,0.0
C_node3node14_wide_t1,0.0,1.0,B,C,wide,node3node14,1,0.0
C_node3node14_wide_t2,0.0,1.0,B,C,wide,node3node14,2,0.0
C_node3node14_wide_t3,0.0,1.0,B,C,wide,node3node14,3,0.0
C_node3node14_wide_t4,0.0,1.0,B,C,wide,node3node14,4,0.0
C_node3node14_wide_t5,0.0,1.0,B,C,wide,node3node14,5,0.0
C_node4node9_timber_t0,0.0,0.0,B,C,timber,node4node9,0,47.0
C_node4node9_timber_t1,0.0,1.0,B,C,timber,node4node9,1,39.57
C_node4node9_timber_t2,0.0,1.0,B,C,timber,node4node9,2,28.05
C_node4node9_timber_t3,0.0,1.0,B,C,timber,node4node9,3,19.89
C_node4node9_timber_t4,0.0,1.0,B,C,timber,node4node9,4,14.1
C_node4node9_timber_t5,0.0,1.0,B,C,timber,node4node9,5,9.99
C_node4node9_wide_t0,0.0,0.0,B,C,wide,node4node9,0,70.0
C_node4node9_wide_t1,0.0,1.0,B,C,wide,node4node9,1,58.94
C_node4node9_wide_t2,0.0,1.0,B,C,wide,node4node9,2,41.78
C_node4node9_wide_t3,0.0,1.0,B,C,wide,node4node9,3,29.62
C_node4node9_wide_t4,0.0,1.0,B,C,wide,node4node9,4,21.0
C_node4node9_wide_t5,0.0,1.0,B,C,wide,node4node9,5,14.89
C_node4node12_timber_t0,0.0,0.0,B,C,timber,node4node12,0,2035.0
C_node4node12_timber_t1,0.0,1.0,B,C,timber,node4node12,1,1713.42
C_node4node12_timber_t2,0.0,1.0,B,C,timber,node4node12,2,1214.67
C_node4node12_timber_t3,0.0,1.0,B,C,timber,node4node12,3,861.1
C_node4node12_timber_t4,0.0,1.0,B,C,timber,node4node12,4,610.45
C_node4node12_timber_t5,0.0,1.0,B,C,timber,node4node12,5,432.76
C_node4node12_wide_t0,0.0,0.0,B,C,wide,node4node12,0,3052.0
C_node4node12_wide_t1,0.0,1.0,B,C,wide,node4node12,1,2569.7
C_node4node12_wide_t2,0.0,1.0,B,C,wide,node4node12,2,1821.71
C_node4node12_wide_t3,0.0,1.0,B,C,wide,node4node12,3,1291.44
C_node4node12_wide_t4,0.0,1.0,B,C,wide,node4node12,4,915.53
C_node4node12_wide_t5,0.0,1.0,B,C,wide,node4node12,5,649.04
C_node4node5_timber_t0,0.0,0.0,B,C,timber,node4node5,0,4432.0
C_node4node5_timber_t1,0.0,1.0,B,C,timber,node4node5,1,3731.63
C_node4node5_timber_t2,0.0,1.0,B,C,timber,node4node5,2,2645.42
C_node4node5_timber_t3,0.0,1.0,B,C,timber,node4node5,3,1875.39
C_node4node5_timber_t4,0.0,1.0,B,C,timber,node4node5,4,1329.5
C_node4node5_timber_t5,0.0,1.0,B,C,timber,node4node5,5,942.51
C_node4node5_wide_t0,0.0,0.0,B,C,wide,node4node5,0,6648.0
C_node4node5_wide_t1,0.0,1.0,B,C,wide,node4node5,1,5597.44
C_node4node5_wide_t2,0.0,1.0,B,C,wide,node4node5,2,3968.13
C_node4node5_wide_t3,0.0,1.0,B,C,wide,node4node5,3,2813.08
C_node4node5_wide_t4,0.0,1.0,B,C,wide,node4node5,4,1994.25
C_node4node5_wide_t5,0.0,1.0,B,C,wide,node4node5,5,1413.76
C_node4node13_timber_t0,0.0,0.0,B,C,timber,node4node13,0,0.0
C_node4node13_timber_t1,0.0,1.0,B,C,timber,node4node13,1,0.0
C_node4node13_timber_t2,0.0,1.0,B,C,timber,node4node13,2,0.0
C_node4node13_timber_t3,0.0,1.0,B,C,timber,node4node13,3,0.0
C_node4node13_timber_t4,0.0,1.0,B,C,timber,node4node13,4,0.0
C_node4node13_timber_t5,0.0,1.0,B,C,timber,node4node13,5,0.0
C_node4node13_wide_t0,0.0,0.0,B,C,wide,node4node13,0,0.0
C_node4node13_wide_t1,0.0,1.0,B,C,wide,node4node13,1,0.0
C_node4node13_wide_t2,0.0,1.0,B,C,wide,node4node13,2,0.0
C_node4node13_wide_t3,0.0,1.0,B,C,wide,node4node13,3,0.0
C_node4node13_wide_t4,0.0,1.0,B,C,wide,node4node13,4,0.0
C_node4node13_wide_t5,0.0,1.0,B,C,wide,node4node13,5,0.0
C_node4node16_timber_t0,0.0,0.0,B,C,timber,node4node16,0,0.0
C_node4node16_timber_t1,0.0,1.0,B,C,timber,node4node16,1,0.0
C_node4node16_timber_t2,0.0,1.0,B,C,timber,node4node16,2,0.0
C_node4node16_timber_t3,0.0,1.0,B,C,timber,node4node16,3,0.0
C_node4node16_timber_t4,0.0,1.0,B,C,timber,node4node16,4,0.0
C_node4node16_timber_t5,0.0,1.0,B,C,timber,node4node16,5,0.0
C_node4node16_wide_t0,0.0,0.0,B,C,wide,node4node16,0,0.0
C_node4node16_wide_t1,0.0,1.0,B,C,wide,node4node16,1,0.0
C_node4node16_wide_t2,0.0,1.0,B,C,wide,node4node16,2,0.0
C_node4node16_wide_t3,0.0,1.0,B,C,wide,node4node16,3,0.0
C_node4node16_wide_t4,0.0,1.0,B,C,wide,node4node16,4,0.0
C_node4node16_wide_t5,0.0,1.0,B,C,wide,node4node16,5,0.0
C_node5node10_timber_t0,0.0,0.0,B,C,timber,node5node10,0,914.0
C_node5node10_timber_t1,0.0,1.0,B,C,timber,node5node10,1,769.56
C_node5node10_timber_t2,0.0,1.0,B,C,timber,node5node10,2,545.56
C_node5node10_timber_t3,0.0,1.0,B,C,timber,node5node10,3,386.76
C_node5node10_timber_t4,0.0,1.0,B,C,timber,node5node10,4,274.18
C_node5node10_timber_t5,0.0,1.0,B,C,timber,node5node10,5,194.37
C_node5node10_wide_t0,0.0,0.0,B,C,wide,node5node10,0,1372.0
C_node5node10_wide_t1,0.0,1.0,B,C,wide,node5node10,1,1155.19
C_node5node10_wide_t2,0.0,1.0,B,C,wide,node5node10,2,818.93
C_node5node10_wide_t3,0.0,1.0,B,C,wide,node5node10,3,580.56
C_node5node10_wide_t4,0.0,1.0,B,C,wide,node5node10,4,411.57
C_node5node10_wide_t5,0.0,1.0,B,C,wide,node5node10,5,291.77
C_node5node13_timber_t0,0.0,0.0,B,C,timber,node5node13,0,0.0
C_node5node13_timber_t1,0.0,1.0,B,C,timber,node5node13,1,0.0
C_node5node13_timber_t2,0.0,1.0,B,C,timber,node5node13,2,0.0
C_node5node13_timber_t3,0.0,1.0,B,C,timber,node5node13,3,0.0
C_node5node13_timber_t4,0.0,1.0,B,C,timber,node5node13,4,0.0
C_node5node13_timber_t5,0.0,1.0,B,C,timber,node5node13,5,0.0
C_node5node13_wide_t0,0.0,0.0,B,C,wide,node5node13,0,0.0
C_node5node13_wide_t1,0.0,1.0,B,C,wide,node5node13,1,0.0
C_node5node13_wide_t2,0.0,1.0,B,C,wide,node5node13,2,0.0
C_node5node13_wide_t3,0.0,1.0,B,C,wide,node5node13,3,0.0
C_node5node13_wide_t4,0.0,1.0,B,C,wide,node5node13,4,0.0
C_node5node13_wide_t5,0.0,1.0,B,C,wide,node5node13,5,0.0
C_node5node14_timber_t0,0.0,0.0,B,C,timber,node5node14,0,0.0
C_node5node14_timber_t1,0.0,1.0,B,C,timber,node5node14,1,0.0
C_node5node14_timber_t2,0.0,1.0,B,C,timber,node5node14,2,0.0
