flow_timber_node1node391_t1: lb=0.0, ub=9.0, type=I
flow_timber_node1node391_t2: lb=0.0, ub=9.0, type=I
flow_timber_node1node391_t3: lb=0.0, ub=9.0, type=I
flow_timber_node1node391_t4: lb=0.0, ub=9.0, type=I
flow_timber_node1node391_t5: lb=0.0, ub=9.0, type=I
flow_wide_node1node391_t1: lb=0.0, ub=9.0, type=I
flow_wide_node1node391_t2: lb=0.0, ub=9.0, type=I
flow_wide_node1node391_t3: lb=0.0, ub=9.0, type=I
flow_wide_node1node391_t4: lb=0.0, ub=9.0, type=I
flow_wide_node1node391_t5: lb=0.0, ub=9.0, type=I
flow_timber_node1node389_t1: lb=0.0, ub=9.0, type=I
flow_timber_node1node389_t2: lb=0.0, ub=9.0, type=I
flow_timber_node1node389_t3: lb=0.0, ub=9.0, type=I
flow_timber_node1node389_t4: lb=0.0, ub=9.0, type=I
flow_timber_node1node389_t5: lb=0.0, ub=9.0, type=I
flow_wide_node1node389_t1: lb=0.0, ub=9.0, type=I
flow_wide_node1node389_t2: lb=0.0, ub=9.0, type=I
flow_wide_node1node389_t3: lb=0.0, ub=9.0, type=I
flow_wide_node1node389_t4: lb=0.0, ub=9.0, type=I
flow_wide_node1node389_t5: lb=0.0, ub=9.0, type=I
flow_timber_node1node29_t1: lb=0.0, ub=9.0, type=I
flow_timber_node1node29_t2: lb=0.0, ub=9.0, type=I
flow_timber_node1node29_t3: lb=0.0, ub=9.0, type=I
flow_timber_node1node29_t4: lb=0.0, ub=9.0, type=I
flow_timber_node1node29_t5: lb=0.0, ub=9.0, type=I
flow_wide_node1node29_t1: lb=0.0, ub=9.0, type=I
flow_wide_node1node29_t2: lb=0.0, ub=9.0, type=I
flow_wide_node1node29_t3: lb=0.0, ub=9.0, type=I
flow_wide_node1node29_t4: lb=0.0, ub=9.0, type=I
flow_wide_node1node29_t5: lb=0.0, ub=9.0, type=I
flow_timber_node1node544_t1: lb=0.0, ub=9.0, type=I
flow_timber_node1node544_t2: lb=0.0, ub=9.0, type=I
flow_timber_node1node544_t3: lb=0.0, ub=9.0, type=I
flow_timber_node1node544_t4: lb=0.0, ub=9.0, type=I
flow_timber_node1node544_t5: lb=0.0, ub=9.0, type=I
flow_wide_node1node544_t1: lb=0.0, ub=9.0, type=I
flow_wide_node1node544_t2: lb=0.0, ub=9.0, type=I
flow_wide_node1node544_t3: lb=0.0, ub=9.0, type=I
flow_wide_node1node544_t4: lb=0.0, ub=9.0, type=I
flow_wide_node1node544_t5: lb=0.0, ub=9.0, type=I
flow_timber_node1node545_t1: lb=0.0, ub=9.0, type=I
flow_timber_node1node545_t2: lb=0.0, ub=9.0, type=I
flow_timber_node1node545_t3: lb=0.0, ub=9.0, type=I
flow_timber_node1node545_t4: lb=0.0, ub=9.0, type=I
flow_timber_node1node545_t5: lb=0.0, ub=9.0, type=I
flow_wide_node1node545_t1: lb=0.0, ub=9.0, type=I
flow_wide_node1node545_t2: lb=0.0, ub=9.0, type=I
flow_wide_node1node545_t3: lb=0.0, ub=9.0, type=I
flow_wide_node1node545_t4: lb=0.0, ub=9.0, type=I
flow_wide_node1node545_t5: lb=0.0, ub=9.0, type=I
flow_timber_node1node553_t1: lb=0.0, ub=9.0, type=I
flow_timber_node1node553_t2: lb=0.0, ub=9.0, type=I
flow_timber_node1node553_t3: lb=0.0, ub=9.0, type=I
flow_timber_node1node553_t4: lb=0.0, ub=9.0, type=I
flow_timber_node1node553_t5: lb=0.0, ub=9.0, type=I
flow_wide_node1node553_t1: lb=0.0, ub=9.0, type=I
flow_wide_node1node553_t2: lb=0.0, ub=9.0, type=I
