variable,value,node_type_info,action,road_type,edge,period
C_node1node31_timber_t0,0.0,node1exit_node31exit,C,timber,node1node31,0.0
C_node1node31_timber_t1,0.0,node1exit_node31exit,C,timber,node1node31,1.0
C_node1node31_timber_t2,0.0,node1exit_node31exit,C,timber,node1node31,2.0
C_node1node31_timber_t3,0.0,node1exit_node31exit,C,timber,node1node31,3.0
C_node1node31_timber_t4,0.0,node1exit_node31exit,C,timber,node1node31,4.0
C_node1node31_timber_t5,0.0,node1exit_node31exit,C,timber,node1node31,5.0
C_node1node31_wide_t0,0.0,node1exit_node31exit,C,wide,node1node31,0.0
C_node1node31_wide_t1,0.0,node1exit_node31exit,C,wide,node1node31,1.0
C_node1node31_wide_t2,0.0,node1exit_node31exit,C,wide,node1node31,2.0
C_node1node31_wide_t3,0.0,node1exit_node31exit,C,wide,node1node31,3.0
C_node1node31_wide_t4,0.0,node1exit_node31exit,C,wide,node1node31,4.0
C_node1node31_wide_t5,0.0,node1exit_node31exit,C,wide,node1node31,5.0
C_node1node26_timber_t0,0.0,node1exit_node26exit,C,timber,node1node26,0.0
C_node1node26_timber_t1,0.0,node1exit_node26exit,C,timber,node1node26,1.0
C_node1node26_timber_t2,0.0,node1exit_node26exit,C,timber,node1node26,2.0
C_node1node26_timber_t3,0.0,node1exit_node26exit,C,timber,node1node26,3.0
C_node1node26_timber_t4,0.0,node1exit_node26exit,C,timber,node1node26,4.0
C_node1node26_timber_t5,0.0,node1exit_node26exit,C,timber,node1node26,5.0
C_node1node26_wide_t0,0.0,node1exit_node26exit,C,wide,node1node26,0.0
C_node1node26_wide_t1,0.0,node1exit_node26exit,C,wide,node1node26,1.0
C_node1node26_wide_t2,0.0,node1exit_node26exit,C,wide,node1node26,2.0
C_node1node26_wide_t3,0.0,node1exit_node26exit,C,wide,node1node26,3.0
C_node1node26_wide_t4,0.0,node1exit_node26exit,C,wide,node1node26,4.0
C_node1node26_wide_t5,0.0,node1exit_node26exit,C,wide,node1node26,5.0
C_node1node5_timber_t0,0.0,node1exit_node5transit,C,timber,node1node5,0.0
C_node1node5_timber_t1,0.0,node1exit_node5transit,C,timber,node1node5,1.0
C_node1node5_timber_t2,0.0,node1exit_node5transit,C,timber,node1node5,2.0
