variable,lb,ub,type,edge,period,road_type
flow_timber_node1node8_t1,0.0,9.0,I,node1node8,1,timber
flow_timber_node1node8_t2,0.0,9.0,I,node1node8,2,timber
flow_timber_node1node8_t3,0.0,9.0,I,node1node8,3,timber
flow_timber_node1node8_t4,0.0,9.0,I,node1node8,4,timber
flow_timber_node1node8_t5,0.0,9.0,I,node1node8,5,timber
flow_wide_node1node8_t1,0.0,9.0,I,node1node8,1,wide
flow_wide_node1node8_t2,0.0,9.0,I,node1node8,2,wide
flow_wide_node1node8_t3,0.0,9.0,I,node1node8,3,wide
flow_wide_node1node8_t4,0.0,9.0,I,node1node8,4,wide
flow_wide_node1node8_t5,0.0,9.0,I,node1node8,5,wide
flow_timber_node1node99_t1,0.0,9.0,I,node1node99,1,timber
flow_timber_node1node99_t2,0.0,9.0,I,node1node99,2,timber
flow_timber_node1node99_t3,0.0,9.0,I,node1node99,3,timber
flow_timber_node1node99_t4,0.0,9.0,I,node1node99,4,timber
flow_timber_node1node99_t5,0.0,9.0,I,node1node99,5,timber
flow_wide_node1node99_t1,0.0,9.0,I,node1node99,1,wide
flow_wide_node1node99_t2,0.0,9.0,I,node1node99,2,wide
flow_wide_node1node99_t3,0.0,9.0,I,node1node99,3,wide
flow_wide_node1node99_t4,0.0,9.0,I,node1node99,4,wide
flow_wide_node1node99_t5,0.0,9.0,I,node1node99,5,wide
flow_timber_node1node152_t1,0.0,9.0,I,node1node152,1,timber
flow_timber_node1node152_t2,0.0,9.0,I,node1node152,2,timber
flow_timber_node1node152_t3,0.0,9.0,I,node1node152,3,timber
flow_timber_node1node152_t4,0.0,9.0,I,node1node152,4,timber
flow_timber_node1node152_t5,0.0,9.0,I,node1node152,5,timber
flow_wide_node1node152_t1,0.0,9.0,I,node1node152,1,wide
flow_wide_node1node152_t2,0.0,9.0,I,node1node152,2,wide
flow_wide_node1node152_t3,0.0,9.0,I,node1node152,3,wide
flow_wide_node1node152_t4,0.0,9.0,I,node1node152,4,wide
flow_wide_node1node152_t5,0.0,9.0,I,node1node152,5,wide
flow_timber_node8node1_t1,0.0,9.0,I,node8node1,1,timber
flow_timber_node8node1_t2,0.0,9.0,I,node8node1,2,timber
flow_timber_node8node1_t3,0.0,9.0,I,node8node1,3,timber
flow_timber_node8node1_t4,0.0,9.0,I,node8node1,4,timber
flow_timber_node8node1_t5,0.0,9.0,I,node8node1,5,timber
flow_wide_node8node1_t1,0.0,9.0,I,node8node1,1,wide
flow_wide_node8node1_t2,0.0,9.0,I,node8node1,2,wide
flow_wide_node8node1_t3,0.0,9.0,I,node8node1,3,wide
flow_wide_node8node1_t4,0.0,9.0,I,node8node1,4,wide
flow_wide_node8node1_t5,0.0,9.0,I,node8node1,5,wide
flow_timber_node8node25_t1,0.0,9.0,I,node8node25,1,timber
flow_timber_node8node25_t2,0.0,9.0,I,node8node25,2,timber
flow_timber_node8node25_t3,0.0,9.0,I,node8node25,3,timber
flow_timber_node8node25_t4,0.0,9.0,I,node8node25,4,timber
flow_timber_node8node25_t5,0.0,9.0,I,node8node25,5,timber
flow_wide_node8node25_t1,0.0,9.0,I,node8node25,1,wide
flow_wide_node8node25_t2,0.0,9.0,I,node8node25,2,wide
flow_wide_node8node25_t3,0.0,9.0,I,node8node25,3,wide
flow_wide_node8node25_t4,0.0,9.0,I,node8node25,4,wide
flow_wide_node8node25_t5,0.0,9.0,I,node8node25,5,wide
flow_timber_node8node152_t1,0.0,9.0,I,node8node152,1,timber
flow_timber_node8node152_t2,0.0,9.0,I,node8node152,2,timber
flow_timber_node8node152_t3,0.0,9.0,I,node8node152,3,timber
flow_timber_node8node152_t4,0.0,9.0,I,node8node152,4,timber
flow_timber_node8node152_t5,0.0,9.0,I,node8node152,5,timber
flow_wide_node8node152_t1,0.0,9.0,I,node8node152,1,wide
flow_wide_node8node152_t2,0.0,9.0,I,node8node152,2,wide
flow_wide_node8node152_t3,0.0,9.0,I,node8node152,3,wide
flow_wide_node8node152_t4,0.0,9.0,I,node8node152,4,wide
flow_wide_node8node152_t5,0.0,9.0,I,node8node152,5,wide
flow_timber_node99node1_t1,0.0,9.0,I,node99node1,1,timber
flow_timber_node99node1_t2,0.0,9.0,I,node99node1,2,timber
flow_timber_node99node1_t3,0.0,9.0,I,node99node1,3,timber
flow_timber_node99node1_t4,0.0,9.0,I,node99node1,4,timber
flow_timber_node99node1_t5,0.0,9.0,I,node99node1,5,timber
flow_wide_node99node1_t1,0.0,9.0,I,node99node1,1,wide
flow_wide_node99node1_t2,0.0,9.0,I,node99node1,2,wide
flow_wide_node99node1_t3,0.0,9.0,I,node99node1,3,wide
flow_wide_node99node1_t4,0.0,9.0,I,node99node1,4,wide
flow_wide_node99node1_t5,0.0,9.0,I,node99node1,5,wide
flow_timber_node99node20_t1,0.0,9.0,I,node99node20,1,timber
flow_timber_node99node20_t2,0.0,9.0,I,node99node20,2,timber
flow_timber_node99node20_t3,0.0,9.0,I,node99node20,3,timber
flow_timber_node99node20_t4,0.0,9.0,I,node99node20,4,timber
flow_timber_node99node20_t5,0.0,9.0,I,node99node20,5,timber
flow_wide_node99node20_t1,0.0,9.0,I,node99node20,1,wide
flow_wide_node99node20_t2,0.0,9.0,I,node99node20,2,wide
flow_wide_node99node20_t3,0.0,9.0,I,node99node20,3,wide
