variable,value
C_timber_node1node11_t1,1.0
C_timber_node1node11_t2,1.0
C_timber_node1node11_t3,1.0
C_timber_node1node11_t4,1.0
C_timber_node1node11_t5,1.0
C_wide_node1node11_t1,1.0
C_wide_node1node11_t2,1.0
C_wide_node1node11_t3,1.0
C_wide_node1node11_t4,1.0
C_wide_node1node11_t5,1.0
C_timber_node1node14_t1,1.0
C_timber_node1node14_t2,1.0
C_timber_node1node14_t3,1.0
C_timber_node1node14_t4,1.0
C_timber_node1node14_t5,1.0
C_wide_node1node14_t1,1.0
C_wide_node1node14_t2,1.0
C_wide_node1node14_t3,1.0
C_wide_node1node14_t4,1.0
C_wide_node1node14_t5,1.0
C_timber_node1node17_t1,1.0
C_timber_node1node17_t2,1.0
C_timber_node1node17_t3,1.0
C_timber_node1node17_t4,1.0
C_timber_node1node17_t5,1.0
C_wide_node1node17_t1,1.0
C_wide_node1node17_t2,1.0
C_wide_node1node17_t3,1.0
C_wide_node1node17_t4,1.0
C_wide_node1node17_t5,1.0
C_timber_node1node23_t1,1.0
C_timber_node1node23_t2,1.0
C_timber_node1node23_t3,1.0
C_timber_node1node23_t4,1.0
C_timber_node1node23_t5,1.0
C_wide_node1node23_t1,1.0
C_wide_node1node23_t2,1.0
C_wide_node1node23_t3,1.0
C_wide_node1node23_t4,1.0
C_wide_node1node23_t5,1.0
C_timber_node1node24_t1,1.0
C_timber_node1node24_t2,1.0
C_timber_node1node24_t3,1.0
C_timber_node1node24_t4,1.0
C_timber_node1node24_t5,1.0
C_wide_node1node24_t1,1.0
C_wide_node1node24_t2,1.0
C_wide_node1node24_t3,1.0
C_wide_node1node24_t4,1.0
C_wide_node1node24_t5,1.0
C_timber_node2node3_t1,1.0
C_timber_node2node3_t2,1.0
C_timber_node2node3_t3,1.0
C_timber_node2node3_t4,1.0
C_timber_node2node3_t5,1.0
C_wide_node2node3_t1,1.0
C_wide_node2node3_t2,1.0
C_wide_node2node3_t3,1.0
C_wide_node2node3_t4,1.0
C_wide_node2node3_t5,1.0
C_timber_node2node8_t1,1.0
C_timber_node2node8_t2,1.0
C_timber_node2node8_t3,1.0
C_timber_node2node8_t4,1.0
C_timber_node2node8_t5,1.0
C_wide_node2node8_t1,1.0
C_wide_node2node8_t2,1.0
C_wide_node2node8_t3,1.0
C_wide_node2node8_t4,1.0
C_wide_node2node8_t5,1.0
C_timber_node2node14_t1,1.0
C_timber_node2node14_t2,1.0
C_timber_node2node14_t3,1.0
C_timber_node2node14_t4,1.0
C_timber_node2node14_t5,1.0
C_wide_node2node14_t1,1.0
C_wide_node2node14_t2,1.0
C_wide_node2node14_t3,1.0
C_wide_node2node14_t4,1.0
C_wide_node2node14_t5,1.0
C_timber_node2node22_t1,1.0
C_timber_node2node22_t2,1.0
C_timber_node2node22_t3,1.0
C_timber_node2node22_t4,1.0
C_timber_node2node22_t5,1.0
C_wide_node2node22_t1,1.0
C_wide_node2node22_t2,1.0
C_wide_node2node22_t3,1.0
C_wide_node2node22_t4,1.0
C_wide_node2node22_t5,1.0
C_timber_node2node23_t1,1.0
C_timber_node2node23_t2,1.0
C_timber_node2node23_t3,1.0
C_timber_node2node23_t4,1.0
C_timber_node2node23_t5,1.0
C_wide_node2node23_t1,1.0
C_wide_node2node23_t2,1.0
C_wide_node2node23_t3,1.0
C_wide_node2node23_t4,1.0
C_wide_node2node23_t5,1.0
C_timber_node3node6_t1,1.0
C_timber_node3node6_t2,1.0
C_timber_node3node6_t3,1.0
C_timber_node3node6_t4,1.0
C_timber_node3node6_t5,1.0
C_wide_node3node6_t1,1.0
C_wide_node3node6_t2,1.0
C_wide_node3node6_t3,1.0
C_wide_node3node6_t4,1.0
C_wide_node3node6_t5,1.0
C_timber_node3node10_t1,1.0
C_timber_node3node10_t2,1.0
C_timber_node3node10_t3,1.0
C_timber_node3node10_t4,1.0
C_timber_node3node10_t5,1.0
C_wide_node3node10_t1,1.0
C_wide_node3node10_t2,1.0
C_wide_node3node10_t3,1.0
C_wide_node3node10_t4,1.0
C_wide_node3node10_t5,1.0
C_timber_node3node21_t1,1.0
C_timber_node3node21_t2,1.0
C_timber_node3node21_t3,1.0
C_timber_node3node21_t4,1.0
C_timber_node3node21_t5,1.0
C_wide_node3node21_t1,1.0
C_wide_node3node21_t2,1.0
C_wide_node3node21_t3,1.0
C_wide_node3node21_t4,1.0
C_wide_node3node21_t5,1.0
C_timber_node3node22_t1,1.0
C_timber_node3node22_t2,1.0
C_timber_node3node22_t3,1.0
C_timber_node3node22_t4,1.0
C_timber_node3node22_t5,1.0
C_wide_node3node22_t1,1.0
C_wide_node3node22_t2,1.0
C_wide_node3node22_t3,1.0
C_wide_node3node22_t4,1.0
C_wide_node3node22_t5,1.0
C_timber_node4node7_t1,1.0
C_timber_node4node7_t2,1.0
C_timber_node4node7_t3,1.0
C_timber_node4node7_t4,1.0
C_timber_node4node7_t5,1.0
C_wide_node4node7_t1,1.0
C_wide_node4node7_t2,1.0
C_wide_node4node7_t3,1.0
C_wide_node4node7_t4,1.0
C_wide_node4node7_t5,1.0
C_timber_node4node16_t1,1.0
C_timber_node4node16_t2,1.0
C_timber_node4node16_t3,1.0
C_timber_node4node16_t4,1.0
C_timber_node4node16_t5,1.0
C_wide_node4node16_t1,1.0
C_wide_node4node16_t2,1.0
C_wide_node4node16_t3,1.0
C_wide_node4node16_t4,1.0
C_wide_node4node16_t5,1.0
C_timber_node4node24_t1,1.0
C_timber_node4node24_t2,1.0
C_timber_node4node24_t3,1.0
C_timber_node4node24_t4,1.0
C_timber_node4node24_t5,1.0
C_wide_node4node24_t1,1.0
C_wide_node4node24_t2,1.0
C_wide_node4node24_t3,1.0
C_wide_node4node24_t4,1.0
C_wide_node4node24_t5,1.0
C_timber_node5node11_t1,1.0
C_timber_node5node11_t2,1.0
C_timber_node5node11_t3,1.0
C_timber_node5node11_t4,1.0
C_timber_node5node11_t5,1.0
C_wide_node5node11_t1,1.0
C_wide_node5node11_t2,1.0
C_wide_node5node11_t3,1.0
C_wide_node5node11_t4,1.0
C_wide_node5node11_t5,1.0
C_timber_node5node15_t1,1.0
C_timber_node5node15_t2,1.0
C_timber_node5node15_t3,1.0
C_timber_node5node15_t4,1.0
C_timber_node5node15_t5,1.0
C_wide_node5node15_t1,1.0
C_wide_node5node15_t2,1.0
C_wide_node5node15_t3,1.0
C_wide_node5node15_t4,1.0
C_wide_node5node15_t5,1.0
C_timber_node5node13_t1,1.0
C_timber_node5node13_t2,1.0
C_timber_node5node13_t3,1.0
C_timber_node5node13_t4,1.0
C_timber_node5node13_t5,1.0
C_wide_node5node13_t1,1.0
C_wide_node5node13_t2,1.0
C_wide_node5node13_t3,1.0
C_wide_node5node13_t4,1.0
C_wide_node5node13_t5,1.0
C_timber_node5node23_t1,1.0
C_timber_node5node23_t2,1.0
C_timber_node5node23_t3,1.0
C_timber_node5node23_t4,1.0
C_timber_node5node23_t5,1.0
C_wide_node5node23_t1,1.0
C_wide_node5node23_t2,1.0
C_wide_node5node23_t3,1.0
