Constraint group: Constraint_maintain_upgrade_wide
Total in this group: 965
Expected: 965

Constraints:
{'constraint_name': 'Constraint_maintain_upgrade_wide_node1node28_1', 'variables': ['M_wide_node1node28_t1', 'C_wide_node1node28_t0', 'M_wide_node1node28_t0', 'U_node1node28_t0'], 'coefficients': [1, -1, -1, -1]}
{'constraint_name': 'Constraint_maintain_upgrade_wide_node1node47_1', 'variables': ['M_wide_node1node47_t1', 'C_wide_node1node47_t0', 'M_wide_node1node47_t0', 'U_node1node47_t0'], 'coefficients': [1, -1, -1, -1]}
{'constraint_name': 'Constraint_maintain_upgrade_wide_node1node68_1', 'variables': ['M_wide_node1node68_t1', 'C_wide_node1node68_t0', 'M_wide_node1node68_t0', 'U_node1node68_t0'], 'coefficients': [1, -1, -1, -1]}
{'constraint_name': 'Constraint_maintain_upgrade_wide_node1node72_1', 'variables': ['M_wide_node1node72_t1', 'C_wide_node1node72_t0', 'M_wide_node1node72_t0', 'U_node1node72_t0'], 'coefficients': [1, -1, -1, -1]}
{'constraint_name': 'Constraint_maintain_upgrade_wide_node2node50_1', 'variables': ['M_wide_node2node50_t1', 'C_wide_node2node50_t0', 'M_wide_node2node50_t0', 'U_node2node50_t0'], 'coefficients': [1, -1, -1, -1]}
{'constraint_name': 'Constraint_maintain_upgrade_wide_node2node49_1', 'variables': ['M_wide_node2node49_t1', 'C_wide_node2node49_t0', 'M_wide_node2node49_t0', 'U_node2node49_t0'], 'coefficients': [1, -1, -1, -1]}
{'constraint_name': 'Constraint_maintain_upgrade_wide_node2node8_1', 'variables': ['M_wide_node2node8_t1', 'C_wide_node2node8_t0', 'M_wide_node2node8_t0', 'U_node2node8_t0'], 'coefficients': [1, -1, -1, -1]}
{'constraint_name': 'Constraint_maintain_upgrade_wide_node2node69_1', 'variables': ['M_wide_node2node69_t1', 'C_wide_node2node69_t0', 'M_wide_node2node69_t0', 'U_node2node69_t0'], 'coefficients': [1, -1, -1, -1]}
{'constraint_name': 'Constraint_maintain_upgrade_wide_node2node70_1', 'variables': ['M_wide_node2node70_t1', 'C_wide_node2node70_t0', 'M_wide_node2node70_t0', 'U_node2node70_t0'], 'coefficients': [1, -1, -1, -1]}
{'constraint_name': 'Constraint_maintain_upgrade_wide_node2node71_1', 'variables': ['M_wide_node2node71_t1', 'C_wide_node2node71_t0', 'M_wide_node2node71_t0', 'U_node2node71_t0'], 'coefficients': [1, -1, -1, -1]}
{'constraint_name': 'Constraint_maintain_upgrade_wide_node3node61_1', 'variables': ['M_wide_node3node61_t1', 'C_wide_node3node61_t0', 'M_wide_node3node61_t0', 'U_node3node61_t0'], 'coefficients': [1, -1, -1, -1]}
{'constraint_name': 'Constraint_maintain_upgrade_wide_node3node23_1', 'variables': ['M_wide_node3node23_t1', 'C_wide_node3node23_t0', 'M_wide_node3node23_t0', 'U_node3node23_t0'], 'coefficients': [1, -1, -1, -1]}
{'constraint_name': 'Constraint_maintain_upgrade_wide_node3node57_1', 'variables': ['M_wide_node3node57_t1', 'C_wide_node3node57_t0', 'M_wide_node3node57_t0', 'U_node3node57_t0'], 'coefficients': [1, -1, -1, -1]}
{'constraint_name': 'Constraint_maintain_upgrade_wide_node3node73_1', 'variables': ['M_wide_node3node73_t1', 'C_wide_node3node73_t0', 'M_wide_node3node73_t0', 'U_node3node73_t0'], 'coefficients': [1, -1, -1, -1]}
