variable,value,node_type_info,action,road_type,edge,period
C_node14node67_timber_t1,1.0,node14transit_node67source,C,timber,node14node67,1.0
C_node15node46_timber_t1,1.0000000000000007,node15transit_node46exit,C,timber,node15node46,1.0
C_node15node27_timber_t1,1.0,node15transit_node27transit,C,timber,node15node27,1.0
C_node22node74_timber_t1,1.0,node22transit_node74source,C,timber,node22node74,1.0
C_node22node74_timber_t3,1.0,node22transit_node74source,C,timber,node22node74,3.0
C_node26node74_timber_t1,1.0,node26transit_node74source,C,timber,node26node74,1.0
C_node26node74_timber_t3,1.0,node26transit_node74source,C,timber,node26node74,3.0
C_node27node34_timber_t1,1.0,node27transit_node34transit,C,timber,node27node34,1.0
C_node27node68_timber_t1,1.0,node27transit_node68source,C,timber,node27node68,1.0
C_node34node67_timber_t1,1.0,node34transit_node67source,C,timber,node34node67,1.0
C_node34node68_timber_t1,1.0,node34transit_node68source,C,timber,node34node68,1.0
C_node41node74_timber_t1,1.0,node41transit_node74source,C,timber,node41node74,1.0
C_node41node74_timber_t3,1.0,node41transit_node74source,C,timber,node41node74,3.0
C_node42node67_timber_t1,1.0,node42transit_node67source,C,timber,node42node67,1.0
C_node42node68_timber_t1,1.0,node42transit_node68source,C,timber,node42node68,1.0
C_node43node68_timber_t1,1.0,node43transit_node68source,C,timber,node43node68,1.0
C_node43node68_timber_t3,1.0,node43transit_node68source,C,timber,node43node68,3.0
C_node45node74_timber_t1,1.0,node45transit_node74source,C,timber,node45node74,1.0
C_node45node74_timber_t3,1.0,node45transit_node74source,C,timber,node45node74,3.0
C_node60node74_timber_t1,1.0,node60exit_node74source,C,timber,node60node74,1.0
C_node60node74_timber_t4,1.0,node60exit_node74source,C,timber,node60node74,4.0
C_node63node74_timber_t1,1.0,node63exit_node74source,C,timber,node63node74,1.0
C_node63node74_timber_t3,1.0,node63exit_node74source,C,timber,node63node74,3.0
C_node63node74_timber_t5,1.0,node63exit_node74source,C,timber,node63node74,5.0
M_node14node67_timber_t2,1.0,node14transit_node67source,M,timber,node14node67,2.0
M_node14node67_timber_t3,1.0,node14transit_node67source,M,timber,node14node67,3.0
M_node14node67_timber_t4,1.0,node14transit_node67source,M,timber,node14node67,4.0
M_node15node46_timber_t2,1.0,node15transit_node46exit,M,timber,node15node46,2.0
M_node15node46_timber_t3,1.0,node15transit_node46exit,M,timber,node15node46,3.0
M_node15node46_timber_t4,1.0,node15transit_node46exit,M,timber,node15node46,4.0
M_node15node46_timber_t5,1.0000000000000004,node15transit_node46exit,M,timber,node15node46,5.0
M_node15node27_timber_t2,1.0,node15transit_node27transit,M,timber,node15node27,2.0
M_node15node27_timber_t3,1.0,node15transit_node27transit,M,timber,node15node27,3.0
M_node15node27_timber_t4,1.0,node15transit_node27transit,M,timber,node15node27,4.0
M_node15node27_timber_t5,1.0,node15transit_node27transit,M,timber,node15node27,5.0
M_node27node34_timber_t2,1.0,node27transit_node34transit,M,timber,node27node34,2.0
M_node27node34_timber_t3,1.0,node27transit_node34transit,M,timber,node27node34,3.0
M_node27node34_timber_t4,1.0,node27transit_node34transit,M,timber,node27node34,4.0
M_node27node34_timber_t5,1.0,node27transit_node34transit,M,timber,node27node34,5.0
M_node27node68_wide_t3,1.0,node27transit_node68source,M,wide,node27node68,3.0
M_node27node68_wide_t4,1.0,node27transit_node68source,M,wide,node27node68,4.0
M_node27node68_wide_t5,1.0,node27transit_node68source,M,wide,node27node68,5.0
M_node34node67_timber_t2,1.0,node34transit_node67source,M,timber,node34node67,2.0
M_node34node67_timber_t3,1.0,node34transit_node67source,M,timber,node34node67,3.0
M_node34node67_timber_t4,1.0,node34transit_node67source,M,timber,node34node67,4.0
M_node34node67_timber_t5,1.0,node34transit_node67source,M,timber,node34node67,5.0
M_node34node68_timber_t2,1.0,node34transit_node68source,M,timber,node34node68,2.0
M_node34node68_timber_t3,1.0,node34transit_node68source,M,timber,node34node68,3.0
M_node34node68_wide_t5,1.0,node34transit_node68source,M,wide,node34node68,5.0
M_node42node67_timber_t2,1.0,node42transit_node67source,M,timber,node42node67,2.0
M_node42node67_timber_t3,1.0,node42transit_node67source,M,timber,node42node67,3.0
M_node42node67_timber_t4,1.0,node42transit_node67source,M,timber,node42node67,4.0
M_node42node68_timber_t2,1.0,node42transit_node68source,M,timber,node42node68,2.0
M_node42node68_wide_t4,1.0,node42transit_node68source,M,wide,node42node68,4.0
M_node42node68_wide_t5,1.0,node42transit_node68source,M,wide,node42node68,5.0
M_node43node68_timber_t4,1.0,node43transit_node68source,M,timber,node43node68,4.0
M_node60node74_timber_t2,1.0,node60exit_node74source,M,timber,node60node74,2.0
U_node14node67_t5,1.0,node14transit_node67source,U,,node14node67,5.0
U_node27node68_t2,1.0,node27transit_node68source,U,,node27node68,2.0
U_node34node68_t4,1.0,node34transit_node68source,U,,node34node68,4.0
U_node42node67_t5,1.0,node42transit_node67source,U,,node42node67,5.0
U_node42node68_t3,1.0,node42transit_node68source,U,,node42node68,3.0
U_node43node68_t5,1.0,node43transit_node68source,U,,node43node68,5.0
flow_timber_node34node27_t1,1.0,node34transit_node27transit,flow,timber,node34node27,1.0
flow_timber_node34node27_t2,1.0,node34transit_node27transit,flow,timber,node34node27,2.0
flow_timber_node34node27_t3,1.0,node34transit_node27transit,flow,timber,node34node27,3.0
flow_timber_node34node27_t4,1.0,node34transit_node27transit,flow,timber,node34node27,4.0
flow_timber_node34node27_t5,1.0,node34transit_node27transit,flow,timber,node34node27,5.0
flow_timber_node67node34_t1,1.0,node67source_node34transit,flow,timber,node67node34,1.0
flow_timber_node67node34_t2,1.0,node67source_node34transit,flow,timber,node67node34,2.0
flow_timber_node67node34_t3,1.0,node67source_node34transit,flow,timber,node67node34,3.0
flow_timber_node67node34_t4,1.0,node67source_node34transit,flow,timber,node67node34,4.0
flow_timber_node67node34_t5,1.0,node67source_node34transit,flow,timber,node67node34,5.0
flow_timber_node15node46_t1,2.0,node15transit_node46exit,flow,timber,node15node46,1.0
flow_timber_node15node46_t2,0.9999999999999922,node15transit_node46exit,flow,timber,node15node46,2.0
flow_timber_node15node46_t3,7.0,node15transit_node46exit,flow,timber,node15node46,3.0
flow_timber_node15node46_t4,1.9999999999999925,node15transit_node46exit,flow,timber,node15node46,4.0
flow_timber_node15node46_t5,2.0,node15transit_node46exit,flow,timber,node15node46,5.0
flow_timber_node15node27_t3,6.0,node15transit_node27transit,flow,timber,node15node27,3.0
flow_timber_node46node15_t3,6.0,node46exit_node15transit,flow,timber,node46node15,3.0
flow_timber_node27node15_t1,2.0,node27transit_node15transit,flow,timber,node27node15,1.0
