variable,coefficient,type,prefix,width,edge,period
C_node1node50_timber_t0,541.0,B,C,timber,,0
C_node1node50_timber_t1,455.51,B,C,timber,,1
C_node1node50_timber_t2,322.92,B,C,timber,,2
C_node1node50_timber_t3,228.92,B,C,timber,,3
C_node1node50_timber_t4,162.29,B,C,timber,,4
C_node1node50_timber_t5,115.05,B,C,timber,,5
C_node1node50_wide_t0,812.0,B,C,wide,,0
C_node1node50_wide_t1,683.68,B,C,wide,,1
C_node1node50_wide_t2,484.68,B,C,wide,,2
C_node1node50_wide_t3,343.6,B,C,wide,,3
C_node1node50_wide_t4,243.58,B,C,wide,,4
C_node1node50_wide_t5,172.68,B,C,wide,,5
C_node1node54_timber_t0,665.0,B,C,timber,,0
C_node1node54_timber_t1,559.91,B,C,timber,,1
C_node1node54_timber_t2,396.93,B,C,timber,,2
C_node1node54_timber_t3,281.39,B,C,timber,,3
C_node1node54_timber_t4,199.48,B,C,timber,,4
C_node1node54_timber_t5,141.42,B,C,timber,,5
C_node1node54_wide_t0,998.0,B,C,wide,,0
C_node1node54_wide_t1,840.29,B,C,wide,,1
C_node1node54_wide_t2,595.7,B,C,wide,,2
C_node1node54_wide_t3,422.3,B,C,wide,,3
C_node1node54_wide_t4,299.38,B,C,wide,,4
C_node1node54_wide_t5,212.23,B,C,wide,,5
C_node1node32_timber_t0,1915.0,B,C,timber,,0
C_node1node32_timber_t1,1612.38,B,C,timber,,1
C_node1node32_timber_t2,1143.05,B,C,timber,,2
C_node1node32_timber_t3,810.33,B,C,timber,,3
C_node1node32_timber_t4,574.46,B,C,timber,,4
C_node1node32_timber_t5,407.24,B,C,timber,,5
C_node1node32_wide_t0,2870.0,B,C,wide,,0
C_node1node32_wide_t1,2416.46,B,C,wide,,1
C_node1node32_wide_t2,1713.08,B,C,wide,,2
C_node1node32_wide_t3,1214.43,B,C,wide,,3
C_node1node32_wide_t4,860.93,B,C,wide,,4
C_node1node32_wide_t5,610.33,B,C,wide,,5
C_node1node70_timber_t0,0.0,B,C,timber,,0
C_node1node70_timber_t1,0.0,B,C,timber,,1
C_node1node70_timber_t2,0.0,B,C,timber,,2
C_node1node70_timber_t3,0.0,B,C,timber,,3
C_node1node70_timber_t4,0.0,B,C,timber,,4
C_node1node70_timber_t5,0.0,B,C,timber,,5
C_node1node70_wide_t0,0.0,B,C,wide,,0
C_node1node70_wide_t1,0.0,B,C,wide,,1
C_node1node70_wide_t2,0.0,B,C,wide,,2
C_node1node70_wide_t3,0.0,B,C,wide,,3
C_node1node70_wide_t4,0.0,B,C,wide,,4
C_node1node70_wide_t5,0.0,B,C,wide,,5
C_node1node72_timber_t0,0.0,B,C,timber,,0
C_node1node72_timber_t1,0.0,B,C,timber,,1
C_node1node72_timber_t2,0.0,B,C,timber,,2
C_node1node72_timber_t3,0.0,B,C,timber,,3
C_node1node72_timber_t4,0.0,B,C,timber,,4
C_node1node72_timber_t5,0.0,B,C,timber,,5
C_node1node72_wide_t0,0.0,B,C,wide,,0
C_node1node72_wide_t1,0.0,B,C,wide,,1
C_node1node72_wide_t2,0.0,B,C,wide,,2
C_node1node72_wide_t3,0.0,B,C,wide,,3
C_node1node72_wide_t4,0.0,B,C,wide,,4
C_node1node72_wide_t5,0.0,B,C,wide,,5
C_node2node39_timber_t0,4566.0,B,C,timber,,0
C_node2node39_timber_t1,3844.45,B,C,timber,,1
C_node2node39_timber_t2,2725.4,B,C,timber,,2
C_node2node39_timber_t3,1932.09,B,C,timber,,3
C_node2node39_timber_t4,1369.69,B,C,timber,,4
C_node2node39_timber_t5,971.0,B,C,timber,,5
C_node2node39_wide_t0,6849.0,B,C,wide,,0
C_node2node39_wide_t1,5766.67,B,C,wide,,1
C_node2node39_wide_t2,4088.1,B,C,wide,,2
C_node2node39_wide_t3,2898.13,B,C,wide,,3
C_node2node39_wide_t4,2054.54,B,C,wide,,4
C_node2node39_wide_t5,1456.5,B,C,wide,,5
C_node2node35_timber_t0,1001.0,B,C,timber,,0
C_node2node35_timber_t1,842.82,B,C,timber,,1
C_node2node35_timber_t2,597.49,B,C,timber,,2
C_node2node35_timber_t3,423.57,B,C,timber,,3
C_node2node35_timber_t4,300.28,B,C,timber,,4
C_node2node35_timber_t5,212.87,B,C,timber,,5
C_node2node35_wide_t0,1501.0,B,C,wide,,0
C_node2node35_wide_t1,1263.8,B,C,wide,,1
C_node2node35_wide_t2,895.93,B,C,wide,,2
C_node2node35_wide_t3,635.14,B,C,wide,,3
C_node2node35_wide_t4,450.27,B,C,wide,,4
C_node2node35_wide_t5,319.2,B,C,wide,,5
C_node2node5_timber_t0,2744.0,B,C,timber,,0
C_node2node5_timber_t1,2310.37,B,C,timber,,1
C_node2node5_timber_t2,1637.87,B,C,timber,,2
C_node2node5_timber_t3,1161.12,B,C,timber,,3
C_node2node5_timber_t4,823.14,B,C,timber,,4
C_node2node5_timber_t5,583.54,B,C,timber,,5
C_node2node5_wide_t0,4117.0,B,C,wide,,0
C_node2node5_wide_t1,3466.4,B,C,wide,,1
C_node2node5_wide_t2,2457.4,B,C,wide,,2
C_node2node5_wide_t3,1742.1,B,C,wide,,3
C_node2node5_wide_t4,1235.0,B,C,wide,,4
C_node2node5_wide_t5,875.52,B,C,wide,,5
C_node2node59_timber_t0,0.0,B,C,timber,,0
C_node2node59_timber_t1,0.0,B,C,timber,,1
C_node2node59_timber_t2,0.0,B,C,timber,,2
C_node2node59_timber_t3,0.0,B,C,timber,,3
C_node2node59_timber_t4,0.0,B,C,timber,,4
C_node2node59_timber_t5,0.0,B,C,timber,,5
C_node2node59_wide_t0,0.0,B,C,wide,,0
C_node2node59_wide_t1,0.0,B,C,wide,,1
C_node2node59_wide_t2,0.0,B,C,wide,,2
C_node2node59_wide_t3,0.0,B,C,wide,,3
C_node2node59_wide_t4,0.0,B,C,wide,,4
C_node2node59_wide_t5,0.0,B,C,wide,,5
C_node2node69_timber_t0,0.0,B,C,timber,,0
C_node2node69_timber_t1,0.0,B,C,timber,,1
C_node2node69_timber_t2,0.0,B,C,timber,,2
C_node2node69_timber_t3,0.0,B,C,timber,,3
C_node2node69_timber_t4,0.0,B,C,timber,,4
C_node2node69_timber_t5,0.0,B,C,timber,,5
C_node2node69_wide_t0,0.0,B,C,wide,,0
C_node2node69_wide_t1,0.0,B,C,wide,,1
C_node2node69_wide_t2,0.0,B,C,wide,,2
C_node2node69_wide_t3,0.0,B,C,wide,,3
C_node2node69_wide_t4,0.0,B,C,wide,,4
C_node2node69_wide_t5,0.0,B,C,wide,,5
C_node3node12_timber_t0,801.0,B,C,timber,,0
C_node3node12_timber_t1,674.42,B,C,timber,,1
