variable,lb,ub,type,edge,period,road_type
flow_timber_node1node5_t1,0.0,9.0,I,node1node5,1,timber
flow_timber_node1node5_t2,0.0,9.0,I,node1node5,2,timber
flow_timber_node1node5_t3,0.0,9.0,I,node1node5,3,timber
flow_timber_node1node5_t4,0.0,9.0,I,node1node5,4,timber
flow_timber_node1node5_t5,0.0,9.0,I,node1node5,5,timber
flow_wide_node1node5_t1,0.0,9.0,I,node1node5,1,wide
flow_wide_node1node5_t2,0.0,9.0,I,node1node5,2,wide
flow_wide_node1node5_t3,0.0,9.0,I,node1node5,3,wide
flow_wide_node1node5_t4,0.0,9.0,I,node1node5,4,wide
flow_wide_node1node5_t5,0.0,9.0,I,node1node5,5,wide
flow_timber_node1node3_t1,0.0,9.0,I,node1node3,1,timber
flow_timber_node1node3_t2,0.0,9.0,I,node1node3,2,timber
flow_timber_node1node3_t3,0.0,9.0,I,node1node3,3,timber
flow_timber_node1node3_t4,0.0,9.0,I,node1node3,4,timber
flow_timber_node1node3_t5,0.0,9.0,I,node1node3,5,timber
flow_wide_node1node3_t1,0.0,9.0,I,node1node3,1,wide
flow_wide_node1node3_t2,0.0,9.0,I,node1node3,2,wide
flow_wide_node1node3_t3,0.0,9.0,I,node1node3,3,wide
flow_wide_node1node3_t4,0.0,9.0,I,node1node3,4,wide
flow_wide_node1node3_t5,0.0,9.0,I,node1node3,5,wide
flow_timber_node1node2_t1,0.0,9.0,I,node1node2,1,timber
flow_timber_node1node2_t2,0.0,9.0,I,node1node2,2,timber
flow_timber_node1node2_t3,0.0,9.0,I,node1node2,3,timber
flow_timber_node1node2_t4,0.0,9.0,I,node1node2,4,timber
flow_timber_node1node2_t5,0.0,9.0,I,node1node2,5,timber
flow_wide_node1node2_t1,0.0,9.0,I,node1node2,1,wide
flow_wide_node1node2_t2,0.0,9.0,I,node1node2,2,wide
flow_wide_node1node2_t3,0.0,9.0,I,node1node2,3,wide
flow_wide_node1node2_t4,0.0,9.0,I,node1node2,4,wide
flow_wide_node1node2_t5,0.0,9.0,I,node1node2,5,wide
flow_timber_node1node6_t1,0.0,9.0,I,node1node6,1,timber
flow_timber_node1node6_t2,0.0,9.0,I,node1node6,2,timber
flow_timber_node1node6_t3,0.0,9.0,I,node1node6,3,timber
flow_timber_node1node6_t4,0.0,9.0,I,node1node6,4,timber
flow_timber_node1node6_t5,0.0,9.0,I,node1node6,5,timber
flow_wide_node1node6_t1,0.0,9.0,I,node1node6,1,wide
flow_wide_node1node6_t2,0.0,9.0,I,node1node6,2,wide
flow_wide_node1node6_t3,0.0,9.0,I,node1node6,3,wide
flow_wide_node1node6_t4,0.0,9.0,I,node1node6,4,wide
flow_wide_node1node6_t5,0.0,9.0,I,node1node6,5,wide
flow_timber_node1node7_t1,0.0,9.0,I,node1node7,1,timber
flow_timber_node1node7_t2,0.0,9.0,I,node1node7,2,timber
flow_timber_node1node7_t3,0.0,9.0,I,node1node7,3,timber
flow_timber_node1node7_t4,0.0,9.0,I,node1node7,4,timber
flow_timber_node1node7_t5,0.0,9.0,I,node1node7,5,timber
flow_wide_node1node7_t1,0.0,9.0,I,node1node7,1,wide
flow_wide_node1node7_t2,0.0,9.0,I,node1node7,2,wide
flow_wide_node1node7_t3,0.0,9.0,I,node1node7,3,wide
flow_wide_node1node7_t4,0.0,9.0,I,node1node7,4,wide
flow_wide_node1node7_t5,0.0,9.0,I,node1node7,5,wide
flow_timber_node5node1_t1,0.0,9.0,I,node5node1,1,timber
flow_timber_node5node1_t2,0.0,9.0,I,node5node1,2,timber
flow_timber_node5node1_t3,0.0,9.0,I,node5node1,3,timber
flow_timber_node5node1_t4,0.0,9.0,I,node5node1,4,timber
flow_timber_node5node1_t5,0.0,9.0,I,node5node1,5,timber
flow_wide_node5node1_t1,0.0,9.0,I,node5node1,1,wide
flow_wide_node5node1_t2,0.0,9.0,I,node5node1,2,wide
flow_wide_node5node1_t3,0.0,9.0,I,node5node1,3,wide
