variable,coefficient,type,prefix,width,edge,period
C_node1node30_timber_t0,1474.0,B,C,timber,,0
C_node1node30_timber_t1,1241.07,B,C,timber,,1
C_node1node30_timber_t2,879.82,B,C,timber,,2
C_node1node30_timber_t3,623.72,B,C,timber,,3
C_node1node30_timber_t4,442.17,B,C,timber,,4
C_node1node30_timber_t5,313.46,B,C,timber,,5
C_node1node30_wide_t0,2209.0,B,C,wide,,0
C_node1node30_wide_t1,1859.92,B,C,wide,,1
C_node1node30_wide_t2,1318.53,B,C,wide,,2
C_node1node30_wide_t3,934.73,B,C,wide,,3
C_node1node30_wide_t4,662.65,B,C,wide,,4
C_node1node30_wide_t5,469.76,B,C,wide,,5
C_node1node18_timber_t0,1244.0,B,C,timber,,0
C_node1node18_timber_t1,1047.41,B,C,timber,,1
C_node1node18_timber_t2,742.53,B,C,timber,,2
C_node1node18_timber_t3,526.39,B,C,timber,,3
C_node1node18_timber_t4,373.17,B,C,timber,,4
C_node1node18_timber_t5,264.55,B,C,timber,,5
C_node1node18_wide_t0,1866.0,B,C,wide,,0
C_node1node18_wide_t1,1571.12,B,C,wide,,1
C_node1node18_wide_t2,1113.8,B,C,wide,,2
C_node1node18_wide_t3,789.59,B,C,wide,,3
C_node1node18_wide_t4,559.76,B,C,wide,,4
C_node1node18_wide_t5,396.82,B,C,wide,,5
C_node1node47_timber_t0,1413.0,B,C,timber,,0
C_node1node47_timber_t1,1189.71,B,C,timber,,1
C_node1node47_timber_t2,843.41,B,C,timber,,2
C_node1node47_timber_t3,597.91,B,C,timber,,3
C_node1node47_timber_t4,423.87,B,C,timber,,4
C_node1node47_timber_t5,300.49,B,C,timber,,5
C_node1node47_wide_t0,2120.0,B,C,wide,,0
C_node1node47_wide_t1,1784.98,B,C,wide,,1
C_node1node47_wide_t2,1265.41,B,C,wide,,2
C_node1node47_wide_t3,897.07,B,C,wide,,3
C_node1node47_wide_t4,635.95,B,C,wide,,4
C_node1node47_wide_t5,450.84,B,C,wide,,5
C_node1node85_timber_t0,0.0,B,C,timber,,0
C_node1node85_timber_t1,0.0,B,C,timber,,1
C_node1node85_timber_t2,0.0,B,C,timber,,2
