variable,value
C_timber_node1node30_t0,0.0
C_timber_node1node30_t1,1.0
C_timber_node1node30_t2,1.0
C_timber_node1node30_t3,1.0
C_timber_node1node30_t4,1.0
C_timber_node1node30_t5,1.0
C_wide_node1node30_t0,0.0
C_wide_node1node30_t1,1.0
C_wide_node1node30_t2,1.0
C_wide_node1node30_t3,1.0
C_wide_node1node30_t4,1.0
C_wide_node1node30_t5,1.0
C_timber_node1node18_t0,0.0
C_timber_node1node18_t1,1.0
C_timber_node1node18_t2,1.0
C_timber_node1node18_t3,1.0
C_timber_node1node18_t4,1.0
C_timber_node1node18_t5,1.0
C_wide_node1node18_t0,0.0
C_wide_node1node18_t1,1.0
C_wide_node1node18_t2,1.0
C_wide_node1node18_t3,1.0
C_wide_node1node18_t4,1.0
C_wide_node1node18_t5,1.0
C_timber_node1node47_t0,0.0
C_timber_node1node47_t1,1.0
C_timber_node1node47_t2,1.0
C_timber_node1node47_t3,1.0
C_timber_node1node47_t4,1.0
C_timber_node1node47_t5,1.0
C_wide_node1node47_t0,0.0
C_wide_node1node47_t1,1.0
C_wide_node1node47_t2,1.0
C_wide_node1node47_t3,1.0
C_wide_node1node47_t4,1.0
C_wide_node1node47_t5,1.0
C_timber_node1node85_t0,0.0
C_timber_node1node85_t1,1.0
C_timber_node1node85_t2,1.0
C_timber_node1node85_t3,1.0
C_timber_node1node85_t4,1.0
C_timber_node1node85_t5,1.0
C_wide_node1node85_t0,0.0
C_wide_node1node85_t1,1.0
C_wide_node1node85_t2,1.0
C_wide_node1node85_t3,1.0
C_wide_node1node85_t4,1.0
C_wide_node1node85_t5,1.0
C_timber_node1node87_t0,0.0
C_timber_node1node87_t1,1.0
C_timber_node1node87_t2,1.0
C_timber_node1node87_t3,1.0
C_timber_node1node87_t4,1.0
C_timber_node1node87_t5,1.0
C_wide_node1node87_t0,0.0
C_wide_node1node87_t1,1.0
C_wide_node1node87_t2,1.0
C_wide_node1node87_t3,1.0
C_wide_node1node87_t4,1.0
C_wide_node1node87_t5,1.0
C_timber_node1node88_t0,0.0
C_timber_node1node88_t1,1.0
C_timber_node1node88_t2,1.0
C_timber_node1node88_t3,1.0
C_timber_node1node88_t4,1.0
C_timber_node1node88_t5,1.0
C_wide_node1node88_t0,0.0
C_wide_node1node88_t1,1.0
C_wide_node1node88_t2,1.0
C_wide_node1node88_t3,1.0
C_wide_node1node88_t4,1.0
C_wide_node1node88_t5,1.0
C_timber_node2node17_t0,0.0
C_timber_node2node17_t1,1.0
C_timber_node2node17_t2,1.0
C_timber_node2node17_t3,1.0
C_timber_node2node17_t4,1.0
C_timber_node2node17_t5,1.0
C_wide_node2node17_t0,0.0
C_wide_node2node17_t1,1.0
C_wide_node2node17_t2,1.0
C_wide_node2node17_t3,1.0
C_wide_node2node17_t4,1.0
C_wide_node2node17_t5,1.0
