variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node1node79_timber_t0,0.0,0.0,B,C,timber,node1node79,0,240.0
C_node1node79_timber_t1,0.0,1.0,B,C,timber,node1node79,1,202.07
C_node1node79_timber_t2,0.0,1.0,B,C,timber,node1node79,2,143.25
C_node1node79_timber_t3,0.0,1.0,B,C,timber,node1node79,3,101.56
C_node1node79_timber_t4,0.0,1.0,B,C,timber,node1node79,4,71.99
C_node1node79_timber_t5,0.0,1.0,B,C,timber,node1node79,5,51.04
C_node1node79_wide_t0,0.0,0.0,B,C,wide,node1node79,0,360.0
C_node1node79_wide_t1,0.0,1.0,B,C,wide,node1node79,1,303.11
C_node1node79_wide_t2,0.0,1.0,B,C,wide,node1node79,2,214.88
C_node1node79_wide_t3,0.0,1.0,B,C,wide,node1node79,3,152.33
C_node1node79_wide_t4,0.0,1.0,B,C,wide,node1node79,4,107.99
C_node1node79_wide_t5,0.0,1.0,B,C,wide,node1node79,5,76.56
C_node1node62_timber_t0,0.0,0.0,B,C,timber,node1node62,0,466.0
C_node1node62_timber_t1,0.0,1.0,B,C,timber,node1node62,1,392.36
C_node1node62_timber_t2,0.0,1.0,B,C,timber,node1node62,2,278.15
C_node1node62_timber_t3,0.0,1.0,B,C,timber,node1node62,3,197.19
C_node1node62_timber_t4,0.0,1.0,B,C,timber,node1node62,4,139.79
C_node1node62_timber_t5,0.0,1.0,B,C,timber,node1node62,5,99.1
C_node1node62_wide_t0,0.0,0.0,B,C,wide,node1node62,0,699.0
C_node1node62_wide_t1,0.0,1.0,B,C,wide,node1node62,1,588.54
C_node1node62_wide_t2,0.0,1.0,B,C,wide,node1node62,2,417.23
C_node1node62_wide_t3,0.0,1.0,B,C,wide,node1node62,3,295.78
C_node1node62_wide_t4,0.0,1.0,B,C,wide,node1node62,4,209.68
C_node1node62_wide_t5,0.0,1.0,B,C,wide,node1node62,5,148.65
C_node1node14_timber_t0,0.0,0.0,B,C,timber,node1node14,0,2313.0
C_node1node14_timber_t1,0.0,1.0,B,C,timber,node1node14,1,1947.48
C_node1node14_timber_t2,0.0,1.0,B,C,timber,node1node14,2,1380.61
C_node1node14_timber_t3,0.0,1.0,B,C,timber,node1node14,3,978.74
C_node1node14_timber_t4,0.0,1.0,B,C,timber,node1node14,4,693.85
C_node1node14_timber_t5,0.0,1.0,B,C,timber,node1node14,5,491.88
C_node1node14_wide_t0,0.0,0.0,B,C,wide,node1node14,0,3469.0
C_node1node14_wide_t1,0.0,1.0,B,C,wide,node1node14,1,2920.8
