flow_timber_node1node79_t1: lb=0.0, ub=9.0, type=I, edge=node1node79, period=1, road_type=timber
flow_timber_node1node79_t2: lb=0.0, ub=9.0, type=I, edge=node1node79, period=2, road_type=timber
flow_timber_node1node79_t3: lb=0.0, ub=9.0, type=I, edge=node1node79, period=3, road_type=timber
flow_timber_node1node79_t4: lb=0.0, ub=9.0, type=I, edge=node1node79, period=4, road_type=timber
flow_timber_node1node79_t5: lb=0.0, ub=9.0, type=I, edge=node1node79, period=5, road_type=timber
flow_wide_node1node79_t1: lb=0.0, ub=9.0, type=I, edge=node1node79, period=1, road_type=wide
flow_wide_node1node79_t2: lb=0.0, ub=9.0, type=I, edge=node1node79, period=2, road_type=wide
flow_wide_node1node79_t3: lb=0.0, ub=9.0, type=I, edge=node1node79, period=3, road_type=wide
flow_wide_node1node79_t4: lb=0.0, ub=9.0, type=I, edge=node1node79, period=4, road_type=wide
flow_wide_node1node79_t5: lb=0.0, ub=9.0, type=I, edge=node1node79, period=5, road_type=wide
flow_timber_node1node62_t1: lb=0.0, ub=9.0, type=I, edge=node1node62, period=1, road_type=timber
flow_timber_node1node62_t2: lb=0.0, ub=9.0, type=I, edge=node1node62, period=2, road_type=timber
flow_timber_node1node62_t3: lb=0.0, ub=9.0, type=I, edge=node1node62, period=3, road_type=timber
flow_timber_node1node62_t4: lb=0.0, ub=9.0, type=I, edge=node1node62, period=4, road_type=timber
flow_timber_node1node62_t5: lb=0.0, ub=9.0, type=I, edge=node1node62, period=5, road_type=timber
flow_wide_node1node62_t1: lb=0.0, ub=9.0, type=I, edge=node1node62, period=1, road_type=wide
flow_wide_node1node62_t2: lb=0.0, ub=9.0, type=I, edge=node1node62, period=2, road_type=wide
flow_wide_node1node62_t3: lb=0.0, ub=9.0, type=I, edge=node1node62, period=3, road_type=wide
flow_wide_node1node62_t4: lb=0.0, ub=9.0, type=I, edge=node1node62, period=4, road_type=wide
flow_wide_node1node62_t5: lb=0.0, ub=9.0, type=I, edge=node1node62, period=5, road_type=wide
flow_timber_node1node14_t1: lb=0.0, ub=9.0, type=I, edge=node1node14, period=1, road_type=timber
flow_timber_node1node14_t2: lb=0.0, ub=9.0, type=I, edge=node1node14, period=2, road_type=timber
flow_timber_node1node14_t3: lb=0.0, ub=9.0, type=I, edge=node1node14, period=3, road_type=timber
flow_timber_node1node14_t4: lb=0.0, ub=9.0, type=I, edge=node1node14, period=4, road_type=timber
flow_timber_node1node14_t5: lb=0.0, ub=9.0, type=I, edge=node1node14, period=5, road_type=timber
flow_wide_node1node14_t1: lb=0.0, ub=9.0, type=I, edge=node1node14, period=1, road_type=wide
flow_wide_node1node14_t2: lb=0.0, ub=9.0, type=I, edge=node1node14, period=2, road_type=wide
flow_wide_node1node14_t3: lb=0.0, ub=9.0, type=I, edge=node1node14, period=3, road_type=wide
flow_wide_node1node14_t4: lb=0.0, ub=9.0, type=I, edge=node1node14, period=4, road_type=wide
flow_wide_node1node14_t5: lb=0.0, ub=9.0, type=I, edge=node1node14, period=5, road_type=wide
flow_timber_node1node119_t1: lb=0.0, ub=9.0, type=I, edge=node1node119, period=1, road_type=timber
flow_timber_node1node119_t2: lb=0.0, ub=9.0, type=I, edge=node1node119, period=2, road_type=timber
flow_timber_node1node119_t3: lb=0.0, ub=9.0, type=I, edge=node1node119, period=3, road_type=timber
flow_timber_node1node119_t4: lb=0.0, ub=9.0, type=I, edge=node1node119, period=4, road_type=timber
flow_timber_node1node119_t5: lb=0.0, ub=9.0, type=I, edge=node1node119, period=5, road_type=timber
flow_wide_node1node119_t1: lb=0.0, ub=9.0, type=I, edge=node1node119, period=1, road_type=wide
flow_wide_node1node119_t2: lb=0.0, ub=9.0, type=I, edge=node1node119, period=2, road_type=wide
flow_wide_node1node119_t3: lb=0.0, ub=9.0, type=I, edge=node1node119, period=3, road_type=wide
flow_wide_node1node119_t4: lb=0.0, ub=9.0, type=I, edge=node1node119, period=4, road_type=wide
flow_wide_node1node119_t5: lb=0.0, ub=9.0, type=I, edge=node1node119, period=5, road_type=wide
flow_timber_node1node144_t1: lb=0.0, ub=9.0, type=I, edge=node1node144, period=1, road_type=timber
flow_timber_node1node144_t2: lb=0.0, ub=9.0, type=I, edge=node1node144, period=2, road_type=timber
flow_timber_node1node144_t3: lb=0.0, ub=9.0, type=I, edge=node1node144, period=3, road_type=timber
flow_timber_node1node144_t4: lb=0.0, ub=9.0, type=I, edge=node1node144, period=4, road_type=timber
flow_timber_node1node144_t5: lb=0.0, ub=9.0, type=I, edge=node1node144, period=5, road_type=timber
flow_wide_node1node144_t1: lb=0.0, ub=9.0, type=I, edge=node1node144, period=1, road_type=wide
flow_wide_node1node144_t2: lb=0.0, ub=9.0, type=I, edge=node1node144, period=2, road_type=wide
flow_wide_node1node144_t3: lb=0.0, ub=9.0, type=I, edge=node1node144, period=3, road_type=wide
flow_wide_node1node144_t4: lb=0.0, ub=9.0, type=I, edge=node1node144, period=4, road_type=wide
flow_wide_node1node144_t5: lb=0.0, ub=9.0, type=I, edge=node1node144, period=5, road_type=wide
flow_timber_node79node1_t1: lb=0.0, ub=9.0, type=I, edge=node79node1, period=1, road_type=timber
flow_timber_node79node1_t2: lb=0.0, ub=9.0, type=I, edge=node79node1, period=2, road_type=timber
flow_timber_node79node1_t3: lb=0.0, ub=9.0, type=I, edge=node79node1, period=3, road_type=timber
flow_timber_node79node1_t4: lb=0.0, ub=9.0, type=I, edge=node79node1, period=4, road_type=timber
flow_timber_node79node1_t5: lb=0.0, ub=9.0, type=I, edge=node79node1, period=5, road_type=timber
flow_wide_node79node1_t1: lb=0.0, ub=9.0, type=I, edge=node79node1, period=1, road_type=wide
flow_wide_node79node1_t2: lb=0.0, ub=9.0, type=I, edge=node79node1, period=2, road_type=wide
flow_wide_node79node1_t3: lb=0.0, ub=9.0, type=I, edge=node79node1, period=3, road_type=wide
flow_wide_node79node1_t4: lb=0.0, ub=9.0, type=I, edge=node79node1, period=4, road_type=wide
flow_wide_node79node1_t5: lb=0.0, ub=9.0, type=I, edge=node79node1, period=5, road_type=wide
flow_timber_node79node14_t1: lb=0.0, ub=9.0, type=I, edge=node79node14, period=1, road_type=timber
flow_timber_node79node14_t2: lb=0.0, ub=9.0, type=I, edge=node79node14, period=2, road_type=timber
flow_timber_node79node14_t3: lb=0.0, ub=9.0, type=I, edge=node79node14, period=3, road_type=timber
flow_timber_node79node14_t4: lb=0.0, ub=9.0, type=I, edge=node79node14, period=4, road_type=timber
flow_timber_node79node14_t5: lb=0.0, ub=9.0, type=I, edge=node79node14, period=5, road_type=timber
