variable,coefficient,type,prefix,width,edge,period
C_node1node245_timber_t0,760.0,B,C,timber,,0
C_node1node245_timber_t1,639.9,B,C,timber,,1
C_node1node245_timber_t2,453.64,B,C,timber,,2
C_node1node245_timber_t3,321.59,B,C,timber,,3
C_node1node245_timber_t4,227.98,B,C,timber,,4
C_node1node245_timber_t5,161.62,B,C,timber,,5
C_node1node245_wide_t0,1140.0,B,C,wide,,0
C_node1node245_wide_t1,959.85,B,C,wide,,1
C_node1node245_wide_t2,680.46,B,C,wide,,2
C_node1node245_wide_t3,482.39,B,C,wide,,3
C_node1node245_wide_t4,341.97,B,C,wide,,4
C_node1node245_wide_t5,242.43,B,C,wide,,5
C_node1node105_timber_t0,1462.0,B,C,timber,,0
C_node1node105_timber_t1,1230.96,B,C,timber,,1
C_node1node105_timber_t2,872.65,B,C,timber,,2
C_node1node105_timber_t3,618.64,B,C,timber,,3
C_node1node105_timber_t4,438.57,B,C,timber,,4
C_node1node105_timber_t5,310.91,B,C,timber,,5
C_node1node105_wide_t0,2194.0,B,C,wide,,0
C_node1node105_wide_t1,1847.29,B,C,wide,,1
C_node1node105_wide_t2,1309.58,B,C,wide,,2
C_node1node105_wide_t3,928.38,B,C,wide,,3
C_node1node105_wide_t4,658.15,B,C,wide,,4
C_node1node105_wide_t5,466.57,B,C,wide,,5
C_node1node132_timber_t0,7482.0,B,C,timber,,0
C_node1node132_timber_t1,6299.64,B,C,timber,,1
C_node1node132_timber_t2,4465.94,B,C,timber,,2
C_node1node132_timber_t3,3165.99,B,C,timber,,3
C_node1node132_timber_t4,2244.43,B,C,timber,,4
C_node1node132_timber_t5,1591.12,B,C,timber,,5
C_node1node132_wide_t0,11220.0,B,C,wide,,0
C_node1node132_wide_t1,9446.94,B,C,wide,,1
C_node1node132_wide_t2,6697.11,B,C,wide,,2
C_node1node132_wide_t3,4747.71,B,C,wide,,3
C_node1node132_wide_t4,3365.74,B,C,wide,,4
C_node1node132_wide_t5,2386.04,B,C,wide,,5
C_node1node318_timber_t0,0.0,B,C,timber,,0
C_node1node318_timber_t1,0.0,B,C,timber,,1
C_node1node318_timber_t2,0.0,B,C,timber,,2
C_node1node318_timber_t3,0.0,B,C,timber,,3
C_node1node318_timber_t4,0.0,B,C,timber,,4
C_node1node318_timber_t5,0.0,B,C,timber,,5
C_node1node318_wide_t0,0.0,B,C,wide,,0
C_node1node318_wide_t1,0.0,B,C,wide,,1
C_node1node318_wide_t2,0.0,B,C,wide,,2
C_node1node318_wide_t3,0.0,B,C,wide,,3
C_node1node318_wide_t4,0.0,B,C,wide,,4
C_node1node318_wide_t5,0.0,B,C,wide,,5
C_node1node320_timber_t0,0.0,B,C,timber,,0
C_node1node320_timber_t1,0.0,B,C,timber,,1
C_node1node320_timber_t2,0.0,B,C,timber,,2
C_node1node320_timber_t3,0.0,B,C,timber,,3
C_node1node320_timber_t4,0.0,B,C,timber,,4
C_node1node320_timber_t5,0.0,B,C,timber,,5
C_node1node320_wide_t0,0.0,B,C,wide,,0
C_node1node320_wide_t1,0.0,B,C,wide,,1
C_node1node320_wide_t2,0.0,B,C,wide,,2
C_node1node320_wide_t3,0.0,B,C,wide,,3
C_node1node320_wide_t4,0.0,B,C,wide,,4
C_node1node320_wide_t5,0.0,B,C,wide,,5
C_node2node91_timber_t0,1459.0,B,C,timber,,0
C_node2node91_timber_t1,1228.44,B,C,timber,,1
C_node2node91_timber_t2,870.86,B,C,timber,,2
C_node2node91_timber_t3,617.37,B,C,timber,,3
C_node2node91_timber_t4,437.67,B,C,timber,,4
C_node2node91_timber_t5,310.27,B,C,timber,,5
C_node2node91_wide_t0,2189.0,B,C,wide,,0
C_node2node91_wide_t1,1843.08,B,C,wide,,1
C_node2node91_wide_t2,1306.59,B,C,wide,,2
C_node2node91_wide_t3,926.27,B,C,wide,,3
C_node2node91_wide_t4,656.65,B,C,wide,,4
C_node2node91_wide_t5,465.51,B,C,wide,,5
C_node2node29_timber_t0,1286.0,B,C,timber,,0
C_node2node29_timber_t1,1082.78,B,C,timber,,1
C_node2node29_timber_t2,767.6,B,C,timber,,2
C_node2node29_timber_t3,544.17,B,C,timber,,3
C_node2node29_timber_t4,385.77,B,C,timber,,4
C_node2node29_timber_t5,273.48,B,C,timber,,5
C_node2node29_wide_t0,1928.0,B,C,wide,,0
C_node2node29_wide_t1,1623.32,B,C,wide,,1
