760.0 * C_node1node245_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
639.9 * C_node1node245_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
453.64 * C_node1node245_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
321.59 * C_node1node245_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
227.98 * C_node1node245_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
161.62 * C_node1node245_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1140.0 * C_node1node245_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
959.85 * C_node1node245_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
680.46 * C_node1node245_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
482.39 * C_node1node245_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
341.97 * C_node1node245_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
242.43 * C_node1node245_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1462.0 * C_node1node105_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1230.96 * C_node1node105_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
872.65 * C_node1node105_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
618.64 * C_node1node105_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
438.57 * C_node1node105_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
310.91 * C_node1node105_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2194.0 * C_node1node105_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1847.29 * C_node1node105_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1309.58 * C_node1node105_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
928.38 * C_node1node105_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
658.15 * C_node1node105_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
466.57 * C_node1node105_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
7482.0 * C_node1node132_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
6299.64 * C_node1node132_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
4465.94 * C_node1node132_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
3165.99 * C_node1node132_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
2244.43 * C_node1node132_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
1591.12 * C_node1node132_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
11220.0 * C_node1node132_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
9446.94 * C_node1node132_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
6697.11 * C_node1node132_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
4747.71 * C_node1node132_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
3365.74 * C_node1node132_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
2386.04 * C_node1node132_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node1node318_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
