variable,value,node_type_info
C_node1node79_timber_t0,0.0,node1transit_node79transit
C_node1node79_timber_t1,1.0,node1transit_node79transit
C_node1node79_timber_t2,0.0,node1transit_node79transit
C_node1node79_timber_t3,0.0,node1transit_node79transit
C_node1node79_timber_t4,1.0,node1transit_node79transit
C_node1node79_timber_t5,0.0,node1transit_node79transit
C_node1node79_wide_t0,0.0,node1transit_node79transit
C_node1node79_wide_t1,0.0,node1transit_node79transit
C_node1node79_wide_t2,0.0,node1transit_node79transit
C_node1node79_wide_t3,0.0,node1transit_node79transit
C_node1node79_wide_t4,0.0,node1transit_node79transit
C_node1node79_wide_t5,0.0,node1transit_node79transit
C_node1node62_timber_t0,0.0,node1transit_node62transit
C_node1node62_timber_t1,1.0,node1transit_node62transit
C_node1node62_timber_t2,0.0,node1transit_node62transit
C_node1node62_timber_t3,0.0,node1transit_node62transit
C_node1node62_timber_t4,0.0,node1transit_node62transit
C_node1node62_timber_t5,0.0,node1transit_node62transit
C_node1node62_wide_t0,0.0,node1transit_node62transit
C_node1node62_wide_t1,0.0,node1transit_node62transit
C_node1node62_wide_t2,0.0,node1transit_node62transit
C_node1node62_wide_t3,0.0,node1transit_node62transit
C_node1node62_wide_t4,0.0,node1transit_node62transit
C_node1node62_wide_t5,0.0,node1transit_node62transit
C_node1node14_timber_t0,0.0,node1transit_node14transit
C_node1node14_timber_t1,0.0,node1transit_node14transit
C_node1node14_timber_t2,0.0,node1transit_node14transit
C_node1node14_timber_t3,0.0,node1transit_node14transit
C_node1node14_timber_t4,0.0,node1transit_node14transit
C_node1node14_timber_t5,0.0,node1transit_node14transit
C_node1node14_wide_t0,0.0,node1transit_node14transit
C_node1node14_wide_t1,0.0,node1transit_node14transit
C_node1node14_wide_t2,0.0,node1transit_node14transit
C_node1node14_wide_t3,0.0,node1transit_node14transit
C_node1node14_wide_t4,0.0,node1transit_node14transit
C_node1node14_wide_t5,0.0,node1transit_node14transit
C_node1node119_timber_t0,0.0,node1transit_node119source
C_node1node119_timber_t1,1.0,node1transit_node119source
C_node1node119_timber_t2,0.0,node1transit_node119source
C_node1node119_timber_t3,0.0,node1transit_node119source
C_node1node119_timber_t4,-0.0,node1transit_node119source
C_node1node119_timber_t5,0.0,node1transit_node119source
C_node1node119_wide_t0,0.0,node1transit_node119source
C_node1node119_wide_t1,0.0,node1transit_node119source
C_node1node119_wide_t2,0.0,node1transit_node119source
C_node1node119_wide_t3,0.0,node1transit_node119source
C_node1node119_wide_t4,0.0,node1transit_node119source
C_node1node119_wide_t5,-0.0,node1transit_node119source
C_node1node144_timber_t0,0.0,node1transit_node144source
C_node1node144_timber_t1,1.0,node1transit_node144source
C_node1node144_timber_t2,0.0,node1transit_node144source
C_node1node144_timber_t3,-0.0,node1transit_node144source
C_node1node144_timber_t4,-0.0,node1transit_node144source
C_node1node144_timber_t5,0.0,node1transit_node144source
C_node1node144_wide_t0,0.0,node1transit_node144source
C_node1node144_wide_t1,0.0,node1transit_node144source
C_node1node144_wide_t2,0.0,node1transit_node144source
C_node1node144_wide_t3,0.0,node1transit_node144source
C_node1node144_wide_t4,-0.0,node1transit_node144source
C_node1node144_wide_t5,-0.0,node1transit_node144source
C_node2node83_timber_t0,0.0,node2transit_node83transit
C_node2node83_timber_t1,0.0,node2transit_node83transit
C_node2node83_timber_t2,0.0,node2transit_node83transit
C_node2node83_timber_t3,0.0,node2transit_node83transit
C_node2node83_timber_t4,0.0,node2transit_node83transit
C_node2node83_timber_t5,0.0,node2transit_node83transit
C_node2node83_wide_t0,0.0,node2transit_node83transit
C_node2node83_wide_t1,0.0,node2transit_node83transit
C_node2node83_wide_t2,0.0,node2transit_node83transit
C_node2node83_wide_t3,0.0,node2transit_node83transit
C_node2node83_wide_t4,0.0,node2transit_node83transit
C_node2node83_wide_t5,0.0,node2transit_node83transit
C_node2node26_timber_t0,0.0,node2transit_node26transit
C_node2node26_timber_t1,0.0,node2transit_node26transit
C_node2node26_timber_t2,0.0,node2transit_node26transit
C_node2node26_timber_t3,0.0,node2transit_node26transit
C_node2node26_timber_t4,0.0,node2transit_node26transit
C_node2node26_timber_t5,0.0,node2transit_node26transit
C_node2node26_wide_t0,0.0,node2transit_node26transit
C_node2node26_wide_t1,0.0,node2transit_node26transit
C_node2node26_wide_t2,0.0,node2transit_node26transit
C_node2node26_wide_t3,0.0,node2transit_node26transit
C_node2node26_wide_t4,0.0,node2transit_node26transit
C_node2node26_wide_t5,0.0,node2transit_node26transit
C_node2node99_timber_t0,0.0,node2transit_node99exit
C_node2node99_timber_t1,0.0,node2transit_node99exit
C_node2node99_timber_t2,0.0,node2transit_node99exit
C_node2node99_timber_t3,0.0,node2transit_node99exit
C_node2node99_timber_t4,0.0,node2transit_node99exit
C_node2node99_timber_t5,0.0,node2transit_node99exit
C_node2node99_wide_t0,0.0,node2transit_node99exit
C_node2node99_wide_t1,0.0,node2transit_node99exit
C_node2node99_wide_t2,0.0,node2transit_node99exit
C_node2node99_wide_t3,0.0,node2transit_node99exit
C_node2node99_wide_t4,0.0,node2transit_node99exit
C_node2node99_wide_t5,0.0,node2transit_node99exit
C_node2node119_timber_t0,0.0,node2transit_node119source
C_node2node119_timber_t1,1.0,node2transit_node119source
C_node2node119_timber_t2,0.0,node2transit_node119source
C_node2node119_timber_t3,0.0,node2transit_node119source
C_node2node119_timber_t4,-0.0,node2transit_node119source
C_node2node119_timber_t5,0.0,node2transit_node119source
C_node2node119_wide_t0,0.0,node2transit_node119source
C_node2node119_wide_t1,0.0,node2transit_node119source
C_node2node119_wide_t2,0.0,node2transit_node119source
C_node2node119_wide_t3,0.0,node2transit_node119source
C_node2node119_wide_t4,0.0,node2transit_node119source
C_node2node119_wide_t5,-0.0,node2transit_node119source
C_node3node87_timber_t0,0.0,node3transit_node87transit
C_node3node87_timber_t1,1.0,node3transit_node87transit
C_node3node87_timber_t2,0.0,node3transit_node87transit
C_node3node87_timber_t3,0.0,node3transit_node87transit
C_node3node87_timber_t4,0.0,node3transit_node87transit
C_node3node87_timber_t5,0.0,node3transit_node87transit
C_node3node87_wide_t0,0.0,node3transit_node87transit
C_node3node87_wide_t1,0.0,node3transit_node87transit
C_node3node87_wide_t2,0.0,node3transit_node87transit
C_node3node87_wide_t3,0.0,node3transit_node87transit
C_node3node87_wide_t4,0.0,node3transit_node87transit
C_node3node87_wide_t5,0.0,node3transit_node87transit
C_node3node71_timber_t0,0.0,node3transit_node71transit
C_node3node71_timber_t1,1.0,node3transit_node71transit
C_node3node71_timber_t2,0.0,node3transit_node71transit
C_node3node71_timber_t3,0.0,node3transit_node71transit
C_node3node71_timber_t4,0.0,node3transit_node71transit
C_node3node71_timber_t5,0.0,node3transit_node71transit
C_node3node71_wide_t0,0.0,node3transit_node71transit
C_node3node71_wide_t1,0.0,node3transit_node71transit
C_node3node71_wide_t2,0.0,node3transit_node71transit
C_node3node71_wide_t3,0.0,node3transit_node71transit
C_node3node71_wide_t4,0.0,node3transit_node71transit
C_node3node71_wide_t5,0.0,node3transit_node71transit
C_node3node13_timber_t0,0.0,node3transit_node13transit
C_node3node13_timber_t1,0.0,node3transit_node13transit
C_node3node13_timber_t2,0.0,node3transit_node13transit
C_node3node13_timber_t3,0.0,node3transit_node13transit
C_node3node13_timber_t4,0.0,node3transit_node13transit
C_node3node13_timber_t5,0.0,node3transit_node13transit
C_node3node13_wide_t0,0.0,node3transit_node13transit
