variable,value,node_type_info,action,road_type,edge,period
C_node1node320_timber_t1,1.0,node1transit_node320source,C,timber,node1node320,1.0
C_node1node320_timber_t3,1.0,node1transit_node320source,C,timber,node1node320,3.0
C_node3node186_timber_t1,1.0,node3transit_node186exit,C,timber,node3node186,1.0
C_node3node186_timber_t4,1.0,node3transit_node186exit,C,timber,node3node186,4.0
C_node3node271_timber_t1,1.0,node3transit_node271source,C,timber,node3node271,1.0
C_node3node271_wide_t4,1.0,node3transit_node271source,C,wide,node3node271,4.0
C_node4node300_timber_t1,1.0,node4exit_node300source,C,timber,node4node300,1.0
C_node4node301_timber_t1,1.0,node4exit_node301source,C,timber,node4node301,1.0
C_node5node287_timber_t1,1.0,node5transit_node287source,C,timber,node5node287,1.0
C_node5node297_timber_t1,1.0,node5transit_node297source,C,timber,node5node297,1.0
C_node5node298_timber_t1,1.0,node5transit_node298source,C,timber,node5node298,1.0
C_node5node298_timber_t3,1.0,node5transit_node298source,C,timber,node5node298,3.0
C_node5node299_timber_t1,1.0,node5transit_node299source,C,timber,node5node299,1.0
C_node5node299_wide_t4,1.0,node5transit_node299source,C,wide,node5node299,4.0
C_node6node331_timber_t1,1.0,node6exit_node331source,C,timber,node6node331,1.0
C_node6node331_timber_t3,1.0,node6exit_node331source,C,timber,node6node331,3.0
C_node6node331_timber_t5,1.0,node6exit_node331source,C,timber,node6node331,5.0
C_node7node331_timber_t1,1.0,node7transit_node331source,C,timber,node7node331,1.0
C_node7node331_timber_t3,1.0,node7transit_node331source,C,timber,node7node331,3.0
C_node11node304_timber_t1,1.0,node11transit_node304source,C,timber,node11node304,1.0
C_node12node311_timber_t1,1.0,node12transit_node311source,C,timber,node12node311,1.0
C_node13node297_timber_t1,1.0,node13transit_node297source,C,timber,node13node297,1.0
C_node13node297_timber_t4,1.0,node13transit_node297source,C,timber,node13node297,4.0
C_node13node298_timber_t1,1.0,node13transit_node298source,C,timber,node13node298,1.0
C_node13node298_timber_t3,1.0,node13transit_node298source,C,timber,node13node298,3.0
C_node14node287_timber_t1,1.0,node14transit_node287source,C,timber,node14node287,1.0
C_node14node287_wide_t4,1.0,node14transit_node287source,C,wide,node14node287,4.0
C_node14node288_timber_t1,1.0,node14transit_node288source,C,timber,node14node288,1.0
C_node14node288_timber_t5,1.0,node14transit_node288source,C,timber,node14node288,5.0
C_node14node289_timber_t1,1.0,node14transit_node289source,C,timber,node14node289,1.0
C_node14node289_timber_t4,1.0,node14transit_node289source,C,timber,node14node289,4.0
C_node18node311_timber_t1,1.0,node18transit_node311source,C,timber,node18node311,1.0
C_node18node311_timber_t5,1.0,node18transit_node311source,C,timber,node18node311,5.0
C_node18node326_timber_t1,1.0,node18transit_node326source,C,timber,node18node326,1.0
C_node19node82_timber_t1,1.0,node19transit_node82transit,C,timber,node19node82,1.0
C_node19node261_timber_t1,1.0,node19transit_node261exit,C,timber,node19node261,1.0
C_node19node326_timber_t1,1.0,node19transit_node326source,C,timber,node19node326,1.0
C_node20node48_timber_t1,1.0,node20transit_node48transit,C,timber,node20node48,1.0
C_node20node281_timber_t1,1.0,node20transit_node281source,C,timber,node20node281,1.0
C_node20node284_timber_t1,1.0,node20transit_node284source,C,timber,node20node284,1.0
C_node20node284_wide_t3,1.0,node20transit_node284source,C,wide,node20node284,3.0
C_node21node331_timber_t1,1.0,node21transit_node331source,C,timber,node21node331,1.0
C_node21node331_timber_t3,1.0,node21transit_node331source,C,timber,node21node331,3.0
C_node22node311_timber_t1,1.0,node22exit_node311source,C,timber,node22node311,1.0
C_node22node326_timber_t1,1.0,node22exit_node326source,C,timber,node22node326,1.0
C_node23node328_timber_t1,1.0,node23transit_node328source,C,timber,node23node328,1.0
C_node25node278_timber_t1,1.0,node25transit_node278source,C,timber,node25node278,1.0
C_node25node279_timber_t1,1.0,node25transit_node279source,C,timber,node25node279,1.0
C_node25node279_timber_t4,1.0,node25transit_node279source,C,timber,node25node279,4.0
C_node25node300_timber_t1,1.0,node25transit_node300source,C,timber,node25node300,1.0
C_node26node299_timber_t1,1.0,node26transit_node299source,C,timber,node26node299,1.0
C_node26node299_timber_t4,1.0,node26transit_node299source,C,timber,node26node299,4.0
C_node26node300_timber_t1,1.0,node26transit_node300source,C,timber,node26node300,1.0
C_node26node301_timber_t1,1.0,node26transit_node301source,C,timber,node26node301,1.0
C_node27node315_timber_t1,1.0,node27transit_node315source,C,timber,node27node315,1.0
C_node27node316_timber_t1,1.0,node27transit_node316source,C,timber,node27node316,1.0
C_node28node278_timber_t1,1.0,node28exit_node278source,C,timber,node28node278,1.0
C_node28node301_timber_t1,1.0,node28exit_node301source,C,timber,node28node301,1.0
C_node30node280_wide_t1,1.0,node30transit_node280source,C,wide,node30node280,1.0
C_node34node278_timber_t1,1.0,node34transit_node278source,C,timber,node34node278,1.0
C_node34node278_wide_t4,1.0,node34transit_node278source,C,wide,node34node278,4.0
C_node34node279_timber_t1,1.0,node34transit_node279source,C,timber,node34node279,1.0
C_node34node279_timber_t3,1.0,node34transit_node279source,C,timber,node34node279,3.0
C_node34node289_timber_t1,1.0,node34transit_node289source,C,timber,node34node289,1.0
C_node34node289_timber_t3,1.0,node34transit_node289source,C,timber,node34node289,3.0
C_node35node304_timber_t1,1.0,node35transit_node304source,C,timber,node35node304,1.0
C_node38node286_timber_t1,1.0,node38transit_node286source,C,timber,node38node286,1.0
C_node38node286_timber_t4,1.0,node38transit_node286source,C,timber,node38node286,4.0
C_node40node313_timber_t1,1.0,node40exit_node313source,C,timber,node40node313,1.0
C_node43node298_timber_t1,1.0,node43exit_node298source,C,timber,node43node298,1.0
C_node43node299_timber_t1,1.0,node43exit_node299source,C,timber,node43node299,1.0
C_node43node299_timber_t3,1.0,node43exit_node299source,C,timber,node43node299,3.0
C_node44node298_timber_t1,1.0,node44transit_node298source,C,timber,node44node298,1.0
C_node46node278_timber_t1,1.0,node46transit_node278source,C,timber,node46node278,1.0
C_node46node278_timber_t3,1.0,node46transit_node278source,C,timber,node46node278,3.0
C_node46node289_timber_t1,1.0,node46transit_node289source,C,timber,node46node289,1.0
C_node46node289_timber_t3,1.0,node46transit_node289source,C,timber,node46node289,3.0
C_node47node326_timber_t1,1.0,node47transit_node326source,C,timber,node47node326,1.0
C_node47node328_timber_t1,1.0,node47transit_node328source,C,timber,node47node328,1.0
C_node47node328_wide_t4,1.0,node47transit_node328source,C,wide,node47node328,4.0
C_node48node201_timber_t1,1.0,node48transit_node201exit,C,timber,node48node201,1.0
C_node48node284_timber_t1,1.0,node48transit_node284source,C,timber,node48node284,1.0
C_node48node285_timber_t1,1.0,node48transit_node285source,C,timber,node48node285,1.0
C_node49node281_timber_t1,1.0,node49transit_node281source,C,timber,node49node281,1.0
C_node49node282_timber_t1,1.0,node49transit_node282source,C,timber,node49node282,1.0
C_node49node282_wide_t3,1.0,node49transit_node282source,C,wide,node49node282,3.0
C_node49node284_timber_t1,1.0,node49transit_node284source,C,timber,node49node284,1.0
C_node49node284_wide_t4,1.0,node49transit_node284source,C,wide,node49node284,4.0
C_node50node316_timber_t1,1.0,node50transit_node316source,C,timber,node50node316,1.0
C_node53node85_timber_t1,1.0,node53exit_node85transit,C,timber,node53node85,1.0
C_node53node85_timber_t4,1.0,node53exit_node85transit,C,timber,node53node85,4.0
C_node53node313_timber_t1,1.0,node53exit_node313source,C,timber,node53node313,1.0
C_node53node326_timber_t1,1.0,node53exit_node326source,C,timber,node53node326,1.0
C_node55node331_timber_t1,1.0,node55transit_node331source,C,timber,node55node331,1.0
C_node55node331_timber_t3,1.0,node55transit_node331source,C,timber,node55node331,3.0
C_node56node326_timber_t1,1.0,node56transit_node326source,C,timber,node56node326,1.0
C_node57node324_timber_t1,1.0,node57transit_node324source,C,timber,node57node324,1.0
C_node57node325_timber_t1,1.0,node57transit_node325source,C,timber,node57node325,1.0
C_node57node326_timber_t1,1.0,node57transit_node326source,C,timber,node57node326,1.0
C_node60node324_timber_t1,1.0,node60transit_node324source,C,timber,node60node324,1.0
C_node60node324_timber_t4,1.0,node60transit_node324source,C,timber,node60node324,4.0
C_node60node325_timber_t1,1.0,node60transit_node325source,C,timber,node60node325,1.0
C_node61node271_timber_t1,1.0,node61transit_node271source,C,timber,node61node271,1.0
C_node61node271_wide_t4,1.0,node61transit_node271source,C,wide,node61node271,4.0
C_node61node274_timber_t1,1.0,node61transit_node274source,C,timber,node61node274,1.0
C_node62node242_timber_t1,1.0,node62transit_node242exit,C,timber,node62node242,1.0
C_node62node314_timber_t1,1.0,node62transit_node314source,C,timber,node62node314,1.0
C_node62node324_timber_t1,1.0,node62transit_node324source,C,timber,node62node324,1.0
C_node67node279_timber_t1,1.0,node67transit_node279source,C,timber,node67node279,1.0
C_node67node279_timber_t4,1.0,node67transit_node279source,C,timber,node67node279,4.0
C_node67node289_timber_t1,1.0,node67transit_node289source,C,timber,node67node289,1.0
C_node67node300_timber_t1,1.0,node67transit_node300source,C,timber,node67node300,1.0
C_node67node300_wide_t3,1.0,node67transit_node300source,C,wide,node67node300,3.0
C_node68node334_timber_t1,1.0,node68transit_node334source,C,timber,node68node334,1.0
C_node68node334_timber_t3,1.0,node68transit_node334source,C,timber,node68node334,3.0
C_node69node282_timber_t1,1.0,node69transit_node282source,C,timber,node69node282,1.0
C_node70node326_timber_t1,1.0,node70exit_node326source,C,timber,node70node326,1.0
C_node71node298_timber_t1,1.0,node71transit_node298source,C,timber,node71node298,1.0
C_node71node298_timber_t4,1.0,node71transit_node298source,C,timber,node71node298,4.0
