1042.0 * C_node1node121_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
877.34 * C_node1node121_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
621.96 * C_node1node121_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
440.92 * C_node1node121_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
312.58 * C_node1node121_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
221.59 * C_node1node121_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1564.0 * C_node1node121_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1316.85 * C_node1node121_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
933.54 * C_node1node121_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
661.8 * C_node1node121_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
469.16 * C_node1node121_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
332.6 * C_node1node121_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1282.0 * C_node1node275_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1079.41 * C_node1node275_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
765.21 * C_node1node275_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
542.47 * C_node1node275_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
384.57 * C_node1node275_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
272.63 * C_node1node275_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1923.0 * C_node1node275_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1619.11 * C_node1node275_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1147.82 * C_node1node275_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
813.71 * C_node1node275_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
576.86 * C_node1node275_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
408.94 * C_node1node275_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
4612.0 * C_node1node208_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
3883.18 * C_node1node208_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
2752.86 * C_node1node208_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1951.55 * C_node1node208_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1383.49 * C_node1node208_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
980.78 * C_node1node208_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
6920.0 * C_node1node208_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
5826.45 * C_node1node208_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
4130.48 * C_node1node208_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
2928.18 * C_node1node208_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
2075.84 * C_node1node208_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1471.6 * C_node1node208_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node1node439_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node1node439_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node1node439_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node1node439_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node1node439_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node1node439_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node1node439_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node1node439_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node1node439_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node1node439_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node1node439_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node1node439_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
