variable,value,node_type_info,action,road_type,edge,period
C_node1node121_timber_t0,0.0,node1transit_node121transit,C,timber,node1node121,0.0
C_node1node121_timber_t1,0.0,node1transit_node121transit,C,timber,node1node121,1.0
C_node1node121_timber_t2,0.0,node1transit_node121transit,C,timber,node1node121,2.0
C_node1node121_timber_t3,0.0,node1transit_node121transit,C,timber,node1node121,3.0
C_node1node121_timber_t4,0.0,node1transit_node121transit,C,timber,node1node121,4.0
C_node1node121_timber_t5,0.0,node1transit_node121transit,C,timber,node1node121,5.0
C_node1node121_wide_t0,0.0,node1transit_node121transit,C,wide,node1node121,0.0
C_node1node121_wide_t1,0.0,node1transit_node121transit,C,wide,node1node121,1.0
C_node1node121_wide_t2,0.0,node1transit_node121transit,C,wide,node1node121,2.0
C_node1node121_wide_t3,0.0,node1transit_node121transit,C,wide,node1node121,3.0
C_node1node121_wide_t4,0.0,node1transit_node121transit,C,wide,node1node121,4.0
C_node1node121_wide_t5,0.0,node1transit_node121transit,C,wide,node1node121,5.0
C_node1node275_timber_t0,0.0,node1transit_node275transit,C,timber,node1node275,0.0
C_node1node275_timber_t1,0.0,node1transit_node275transit,C,timber,node1node275,1.0
C_node1node275_timber_t2,0.0,node1transit_node275transit,C,timber,node1node275,2.0
C_node1node275_timber_t3,0.0,node1transit_node275transit,C,timber,node1node275,3.0
C_node1node275_timber_t4,0.0,node1transit_node275transit,C,timber,node1node275,4.0
C_node1node275_timber_t5,0.0,node1transit_node275transit,C,timber,node1node275,5.0
C_node1node275_wide_t0,0.0,node1transit_node275transit,C,wide,node1node275,0.0
C_node1node275_wide_t1,0.0,node1transit_node275transit,C,wide,node1node275,1.0
C_node1node275_wide_t2,0.0,node1transit_node275transit,C,wide,node1node275,2.0
C_node1node275_wide_t3,0.0,node1transit_node275transit,C,wide,node1node275,3.0
C_node1node275_wide_t4,0.0,node1transit_node275transit,C,wide,node1node275,4.0
C_node1node275_wide_t5,0.0,node1transit_node275transit,C,wide,node1node275,5.0
C_node1node208_timber_t0,0.0,node1transit_node208transit,C,timber,node1node208,0.0
C_node1node208_timber_t1,0.0,node1transit_node208transit,C,timber,node1node208,1.0
C_node1node208_timber_t2,0.0,node1transit_node208transit,C,timber,node1node208,2.0
C_node1node208_timber_t3,0.0,node1transit_node208transit,C,timber,node1node208,3.0
C_node1node208_timber_t4,0.0,node1transit_node208transit,C,timber,node1node208,4.0
C_node1node208_timber_t5,0.0,node1transit_node208transit,C,timber,node1node208,5.0
C_node1node208_wide_t0,0.0,node1transit_node208transit,C,wide,node1node208,0.0
C_node1node208_wide_t1,0.0,node1transit_node208transit,C,wide,node1node208,1.0
C_node1node208_wide_t2,0.0,node1transit_node208transit,C,wide,node1node208,2.0
C_node1node208_wide_t3,0.0,node1transit_node208transit,C,wide,node1node208,3.0
C_node1node208_wide_t4,0.0,node1transit_node208transit,C,wide,node1node208,4.0
