harvest_schedule,component,objective_value,best_bound,mip_rel_gap,total_vars,nonzero_vars,runtime_sec,constructed_timber_total,constructed_wide_total,maintained_timber_total,maintained_wide_total,upgraded_total,flow_timber_total,flow_wide_total,constructed_timber_t1,constructed_timber_t2,constructed_timber_t3,constructed_timber_t4,constructed_timber_t5,constructed_wide_t1,constructed_wide_t2,constructed_wide_t3,constructed_wide_t4,constructed_wide_t5,existing_timber_t1,existing_timber_t2,existing_timber_t3,existing_timber_t4,existing_timber_t5,existing_wide_t1,existing_wide_t2,existing_wide_t3,existing_wide_t4,existing_wide_t5,flow_timber_t1,flow_timber_t2,flow_timber_t3,flow_timber_t4,flow_timber_t5,flow_wide_t1,flow_wide_t2,flow_wide_t3,flow_wide_t4,flow_wide_t5,maintained_timber_t1,maintained_timber_t2,maintained_timber_t3,maintained_timber_t4,maintained_timber_t5,maintained_wide_t1,maintained_wide_t2,maintained_wide_t3,maintained_wide_t4,maintained_wide_t5,upgraded_t1,upgraded_t2,upgraded_t3,upgraded_t4,upgraded_t5
mres,comp_1,1841.77,1841.77,0.0,600,18,0.1,4,0,7,0,1,6,0,4,0,0,0,0,0,0,0,0,0,4,8,12,12,12,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0
mres,comp_10,14650.8,14650.8,0.0,5550,399,111.72,53,12,122,45,28,111,28,42,3,3,3,2,7,2,0,3,0,42,84,126,170,203,7,14,26,53,85,22,21,18,23,27,0,0,0,4,24,0,39,34,27,22,0,5,7,10,23,0,0,5,14,9
mres,comp_14_15_48_merged,54267.19,40446.58,0.2547,22350,1236,600.13,255,57,347,190,75,266,46,182,0,26,43,4,31,0,10,14,2,182,317,429,565,677,31,70,125,214,322,68,37,33,67,61,9,7,12,9,9,0,125,74,68,80,0,29,33,50,78,0,10,12,25,28
mres,comp_16,16245.12,16243.68,0.0001,4650,321,479.29,92,1,139,4,12,73,0,57,0,18,17,0,0,0,1,0,0,57,92,133,189,243,0,0,1,4,17,19,4,12,19,19,0,0,0,0,0,0,35,23,37,44,0,0,0,1,3,0,0,0,2,10
mres,comp_18,2279.64,2279.64,0.0,850,64,0.1,13,1,17,10,5,18,0,9,0,1,3,0,1,0,0,0,0,9,17,22,30,35,1,3,5,10,16,4,3,3,4,4,0,0,0,0,0,0,7,4,2,4,0,1,2,2,5,0,1,0,3,1
mres,comp_19_41_merged,7113.9,7113.9,0.0,1500,98,1.28,12,1,15,25,12,28,5,12,0,0,0,0,1,0,0,0,0,12,24,34,38,39,1,4,13,25,38,6,4,6,6,6,0,0,2,3,0,0,10,4,1,0,0,1,3,9,12,0,2,6,3,1
mres,comp_20_25_28_33_merged,53610.71,37809.5,0.2947,18650,1040,600.1,190,19,406,100,83,242,0,150,14,12,9,5,10,2,3,2,2,150,297,440,574,679,10,24,57,114,202,50,38,51,52,51,0,0,0,0,0,0,127,115,101,63,0,6,14,31,49,0,6,16,24,37
mres,comp_21_40_merged,8563.5,8563.5,0.0,3650,178,14.01,38,0,66,12,16,46,0,30,0,1,4,3,0,0,0,0,0,30,57,80,105,120,0,0,2,14,28,12,7,8,9,10,0,0,0,0,0,0,27,20,11,8,0,0,0,2,10,0,0,2,10,4
mres,comp_22,1567.61,1567.61,0.0,2000,109,0.51,18,0,45,9,9,28,0,9,9,0,0,0,0,0,0,0,0,9,27,44,60,72,0,1,3,9,18,4,6,6,6,6,0,0,0,0,0,0,8,16,12,9,0,0,1,2,6,0,1,1,4,3
mres,comp_23,8532.32,8532.32,0.0,4150,221,10.06,59,3,75,17,17,50,0,39,0,6,14,0,0,0,0,3,0,39,69,92,129,151,0,0,0,17,37,14,6,0,16,14,0,0,0,0,0,0,30,17,9,19,0,0,0,0,17,0,0,0,14,3
mres,comp_24,15611.02,15609.82,0.0001,3650,251,64.87,42,0,113,11,12,73,0,37,5,0,0,0,0,0,0,0,0,37,79,120,155,167,0,1,8,20,23,15,16,17,17,8,0,0,0,0,0,0,36,35,30,12,0,0,1,7,3,0,1,6,5,0
mres,comp_26,2935.7,2935.7,0.0,1000,53,0.11,9,1,17,7,6,13,0,4,4,0,0,1,0,0,1,0,0,4,12,20,27,32,0,0,2,7,14,0,3,3,3,4,0,0,0,0,0,0,4,7,4,2,0,0,0,2,5,0,0,1,3,2
mres,comp_27,1764.51,1764.51,0.0,1550,44,0.11,11,1,12,6,4,10,0,2,1,7,0,1,0,0,1,0,0,2,5,15,23,27,0,0,3,7,11,0,0,4,4,2,0,0,0,0,0,0,2,1,7,2,0,0,0,3,3,0,0,2,1,1
mres,comp_29,2769.33,2769.33,0.0,1100,61,0.53,12,2,25,3,3,16,0,8,3,0,1,0,0,0,0,2,0,8,18,25,33,40,0,0,0,3,8,2,3,3,4,4,0,0,0,0,0,0,7,7,6,5,0,0,0,0,3,0,0,0,1,2
mres,comp_2_44_merged,90385.22,39653.99,0.5613,31750,2022,600.2,347,111,440,421,145,417,141,246,0,50,49,2,74,0,18,16,3,246,423,599,793,932,74,147,265,447,677,102,47,57,106,105,26,21,29,37,28,0,169,95,89,87,0,65,69,110,177,0,8,31,56,50
