variable,value,node_type_info,action,road_type,edge,period
C_node2node39_wide_t1,1.0,node2transit_node39transit,C,wide,node2node39,1.0
C_node2node13_wide_t1,1.0,node2transit_node13transit,C,wide,node2node13,1.0
C_node2node53_timber_t1,1.0,node2transit_node53source,C,timber,node2node53,1.0
C_node2node54_timber_t1,1.0,node2transit_node54source,C,timber,node2node54,1.0
C_node2node54_wide_t3,1.0,node2transit_node54source,C,wide,node2node54,3.0
C_node3node56_timber_t1,1.0,node3transit_node56source,C,timber,node3node56,1.0
C_node4node50_timber_t1,1.0,node4transit_node50source,C,timber,node4node50,1.0
C_node4node53_timber_t1,1.0,node4transit_node53source,C,timber,node4node53,1.0
C_node5node51_timber_t2,1.0,node5transit_node51source,C,timber,node5node51,2.0
C_node5node51_wide_t5,1.0,node5transit_node51source,C,wide,node5node51,5.0
C_node5node57_timber_t1,1.0,node5transit_node57source,C,timber,node5node57,1.0
C_node7node58_timber_t1,1.0,node7transit_node58source,C,timber,node7node58,1.0
C_node9node56_timber_t1,1.0,node9transit_node56source,C,timber,node9node56,1.0
C_node10node40_timber_t1,1.0,node10transit_node40transit,C,timber,node10node40,1.0
C_node10node25_wide_t2,1.0,node10transit_node25transit,C,wide,node10node25,2.0
C_node10node51_timber_t2,1.0,node10transit_node51source,C,timber,node10node51,2.0
C_node10node52_timber_t2,1.0,node10transit_node52source,C,timber,node10node52,2.0
C_node10node55_timber_t1,1.0,node10transit_node55source,C,timber,node10node55,1.0
C_node10node57_timber_t1,1.0,node10transit_node57source,C,timber,node10node57,1.0
C_node11node40_timber_t1,1.0,node11transit_node40transit,C,timber,node11node40,1.0
C_node11node12_timber_t1,1.0,node11transit_node12transit,C,timber,node11node12,1.0
C_node11node49_timber_t3,1.0,node11transit_node49source,C,timber,node11node49,3.0
C_node11node49_wide_t1,1.0,node11transit_node49source,C,wide,node11node49,1.0
C_node11node50_timber_t1,1.0,node11transit_node50source,C,timber,node11node50,1.0
C_node11node52_wide_t1,1.0,node11transit_node52source,C,wide,node11node52,1.0
C_node12node39_wide_t1,1.0,node12transit_node39transit,C,wide,node12node39,1.0
C_node12node49_wide_t1,1.0,node12transit_node49source,C,wide,node12node49,1.0
C_node12node50_timber_t1,1.0,node12transit_node50source,C,timber,node12node50,1.0
C_node13node24_wide_t1,1.0,node13transit_node24transit,C,wide,node13node24,1.0
C_node13node53_timber_t1,1.0,node13transit_node53source,C,timber,node13node53,1.0
C_node13node54_timber_t1,1.0,node13transit_node54source,C,timber,node13node54,1.0
C_node14node27_timber_t1,1.0,node14transit_node27transit,C,timber,node14node27,1.0
