variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node1node12_timber_t0,0.0,0.0,B,C,timber,node1node12,0,422.0
C_node1node12_timber_t1,0.0,1.0,B,C,timber,node1node12,1,355.31
C_node1node12_timber_t2,0.0,1.0,B,C,timber,node1node12,2,251.89
C_node1node12_timber_t3,0.0,1.0,B,C,timber,node1node12,3,178.57
C_node1node12_timber_t4,0.0,1.0,B,C,timber,node1node12,4,126.59
C_node1node12_timber_t5,0.0,1.0,B,C,timber,node1node12,5,89.74
C_node1node12_wide_t0,0.0,0.0,B,C,wide,node1node12,0,633.0
C_node1node12_wide_t1,0.0,1.0,B,C,wide,node1node12,1,532.97
C_node1node12_wide_t2,0.0,1.0,B,C,wide,node1node12,2,377.83
C_node1node12_wide_t3,0.0,1.0,B,C,wide,node1node12,3,267.85
C_node1node12_wide_t4,0.0,1.0,B,C,wide,node1node12,4,189.89
C_node1node12_wide_t5,0.0,1.0,B,C,wide,node1node12,5,134.61
C_node1node79_timber_t0,0.0,0.0,B,C,timber,node1node79,0,1598.0
C_node1node79_timber_t1,0.0,1.0,B,C,timber,node1node79,1,1345.47
C_node1node79_timber_t2,0.0,1.0,B,C,timber,node1node79,2,953.83
C_node1node79_timber_t3,0.0,1.0,B,C,timber,node1node79,3,676.19
C_node1node79_timber_t4,0.0,1.0,B,C,timber,node1node79,4,479.36
C_node1node79_timber_t5,0.0,1.0,B,C,timber,node1node79,5,339.83
C_node1node79_wide_t0,0.0,0.0,B,C,wide,node1node79,0,2394.0
C_node1node79_wide_t1,0.0,1.0,B,C,wide,node1node79,1,2015.68
C_node1node79_wide_t2,0.0,1.0,B,C,wide,node1node79,2,1428.96
C_node1node79_wide_t3,0.0,1.0,B,C,wide,node1node79,3,1013.01
C_node1node79_wide_t4,0.0,1.0,B,C,wide,node1node79,4,718.14
C_node1node79_wide_t5,0.0,1.0,B,C,wide,node1node79,5,509.11
C_node1node55_timber_t0,0.0,0.0,B,C,timber,node1node55,0,2951.0
C_node1node55_timber_t1,0.0,1.0,B,C,timber,node1node55,1,2484.66
C_node1node55_timber_t2,0.0,1.0,B,C,timber,node1node55,2,1761.42
C_node1node55_timber_t3,0.0,1.0,B,C,timber,node1node55,3,1248.71
C_node1node55_timber_t4,0.0,1.0,B,C,timber,node1node55,4,885.23
C_node1node55_timber_t5,0.0,1.0,B,C,timber,node1node55,5,627.56
C_node1node55_wide_t0,0.0,0.0,B,C,wide,node1node55,0,4426.0
C_node1node55_wide_t1,0.0,1.0,B,C,wide,node1node55,1,3726.57
C_node1node55_wide_t2,0.0,1.0,B,C,wide,node1node55,2,2641.84
C_node1node55_wide_t3,0.0,1.0,B,C,wide,node1node55,3,1872.85
C_node1node55_wide_t4,0.0,1.0,B,C,wide,node1node55,4,1327.7
C_node1node55_wide_t5,0.0,1.0,B,C,wide,node1node55,5,941.23
C_node1node178_timber_t0,0.0,0.0,B,C,timber,node1node178,0,0.0
C_node1node178_timber_t1,0.0,1.0,B,C,timber,node1node178,1,0.0
C_node1node178_timber_t2,0.0,1.0,B,C,timber,node1node178,2,0.0
C_node1node178_timber_t3,0.0,1.0,B,C,timber,node1node178,3,0.0
C_node1node178_timber_t4,0.0,1.0,B,C,timber,node1node178,4,0.0
C_node1node178_timber_t5,0.0,1.0,B,C,timber,node1node178,5,0.0
C_node1node178_wide_t0,0.0,0.0,B,C,wide,node1node178,0,0.0
C_node1node178_wide_t1,0.0,1.0,B,C,wide,node1node178,1,0.0
C_node1node178_wide_t2,0.0,1.0,B,C,wide,node1node178,2,0.0
C_node1node178_wide_t3,0.0,1.0,B,C,wide,node1node178,3,0.0
C_node1node178_wide_t4,0.0,1.0,B,C,wide,node1node178,4,0.0
C_node1node178_wide_t5,0.0,1.0,B,C,wide,node1node178,5,0.0
C_node1node179_timber_t0,0.0,0.0,B,C,timber,node1node179,0,0.0
C_node1node179_timber_t1,0.0,1.0,B,C,timber,node1node179,1,0.0
C_node1node179_timber_t2,0.0,1.0,B,C,timber,node1node179,2,0.0
C_node1node179_timber_t3,0.0,1.0,B,C,timber,node1node179,3,0.0
C_node1node179_timber_t4,0.0,1.0,B,C,timber,node1node179,4,0.0
C_node1node179_timber_t5,0.0,1.0,B,C,timber,node1node179,5,0.0
C_node1node179_wide_t0,0.0,0.0,B,C,wide,node1node179,0,0.0
C_node1node179_wide_t1,0.0,1.0,B,C,wide,node1node179,1,0.0
C_node1node179_wide_t2,0.0,1.0,B,C,wide,node1node179,2,0.0
C_node1node179_wide_t3,0.0,1.0,B,C,wide,node1node179,3,0.0
C_node1node179_wide_t4,0.0,1.0,B,C,wide,node1node179,4,0.0
C_node1node179_wide_t5,0.0,1.0,B,C,wide,node1node179,5,0.0
C_node1node209_timber_t0,0.0,0.0,B,C,timber,node1node209,0,0.0
C_node1node209_timber_t1,0.0,1.0,B,C,timber,node1node209,1,0.0
C_node1node209_timber_t2,0.0,1.0,B,C,timber,node1node209,2,0.0
C_node1node209_timber_t3,0.0,1.0,B,C,timber,node1node209,3,0.0
C_node1node209_timber_t4,0.0,1.0,B,C,timber,node1node209,4,0.0
C_node1node209_timber_t5,0.0,1.0,B,C,timber,node1node209,5,0.0
C_node1node209_wide_t0,0.0,0.0,B,C,wide,node1node209,0,0.0
C_node1node209_wide_t1,0.0,1.0,B,C,wide,node1node209,1,0.0
C_node1node209_wide_t2,0.0,1.0,B,C,wide,node1node209,2,0.0
C_node1node209_wide_t3,0.0,1.0,B,C,wide,node1node209,3,0.0
C_node1node209_wide_t4,0.0,1.0,B,C,wide,node1node209,4,0.0
C_node1node209_wide_t5,0.0,1.0,B,C,wide,node1node209,5,0.0
C_node2node82_timber_t0,0.0,0.0,B,C,timber,node2node82,0,1244.0
C_node2node82_timber_t1,0.0,1.0,B,C,timber,node2node82,1,1047.41
C_node2node82_timber_t2,0.0,1.0,B,C,timber,node2node82,2,742.53
C_node2node82_timber_t3,0.0,1.0,B,C,timber,node2node82,3,526.39
C_node2node82_timber_t4,0.0,1.0,B,C,timber,node2node82,4,373.17
C_node2node82_timber_t5,0.0,1.0,B,C,timber,node2node82,5,264.55
C_node2node82_wide_t0,0.0,0.0,B,C,wide,node2node82,0,1866.0
C_node2node82_wide_t1,0.0,1.0,B,C,wide,node2node82,1,1571.12
C_node2node82_wide_t2,0.0,1.0,B,C,wide,node2node82,2,1113.8
C_node2node82_wide_t3,0.0,1.0,B,C,wide,node2node82,3,789.59
C_node2node82_wide_t4,0.0,1.0,B,C,wide,node2node82,4,559.76
C_node2node82_wide_t5,0.0,1.0,B,C,wide,node2node82,5,396.82
C_node2node49_timber_t0,0.0,0.0,B,C,timber,node2node49,0,2276.0
C_node2node49_timber_t1,0.0,1.0,B,C,timber,node2node49,1,1916.33
C_node2node49_timber_t2,0.0,1.0,B,C,timber,node2node49,2,1358.52
