variable,coefficient,type,prefix,width,edge,period
C_node1node12_timber_t0,422.0,B,C,timber,,0
C_node1node12_timber_t1,355.31,B,C,timber,,1
C_node1node12_timber_t2,251.89,B,C,timber,,2
C_node1node12_timber_t3,178.57,B,C,timber,,3
C_node1node12_timber_t4,126.59,B,C,timber,,4
C_node1node12_timber_t5,89.74,B,C,timber,,5
C_node1node12_wide_t0,633.0,B,C,wide,,0
C_node1node12_wide_t1,532.97,B,C,wide,,1
C_node1node12_wide_t2,377.83,B,C,wide,,2
C_node1node12_wide_t3,267.85,B,C,wide,,3
C_node1node12_wide_t4,189.89,B,C,wide,,4
C_node1node12_wide_t5,134.61,B,C,wide,,5
C_node1node79_timber_t0,1598.0,B,C,timber,,0
C_node1node79_timber_t1,1345.47,B,C,timber,,1
C_node1node79_timber_t2,953.83,B,C,timber,,2
C_node1node79_timber_t3,676.19,B,C,timber,,3
C_node1node79_timber_t4,479.36,B,C,timber,,4
C_node1node79_timber_t5,339.83,B,C,timber,,5
C_node1node79_wide_t0,2394.0,B,C,wide,,0
C_node1node79_wide_t1,2015.68,B,C,wide,,1
C_node1node79_wide_t2,1428.96,B,C,wide,,2
C_node1node79_wide_t3,1013.01,B,C,wide,,3
C_node1node79_wide_t4,718.14,B,C,wide,,4
C_node1node79_wide_t5,509.11,B,C,wide,,5
C_node1node55_timber_t0,2951.0,B,C,timber,,0
C_node1node55_timber_t1,2484.66,B,C,timber,,1
C_node1node55_timber_t2,1761.42,B,C,timber,,2
C_node1node55_timber_t3,1248.71,B,C,timber,,3
C_node1node55_timber_t4,885.23,B,C,timber,,4
C_node1node55_timber_t5,627.56,B,C,timber,,5
C_node1node55_wide_t0,4426.0,B,C,wide,,0
C_node1node55_wide_t1,3726.57,B,C,wide,,1
C_node1node55_wide_t2,2641.84,B,C,wide,,2
C_node1node55_wide_t3,1872.85,B,C,wide,,3
C_node1node55_wide_t4,1327.7,B,C,wide,,4
C_node1node55_wide_t5,941.23,B,C,wide,,5
C_node1node178_timber_t0,0.0,B,C,timber,,0
C_node1node178_timber_t1,0.0,B,C,timber,,1
C_node1node178_timber_t2,0.0,B,C,timber,,2
C_node1node178_timber_t3,0.0,B,C,timber,,3
C_node1node178_timber_t4,0.0,B,C,timber,,4
C_node1node178_timber_t5,0.0,B,C,timber,,5
C_node1node178_wide_t0,0.0,B,C,wide,,0
C_node1node178_wide_t1,0.0,B,C,wide,,1
C_node1node178_wide_t2,0.0,B,C,wide,,2
C_node1node178_wide_t3,0.0,B,C,wide,,3
C_node1node178_wide_t4,0.0,B,C,wide,,4
C_node1node178_wide_t5,0.0,B,C,wide,,5
C_node1node179_timber_t0,0.0,B,C,timber,,0
C_node1node179_timber_t1,0.0,B,C,timber,,1
C_node1node179_timber_t2,0.0,B,C,timber,,2
C_node1node179_timber_t3,0.0,B,C,timber,,3
C_node1node179_timber_t4,0.0,B,C,timber,,4
C_node1node179_timber_t5,0.0,B,C,timber,,5
C_node1node179_wide_t0,0.0,B,C,wide,,0
C_node1node179_wide_t1,0.0,B,C,wide,,1
C_node1node179_wide_t2,0.0,B,C,wide,,2
C_node1node179_wide_t3,0.0,B,C,wide,,3
C_node1node179_wide_t4,0.0,B,C,wide,,4
C_node1node179_wide_t5,0.0,B,C,wide,,5
C_node1node209_timber_t0,0.0,B,C,timber,,0
C_node1node209_timber_t1,0.0,B,C,timber,,1
C_node1node209_timber_t2,0.0,B,C,timber,,2
C_node1node209_timber_t3,0.0,B,C,timber,,3
C_node1node209_timber_t4,0.0,B,C,timber,,4
C_node1node209_timber_t5,0.0,B,C,timber,,5
C_node1node209_wide_t0,0.0,B,C,wide,,0
C_node1node209_wide_t1,0.0,B,C,wide,,1
C_node1node209_wide_t2,0.0,B,C,wide,,2
C_node1node209_wide_t3,0.0,B,C,wide,,3
C_node1node209_wide_t4,0.0,B,C,wide,,4
C_node1node209_wide_t5,0.0,B,C,wide,,5
C_node2node82_timber_t0,1244.0,B,C,timber,,0
C_node2node82_timber_t1,1047.41,B,C,timber,,1
C_node2node82_timber_t2,742.53,B,C,timber,,2
C_node2node82_timber_t3,526.39,B,C,timber,,3
C_node2node82_timber_t4,373.17,B,C,timber,,4
C_node2node82_timber_t5,264.55,B,C,timber,,5
C_node2node82_wide_t0,1866.0,B,C,wide,,0
C_node2node82_wide_t1,1571.12,B,C,wide,,1
C_node2node82_wide_t2,1113.8,B,C,wide,,2
C_node2node82_wide_t3,789.59,B,C,wide,,3
C_node2node82_wide_t4,559.76,B,C,wide,,4
C_node2node82_wide_t5,396.82,B,C,wide,,5
C_node2node49_timber_t0,2276.0,B,C,timber,,0
C_node2node49_timber_t1,1916.33,B,C,timber,,1
C_node2node49_timber_t2,1358.52,B,C,timber,,2
C_node2node49_timber_t3,963.08,B,C,timber,,3
C_node2node49_timber_t4,682.75,B,C,timber,,4
C_node2node49_timber_t5,484.01,B,C,timber,,5
C_node2node49_wide_t0,3413.0,B,C,wide,,0
C_node2node49_wide_t1,2873.65,B,C,wide,,1
C_node2node49_wide_t2,2037.19,B,C,wide,,2
C_node2node49_wide_t3,1444.2,B,C,wide,,3
C_node2node49_wide_t4,1023.82,B,C,wide,,4
C_node2node49_wide_t5,725.81,B,C,wide,,5
C_node2node110_timber_t0,5907.0,B,C,timber,,0
C_node2node110_timber_t1,4973.54,B,C,timber,,1
C_node2node110_timber_t2,3525.83,B,C,timber,,2
C_node2node110_timber_t3,2499.53,B,C,timber,,3
C_node2node110_timber_t4,1771.96,B,C,timber,,4
C_node2node110_timber_t5,1256.18,B,C,timber,,5
C_node2node110_wide_t0,8859.0,B,C,wide,,0
C_node2node110_wide_t1,7459.04,B,C,wide,,1
C_node2node110_wide_t2,5287.85,B,C,wide,,2
C_node2node110_wide_t3,3748.66,B,C,wide,,3
C_node2node110_wide_t4,2657.5,B,C,wide,,4
C_node2node110_wide_t5,1883.95,B,C,wide,,5
C_node2node180_timber_t0,0.0,B,C,timber,,0
C_node2node180_timber_t1,0.0,B,C,timber,,1
C_node2node180_timber_t2,0.0,B,C,timber,,2
C_node2node180_timber_t3,0.0,B,C,timber,,3
C_node2node180_timber_t4,0.0,B,C,timber,,4
C_node2node180_timber_t5,0.0,B,C,timber,,5
C_node2node180_wide_t0,0.0,B,C,wide,,0
C_node2node180_wide_t1,0.0,B,C,wide,,1
C_node2node180_wide_t2,0.0,B,C,wide,,2
C_node2node180_wide_t3,0.0,B,C,wide,,3
C_node2node180_wide_t4,0.0,B,C,wide,,4
C_node2node180_wide_t5,0.0,B,C,wide,,5
C_node2node210_timber_t0,0.0,B,C,timber,,0
C_node2node210_timber_t1,0.0,B,C,timber,,1
C_node2node210_timber_t2,0.0,B,C,timber,,2
C_node2node210_timber_t3,0.0,B,C,timber,,3
C_node2node210_timber_t4,0.0,B,C,timber,,4
C_node2node210_timber_t5,0.0,B,C,timber,,5
C_node2node210_wide_t0,0.0,B,C,wide,,0
C_node2node210_wide_t1,0.0,B,C,wide,,1
