variable,value,node_type_info
C_node1node158_timber_t1,1.0,node1transit_node158transit
C_node1node288_timber_t1,1.0,node1transit_node288source
C_node1node288_timber_t4,1.0,node1transit_node288source
C_node1node289_timber_t1,1.0,node1transit_node289source
C_node1node289_timber_t4,1.0,node1transit_node289source
C_node2node364_timber_t4,1.0,node2transit_node364source
C_node2node364_wide_t1,1.0,node2transit_node364source
C_node2node366_wide_t1,1.0,node2transit_node366source
C_node2node367_wide_t1,1.0,node2transit_node367source
C_node3node341_timber_t1,1.0,node3transit_node341source
C_node3node342_timber_t1,1.0,node3transit_node342source
C_node4node300_timber_t1,1.0,node4transit_node300source
C_node4node303_timber_t1,1.0,node4transit_node303source
C_node5node301_timber_t1,1.0,node5transit_node301source
C_node5node302_timber_t1,1.0,node5transit_node302source
C_node5node305_timber_t1,1.0,node5transit_node305source
C_node8node124_timber_t1,1.0,node8transit_node124transit
C_node8node131_timber_t1,1.0,node8transit_node131transit
C_node8node335_timber_t1,1.0,node8transit_node335source
C_node8node341_timber_t1,1.0,node8transit_node341source
C_node9node125_timber_t2,-1.1379786002407857e-13,node9transit_node125transit
C_node9node125_wide_t3,1.6353585152728697e-13,node9transit_node125transit
C_node9node143_timber_t1,1.0,node9transit_node143transit
C_node9node81_timber_t1,1.0,node9transit_node81transit
C_node9node361_wide_t1,1.0,node9transit_node361source
C_node10node313_timber_t1,1.0,node10transit_node313source
C_node10node315_timber_t1,1.0,node10transit_node315source
C_node11node264_timber_t1,1.0,node11transit_node264exit
C_node11node351_wide_t1,1.0,node11transit_node351source
C_node12node361_wide_t1,1.0,node12transit_node361source
C_node12node365_wide_t1,1.0,node12transit_node365source
C_node13node351_timber_t1,1.0,node13transit_node351source
C_node14node28_timber_t1,1.0,node14transit_node28transit
C_node14node187_timber_t1,1.0,node14transit_node187transit
C_node14node305_timber_t1,1.0,node14transit_node305source
C_node14node306_timber_t1,1.0,node14transit_node306source
C_node14node317_timber_t1,1.0,node14transit_node317source
C_node14node318_timber_t1,1.0,node14transit_node318source
C_node15node335_timber_t1,1.0,node15transit_node335source
C_node16node366_timber_t1,1.0,node16transit_node366source
C_node16node367_wide_t1,1.0,node16transit_node367source
C_node22node310_timber_t1,1.0,node22transit_node310source
C_node24node81_timber_t1,1.0,node24transit_node81transit
C_node24node345_timber_t1,1.0,node24transit_node345source
C_node27node337_timber_t1,1.0,node27transit_node337source
C_node28node46_timber_t1,1.0,node28transit_node46transit
C_node28node134_timber_t1,1.0,node28transit_node134transit
C_node28node305_timber_t1,1.0,node28transit_node305source
C_node28node318_timber_t1,1.0,node28transit_node318source
C_node30node219_timber_t1,1.0,node30transit_node219exit
C_node30node158_timber_t1,1.0,node30transit_node158transit
C_node31node319_timber_t1,1.0,node31transit_node319source
C_node31node321_timber_t1,1.0,node31transit_node321source
C_node32node337_timber_t1,1.0,node32transit_node337source
C_node33node195_wide_t1,1.0,node33transit_node195transit
C_node33node361_timber_t4,1.0,node33transit_node361source
C_node33node361_wide_t1,1.0,node33transit_node361source
C_node33node365_wide_t1,1.0,node33transit_node365source
C_node33node366_wide_t1,1.0,node33transit_node366source
C_node34node139_timber_t1,1.0,node34exit_node139transit
C_node34node322_timber_t1,1.0,node34exit_node322source
C_node34node337_timber_t1,1.0,node34exit_node337source
C_node35node243_timber_t1,1.0,node35transit_node243exit
C_node35node140_timber_t1,1.0,node35transit_node140transit
C_node35node315_timber_t1,1.0,node35transit_node315source
C_node37node317_timber_t1,1.0,node37transit_node317source
C_node37node318_timber_t1,1.0,node37transit_node318source
C_node37node319_timber_t1,1.0,node37transit_node319source
C_node38node313_timber_t1,1.0,node38transit_node313source
C_node38node315_wide_t1,1.0,node38transit_node315source
C_node42node318_timber_t1,1.0,node42transit_node318source
C_node42node319_timber_t1,1.0,node42transit_node319source
C_node42node322_timber_t1,1.0,node42transit_node322source
C_node43node335_timber_t1,1.0,node43transit_node335source
C_node44node367_timber_t1,1.0,node44transit_node367source
C_node46node318_timber_t1,1.0,node46transit_node318source
C_node46node320_timber_t1,1.0,node46transit_node320source
C_node48node82_timber_t1,1.0,node48transit_node82transit
C_node48node107_timber_t1,1.0,node48transit_node107transit
C_node48node301_timber_t1,1.0,node48transit_node301source
C_node48node303_timber_t1,1.0,node48transit_node303source
C_node48node304_timber_t1,1.0,node48transit_node304source
C_node48node304_timber_t3,1.0,node48transit_node304source
C_node49node323_timber_t1,1.0,node49transit_node323source
C_node49node336_timber_t1,1.0,node49transit_node336source
C_node49node336_timber_t3,1.0,node49transit_node336source
C_node50node76_timber_t1,1.0,node50transit_node76exit
C_node50node367_timber_t1,1.0,node50transit_node367source
C_node51node364_wide_t1,1.0,node51transit_node364source
C_node53node335_timber_t1,1.0,node53transit_node335source
C_node53node337_timber_t1,1.0,node53transit_node337source
C_node55node327_wide_t1,1.0,node55transit_node327source
C_node57node337_timber_t1,1.0,node57transit_node337source
C_node59node131_timber_t1,1.0,node59transit_node131transit
C_node59node106_timber_t1,1.0,node59transit_node106transit
C_node59node337_timber_t1,1.0,node59transit_node337source
C_node59node338_timber_t1,1.0,node59transit_node338source
C_node59node341_timber_t1,1.0,node59transit_node341source
C_node60node351_timber_t1,1.0,node60transit_node351source
C_node62node336_timber_t1,1.0,node62transit_node336source
C_node62node337_timber_t1,1.0,node62transit_node337source
C_node64node342_timber_t1,1.0,node64transit_node342source
C_node67node351_timber_t1,1.0,node67transit_node351source
C_node73node339_timber_t1,1.0,node73transit_node339source
C_node73node341_timber_t1,1.0,node73transit_node341source
C_node74node336_timber_t1,1.0,node74transit_node336source
C_node75node301_timber_t1,1.0,node75transit_node301source
C_node75node305_timber_t1,1.0,node75transit_node305source
C_node75node306_timber_t1,1.0,node75transit_node306source
C_node76node88_wide_t1,1.1368683772162898e-13,node76exit_node88transit
C_node77node315_timber_t1,1.0,node77transit_node315source
C_node80node363_timber_t1,1.0,node80transit_node363source
C_node80node363_wide_t4,1.0,node80transit_node363source
C_node80node364_timber_t1,1.0,node80transit_node364source
C_node80node364_timber_t4,1.0,node80transit_node364source
C_node80node366_timber_t1,1.0,node80transit_node366source
C_node82node300_timber_t1,1.0,node82transit_node300source
C_node82node301_wide_t1,1.0,node82transit_node301source
C_node82node303_timber_t1,1.0,node82transit_node303source
C_node82node303_timber_t4,1.0,node82transit_node303source
C_node84node244_timber_t1,1.0,node84transit_node244exit
C_node84node321_wide_t1,1.0,node84transit_node321source
C_node84node322_timber_t1,1.0,node84transit_node322source
C_node84node324_timber_t1,1.0,node84transit_node324source
C_node86node236_timber_t1,1.0,node86transit_node236exit
C_node86node138_timber_t1,1.0,node86transit_node138transit
C_node87node288_timber_t1,1.0,node87transit_node288source
C_node89node346_timber_t1,1.0,node89transit_node346source
C_node90node133_timber_t1,1.0,node90transit_node133transit
C_node90node187_timber_t1,1.0,node90transit_node187transit
C_node90node317_timber_t1,1.0,node90transit_node317source
C_node90node319_wide_t1,1.0,node90transit_node319source
C_node91node93_timber_t2,1.1379786002407857e-13,node91transit_node93transit
C_node92node342_timber_t1,1.0,node92transit_node342source
C_node95node253_timber_t1,1.0,node95transit_node253exit
C_node95node332_wide_t1,1.0,node95transit_node332source
C_node97node323_timber_t1,1.0,node97transit_node323source
C_node98node300_wide_t1,1.0,node98transit_node300source
C_node102node332_timber_t1,1.0,node102transit_node332source
C_node104node320_timber_t1,1.0,node104transit_node320source
C_node104node322_timber_t1,1.0,node104transit_node322source
C_node104node323_timber_t1,1.0,node104transit_node323source
C_node105node371_timber_t1,1.0,node105transit_node371source
C_node106node338_timber_t1,1.0,node106transit_node338source
C_node106node339_timber_t1,1.0,node106transit_node339source
C_node106node341_wide_t1,1.0,node106transit_node341source
C_node107node188_timber_t1,1.0,node107transit_node188transit
C_node107node303_timber_t1,1.0,node107transit_node303source
C_node107node304_wide_t1,1.0,node107transit_node304source
C_node108node300_timber_t1,1.0,node108transit_node300source
C_node109node337_timber_t1,1.0,node109transit_node337source
C_node109node339_timber_t1,1.0,node109transit_node339source
C_node110node351_timber_t1,1.0,node110transit_node351source
C_node111node262_timber_t1,1.0,node111transit_node262exit
C_node111node346_timber_t1,1.0,node111transit_node346source
C_node112node321_timber_t1,1.0,node112transit_node321source
C_node112node324_timber_t1,1.0,node112transit_node324source
C_node113node182_timber_t1,1.0,node113transit_node182transit
C_node113node177_timber_t1,1.0,node113transit_node177transit
C_node114node364_wide_t1,1.0,node114transit_node364source
C_node114node367_wide_t1,1.0,node114transit_node367source
C_node116node346_timber_t1,1.0,node116transit_node346source
C_node116node346_timber_t3,1.0,node116transit_node346source
C_node118node324_timber_t1,1.0,node118exit_node324source
C_node118node337_timber_t1,1.0,node118exit_node337source
C_node123node342_timber_t1,1.0,node123transit_node342source
C_node124node265_timber_t1,1.0,node124transit_node265exit
C_node124node335_timber_t1,1.0,node124transit_node335source
C_node125node361_wide_t1,1.0,node125transit_node361source
C_node126node337_timber_t1,1.0,node126transit_node337source
C_node127node351_timber_t1,1.0,node127transit_node351source
C_node130node139_timber_t1,1.0,node130transit_node139transit
C_node130node323_timber_t1,1.0,node130transit_node323source
C_node130node336_timber_t1,1.0,node130transit_node336source
C_node130node337_timber_t1,1.0,node130transit_node337source
C_node131node335_timber_t1,1.0,node131transit_node335source
C_node131node337_timber_t1,1.0,node131transit_node337source
C_node131node341_timber_t1,1.0,node131transit_node341source
C_node132node319_timber_t1,1.0,node132transit_node319source
C_node132node321_timber_t1,1.0,node132transit_node321source
C_node132node322_timber_t1,1.0,node132transit_node322source
C_node133node241_timber_t1,1.0,node133transit_node241exit
C_node133node319_timber_t1,1.0,node133transit_node319source
C_node134node302_timber_t1,1.0,node134transit_node302source
C_node134node305_timber_t1,1.0,node134transit_node305source
C_node135node301_timber_t1,1.0,node135transit_node301source
C_node135node304_timber_t1,1.0,node135transit_node304source
C_node135node304_wide_t4,1.0,node135transit_node304source
C_node135node306_timber_t1,1.0,node135transit_node306source
C_node137node215_timber_t1,1.0,node137transit_node215exit
C_node137node299_timber_t1,1.0,node137transit_node299source
C_node138node310_timber_t1,1.0,node138transit_node310source
C_node138node313_timber_t1,1.0,node138transit_node313source
C_node139node322_timber_t1,1.0,node139transit_node322source
C_node139node323_timber_t1,1.0,node139transit_node323source
C_node139node337_timber_t1,1.0,node139transit_node337source
C_node140node315_timber_t1,1.0,node140transit_node315source
C_node140node327_timber_t1,1.0,node140transit_node327source
C_node140node327_timber_t4,1.0,node140transit_node327source
C_node143node276_wide_t1,1.0,node143transit_node276exit
C_node143node195_wide_t1,1.0,node143transit_node195transit
C_node143node361_wide_t1,1.0,node143transit_node361source
C_node145node345_timber_t1,1.0,node145transit_node345source
C_node146node324_wide_t1,1.0,node146transit_node324source
C_node146node337_timber_t1,1.0,node146transit_node337source
C_node147node304_timber_t1,1.0,node147transit_node304source
C_node147node304_wide_t4,1.0,node147transit_node304source
C_node147node306_timber_t1,1.0,node147transit_node306source
C_node148node337_timber_t1,1.0,node148transit_node337source
C_node148node338_timber_t1,1.0,node148transit_node338source
C_node148node339_timber_t1,1.0,node148transit_node339source
C_node149node345_timber_t1,1.0,node149transit_node345source
C_node154node332_wide_t1,1.0,node154transit_node332source
C_node155node195_wide_t1,1.0,node155transit_node195transit
C_node155node170_timber_t1,1.0,node155transit_node170transit
C_node155node363_wide_t1,1.0,node155transit_node363source
C_node155node366_timber_t1,1.0,node155transit_node366source
C_node158node289_timber_t1,1.0,node158transit_node289source
C_node159node324_timber_t1,1.0,node159exit_node324source
C_node159node337_timber_t1,1.0,node159exit_node337source
C_node160node310_timber_t1,1.0,node160transit_node310source
C_node161node167_timber_t1,1.0,node161transit_node167exit
C_node161node371_wide_t1,1.0,node161transit_node371source
C_node162node324_timber_t1,1.0,node162exit_node324source
C_node162node337_timber_t1,1.0,node162exit_node337source
C_node164node365_wide_t1,1.0,node164transit_node365source
C_node169node371_timber_t1,1.0,node169transit_node371source
C_node170node363_wide_t1,1.0,node170transit_node363source
C_node170node364_timber_t1,1.0,node170transit_node364source
C_node171node322_timber_t1,1.0,node171transit_node322source
C_node171node324_timber_t1,1.0,node171transit_node324source
C_node171node337_timber_t1,1.0,node171transit_node337source
C_node172node341_timber_t1,1.0,node172transit_node341source
C_node172node342_timber_t1,1.0,node172transit_node342source
C_node173node300_timber_t1,1.0,node173transit_node300source
C_node173node301_timber_t1,1.0,node173transit_node301source
C_node174node302_timber_t1,1.0,node174transit_node302source
C_node176node315_timber_t1,1.0,node176transit_node315source
