variable,value,node_type_info
C_node6node16_timber_t1,1.0,node6exit_node16transit
C_node7node105_timber_t1,1.0,node7transit_node105source
C_node7node105_timber_t3,1.0,node7transit_node105source
C_node8node98_timber_t1,1.0,node8transit_node98source
C_node8node99_timber_t1,1.0,node8transit_node99source
C_node8node100_timber_t1,1.0,node8transit_node100source
C_node11node44_timber_t1,1.0,node11transit_node44transit
C_node11node58_timber_t1,1.0,node11transit_node58transit
C_node11node41_timber_t1,1.0,node11transit_node41transit
C_node11node93_timber_t1,1.0,node11transit_node93source
C_node11node93_timber_t3,1.0,node11transit_node93source
C_node11node94_timber_t1,1.0,node11transit_node94source
C_node16node41_timber_t1,1.0,node16transit_node41transit
C_node16node94_timber_t1,1.0,node16transit_node94source
C_node16node94_wide_t3,1.0,node16transit_node94source
C_node18node101_timber_t1,1.0,node18transit_node101source
C_node19node96_timber_t1,1.0,node19transit_node96source
C_node19node96_timber_t4,1.0,node19transit_node96source
C_node19node100_timber_t1,1.0,node19transit_node100source
C_node20node28_timber_t1,1.0,node20transit_node28transit
C_node20node44_timber_t1,1.0,node20transit_node44transit
C_node20node94_timber_t1,1.0,node20transit_node94source
C_node20node94_timber_t3,1.0,node20transit_node94source
C_node20node96_timber_t1,1.0,node20transit_node96source
C_node20node97_timber_t1,1.0,node20transit_node97source
C_node27node59_timber_t1,1.0,node27transit_node59transit
C_node27node28_timber_t1,1.0,node27transit_node28transit
C_node27node96_timber_t1,1.0,node27transit_node96source
C_node27node96_timber_t4,1.0,node27transit_node96source
C_node27node98_timber_t1,1.0,node27transit_node98source
C_node27node99_timber_t1,1.0,node27transit_node99source
C_node28node96_timber_t1,1.0,node28transit_node96source
C_node28node96_timber_t4,1.0,node28transit_node96source
C_node28node97_timber_t1,1.0,node28transit_node97source
C_node28node98_timber_t1,1.0,node28transit_node98source
C_node28node98_wide_t3,1.0,node28transit_node98source
C_node30node93_timber_t1,1.0,node30transit_node93source
C_node32node97_timber_t1,1.0,node32transit_node97source
C_node32node101_timber_t1,1.0,node32transit_node101source
C_node34node97_timber_t1,1.0,node34transit_node97source
C_node37node93_timber_t1,1.0,node37transit_node93source
C_node37node93_timber_t3,1.0,node37transit_node93source
C_node37node95_timber_t1,1.0,node37transit_node95source
C_node40node105_timber_t1,1.0,node40transit_node105source
C_node40node105_timber_t3,1.0,node40transit_node105source
C_node41node93_timber_t1,1.0,node41transit_node93source
C_node41node93_timber_t3,1.0,node41transit_node93source
C_node41node94_timber_t1,1.0,node41transit_node94source
C_node42node105_timber_t1,1.0,node42exit_node105source
C_node42node105_wide_t3,1.0,node42exit_node105source
C_node44node94_timber_t1,1.0,node44transit_node94source
C_node44node94_wide_t3,1.0,node44transit_node94source
C_node44node96_timber_t1,1.0,node44transit_node96source
C_node44node96_timber_t4,1.0,node44transit_node96source
C_node47node95_timber_t1,1.0,node47transit_node95source
C_node48node100_timber_t1,1.0,node48transit_node100source
C_node48node101_timber_t1,1.0,node48transit_node101source
C_node49node101_timber_t1,1.0,node49transit_node101source
C_node50node94_timber_t1,1.0,node50transit_node94source
C_node50node97_timber_t1,1.0,node50transit_node97source
C_node51node97_timber_t1,1.0,node51transit_node97source
C_node51node100_timber_t1,1.0,node51transit_node100source
C_node51node101_timber_t1,1.0,node51transit_node101source
C_node53node84_timber_t1,1.0,node53transit_node84exit
C_node53node101_timber_t1,1.0,node53transit_node101source
C_node54node105_wide_t1,1.0,node54exit_node105source
C_node55node97_timber_t1,1.0,node55transit_node97source
C_node58node93_timber_t1,1.0,node58transit_node93source
C_node58node95_timber_t1,1.0,node58transit_node95source
C_node59node96_timber_t1,1.0,node59transit_node96source
C_node59node96_timber_t4,1.0,node59transit_node96source
C_node59node99_timber_t1,1.0,node59transit_node99source
C_node59node100_timber_t1,1.0,node59transit_node100source
C_node62node105_timber_t1,1.0,node62transit_node105source
C_node63node97_timber_t1,1.0,node63transit_node97source
C_node63node98_timber_t1,1.0,node63transit_node98source
C_node63node98_timber_t3,1.0,node63transit_node98source
C_node63node100_timber_t1,1.0,node63transit_node100source
C_node73node105_timber_t1,1.0,node73exit_node105source
M_node6node16_timber_t2,1.0,node6exit_node16transit
M_node6node16_timber_t3,1.0,node6exit_node16transit
M_node6node16_timber_t4,1.0,node6exit_node16transit
M_node6node16_timber_t5,1.0,node6exit_node16transit
M_node7node105_timber_t4,1.0,node7transit_node105source
M_node7node105_timber_t5,1.0,node7transit_node105source
M_node8node98_timber_t2,1.0,node8transit_node98source
M_node8node98_timber_t3,1.0,node8transit_node98source
M_node8node98_timber_t4,1.0,node8transit_node98source
M_node8node98_timber_t5,1.0,node8transit_node98source
M_node8node99_timber_t2,1.0,node8transit_node99source
M_node8node99_timber_t3,1.0,node8transit_node99source
M_node8node99_timber_t4,1.0,node8transit_node99source
M_node8node100_timber_t2,1.0,node8transit_node100source
M_node8node100_timber_t3,1.0,node8transit_node100source
M_node8node100_timber_t4,1.0,node8transit_node100source
M_node11node44_timber_t2,1.0,node11transit_node44transit
M_node11node44_timber_t3,1.0,node11transit_node44transit
M_node11node44_timber_t4,1.0,node11transit_node44transit
M_node11node44_timber_t5,1.0,node11transit_node44transit
M_node11node58_timber_t2,1.0,node11transit_node58transit
M_node11node58_timber_t3,1.0,node11transit_node58transit
M_node11node58_timber_t4,1.0,node11transit_node58transit
M_node11node58_timber_t5,1.0,node11transit_node58transit
M_node11node41_timber_t2,1.0,node11transit_node41transit
M_node11node41_timber_t3,1.0,node11transit_node41transit
M_node11node41_timber_t4,1.0,node11transit_node41transit
M_node11node41_timber_t5,1.0,node11transit_node41transit
M_node11node93_timber_t4,1.0,node11transit_node93source
M_node11node93_timber_t5,1.0,node11transit_node93source
M_node11node94_timber_t2,1.0,node11transit_node94source
M_node11node94_timber_t3,1.0,node11transit_node94source
M_node11node94_timber_t4,1.0,node11transit_node94source
M_node11node94_timber_t5,1.0,node11transit_node94source
M_node16node41_timber_t2,1.0,node16transit_node41transit
M_node16node41_timber_t3,1.0,node16transit_node41transit
M_node16node41_timber_t4,1.0,node16transit_node41transit
M_node16node41_timber_t5,1.0,node16transit_node41transit
M_node16node94_wide_t4,1.0,node16transit_node94source
M_node16node94_wide_t5,1.0,node16transit_node94source
M_node18node101_timber_t2,1.0,node18transit_node101source
M_node18node101_timber_t3,1.0,node18transit_node101source
M_node18node101_timber_t4,1.0,node18transit_node101source
M_node19node96_timber_t2,1.0,node19transit_node96source
M_node19node100_timber_t2,1.0,node19transit_node100source
M_node19node100_timber_t3,1.0,node19transit_node100source
M_node19node100_timber_t4,1.0,node19transit_node100source
M_node20node28_timber_t2,1.0,node20transit_node28transit
M_node20node28_timber_t3,1.0,node20transit_node28transit
M_node20node28_timber_t4,1.0,node20transit_node28transit
M_node20node28_timber_t5,1.0,node20transit_node28transit
M_node20node44_timber_t2,1.0,node20transit_node44transit
M_node20node44_timber_t3,1.0,node20transit_node44transit
M_node20node44_timber_t4,1.0,node20transit_node44transit
M_node20node44_timber_t5,1.0,node20transit_node44transit
M_node20node94_timber_t4,1.0,node20transit_node94source
M_node20node94_timber_t5,1.0,node20transit_node94source
M_node20node96_timber_t2,1.0,node20transit_node96source
M_node20node96_timber_t3,1.0,node20transit_node96source
M_node20node96_timber_t4,1.0,node20transit_node96source
M_node20node96_timber_t5,1.0,node20transit_node96source
M_node20node97_timber_t2,1.0,node20transit_node97source
M_node20node97_timber_t3,1.0,node20transit_node97source
M_node20node97_timber_t4,1.0,node20transit_node97source
M_node20node97_timber_t5,1.0,node20transit_node97source
M_node27node59_timber_t2,1.0,node27transit_node59transit
M_node27node59_timber_t3,1.0,node27transit_node59transit
M_node27node59_timber_t4,1.0,node27transit_node59transit
M_node27node59_timber_t5,1.0,node27transit_node59transit
M_node27node28_timber_t2,1.0,node27transit_node28transit
M_node27node28_timber_t3,1.0,node27transit_node28transit
M_node27node28_timber_t4,1.0,node27transit_node28transit
M_node27node28_timber_t5,1.0,node27transit_node28transit
M_node27node96_timber_t2,1.0,node27transit_node96source
M_node27node96_timber_t5,1.0,node27transit_node96source
M_node27node98_timber_t2,1.0,node27transit_node98source
M_node27node98_timber_t3,1.0,node27transit_node98source
M_node27node98_timber_t4,1.0,node27transit_node98source
M_node27node98_timber_t5,1.0,node27transit_node98source
M_node27node99_timber_t2,1.0,node27transit_node99source
M_node27node99_timber_t3,1.0,node27transit_node99source
M_node27node99_timber_t4,1.0,node27transit_node99source
M_node28node96_timber_t2,1.0,node28transit_node96source
