variable,node_type_info
C_node1node3_timber_t0,node1transit_node3transit
M_node1node3_timber_t0,node1transit_node3transit
U_node1node3_t0,node1transit_node3transit
C_node1node3_timber_t1,node1transit_node3transit
M_node1node3_timber_t1,node1transit_node3transit
U_node1node3_t1,node1transit_node3transit
C_node1node3_timber_t2,node1transit_node3transit
M_node1node3_timber_t2,node1transit_node3transit
U_node1node3_t2,node1transit_node3transit
C_node1node3_timber_t3,node1transit_node3transit
M_node1node3_timber_t3,node1transit_node3transit
U_node1node3_t3,node1transit_node3transit
C_node1node3_timber_t4,node1transit_node3transit
M_node1node3_timber_t4,node1transit_node3transit
U_node1node3_t4,node1transit_node3transit
C_node1node3_timber_t5,node1transit_node3transit
M_node1node3_timber_t5,node1transit_node3transit
U_node1node3_t5,node1transit_node3transit
C_node1node3_wide_t0,node1transit_node3transit
M_node1node3_wide_t0,node1transit_node3transit
C_node1node3_wide_t1,node1transit_node3transit
M_node1node3_wide_t1,node1transit_node3transit
C_node1node3_wide_t2,node1transit_node3transit
M_node1node3_wide_t2,node1transit_node3transit
C_node1node3_wide_t3,node1transit_node3transit
M_node1node3_wide_t3,node1transit_node3transit
C_node1node3_wide_t4,node1transit_node3transit
M_node1node3_wide_t4,node1transit_node3transit
C_node1node3_wide_t5,node1transit_node3transit
M_node1node3_wide_t5,node1transit_node3transit
C_node1node2_timber_t0,node1transit_node2transit
M_node1node2_timber_t0,node1transit_node2transit
U_node1node2_t0,node1transit_node2transit
C_node1node2_timber_t1,node1transit_node2transit
M_node1node2_timber_t1,node1transit_node2transit
U_node1node2_t1,node1transit_node2transit
C_node1node2_timber_t2,node1transit_node2transit
M_node1node2_timber_t2,node1transit_node2transit
U_node1node2_t2,node1transit_node2transit
C_node1node2_timber_t3,node1transit_node2transit
M_node1node2_timber_t3,node1transit_node2transit
U_node1node2_t3,node1transit_node2transit
C_node1node2_timber_t4,node1transit_node2transit
M_node1node2_timber_t4,node1transit_node2transit
U_node1node2_t4,node1transit_node2transit
C_node1node2_timber_t5,node1transit_node2transit
M_node1node2_timber_t5,node1transit_node2transit
U_node1node2_t5,node1transit_node2transit
C_node1node2_wide_t0,node1transit_node2transit
M_node1node2_wide_t0,node1transit_node2transit
C_node1node2_wide_t1,node1transit_node2transit
M_node1node2_wide_t1,node1transit_node2transit
C_node1node2_wide_t2,node1transit_node2transit
M_node1node2_wide_t2,node1transit_node2transit
C_node1node2_wide_t3,node1transit_node2transit
M_node1node2_wide_t3,node1transit_node2transit
C_node1node2_wide_t4,node1transit_node2transit
M_node1node2_wide_t4,node1transit_node2transit
C_node1node2_wide_t5,node1transit_node2transit
M_node1node2_wide_t5,node1transit_node2transit
C_node1node7_timber_t0,node1transit_node7transit
M_node1node7_timber_t0,node1transit_node7transit
U_node1node7_t0,node1transit_node7transit
C_node1node7_timber_t1,node1transit_node7transit
M_node1node7_timber_t1,node1transit_node7transit
U_node1node7_t1,node1transit_node7transit
C_node1node7_timber_t2,node1transit_node7transit
M_node1node7_timber_t2,node1transit_node7transit
U_node1node7_t2,node1transit_node7transit
C_node1node7_timber_t3,node1transit_node7transit
M_node1node7_timber_t3,node1transit_node7transit
U_node1node7_t3,node1transit_node7transit
C_node1node7_timber_t4,node1transit_node7transit
M_node1node7_timber_t4,node1transit_node7transit
U_node1node7_t4,node1transit_node7transit
C_node1node7_timber_t5,node1transit_node7transit
M_node1node7_timber_t5,node1transit_node7transit
U_node1node7_t5,node1transit_node7transit
C_node1node7_wide_t0,node1transit_node7transit
M_node1node7_wide_t0,node1transit_node7transit
C_node1node7_wide_t1,node1transit_node7transit
M_node1node7_wide_t1,node1transit_node7transit
C_node1node7_wide_t2,node1transit_node7transit
M_node1node7_wide_t2,node1transit_node7transit
C_node1node7_wide_t3,node1transit_node7transit
M_node1node7_wide_t3,node1transit_node7transit
C_node1node7_wide_t4,node1transit_node7transit
M_node1node7_wide_t4,node1transit_node7transit
C_node1node7_wide_t5,node1transit_node7transit
M_node1node7_wide_t5,node1transit_node7transit
C_node1node12_timber_t0,node1transit_node12source
M_node1node12_timber_t0,node1transit_node12source
U_node1node12_t0,node1transit_node12source
C_node1node12_timber_t1,node1transit_node12source
M_node1node12_timber_t1,node1transit_node12source
U_node1node12_t1,node1transit_node12source
C_node1node12_timber_t2,node1transit_node12source
M_node1node12_timber_t2,node1transit_node12source
U_node1node12_t2,node1transit_node12source
C_node1node12_timber_t3,node1transit_node12source
M_node1node12_timber_t3,node1transit_node12source
U_node1node12_t3,node1transit_node12source
C_node1node12_timber_t4,node1transit_node12source
M_node1node12_timber_t4,node1transit_node12source
U_node1node12_t4,node1transit_node12source
C_node1node12_timber_t5,node1transit_node12source
M_node1node12_timber_t5,node1transit_node12source
U_node1node12_t5,node1transit_node12source
C_node1node12_wide_t0,node1transit_node12source
M_node1node12_wide_t0,node1transit_node12source
C_node1node12_wide_t1,node1transit_node12source
M_node1node12_wide_t1,node1transit_node12source
C_node1node12_wide_t2,node1transit_node12source
M_node1node12_wide_t2,node1transit_node12source
C_node1node12_wide_t3,node1transit_node12source
M_node1node12_wide_t3,node1transit_node12source
C_node1node12_wide_t4,node1transit_node12source
M_node1node12_wide_t4,node1transit_node12source
C_node1node12_wide_t5,node1transit_node12source
M_node1node12_wide_t5,node1transit_node12source
C_node1node15_timber_t0,node1transit_node15source
M_node1node15_timber_t0,node1transit_node15source
U_node1node15_t0,node1transit_node15source
C_node1node15_timber_t1,node1transit_node15source
M_node1node15_timber_t1,node1transit_node15source
U_node1node15_t1,node1transit_node15source
C_node1node15_timber_t2,node1transit_node15source
M_node1node15_timber_t2,node1transit_node15source
U_node1node15_t2,node1transit_node15source
C_node1node15_timber_t3,node1transit_node15source
M_node1node15_timber_t3,node1transit_node15source
U_node1node15_t3,node1transit_node15source
C_node1node15_timber_t4,node1transit_node15source
M_node1node15_timber_t4,node1transit_node15source
U_node1node15_t4,node1transit_node15source
C_node1node15_timber_t5,node1transit_node15source
M_node1node15_timber_t5,node1transit_node15source
U_node1node15_t5,node1transit_node15source
C_node1node15_wide_t0,node1transit_node15source
M_node1node15_wide_t0,node1transit_node15source
C_node1node15_wide_t1,node1transit_node15source
M_node1node15_wide_t1,node1transit_node15source
C_node1node15_wide_t2,node1transit_node15source
M_node1node15_wide_t2,node1transit_node15source
C_node1node15_wide_t3,node1transit_node15source
M_node1node15_wide_t3,node1transit_node15source
C_node1node15_wide_t4,node1transit_node15source
M_node1node15_wide_t4,node1transit_node15source
C_node1node15_wide_t5,node1transit_node15source
M_node1node15_wide_t5,node1transit_node15source
C_node2node3_timber_t0,node2transit_node3transit
